location	LR	alpha
1850821.000000	1.428235	1.003525e+07
1850871.005599	0.139833	1.793239e+08
1850921.011199	0.073140	1.421307e+08
1850971.016798	0.000000	3.593963e+05
1851021.022398	0.053439	2.623397e+04
1851071.027997	0.241667	5.652595e+07
1851121.033597	0.000000	1.200000e+09
1851171.039196	0.170915	7.852314e+04
1851221.044796	0.000998	3.899041e+08
1851271.050395	3.846851	5.763225e+06
1851321.055994	0.000000	1.200000e+09
1851371.061594	3.043737	1.960551e+07
1851421.067193	1.376943	2.861228e+07
1851471.072793	4.281543	2.240051e+03
1851521.078392	1.257190	1.656604e+07
1851571.083992	0.740427	2.433579e+07
1851621.089591	0.103531	2.049176e+08
1851671.095190	0.010787	8.068881e+07
1851721.100790	0.061891	2.600361e+08
1851771.106389	0.097129	2.707038e+08
1851821.111989	0.813099	1.306113e+08
1851871.117588	0.922516	3.582577e+04
1851921.123188	0.444329	1.181779e+08
1851971.128787	0.841171	3.314264e+04
1852021.134387	1.055089	5.525790e+03
1852071.139986	0.165773	2.030535e+04
1852121.145585	0.000000	6.726425e+05
1852171.151185	2.615588	7.613175e+06
1852221.156784	0.058673	7.704436e+07
1852271.162384	1.390264	7.005433e+04
1852321.167983	0.379393	4.669910e+07
1852371.173583	2.427362	1.609681e+07
1852421.179182	2.892319	2.568183e+07
1852471.184782	0.867484	5.787506e+07
1852521.190381	1.081279	5.203169e+03
1852571.195980	0.000000	1.200000e+09
1852621.201580	0.306036	3.476964e+04
1852671.207179	0.358604	1.009734e+05
1852721.212779	0.005674	8.728847e+04
1852771.218378	0.000000	1.181899e+06
1852821.223978	0.743671	1.592991e+04
1852871.229577	0.000000	2.439990e+05
1852921.235176	0.001816	5.054488e+04
1852971.240776	0.001725	1.923486e+04
1853021.246375	0.001246	1.243265e+04
1853071.251975	0.006904	7.057096e+03
1853121.257574	0.116178	8.761559e+03
1853171.263174	0.269887	2.067333e+04
1853221.268773	0.280614	1.318712e+08
1853271.274373	0.000000	1.200000e+09
1853321.279972	0.108290	3.930997e+07
1853371.285571	0.390347	1.685244e+04
1853421.291171	0.000000	2.975777e+05
1853471.296770	0.003272	3.588047e+08
1853521.302370	0.877341	1.593608e+07
1853571.307969	0.069354	1.302181e+04
1853621.313569	0.000000	5.582320e+04
1853671.319168	0.013981	6.196859e+03
1853721.324768	0.428841	4.783893e+03
1853771.330367	1.316214	4.519208e+03
1853821.335966	1.318587	3.527034e+03
1853871.341566	0.838425	1.693903e+03
1853921.347165	0.666473	2.289264e+03
1853971.352765	0.631594	2.160981e+03
1854021.358364	0.644909	2.116992e+03
1854071.363964	0.127781	6.472024e+03
1854121.369563	1.004061	2.203594e+03
1854171.375162	0.362370	3.047283e+03
1854221.380762	0.381106	1.166384e+03
1854271.386361	0.346823	1.221587e+03
1854321.391961	0.289109	1.293325e+03
1854371.397560	0.221560	1.388718e+03
1854421.403160	0.148434	1.531152e+03
1854471.408759	0.082318	1.745656e+03
1854521.414359	0.037966	2.047132e+03
1854571.419958	0.030215	2.470063e+03
1854621.425557	0.075365	3.049076e+03
1854671.431157	0.156909	3.844597e+03
1854721.436756	0.150004	5.277771e+03
1854771.442356	2.223371	1.373806e+07
1854821.447955	0.004369	3.331966e+08
1854871.453555	0.052207	1.779545e+08
1854921.459154	1.231037	1.260746e+04
1854971.464754	1.662205	9.107759e+07
1855021.470353	0.812401	3.462296e+07
1855071.475952	0.654306	3.320712e+05
1855121.481552	0.000000	1.200000e+09
1855171.487151	0.512515	3.320030e+07
1855221.492751	0.915077	7.600956e+07
1855271.498350	0.443801	3.297348e+07
1855321.503950	0.371607	3.048550e+07
1855371.509549	0.000000	1.200000e+09
1855421.515148	0.785700	1.490448e+04
1855471.520748	0.516648	1.427311e+04
1855521.526347	0.647636	4.405839e+03
1855571.531947	0.619570	2.614580e+03
1855621.537546	0.144895	8.037637e+03
1855671.543146	0.457842	7.995509e+04
1855721.548745	0.007268	2.549652e+08
1855771.554345	0.056942	4.788953e+07
1855821.559944	0.001282	4.481909e+04
1855871.565543	0.000000	1.200000e+09
1855921.571143	0.008682	1.478825e+08
1855971.576742	0.000000	1.200000e+09
1856021.582342	0.055838	1.723243e+08
1856071.587941	1.587469	1.963834e+07
1856121.593541	0.406636	2.177518e+04
1856171.599140	0.126643	2.783105e+05
1856221.604740	0.342709	1.349807e+04
1856271.610339	0.146763	5.488833e+04
1856321.615938	0.180072	1.143491e+05
1856371.621538	0.000000	7.947998e+05
1856421.627137	0.019783	2.636294e+08
1856471.632737	0.011983	2.599878e+08
1856521.638336	0.006639	8.761467e+04
1856571.643936	0.004084	3.374005e+08
1856621.649535	0.002587	7.666219e+04
1856671.655134	0.000000	1.742908e+05
1856721.660734	1.026331	4.016206e+07
1856771.666333	0.142960	1.878757e+07
1856821.671933	2.008382	2.880509e+07
1856871.677532	0.167804	6.492489e+04
1856921.683132	0.473505	6.297611e+04
1856971.688731	0.000000	1.200000e+09
1857021.694331	1.065698	6.128938e+07
1857071.699930	0.005882	3.313922e+08
1857121.705529	0.229595	1.585489e+08
1857171.711129	0.253115	1.404095e+04
1857221.716728	0.256749	7.398319e+03
1857271.722328	0.156487	5.293064e+03
1857321.727927	0.129077	4.050544e+03
1857371.733527	0.116899	3.643844e+03
1857421.739126	0.020707	4.728968e+03
1857471.744726	0.039286	6.551551e+03
1857521.750325	0.029320	9.868100e+03
1857571.755924	0.020924	1.880632e+04
1857621.761524	0.019493	8.628049e+04
1857671.767123	0.078899	2.239930e+08
1857721.772723	0.554959	1.006559e+08
1857771.778322	0.030005	2.881929e+08
1857821.783922	0.234028	2.212679e+04
1857871.789521	0.000090	3.612624e+04
1857921.795120	0.000462	4.261363e+04
1857971.800720	0.000462	3.386718e+05
1858021.806319	1.866515	9.398887e+03
1858071.811919	5.043313	7.192005e+03
1858121.817518	1.167156	5.966490e+03
