location	LR	alpha
2476101.000000	0.093656	7.672086e+07
2476151.004607	0.004247	2.811623e+08
2476201.009214	0.000756	1.669946e+05
2476251.013820	2.067428	8.173347e+03
2476301.018427	0.819701	9.373700e+03
2476351.023034	0.037072	4.299031e+04
2476401.027641	0.953596	5.696043e+03
2476451.032248	1.170618	2.952717e+03
2476501.036855	1.029325	2.299968e+03
2476551.041461	1.012437	2.062345e+03
2476601.046068	1.018432	2.135503e+03
2476651.050675	1.795443	1.932786e+04
2476701.055282	0.000000	3.190277e+05
2476751.059889	0.000000	1.623996e+05
2476801.064496	0.106144	2.923381e+04
2476851.069102	0.000000	3.778243e+05
2476901.073709	0.033056	1.396110e+08
2476951.078316	0.277933	2.676712e+04
2477001.082923	0.041462	1.491934e+08
2477051.087530	0.039221	4.843616e+04
2477101.092137	0.000000	1.200000e+09
2477151.096743	0.000000	1.200000e+09
2477201.101350	0.079999	1.183865e+08
2477251.105957	0.153426	2.122056e+04
2477301.110564	0.000000	1.200000e+09
2477351.115171	0.000000	3.725312e+05
2477401.119778	0.000176	3.740457e+08
2477451.124384	0.000175	4.208239e+04
2477501.128991	0.000097	2.180295e+04
2477551.133598	0.000000	9.804769e+04
2477601.138205	0.000000	4.279430e+05
2477651.142812	0.839368	2.727579e+03
2477701.147419	0.986627	1.519451e+07
2477751.152025	8.095985	3.417872e+03
2477801.156632	0.986627	1.519451e+07
2477851.161239	0.000000	1.200000e+09
2477901.165846	0.022313	1.813691e+08
2477951.170453	0.729979	1.163206e+04
2478001.175060	1.258892	1.730424e+07
2478051.179666	0.148689	4.374829e+03
2478101.184273	0.005187	3.065618e+04
2478151.188880	0.253475	1.631159e+04
2478201.193487	0.000000	1.200000e+09
2478251.198094	0.024606	1.521593e+05
2478301.202701	0.479700	2.880901e+05
2478351.207307	0.000000	2.000696e+06
2478401.211914	0.000000	1.200000e+09
2478451.216521	0.386988	8.913644e+07
2478501.221128	0.000000	6.353469e+05
2478551.225735	0.000059	3.865099e+05
2478601.230342	0.000000	1.200000e+09
2478651.234948	0.044864	1.227056e+08
2478701.239555	2.094163	1.419875e+04
2478751.244162	0.690957	4.927898e+03
2478801.248769	0.368175	3.530801e+03
2478851.253376	0.285668	2.629748e+03
2478901.257983	0.337495	1.979081e+03
2478951.262589	0.486961	1.697168e+03
2479001.267196	0.666753	1.602912e+03
2479051.271803	0.851626	1.605017e+03
2479101.276410	1.058105	1.687007e+03
2479151.281017	1.352477	1.876763e+03
2479201.285624	1.529349	2.197426e+03
2479251.290230	1.536515	2.858598e+03
2479301.294837	0.187969	3.347008e+07
2479351.299444	0.145017	6.761607e+07
2479401.304051	0.175024	3.307442e+04
2479451.308658	0.161927	7.993563e+07
2479501.313264	0.000903	1.684612e+04
2479551.317871	0.000029	3.565894e+05
2479601.322478	0.000000	1.200000e+09
2479651.327085	0.007128	2.648522e+08
2479701.331692	0.130779	5.499594e+04
2479751.336299	0.001858	2.923072e+08
2479801.340905	1.248271	3.379637e+04
2479851.345512	1.342005	2.135573e+07
2479901.350119	0.845619	3.012807e+07
2479951.354726	0.000000	1.200000e+09
2480001.359333	0.000000	1.200000e+09
2480051.363940	0.095045	3.106816e+04
2480101.368546	0.729116	3.596412e+07
2480151.373153	0.067460	8.018367e+07
2480201.377760	0.000000	1.200000e+09
2480251.382367	0.000000	1.200000e+09
2480301.386974	0.000000	1.200000e+09
2480351.391581	1.293620	2.796088e+07
2480401.396187	2.929780	5.948167e+03
2480451.400794	0.158866	8.276639e+07
2480501.405401	0.000000	1.200000e+09
2480551.410008	0.000000	3.190974e+05
2480601.414615	0.722284	9.379360e+03
2480651.419222	0.756986	3.724256e+03
2480701.423828	1.648004	3.338226e+03
