location	LR	alpha	D
1378003.000000	2.842821	1.133221e+01	0.032170
1378053.002683	0.000000	5.991964e+00	0.016085
1378103.005366	1.276857	4.395691e-02	0.032170
1378153.008049	1.617276	1.683049e-02	0.032170
1378203.010732	0.000000	2.003584e+00	0.016085
1378253.013415	0.000000	6.040518e+00	0.016085
1378303.016099	0.000000	8.581297e-01	0.016085
1378353.018782	0.027602	5.221654e-01	0.016085
1378403.021465	0.000000	2.410349e+00	0.016085
1378453.024148	0.000000	1.171706e+01	0.016085
1378503.026831	0.092703	4.618748e-03	0.032170
1378553.029514	0.730936	4.250842e-03	0.032170
1378603.032197	0.028824	1.506061e+00	0.016085
1378653.034880	0.000000	9.971017e-01	0.016085
1378703.037563	1.292013	3.244927e-02	0.032170
1378753.040246	1.684619	1.027398e+00	0.032170
1378803.042929	1.327369	2.758349e-02	0.016085
1378853.045613	0.883779	1.332659e-01	0.032170
1378903.048296	1.091045	3.467530e-02	0.032170
1378953.050979	0.215714	7.451055e-02	0.016085
1379003.053662	0.222897	5.685758e-02	0.016085
1379053.056345	0.000000	6.816002e-02	0.016085
1379103.059028	0.000000	7.695220e-02	0.016085
1379153.061711	0.000000	1.132735e-01	0.016085
1379203.064394	0.000000	2.145324e-01	0.016085
1379253.067077	0.849984	1.287461e-02	0.032170
1379303.069760	0.909000	3.252647e-02	0.032170
1379353.072443	3.966701	2.138761e-02	0.032170
1379403.075127	0.968244	2.697083e-02	0.016085
1379453.077810	0.688198	2.050469e-01	0.032170
1379503.080493	0.850814	6.770837e-02	0.016085
1379553.083176	2.717274	2.001863e-02	0.016085
1379603.085859	1.665628	4.899676e-02	0.016085
1379653.088542	1.588302	3.635389e-02	0.032170
1379703.091225	1.510322	5.082783e-02	0.016085
1379753.093908	1.950898	6.088468e-02	0.032170
1379803.096591	1.426182	3.869762e-02	0.016085
1379853.099274	2.342975	3.244114e-02	0.016085
1379903.101957	1.091305	2.101504e-01	0.016085
1379953.104641	1.091322	1.120399e-01	0.016085
1380003.107324	1.091328	7.638089e-02	0.016085
1380053.110007	0.393307	5.610362e-02	0.016085
1380103.112690	0.868136	1.935526e-02	0.032170
1380153.115373	0.560273	3.884947e-02	0.032170
1380203.118056	1.913577	1.122734e-01	0.032170
1380253.120739	0.227427	4.636916e-01	0.016085
1380303.123422	0.029378	1.477210e+00	0.032170
1380353.126105	0.000000	2.462098e+00	0.016085
1380403.128788	0.000000	1.352691e+00	0.016085
1380453.131471	0.000000	1.957116e+00	0.016085
1380503.134155	0.712234	6.204657e-01	0.032170
1380553.136838	0.024716	4.422032e-01	0.016085
1380603.139521	1.055382	1.552674e-02	0.032170
1380653.142204	0.689320	1.440822e-02	0.032170
1380703.144887	0.000000	2.270358e-01	0.016085
1380753.147570	0.000000	4.206939e+00	0.016085
1380803.150253	0.681274	3.795665e-02	0.032170
1380853.152936	3.129805	3.343919e-02	0.032170
1380903.155619	1.599353	8.154636e-02	0.032170
1380953.158302	0.718457	1.292523e-01	0.032170
1381003.160985	0.795218	2.801185e-01	0.016085
1381053.163669	0.733944	1.675119e+00	0.016085
1381103.166352	0.403278	8.581626e-02	0.032170
1381153.169035	0.225258	7.265283e-02	0.016085
1381203.171718	0.323714	7.221447e-02	0.016085
1381253.174401	0.059308	8.285830e-02	0.016085
1381303.177084	2.481877	2.408531e-01	0.032170
1381353.179767	0.893189	1.071437e+00	0.032170
1381403.182450	2.655808	1.448968e-01	0.032170
1381453.185133	3.502103	2.579618e-02	0.032170
1381503.187816	1.433310	4.025200e-01	0.032170
1381553.190499	0.000000	2.311916e+00	0.016085
