location	LR	alpha	D
1378003.000000	2.951155	1.951220e-02	0.046600
1378053.002683	0.636787	1.734502e-01	0.046600
1378103.005366	0.929260	3.964538e-02	0.046600
1378153.008049	1.251796	7.999570e-02	0.046600
1378203.010732	0.000000	1.091975e+00	0.023300
1378253.013415	0.600277	8.007158e-01	0.023300
1378303.016099	0.529884	9.834771e-02	0.046600
1378353.018782	0.073185	1.411452e-01	0.046600
1378403.021465	0.547919	5.404883e-02	0.046600
1378453.024148	1.009267	5.850818e-01	0.046600
1378503.026831	2.010931	9.045938e-02	0.046600
1378553.029514	1.276643	1.936405e-01	0.023300
1378603.032197	1.034426	1.002690e+00	0.023300
1378653.034880	0.600277	4.047054e+00	0.023300
1378703.037563	0.041253	4.450637e-01	0.046600
1378753.040246	0.174911	6.692165e-01	0.046600
1378803.042929	0.600277	1.508093e+00	0.023300
1378853.045613	0.000000	1.003816e+00	0.023300
1378903.048296	1.694417	2.881061e+00	0.046600
1378953.050979	0.047057	3.774369e+01	0.046600
1379003.053662	0.781727	4.998882e-02	0.046600
1379053.056345	2.049815	2.239926e-01	0.046600
1379103.059028	3.144530	3.519123e-03	0.046600
1379153.061711	1.147673	1.444708e-01	0.023300
1379203.064394	1.237897	9.018188e-02	0.023300
1379253.067077	1.004940	6.554974e-02	0.023300
1379303.069760	0.600277	7.087906e-01	0.023300
1379353.072443	0.000000	3.990365e-01	0.023300
1379403.075127	0.000000	5.234490e-01	0.023300
1379453.077810	0.600277	2.026277e+00	0.023300
1379503.080493	0.052232	7.537924e-01	0.046600
1379553.083176	0.548302	2.938889e+00	0.023300
1379603.085859	0.548302	2.441932e+00	0.023300
1379653.088542	0.000000	3.885329e+00	0.023300
1379703.091225	0.000000	2.030878e+00	0.023300
1379753.093908	0.000000	1.969180e+00	0.023300
1379803.096591	1.996159	1.410162e-01	0.046600
1379853.099274	0.538440	6.630102e-01	0.046600
1379903.101957	0.276192	9.915752e-01	0.046600
1379953.104641	1.037098	1.264550e-01	0.046600
1380003.107324	0.888654	3.233863e-01	0.046600
1380053.110007	1.240329	2.505742e-01	0.023300
1380103.112690	1.400029	1.302752e-01	0.023300
1380153.115373	3.355638	6.852624e-02	0.046600
1380203.118056	0.347178	1.721323e+00	0.046600
1380253.120739	3.330125	2.242485e-02	0.046600
1380303.123422	1.955999	2.280834e-02	0.046600
1380353.126105	0.554116	3.099766e-02	0.046600
1380403.128788	2.259405	3.123951e-02	0.046600
1380453.131471	1.232138	3.126070e-02	0.046600
1380503.134155	1.027588	4.972207e-01	0.046600
1380553.136838	3.921682	1.329513e-03	0.046600
1380603.139521	4.716339	1.292844e-03	0.046600
1380653.142204	0.919374	5.199878e+00	0.046600
1380703.144887	4.858707	1.397485e-03	0.046600
1380753.147570	6.633671	1.314082e-03	0.046600
1380803.150253	3.839709	1.413953e-03	0.046600
1380853.152936	1.199642	3.768009e-01	0.046600
1380903.155619	2.783060	2.811328e-02	0.046600
1380953.158302	0.103205	7.213080e+00	0.046600
1381003.160985	2.155291	2.940016e-02	0.046600
1381053.163669	3.400250	3.362887e-02	0.046600
1381103.166352	0.047057	1.156662e+01	0.046600
1381153.169035	1.012199	6.551327e-02	0.046600
1381203.171718	0.902234	1.708984e-02	0.023300
1381253.174401	1.600349	1.439432e-01	0.046600
1381303.177084	8.226244	9.286655e-03	0.046600
1381353.179767	1.079392	3.985892e+00	0.046600
1381403.182450	3.015600	8.229257e-02	0.046600
1381453.185133	3.671977	1.398300e-02	0.046600
1381503.187816	0.699268	3.259791e-01	0.046600
1381553.190499	1.690826	1.273628e-02	0.046600
1381603.193183	0.069925	2.604128e-02	0.046600
1381653.195866	0.969320	8.010460e-02	0.046600
1381703.198549	0.852953	1.060084e-01	0.046600
1381753.201232	1.995985	1.533390e-03	0.046600
1381803.203915	4.030399	1.543251e-03	0.046600
1381853.206598	3.210269	1.494063e-03	0.046600
1381903.209281	1.656293	7.307747e-02	0.023300
1381953.211964	2.172086	5.601928e-02	0.023300
1382003.214647	2.088990	4.541761e-02	0.023300
1382053.217330	3.071377	2.713598e-02	0.023300
1382103.220013	2.505218	3.070781e-02	0.023300
1382153.222697	2.528642	3.406934e-02	0.023300
1382203.225380	1.227813	4.126907e-02	0.023300
1382253.228063	0.749408	4.983969e-02	0.023300
1382303.230746	0.471572	5.720573e-02	0.023300
1382353.233429	1.390028	7.564662e-02	0.046600
1382403.236112	0.472820	1.322111e-01	0.023300
1382453.238795	1.093578	2.943975e-01	0.023300
1382503.241478	2.008721	1.344927e-02	0.046600
1382553.244161	0.154606	2.288259e+00	0.046600
1382603.246844	1.009267	2.427483e+00	0.046600
1382653.249527	1.510807	1.312552e-02	0.046600
1382703.252211	0.559632	1.882418e-01	0.046600
1382753.254894	0.790591	1.170173e+00	0.046600
1382803.257577	0.000000	1.065949e+00	0.023300
1382853.260260	0.000000	1.452739e+00	0.023300
1382903.262943	0.545389	1.359574e-01	0.046600
1382953.265626	0.047057	3.654124e-01	0.046600
1383003.268309	0.361658	2.412949e-01	0.046600
1383053.270992	0.919374	2.728649e+00	0.046600
1383103.273675	2.192547	8.349200e-02	0.046600
1383153.276358	0.103205	4.131764e+00	0.046600
1383203.279041	5.833381	3.706817e-03	0.046600
1383253.281724	6.217371	3.701098e-03	0.046600
1383303.284408	1.330406	3.644886e-03	0.046600
1383353.287091	5.261162	3.590356e-03	0.046600
1383403.289774	3.057474	1.896041e-01	0.046600
1383453.292457	7.516603	3.264159e-03	0.046600
1383503.295140	7.476301	3.271275e-03	0.046600
1383553.297823	6.695836	3.387632e-03	0.046600
1383603.300506	0.775853	1.037170e-01	0.046600
1383653.303189	0.949848	2.252690e-02	0.046600
1383703.305872	1.553608	4.368497e-02	0.046600
1383753.308555	0.000000	4.458574e+00	0.023300
1383803.311238	0.000000	1.794054e+00	0.023300
1383853.313922	1.651625	5.323783e-01	0.046600
1383903.316605	0.000000	4.471948e+00	0.023300
1383953.319288	5.107578	3.501277e-03	0.046600
1384003.321971	3.490568	4.963439e-03	0.046600
1384053.324654	1.459106	6.020329e-02	0.046600
1384103.327337	0.181645	6.208823e-01	0.046600
1384153.330020	0.690623	9.439910e-01	0.046600
1384203.332703	6.918345	3.241200e-03	0.046600
1384253.335386	4.553302	2.802823e-03	0.046600
1384303.338069	2.541928	4.342574e-03	0.046600
1384353.340752	1.238734	8.490120e-02	0.046600
1384403.343436	5.722132	4.503923e-03	0.046600
1384453.346119	8.855089	4.399386e-03	0.046600
1384503.348802	7.968633	4.481540e-03	0.046600
1384553.351485	7.358676	4.078372e-03	0.046600
1384603.354168	6.502096	2.943085e-03	0.046600
1384653.356851	7.341748	4.086300e-03	0.046600
1384703.359534	6.752066	4.011554e-03	0.046600
1384753.362217	5.860214	3.945601e-03	0.046600
1384803.364900	6.880586	6.736408e-03	0.046600
1384853.367583	0.713049	2.248556e-01	0.046600
1384903.370266	7.576363	5.521381e-03	0.046600
1384953.372950	6.816266	5.691593e-03	0.046600
1385003.375633	10.961709	5.838350e-03	0.046600
1385053.378316	13.127584	5.936541e-03	0.046600
1385103.380999	3.735741	9.107335e-03	0.046600
1385153.383682	8.857630	1.126355e-02	0.046600
1385203.386365	1.066602	1.200464e-02	0.046600
1385253.389048	0.351698	3.822990e-01	0.046600
1385303.391731	7.987467	1.011470e-02	0.046600
1385353.394414	7.150924	9.760905e-03	0.046600
1385403.397097	12.190285	7.364688e-03	0.046600
1385453.399780	9.322970	7.502818e-03	0.046600
1385503.402464	6.739613	7.564285e-03	0.023300
1385553.405147	5.390643	8.122351e-03	0.023300
1385603.407830	5.579274	8.111356e-03	0.023300
1385653.410513	6.152263	8.325177e-03	0.023300
1385703.413196	6.077962	8.514185e-03	0.023300
1385753.415879	10.030911	2.456923e-02	0.023300
1385803.418562	9.092892	2.629166e-02	0.023300
1385853.421245	9.772453	2.291919e-02	0.023300
1385903.423928	5.322600	2.262341e-02	0.023300
1385953.426611	4.391749	2.067445e-02	0.023300
1386003.429294	8.090518	2.476419e-02	0.023300
1386053.431978	6.801267	2.761362e-02	0.023300
1386103.434661	12.110534	1.553267e-02	0.023300
1386153.437344	13.789829	1.350686e-02	0.023300
1386203.440027	14.319664	1.441337e-02	0.023300
1386253.442710	7.264520	1.426122e-02	0.023300
1386303.445393	8.435911	1.638103e-02	0.023300
1386353.448076	13.559245	1.684333e-02	0.023300
1386403.450759	12.549850	1.573872e-02	0.023300
1386453.453442	7.553853	1.152236e-02	0.023300
1386503.456125	12.103430	1.099449e-02	0.023300
1386553.458808	9.423023	2.141103e-02	0.023300
1386603.461492	10.299421	1.384943e-02	0.023300
1386653.464175	11.308101	1.309380e-02	0.023300
1386703.466858	9.087007	1.231359e-02	0.023300
1386753.469541	3.980055	2.930620e-02	0.046600
1386803.472224	10.104318	1.125205e-02	0.023300
1386853.474907	14.971810	8.105507e-03	0.023300
1386903.477590	11.752659	7.709716e-03	0.023300
1386953.480273	15.823520	7.469748e-03	0.023300
1387003.482956	18.135855	7.244265e-03	0.023300
1387053.485639	15.584825	7.031996e-03	0.023300
1387103.488322	12.494308	6.831813e-03	0.023300
1387153.491006	10.448438	6.739712e-03	0.023300
1387203.493689	6.576242	8.182782e-03	0.046600
1387253.496372	7.762620	6.381294e-03	0.023300
1387303.499055	5.092777	7.660393e-03	0.046600
1387353.501738	13.550069	7.423436e-03	0.046600
1387403.504421	6.690834	7.200700e-03	0.046600
1387453.507104	14.456357	6.990941e-03	0.023300
1387503.509787	13.055954	5.595735e-03	0.023300
1387553.512470	12.895599	5.450858e-03	0.046600
1387603.515153	8.949398	7.451032e-03	0.046600
1387653.517836	6.295053	6.261354e-03	0.046600
1387703.520520	11.314782	5.818122e-03	0.046600
1387753.523203	8.990361	5.950836e-03	0.046600
1387803.525886	12.437726	5.184763e-03	0.023300
1387853.528569	12.941027	5.153596e-03	0.023300
1387903.531252	10.819836	5.285252e-03	0.023300
1387953.533935	10.096633	5.404268e-03	0.023300
1388003.536618	3.177713	5.294421e-03	0.046600
1388053.539301	9.167325	5.180140e-03	0.046600
1388103.541984	10.442844	5.070689e-03	0.023300
1388153.544667	8.497749	5.341537e-03	0.023300
1388203.547350	5.848680	5.428518e-03	0.023300
1388253.550034	8.664364	4.128607e-03	0.023300
1388303.552717	8.224575	4.058782e-03	0.023300
1388353.555400	1.915417	1.242810e-01	0.046600
1388403.558083	2.830159	7.387255e-02	0.046600
1388453.560766	6.949516	3.862793e-03	0.023300
1388503.563449	7.174268	3.801603e-03	0.023300
1388553.566132	7.887836	3.742322e-03	0.023300
1388603.568815	7.486562	3.594355e-03	0.023300
1388653.571498	7.480858	3.636995e-03	0.023300
1388703.574181	6.280756	3.692961e-03	0.023300
1388753.576864	5.878287	3.750678e-03	0.023300
1388803.579548	5.605664	3.810226e-03	0.023300
1388853.582231	5.152152	3.664775e-03	0.023300
1388903.584914	5.024177	3.721606e-03	0.023300
1388953.587597	4.303108	3.719302e-03	0.023300
1389003.590280	3.343076	3.476841e-03	0.023300
1389053.592963	3.205981	3.566752e-03	0.023300
1389103.595646	1.941973	1.172557e-02	0.046600
1389153.598329	2.053725	1.232791e-02	0.046600
1389203.601012	2.163243	1.226494e-02	0.046600
1389253.603695	1.362153	1.028810e-02	0.046600
1389303.606378	2.287785	5.012663e-02	0.046600
1389353.609062	1.859437	5.324085e-02	0.046600
1389403.611745	1.014702	1.658860e-02	0.046600
1389453.614428	1.290658	1.856129e+00	0.046600
1389503.617111	2.847131	2.844692e-03	0.046600
1389553.619794	8.701411	2.878817e-03	0.046600
1389603.622477	1.177143	5.613373e-01	0.046600
1389653.625160	1.342795	2.882873e-01	0.046600
1389703.627843	0.515443	3.368152e-01	0.046600
1389753.630526	9.938649	2.901095e-03	0.046600
1389803.633209	6.817121	2.692617e-03	0.046600
1389853.635892	3.213353	2.906721e-03	0.046600
1389903.638576	0.047057	5.323726e+00	0.046600
1389953.641259	0.000000	7.311464e+00	0.023300
1390003.643942	0.909330	1.011430e-01	0.023300
1390053.646625	3.665730	5.784938e-03	0.046600
1390103.649308	4.965788	5.927828e-03	0.046600
1390153.651991	0.274590	9.277299e-02	0.046600
1390203.654674	1.278375	2.880830e-01	0.046600
1390253.657357	0.000000	1.160245e+00	0.023300
1390303.660040	0.600277	2.765002e+00	0.023300
1390353.662723	0.963136	5.710650e-03	0.046600
1390403.665406	1.820964	2.519597e-03	0.046600
1390453.668090	2.021821	7.815901e-03	0.046600
1390503.670773	0.000000	1.895966e+00	0.023300
1390553.673456	0.000000	7.170793e+00	0.023300
1390603.676139	0.000000	1.162356e+00	0.023300
1390653.678822	0.386321	3.190299e-01	0.046600
1390703.681505	0.047057	6.041304e+00	0.046600
1390753.684188	0.000000	2.561810e+00	0.023300
1390803.686871	5.568031	2.199137e-03	0.046600
1390853.689554	0.103205	1.655921e+00	0.046600
1390903.692237	6.333676	2.159558e-03	0.046600
1390953.694920	11.211240	2.141976e-03	0.046600
1391003.697604	11.896593	2.125662e-03	0.046600
1391053.700287	12.023809	2.102791e-03	0.046600
1391103.702970	11.706098	2.088666e-03	0.046600
1391153.705653	11.625333	2.066576e-03	0.046600
1391203.708336	11.640780	2.031388e-03	0.046600
1391253.711019	11.819332	2.031588e-03	0.046600
1391303.713702	12.626135	2.016032e-03	0.046600
1391353.716385	11.843129	2.014003e-03	0.046600
1391403.719068	11.121259	2.050483e-03	0.046600
