location	LR	alpha
2476352.000000	0.001252	2.811243e+08
2476402.008589	0.060777	1.884863e+08
2476452.017178	0.071285	4.747872e+04
2476502.025767	0.784833	1.431635e+04
2476552.034357	0.858531	6.058081e+03
2476602.042946	0.445793	6.009016e+03
2476652.051535	0.254218	8.946807e+07
2476702.060124	0.221783	2.128112e+04
2476752.068713	0.363868	1.242035e+05
2476802.077302	0.384189	1.468775e+04
2476852.085892	0.000000	1.200000e+09
2476902.094481	0.000000	1.200000e+09
2476952.103070	0.423121	8.273448e+07
2477002.111659	0.491881	7.858655e+07
2477052.120248	1.081995	1.344567e+07
2477102.128837	0.045508	1.566342e+08
2477152.137426	0.805664	7.445867e+07
2477202.146016	0.102831	1.450295e+08
2477252.154605	0.461479	1.584819e+04
2477302.163194	0.006553	2.381666e+08
2477352.171783	0.031932	5.819787e+04
2477402.180372	0.143509	1.167722e+08
2477452.188961	0.153095	1.197805e+04
2477502.197551	0.177955	5.773135e+03
2477552.206140	0.171361	4.030716e+03
2477602.214729	0.051187	3.454244e+03
2477652.223318	0.047565	2.158156e+03
2477702.231907	0.005068	1.288747e+04
2477752.240496	0.010744	2.160560e+04
2477802.249085	0.012577	2.379135e+05
2477852.257675	0.033072	5.927956e+07
2477902.266264	0.069366	1.022249e+04
2477952.274853	0.561496	3.676902e+03
2478002.283442	0.148206	5.425081e+03
2478052.292031	0.000000	9.565576e+05
2478102.300620	0.006797	1.351133e+08
2478152.309209	0.090913	4.884619e+05
2478202.317799	0.332874	3.550637e+04
2478252.326388	0.429542	7.249208e+03
2478302.334977	0.673912	3.561011e+04
2478352.343566	0.001821	3.361163e+08
2478402.352155	0.100953	1.293632e+08
2478452.360744	5.978194	1.285504e+04
2478502.369334	3.518778	1.822787e+03
2478552.377923	3.076712	1.211843e+03
2478602.386512	0.157243	3.468039e+07
2478652.395101	5.685341	8.509440e+02
2478702.403690	5.515196	7.421467e+02
2478752.412279	5.427911	7.055241e+02
2478802.420868	5.336354	6.930996e+02
2478852.429458	5.203750	6.949929e+02
2478902.438047	5.010967	7.084494e+02
