location	LR	alpha
4431.000000	3.195198	1.501335e+07
4481.002590	3.790078	1.985914e+07
4531.005181	3.790078	1.985914e+07
4581.007771	3.790078	1.985914e+07
4631.010361	1.078758	1.853026e+07
4681.012951	1.499193	7.473986e+03
4731.015542	0.000664	2.274470e+05
4781.018132	0.000664	2.407468e+05
4831.020722	0.044553	6.704713e+05
4881.023312	0.044553	2.140401e+08
4931.025903	0.113973	3.670595e+07
4981.028493	0.113973	3.670595e+07
5031.031083	0.113973	3.670595e+07
5081.033674	0.000000	1.200000e+09
5131.036264	0.000000	2.895017e+06
5181.038854	0.000000	1.200000e+09
5231.041444	0.000000	1.200000e+09
5281.044035	0.000000	2.827021e+05
5331.046625	0.687059	4.360465e+07
5381.049215	0.843723	1.367074e+04
5431.051805	1.262140	8.913997e+03
5481.054396	1.503921	9.120110e+02
5531.056986	3.993055	7.892605e+02
5581.059576	5.734636	7.306962e+02
5631.062167	6.675842	7.009595e+02
5681.064757	6.759763	6.915528e+02
5731.067347	5.863835	7.022431e+02
5781.069937	3.747663	7.405206e+02
5831.072528	0.189064	3.431360e+03
5881.075118	0.000000	1.541076e+05
5931.077708	0.000000	3.520862e+05
5981.080298	0.000000	1.200000e+09
6031.082889	0.000000	1.200000e+09
6081.085479	0.682602	6.460931e+07
6131.088069	0.682602	6.460931e+07
6181.090659	1.745954	2.571470e+07
6231.093250	1.745954	2.571470e+07
6281.095840	8.894202	2.633566e+03
6331.098430	2.930288	1.389171e+07
6381.101021	2.930288	1.389171e+07
6431.103611	2.567389	2.513557e+07
6481.106201	2.567389	2.513557e+07
6531.108791	5.962802	8.801786e+06
6581.111382	5.962802	8.801786e+06
6631.113972	1.091804	2.173555e+07
6681.116562	1.091804	2.173555e+07
6731.119152	21.584047	7.304470e+02
6781.121743	7.082136	7.480444e+02
6831.124333	7.082136	7.480444e+02
6881.126923	2.450964	1.383301e+07
6931.129514	2.450964	1.383301e+07
6981.132104	1.638899	1.473234e+07
7031.134694	1.638899	1.473234e+07
7081.137284	0.015067	2.897602e+08
7131.139875	0.015067	2.897602e+08
7181.142465	0.015067	2.897602e+08
7231.145055	0.957409	4.773504e+07
7281.147645	0.957409	4.773504e+07
7331.150236	8.531402	4.511978e+06
7381.152826	8.531402	4.511978e+06
7431.155416	1.184820	1.460896e+07
7481.158007	1.184820	1.460896e+07
7531.160597	7.266293	1.177202e+03
7581.163187	0.319810	8.125220e+07
7631.165777	0.319810	8.125220e+07
7681.168368	3.034018	7.715549e+06
7731.170958	3.034018	7.715549e+06
7781.173548	1.445368	1.227738e+07
7831.176138	1.445368	1.227738e+07
7881.178729	0.771449	3.112754e+07
7931.181319	0.771449	3.112754e+07
7981.183909	2.467522	8.461307e+03
8031.186500	0.947801	6.643406e+07
8081.189090	0.947801	6.643406e+07
8131.191680	0.854503	4.190203e+07
8181.194270	0.854503	4.190203e+07
