location	LR	alpha	D
294753.000000	0.033794	3.196435e+02	0.037612
294803.004199	0.834697	3.994409e+00	0.018806
294853.008398	1.899730	1.735360e-03	0.037612
294903.012597	3.929601	1.737875e-03	0.037612
294953.016797	4.178255	1.889769e-03	0.037612
295003.020996	0.207369	1.690642e-01	0.037612
295053.025195	0.053409	9.824672e-02	0.037612
295103.029394	0.000000	1.002456e+00	0.018806
295153.033593	0.923129	2.035057e-01	0.037612
295203.037792	0.453661	2.354687e-01	0.018806
295253.041992	0.328717	2.014096e+00	0.037612
295303.046191	0.000000	5.009642e-01	0.018806
295353.050390	0.826855	2.962677e+00	0.018806
295403.054589	0.000000	6.646510e-01	0.018806
295453.058788	1.258142	1.900227e-01	0.037612
295503.062987	1.544462	6.469223e-03	0.037612
295553.067187	0.593627	8.975773e-03	0.037612
295603.071386	0.000000	1.292248e+01	0.018806
295653.075585	1.952672	8.093015e-01	0.037612
295703.079784	2.152334	1.043038e+00	0.037612
295753.083983	0.514679	7.093870e-01	0.037612
295803.088182	1.894848	8.351456e+00	0.037612
295853.092382	0.000000	4.127090e+00	0.018806
295903.096581	0.000000	1.968317e+00	0.018806
295953.100780	0.834697	2.034167e+00	0.018806
296003.104979	2.598544	3.624833e-01	0.018806
296053.109178	0.329148	6.147943e-01	0.037612
296103.113377	1.503946	4.165028e-02	0.018806
296153.117576	1.612080	8.896636e-02	0.037612
296203.121776	3.765347	3.565454e-01	0.037612
296253.125975	2.123360	2.302115e-01	0.018806
296303.130174	3.516081	1.346345e-01	0.018806
296353.134373	1.486277	2.989956e-01	0.018806
296403.138572	1.351030	2.560742e-01	0.037612
296453.142771	0.793637	1.261262e-01	0.037612
296503.146971	1.045076	3.889407e-01	0.037612
296553.151170	2.246981	3.497002e-02	0.018806
296603.155369	1.179537	1.376852e-01	0.018806
296653.159568	1.078808	8.748935e-02	0.018806
296703.163767	1.537790	7.093716e-02	0.018806
296753.167966	3.144300	1.354659e-02	0.037612
296803.172166	5.349400	2.024197e-02	0.037612
296853.176365	3.991977	1.877416e-02	0.037612
296903.180564	0.834697	3.772915e+00	0.018806
296953.184763	2.441564	8.770954e-02	0.037612
297003.188962	1.650287	1.743907e-01	0.037612
297053.193161	0.000000	5.471556e+00	0.018806
297103.197361	1.126930	3.043373e-01	0.037612
297153.201560	1.363482	5.859420e-02	0.037612
297203.205759	1.241474	7.752228e-02	0.037612
297253.209958	1.893591	1.917576e-02	0.018806
297303.214157	3.971017	2.215792e-01	0.037612
297353.218356	4.406332	1.433318e-02	0.037612
297403.222555	5.120555	5.410829e-02	0.037612
297453.226755	0.367325	9.394639e-01	0.018806
297503.230954	0.938614	7.536222e-02	0.037612
297553.235153	2.355731	1.466495e+00	0.037612
297603.239352	0.825794	1.298792e+00	0.037612
297653.243551	0.863864	2.025536e-01	0.037612
297703.247750	6.696042	7.273820e-03	0.037612
297753.251950	0.935334	7.535226e-02	0.037612
297803.256149	1.192377	2.584126e-02	0.037612
297853.260348	1.363982	3.589559e-01	0.037612
297903.264547	1.678295	1.989152e-01	0.037612
297953.268746	2.329721	1.707623e-02	0.037612
298003.272945	4.080753	1.820187e-02	0.037612
298053.277145	5.023344	4.274680e-02	0.037612
298103.281344	1.232122	5.107975e-01	0.037612
298153.285543	4.641944	6.187846e-03	0.037612
298203.289742	1.233019	3.465308e-02	0.037612
298253.293941	3.672514	3.595979e-02	0.037612
298303.298140	2.965847	4.172772e-01	0.037612
298353.302340	2.679608	6.240176e-02	0.037612
298403.306539	1.572591	4.748836e-02	0.037612
298453.310738	5.288846	1.001929e-02	0.037612
298503.314937	6.505045	9.667166e-03	0.037612
298553.319136	0.885098	1.013726e-01	0.037612
298603.323335	2.768627	2.228375e-01	0.037612
298653.327534	9.511049	8.624855e-03	0.018806
298703.331734	5.657983	1.847097e-02	0.018806
298753.335933	0.000000	7.211248e+00	0.018806
298803.340132	0.315874	5.483824e+00	0.037612
298853.344331	2.594455	1.313853e-02	0.018806
298903.348530	6.791904	2.668734e-02	0.018806
298953.352729	7.285302	3.002648e-02	0.018806
299003.356929	6.218498	3.163248e-02	0.018806
299053.361128	6.236885	5.513721e-02	0.018806
299103.365327	8.176162	5.114333e-02	0.018806
299153.369526	9.110475	2.220703e-02	0.018806
299203.373725	9.799437	3.747222e-03	0.018806
299253.377924	7.342636	3.017941e-02	0.018806
299303.382124	6.205265	2.564529e-02	0.018806
299353.386323	1.894848	1.906310e+00	0.037612
299403.390522	7.281481	3.981545e-02	0.018806
299453.394721	8.224963	3.414962e-02	0.037612
299503.398920	3.355959	3.414922e-02	0.037612
299553.403119	6.572220	2.658378e-02	0.018806
299603.407319	3.609883	2.521395e-01	0.037612
299653.411518	10.961793	1.580171e-02	0.018806
299703.415717	8.424977	1.482551e-02	0.018806
299753.419916	7.644598	1.052244e-02	0.018806
299803.424115	7.665954	1.253164e-02	0.018806
299853.428314	8.289065	1.261261e-02	0.018806
299903.432513	8.836392	1.244255e-02	0.018806
299953.436713	9.304844	1.181610e-02	0.018806
300003.440912	9.390281	1.068035e-02	0.018806
300053.445111	10.644800	9.642001e-03	0.018806
300103.449310	11.176067	9.987934e-03	0.018806
300153.453509	9.363434	9.880984e-03	0.018806
300203.457708	9.807841	1.089465e-02	0.037612
300253.461908	8.241166	8.365061e-03	0.018806
300303.466107	9.062249	8.365085e-03	0.018806
300353.470306	9.238444	8.267478e-03	0.018806
300403.474505	8.776775	8.194065e-03	0.018806
300453.478704	7.178010	7.734556e-03	0.018806
300503.482903	7.449748	7.179109e-03	0.018806
300553.487103	5.655652	8.267383e-03	0.018806
300603.491302	10.416636	6.758624e-03	0.018806
300653.495501	1.061854	2.161987e-01	0.018806
300703.499700	3.655979	1.283426e-01	0.018806
300753.503899	12.469321	6.613375e-03	0.018806
300803.508098	12.020573	6.411942e-03	0.018806
300853.512298	10.395565	6.851220e-03	0.018806
300903.516497	1.772502	5.183216e-02	0.037612
300953.520696	4.920870	3.483518e-02	0.018806
301003.524895	3.791842	3.534870e-02	0.018806
301053.529094	1.370802	1.256162e-01	0.037612
301103.533293	9.898207	5.406705e-03	0.018806
301153.537493	5.715900	5.779060e-03	0.018806
301203.541692	4.343480	3.023844e-03	0.018806
301253.545891	4.981294	1.819687e-02	0.018806
301303.550090	0.451516	2.959303e-01	0.037612
301353.554289	3.377448	5.140382e-02	0.037612
301403.558488	1.236389	7.886430e-02	0.037612
301453.562687	1.251928	7.679077e+00	0.018806
301503.566887	6.269107	1.090443e-02	0.018806
301553.571086	1.949150	2.084380e-01	0.037612
301603.575285	2.409092	7.916858e-02	0.018806
301653.579484	0.917768	3.486292e-01	0.037612
301703.583683	0.970670	2.998114e-01	0.018806
301753.587882	1.695863	2.501238e-01	0.037612
301803.592082	2.388459	3.536077e-03	0.018806
301853.596281	4.887485	3.568672e-03	0.018806
301903.600480	3.415829	3.646751e-03	0.018806
301953.604679	0.841639	1.750700e-01	0.037612
302003.608878	1.403270	3.708179e-02	0.037612
302053.613077	4.810733	2.253043e-02	0.037612
302103.617277	1.872609	5.920747e-02	0.037612
302153.621476	1.315628	2.445878e-02	0.037612
302203.625675	5.906935	3.868939e-03	0.018806
302253.629874	8.585001	3.825761e-03	0.018806
302303.634073	9.634416	3.765727e-03	0.037612
302353.638272	1.149738	2.481301e-01	0.037612
302403.642472	1.172735	1.955750e-01	0.037612
302453.646671	13.517165	4.186076e-03	0.037612
302503.650870	10.226507	3.527698e-03	0.037612
302553.655069	7.522969	5.047646e-03	0.037612
302603.659268	7.652691	5.473600e-03	0.037612
302653.663467	3.974218	5.473610e-03	0.037612
302703.667666	0.653811	6.360389e-02	0.037612
302753.671866	2.024692	2.700707e-02	0.037612
302803.676065	0.827834	8.774454e-01	0.037612
302853.680264	1.607391	1.280953e-01	0.037612
302903.684463	6.401444	6.167495e-03	0.037612
302953.688662	0.221898	1.440381e-01	0.018806
303003.692861	0.817682	8.763690e-01	0.018806
303053.697061	0.031272	4.729485e-01	0.037612
303103.701260	2.763459	5.792340e-03	0.037612
303153.705459	0.692824	3.961109e-01	0.037612
303203.709658	0.526320	2.094594e-01	0.037612
303253.713857	2.106183	1.390722e-01	0.037612
303303.718056	3.164684	8.178384e-03	0.037612
303353.722256	3.157133	1.792399e-01	0.037612
303403.726455	7.950397	7.857137e-03	0.037612
303453.730654	0.320419	7.977298e-03	0.037612
303503.734853	0.000000	7.861047e-01	0.018806
303553.739052	3.135705	9.556040e-01	0.037612
303603.743251	0.451542	9.041203e-03	0.037612
303653.747451	0.000000	1.116544e+00	0.018806
303703.751650	1.559674	1.992533e-02	0.037612
303753.755849	2.896078	2.725760e-02	0.037612
303803.760048	3.413572	1.270863e-02	0.037612
303853.764247	1.631993	1.523534e-01	0.018806
303903.768446	2.086518	1.493965e-02	0.018806
303953.772645	3.555533	1.344948e-02	0.018806
304003.776845	7.681886	2.352121e-03	0.018806
304053.781044	9.032184	2.309816e-03	0.018806
304103.785243	2.977061	1.330159e-01	0.018806
304153.789442	6.019988	6.944867e-02	0.018806
304203.793641	4.095398	1.315697e-01	0.037612
304253.797840	10.286993	2.026335e-02	0.018806
304303.802040	11.128357	2.438043e-02	0.018806
304353.806239	9.121644	2.391361e-02	0.018806
304403.810438	9.090473	2.713767e-02	0.018806
304453.814637	9.025270	2.514746e-02	0.018806
304503.818836	10.601812	1.794207e-02	0.018806
304553.823035	10.797688	1.941191e-02	0.018806
304603.827235	4.396147	8.323347e-02	0.018806
304653.831434	6.261952	1.433981e-02	0.018806
304703.835633	7.686956	5.109956e-02	0.018806
304753.839832	7.936623	1.973164e-02	0.018806
304803.844031	1.515293	8.084059e-01	0.037612
304853.848230	6.589751	2.899613e-02	0.018806
304903.852430	7.902708	2.552390e-02	0.018806
304953.856629	4.667146	4.745771e-02	0.018806
305003.860828	0.966013	3.149788e-01	0.037612
305053.865027	1.904514	9.715538e-03	0.018806
305103.869226	3.532000	1.807584e-02	0.018806
305153.873425	7.561664	1.023128e-02	0.018806
305203.877624	7.455420	9.208650e-03	0.018806
305253.881824	2.900642	4.841016e-02	0.037612
305303.886023	6.618651	9.869346e-03	0.018806
305353.890222	0.055461	1.479695e+00	0.018806
305403.894421	0.000000	2.922853e+00	0.018806
305453.898620	0.884133	3.521696e-01	0.037612
305503.902819	7.865094	6.960163e-03	0.018806
305553.907019	2.704167	1.106085e-02	0.037612
305603.911218	0.000000	2.934860e+00	0.018806
305653.915417	3.461274	7.173105e-03	0.018806
305703.919616	2.628948	1.560070e-01	0.037612
305753.923815	5.728217	6.670087e-03	0.018806
305803.928014	0.459054	8.628627e-02	0.037612
305853.932214	0.033794	4.715449e+01	0.037612
305903.936413	4.407465	5.833921e-03	0.018806
305953.940612	2.396831	4.978026e-02	0.037612
306003.944811	13.191753	4.571526e-03	0.018806
306053.949010	16.970372	5.027125e-03	0.018806
306103.953209	9.172380	5.170080e-03	0.037612
306153.957409	1.894040	4.131863e-01	0.037612
306203.961608	16.001697	5.381072e-03	0.037612
306253.965807	6.933365	9.299861e-02	0.037612
306303.970006	4.548696	5.910456e-02	0.037612
306353.974205	2.191088	3.074890e-01	0.037612
306403.978404	2.104365	2.353938e-01	0.037612
306453.982603	3.695204	1.188324e-01	0.037612
306503.986803	16.729263	4.649337e-03	0.037612
306553.991002	3.666591	4.413400e-03	0.037612
306603.995201	5.380812	1.599574e-03	0.018806
306653.999400	6.166366	1.783060e-02	0.037612
306704.003599	3.029469	1.461639e-02	0.037612
306754.007798	4.193837	1.556436e-02	0.037612
306804.011998	6.314595	1.866217e-02	0.037612
306854.016197	0.703985	4.803113e-01	0.037612
306904.020396	5.204537	1.162813e-02	0.018806
306954.024595	5.419652	4.276512e-03	0.018806
307004.028794	0.856705	4.782813e+01	0.037612
307054.032993	0.987377	1.703403e+00	0.037612
307104.037193	6.549103	3.842413e-03	0.018806
307154.041392	16.853783	3.710622e-03	0.018806
307204.045591	6.760359	3.561839e-03	0.018806
307254.049790	3.930653	1.121017e-01	0.018806
307304.053989	4.252568	4.461863e-02	0.018806
307354.058188	4.231317	5.001214e-02	0.018806
307404.062388	3.202110	5.428331e-02	0.018806
307454.066587	8.927425	3.299363e-03	0.018806
307504.070786	5.151250	3.323449e-02	0.018806
307554.074985	3.420683	7.012012e-02	0.037612
307604.079184	2.403111	2.349293e-01	0.037612
307654.083383	2.002690	2.367253e-02	0.037612
307704.087582	3.387692	2.714394e-02	0.037612
307754.091782	2.570987	3.872114e-02	0.037612
307804.095981	9.893265	1.351498e-02	0.037612
307854.100180	11.720322	1.288798e-02	0.018806
307904.104379	6.077443	1.664114e-02	0.018806
307954.108578	5.442450	1.123481e-02	0.018806
308004.112777	2.879859	1.236330e-01	0.037612
308054.116977	4.395097	3.137571e-02	0.018806
308104.121176	4.109074	2.109748e-01	0.037612
308154.125375	0.817682	1.745549e+00	0.018806
308204.129574	6.025180	6.517149e-02	0.037612
308254.133773	4.882362	3.459548e-02	0.018806
308304.137972	6.453607	2.295061e-02	0.018806
308354.142172	9.841107	1.002387e-02	0.018806
308404.146371	5.332583	9.826830e-03	0.018806
308454.150570	3.978361	7.179153e-02	0.037612
308504.154769	7.799958	8.816046e-03	0.018806
308554.158968	9.154538	8.523691e-03	0.018806
308604.163167	4.617278	6.984203e-03	0.018806
308654.167367	1.041902	3.171865e-01	0.037612
308704.171566	1.208609	1.003705e-01	0.037612
308754.175765	6.983826	7.251526e-03	0.018806
308804.179964	5.870095	1.530260e-02	0.018806
308854.184163	1.544383	1.109219e-01	0.037612
308904.188362	0.982289	1.731131e-02	0.037612
308954.192561	6.569613	1.431652e-02	0.018806
309004.196761	4.130140	1.609004e-02	0.018806
309054.200960	3.566026	1.461274e-02	0.018806
309104.205159	2.985785	1.547978e-02	0.018806
309154.209358	2.086600	1.196636e-01	0.037612
309204.213557	3.035502	2.855691e-02	0.018806
309254.217756	3.106068	3.683442e-02	0.018806
309304.221956	3.604619	8.744957e-02	0.037612
309354.226155	0.842382	1.803835e-01	0.037612
309404.230354	3.499513	5.654231e-02	0.018806
309454.234553	2.678016	4.057270e-02	0.018806
309504.238752	2.292198	5.445635e-01	0.037612
309554.242951	2.698085	1.041871e+00	0.037612
309604.247151	1.627509	8.436025e-02	0.018806
309654.251350	1.162566	8.347901e-02	0.018806
309704.255549	1.251949	1.653906e+00	0.018806
309754.259748	0.908419	1.864966e+00	0.037612
309804.263947	2.552652	1.118736e-01	0.037612
309854.268146	1.973707	2.613353e-02	0.037612
309904.272346	0.557089	3.687103e-01	0.037612
309954.276545	2.936774	1.569195e-02	0.037612
310004.280744	3.206530	1.828486e-02	0.037612
310054.284943	0.990983	1.880038e-02	0.037612
310104.289142	1.105678	1.085275e-02	0.037612
310154.293341	0.047101	2.170242e-01	0.018806
310204.297540	0.314041	6.532300e-02	0.018806
310254.301740	1.277868	7.726891e-02	0.018806
310304.305939	1.231000	1.433793e-01	0.018806
310354.310138	1.230405	3.561902e-01	0.018806
310404.314337	2.767845	1.660239e-01	0.037612
310454.318536	1.615120	4.345738e-01	0.037612
310504.322735	0.433357	7.599449e-01	0.037612
310554.326935	1.196517	2.903675e-01	0.018806
310604.331134	1.250626	1.313900e-01	0.018806
310654.335333	0.000000	2.236109e-01	0.018806
310704.339532	0.000000	3.278270e+00	0.018806
310754.343731	0.378784	1.057853e+00	0.037612
310804.347930	1.472858	4.118785e-02	0.037612
310854.352130	1.703660	5.368616e-01	0.037612
310904.356329	0.792021	5.482438e-01	0.037612
310954.360528	1.147756	2.431093e-01	0.037612
311004.364727	1.819978	1.207672e-01	0.018806
311054.368926	1.913016	8.428803e-02	0.037612
311104.373125	1.529136	6.167507e-01	0.037612
311154.377325	0.978149	1.542976e+00	0.037612
311204.381524	0.450111	5.703268e-01	0.037612
311254.385723	0.126218	3.840777e+00	0.037612
311304.389922	0.000000	8.633582e+00	0.018806
311354.394121	0.834697	5.884047e-01	0.018806
311404.398320	2.066737	5.396625e-01	0.037612
311454.402519	0.000000	2.830021e-01	0.018806
311504.406719	0.000000	1.298607e-01	0.018806
311554.410918	0.000000	2.817624e-01	0.018806
311604.415117	0.287788	4.690270e-01	0.018806
311654.419316	0.000000	4.960081e+00	0.018806
311704.423515	0.000000	2.833428e+01	0.018806
311754.427714	1.163795	1.825849e+00	0.037612
311804.431914	0.000000	4.934387e+00	0.018806
311854.436113	0.866665	5.092537e-01	0.037612
311904.440312	1.667868	9.080673e-01	0.037612
311954.444511	1.237567	1.038467e+00	0.018806
312004.448710	1.836633	7.769571e-02	0.018806
312054.452909	2.592424	9.095527e-02	0.037612
312104.457109	0.252874	4.340639e-02	0.018806
312154.461308	1.230897	3.941388e-02	0.037612
312204.465507	0.761332	4.678991e-02	0.037612
312254.469706	0.859786	1.486381e-01	0.037612
312304.473905	1.087254	2.724338e-02	0.037612
312354.478104	9.995011	8.857054e-04	0.018806
312404.482304	11.126083	8.887252e-04	0.018806
312454.486503	11.254477	8.841395e-04	0.018806
312504.490702	10.212108	8.845975e-04	0.018806
312554.494901	8.063918	8.805718e-04	0.018806
312604.499100	6.487354	8.669578e-04	0.018806
312654.503299	5.580271	8.701012e-04	0.018806
312704.507499	0.052201	2.600175e-02	0.037612
312754.511698	0.052193	2.345988e-02	0.037612
312804.515897	0.052187	2.137072e-02	0.037612
312854.520096	0.052182	1.962324e-02	0.037612
312904.524295	0.460959	1.864872e-02	0.037612
312954.528494	0.817682	2.022001e-02	0.018806
313004.532693	0.860354	1.718047e-02	0.018806
313054.536893	0.817682	2.431792e-02	0.018806
313104.541092	0.817682	2.706000e-02	0.018806
313154.545291	0.817682	3.049905e-02	0.018806
313204.549490	0.817682	3.493953e-02	0.018806
313254.553689	0.817682	4.089333e-02	0.018806
313304.557888	0.817682	4.929302e-02	0.018806
313354.562088	0.817682	6.203540e-02	0.018806
313404.566287	0.817682	8.366232e-02	0.018806
313454.570486	0.817682	1.284390e-01	0.018806
313504.574685	0.817682	2.763364e-01	0.018806
313554.578884	0.498432	7.671599e-02	0.018806
313604.583083	2.081603	6.232849e-01	0.037612
313654.587283	0.564567	3.469483e-01	0.037612
313704.591482	1.033381	4.470798e-02	0.018806
313754.595681	0.598389	1.284737e-01	0.037612
313804.599880	1.846734	4.014265e-01	0.037612
313854.604079	0.000000	1.817059e+00	0.018806
313904.608278	0.000000	3.570549e-01	0.018806
313954.612478	2.278269	8.737520e-03	0.018806
314004.616677	0.081112	2.532537e-01	0.037612
314054.620876	0.126218	6.223032e+00	0.037612
314104.625075	0.294607	8.807290e-01	0.018806
314154.629274	0.019696	1.176609e+00	0.037612
314204.633473	0.834697	1.894318e+01	0.018806
314254.637672	0.000000	1.881844e+01	0.018806
314304.641872	0.000000	1.056512e+00	0.018806
314354.646071	0.989344	7.423629e-02	0.037612
314404.650270	1.043024	2.589011e-01	0.018806
314454.654469	0.373422	3.238290e+00	0.037612
314504.658668	0.773501	6.431326e-01	0.037612
314554.662867	0.291798	6.981418e-02	0.037612
314604.667067	0.314812	9.371855e-02	0.037612
314654.671266	1.285226	3.119547e-02	0.037612
314704.675465	2.449762	2.760681e-02	0.018806
314754.679664	3.404572	3.146960e-02	0.018806
314804.683863	4.217084	3.621917e-02	0.037612
314854.688062	2.412421	4.265726e-02	0.018806
314904.692262	2.397902	5.187894e-02	0.018806
