location	LR	alpha
2476280.000000	1.530156	6.310938e+06
2476330.004134	1.467906	5.103681e+03
2476380.008268	0.493330	1.935533e+07
2476430.012403	0.002074	1.927149e+08
2476480.016537	0.000000	1.337039e+05
2476530.020671	0.065996	2.923236e+04
2476580.024805	0.110784	3.479540e+07
2476630.028939	1.629583	4.152908e+03
2476680.033074	1.723077	1.019492e+04
2476730.037208	0.094891	3.584093e+05
2476780.041342	1.206704	1.316409e+04
2476830.045476	0.017464	2.327962e+08
2476880.049610	0.004102	2.235364e+05
2476930.053745	1.250260	2.302143e+07
2476980.057879	4.254428	6.003111e+03
2477030.062013	1.089672	5.823727e+07
2477080.066147	0.015567	2.357343e+08
2477130.070281	0.392707	1.044562e+08
2477180.074416	0.189032	9.219483e+07
2477230.078550	0.978348	9.551719e+03
2477280.082684	0.951597	1.404440e+04
2477330.086818	0.068595	1.594595e+08
2477380.090952	0.003884	7.446254e+04
2477430.095087	0.005289	1.075353e+05
2477480.099221	0.005238	2.623766e+04
2477530.103355	0.000000	6.452148e+04
2477580.107489	0.129133	1.399987e+03
2477630.111623	0.000000	7.327975e+06
2477680.115758	0.973488	4.045767e+04
2477730.119892	1.731902	2.035447e+03
2477780.124026	1.811321	3.359763e+03
2477830.128160	0.000000	3.200730e+05
2477880.132294	0.000000	5.087820e+05
2477930.136429	0.085592	2.688254e+04
2477980.140563	0.100129	5.567938e+04
2478030.144697	0.063404	2.322008e+04
2478080.148831	1.409466	6.257234e+03
2478130.152965	2.749074	4.068327e+06
2478180.157100	0.236446	2.327890e+05
2478230.161234	1.688227	2.225948e+07
2478280.165368	3.666682	2.949084e+03
2478330.169502	3.052909	4.289884e+03
2478380.173637	1.801278	4.014184e+07
2478430.177771	0.000088	4.066006e+06
2478480.181905	0.215066	1.598231e+04
2478530.186039	0.233755	2.902444e+04
2478580.190173	0.304197	2.649155e+04
2478630.194308	0.891523	9.812962e+03
2478680.198442	1.536578	6.642807e+03
2478730.202576	2.229963	1.227931e+03
2478780.206710	1.869200	9.922341e+02
2478830.210844	1.013676	9.162614e+02
2478880.214979	0.405040	2.559140e+03
2478930.219113	0.276785	2.578168e+03
2478980.223247	0.146309	2.792255e+03
