location	LR	alpha	D
5223862.000000	0.183643	2.999999e+00	0.037484
5223912.003409	1.714776	1.438855e-02	0.037484
5223962.006818	1.221029	1.560482e-02	0.018742
5224012.010227	0.461115	1.634901e-02	0.018742
5224062.013635	0.948112	2.797291e-02	0.037484
5224112.017044	1.329310	1.938663e-02	0.018742
5224162.020453	1.232521	2.109038e-02	0.037484
5224212.023862	0.568367	2.247292e-02	0.037484
5224262.027271	1.074816	6.819236e-02	0.018742
5224312.030680	1.608270	6.705058e-02	0.018742
5224362.034089	1.596327	9.304783e-02	0.018742
5224412.037497	1.325706	1.519708e-01	0.018742
5224462.040906	1.774268	4.225961e-02	0.018742
5224512.044315	2.669934	2.955989e-02	0.018742
5224562.047724	5.184911	4.799876e-02	0.037484
5224612.051133	5.480542	6.894525e-02	0.037484
5224662.054542	1.985049	2.855979e-02	0.037484
5224712.057951	1.966528	4.434925e-01	0.037484
5224762.061360	2.267742	3.523053e-01	0.037484
5224812.064768	1.323838	1.237940e-01	0.018742
5224862.068177	0.418320	2.556900e-01	0.018742
5224912.071586	1.089218	3.906776e+00	0.018742
5224962.074995	0.519288	1.305412e-01	0.037484
5225012.078404	3.626334	8.994580e+00	0.037484
5225062.081813	2.512218	1.331306e-02	0.037484
5225112.085222	3.496603	8.277833e+00	0.037484
5225162.088630	3.662300	1.972069e-02	0.037484
5225212.092039	0.000000	3.880934e+00	0.018742
5225262.095448	2.605757	2.603295e-01	0.037484
5225312.098857	0.397385	1.415499e+00	0.037484
5225362.102266	2.149387	6.626092e-02	0.018742
5225412.105675	4.239799	1.614844e-02	0.037484
5225462.109084	1.390745	2.052051e-01	0.037484
5225512.112492	2.532242	7.054156e-02	0.037484
5225562.115901	2.557505	3.354779e-01	0.037484
5225612.119310	3.764769	1.963373e-01	0.037484
5225662.122719	3.960424	1.120211e-01	0.037484
5225712.126128	7.211125	2.999054e-02	0.037484
5225762.129537	2.414761	2.197281e-02	0.037484
5225812.132946	3.619401	1.579224e-02	0.037484
5225862.136355	2.876367	6.491588e-02	0.037484
5225912.139763	1.133436	2.104746e-02	0.037484
5225962.143172	5.021260	9.222660e-03	0.037484
5226012.146581	8.755286	7.581248e-03	0.037484
5226062.149990	5.755768	7.067764e-03	0.037484
5226112.153399	2.342221	7.034630e-03	0.037484
