location	LR	alpha	D
5223817.000000	3.447424	1.024480e-01	0.019859
5223867.004812	1.570612	6.857334e-02	0.019859
5223917.009624	0.979165	6.312590e-01	0.019859
5223967.014436	0.254589	1.738766e-01	0.039718
5224017.019248	0.248419	4.438105e-02	0.039718
5224067.024060	0.000000	4.987500e+02	0.019859
5224117.028872	3.261349	3.183268e-02	0.039718
5224167.033684	0.000000	5.446208e-01	0.019859
5224217.038496	0.000000	1.665776e-01	0.019859
5224267.043308	0.000000	1.176970e-01	0.019859
5224317.048120	0.128655	1.464274e-01	0.019859
5224367.052932	0.117358	1.205420e+00	0.039718
5224417.057744	2.208051	6.859408e-02	0.039718
5224467.062556	0.750659	9.604810e-02	0.039718
5224517.067368	0.159540	1.601439e-01	0.039718
5224567.072180	0.726311	5.216508e-01	0.039718
5224617.076992	0.187457	1.380532e-01	0.039718
5224667.081805	0.139796	3.520939e-01	0.019859
5224717.086617	0.222314	3.369087e-01	0.039718
5224767.091429	0.380303	1.447445e-01	0.039718
5224817.096241	0.000000	5.971267e-01	0.019859
5224867.101053	0.690938	5.023046e-02	0.019859
5224917.105865	2.223375	7.504965e-02	0.039718
5224967.110677	1.693506	1.963651e-01	0.039718
5225017.115489	2.019845	1.901277e-01	0.019859
5225067.120301	1.233603	9.146130e-01	0.019859
5225117.125113	1.736470	9.151563e-02	0.039718
5225167.129925	0.783804	2.054197e+00	0.039718
5225217.134737	1.059497	8.211598e-02	0.039718
5225267.139549	0.785342	2.674963e-01	0.039718
5225317.144361	1.704147	2.463538e-01	0.039718
5225367.149173	2.788862	2.270541e-01	0.039718
5225417.153985	1.395378	1.414327e-01	0.019859
5225467.158797	0.967318	8.642971e-02	0.039718
5225517.163609	0.195903	5.951316e-01	0.039718
5225567.168421	0.130248	2.057762e+00	0.019859
5225617.173233	0.314714	4.259362e-01	0.039718
5225667.178045	0.000000	6.739866e+01	0.019859
5225717.182857	1.869522	2.961626e-02	0.039718
5225767.187669	3.204403	1.536122e-02	0.039718
5225817.192481	0.000000	6.234376e+01	0.019859
5225867.197293	2.408142	3.625094e-01	0.039718
5225917.202105	3.034113	7.114072e-03	0.039718
5225967.206917	0.969453	3.408421e-01	0.019859
5226017.211729	1.754841	6.487230e-03	0.039718
5226067.216541	1.405498	5.037433e-02	0.019859
5226117.221353	0.969453	6.478734e-02	0.019859
5226167.226165	0.000000	8.120518e-02	0.019859
5226217.230977	0.000000	1.227383e-01	0.019859
5226267.235789	0.000000	2.512342e-01	0.019859
5226317.240602	0.416435	1.245756e+00	0.039718
5226367.245414	0.000000	3.196092e+00	0.019859
5226417.250226	0.000000	3.966913e-01	0.019859
5226467.255038	0.000000	2.152661e-01	0.019859
5226517.259850	2.187525	1.681284e-02	0.039718
5226567.264662	2.608479	7.620544e-02	0.039718
5226617.269474	0.000000	6.227469e-01	0.019859
5226667.274286	0.000000	1.732245e-01	0.019859
5226717.279098	0.000000	1.006044e-01	0.019859
5226767.283910	0.000000	7.088683e-02	0.019859
5226817.288722	1.448559	5.511885e-02	0.019859
5226867.293534	1.448535	7.155358e-02	0.019859
5226917.298346	1.448480	1.019527e-01	0.019859
5226967.303158	1.448237	1.772608e-01	0.019859
5227017.307970	1.740311	5.615560e-02	0.019859
5227067.312782	0.663250	2.836022e-01	0.039718
5227117.317594	1.724702	1.084183e-01	0.039718
5227167.322406	1.698138	2.845776e-02	0.019859
5227217.327218	2.752222	3.228646e-02	0.019859
5227267.332030	1.433810	3.564344e-02	0.019859
5227317.336842	1.683531	4.250241e-02	0.019859
5227367.341654	1.821421	5.372936e-02	0.039718
5227417.346466	3.739988	1.917995e-02	0.039718
5227467.351278	5.299087	2.084605e-02	0.039718
5227517.356090	4.899749	2.327187e-02	0.039718
5227567.360902	1.153875	5.545516e-01	0.019859
5227617.365714	0.000000	8.786612e+00	0.019859
5227667.370526	5.946211	9.044768e-02	0.039718
5227717.375338	4.035097	1.923837e-01	0.039718
5227767.380150	0.683014	2.644328e-01	0.039718
5227817.384962	1.407088	3.629600e-02	0.039718
5227867.389774	1.912599	2.602910e+00	0.039718
5227917.394586	0.000000	4.919126e-01	0.019859
5227967.399398	0.098651	6.369299e+00	0.039718
5228017.404211	0.336865	4.688272e-01	0.039718
5228067.409023	0.295666	8.554822e-03	0.039718
5228117.413835	0.000000	1.870956e+00	0.019859
5228167.418647	2.099487	1.621643e+00	0.039718
5228217.423459	0.156891	4.740448e-01	0.039718
5228267.428271	0.000000	4.666123e+00	0.019859
5228317.433083	0.000000	2.155592e+00	0.019859
5228367.437895	0.098651	3.876634e-01	0.039718
5228417.442707	1.255600	4.828112e-03	0.039718
5228467.447519	0.000000	8.854471e-01	0.019859
5228517.452331	3.992381	1.048002e-01	0.039718
5228567.457143	2.535298	3.192313e-01	0.039718
5228617.461955	6.402071	8.227414e-03	0.039718
5228667.466767	0.717820	7.758573e-01	0.039718
5228717.471579	0.192587	3.411873e+00	0.039718
5228767.476391	2.620511	9.431624e-01	0.039718
5228817.481203	0.000000	2.493750e+01	0.019859
5228867.486015	0.864518	3.115752e-01	0.039718
5228917.490827	0.098651	5.182861e+00	0.039718
5228967.495639	0.529763	3.212889e-02	0.039718
5229017.500451	0.511776	5.183576e-02	0.039718
5229067.505263	0.546060	1.420030e-01	0.039718
5229117.510075	2.802248	1.521530e-01	0.039718
5229167.514887	1.175367	6.798296e-02	0.039718
5229217.519699	0.987745	7.751786e-01	0.019859
5229267.524511	1.474135	2.425443e-01	0.019859
5229317.529323	3.191667	5.441454e-02	0.019859
5229367.534135	1.832843	8.919667e-02	0.019859
5229417.538947	1.905359	6.502692e-02	0.019859
5229467.543759	0.987745	3.482677e-01	0.019859
5229517.548571	0.987745	7.717750e-01	0.019859
5229567.553383	0.913460	2.021722e-02	0.039718
5229617.558195	1.299135	3.992570e-02	0.039718
5229667.563008	3.263093	2.434584e-02	0.039718
5229717.567820	3.641258	2.424224e-02	0.039718
5229767.572632	2.302752	1.789516e-02	0.039718
5229817.577444	1.420571	2.052765e-02	0.019859
5229867.582256	0.886486	2.179510e-02	0.019859
5229917.587068	1.177339	5.075863e-02	0.019859
5229967.591880	1.147308	6.437488e-02	0.019859
5230017.596692	1.163138	1.261268e-01	0.039718
5230067.601504	4.681340	1.295055e-02	0.019859
5230117.606316	2.179829	6.815734e-01	0.039718
5230167.611128	2.217898	7.481818e-02	0.019859
5230217.615940	2.862911	6.951851e-02	0.039718
