location	LR	alpha	D
5223902.000000	0.167100	2.445194e+02	0.037799
5223952.004611	0.000000	3.429024e-01	0.018899
5224002.009221	0.000000	7.995088e-01	0.018899
5224052.013832	0.190794	3.530848e-01	0.037799
5224102.018442	0.000000	1.178270e+01	0.018899
5224152.023053	1.160274	9.214429e-01	0.018899
5224202.027664	0.183605	8.459404e+01	0.037799
5224252.032274	1.131367	7.017405e-01	0.037799
5224302.036885	0.602214	5.285487e-02	0.037799
5224352.041495	2.066394	4.792047e-01	0.037799
5224402.046106	5.315656	7.636146e-02	0.037799
5224452.050717	0.000000	1.490551e+00	0.018899
5224502.055327	1.185135	1.501982e-02	0.037799
5224552.059938	0.478497	9.203264e-01	0.037799
5224602.064548	0.353176	1.730241e+00	0.037799
5224652.069159	0.807351	4.305248e-01	0.037799
5224702.073770	0.591493	1.598428e-01	0.037799
5224752.078380	0.935491	5.199671e-01	0.018899
5224802.082991	1.655330	1.165988e-01	0.018899
5224852.087601	1.806693	5.152152e-02	0.018899
5224902.092212	2.124396	6.860757e-02	0.018899
5224952.096823	3.714275	3.591773e-02	0.018899
5225002.101433	1.776675	5.744414e-02	0.018899
5225052.106044	2.792341	1.869593e+00	0.037799
5225102.110655	1.928691	1.102036e-01	0.018899
5225152.115265	2.560201	4.435349e-01	0.037799
5225202.119876	1.524154	3.623202e-01	0.018899
5225252.124486	2.724613	3.772109e-01	0.037799
5225302.129097	2.881661	6.714826e-01	0.037799
5225352.133708	1.902542	6.353702e-02	0.037799
5225402.138318	2.425941	2.448156e-01	0.037799
5225452.142929	9.647315	1.438603e-02	0.037799
5225502.147539	7.428483	2.453248e-02	0.037799
5225552.152150	2.234309	4.309131e-01	0.037799
5225602.156761	10.187110	2.671673e-02	0.037799
5225652.161371	0.986109	5.951977e-01	0.037799
5225702.165982	1.255746	2.096332e+00	0.037799
5225752.170592	5.376563	9.173117e-03	0.018899
5225802.175203	1.106472	1.554240e-01	0.037799
5225852.179814	1.428310	9.658493e-02	0.037799
5225902.184424	0.563338	4.954901e-02	0.018899
5225952.189035	0.651169	4.106930e-02	0.018899
5226002.193645	0.431851	4.914131e-02	0.018899
5226052.198256	0.729112	4.078881e-02	0.018899
5226102.202867	0.057726	3.486315e-02	0.018899
5226152.207477	0.000000	6.390031e-02	0.018899
5226202.212088	0.000000	8.709039e-02	0.018899
5226252.216698	0.750333	9.802185e-03	0.018899
5226302.221309	3.114105	1.868514e-02	0.037799
5226352.225920	1.662552	1.268514e-01	0.037799
5226402.230530	2.038989	1.595256e-02	0.037799
5226452.235141	2.265879	1.511783e-02	0.018899
5226502.239751	1.201202	2.160476e-02	0.018899
5226552.244362	2.604913	4.781392e-02	0.037799
5226602.248973	1.151809	2.248239e-02	0.037799
5226652.253583	1.786698	2.786568e-02	0.018899
5226702.258194	1.046441	1.570437e-02	0.018899
5226752.262804	0.384961	6.602940e-02	0.018899
5226802.267415	1.255540	5.874653e-02	0.037799
5226852.272026	1.542662	6.442190e-02	0.018899
5226902.276636	1.365006	3.782700e-01	0.018899
5226952.281247	1.364016	4.746600e-01	0.018899
5227002.285857	1.365813	1.593925e-01	0.018899
5227052.290468	0.642228	6.194844e-02	0.037799
5227102.295079	0.515972	6.845599e-02	0.037799
5227152.299689	0.165577	3.584092e-02	0.018899
5227202.304300	0.256239	4.358812e-02	0.018899
5227252.308910	1.038551	3.383226e-02	0.037799
5227302.313521	0.795701	2.799719e-01	0.037799
5227352.318132	0.000000	2.169271e-01	0.018899
5227402.322742	0.000000	1.139355e-01	0.018899
5227452.327353	0.000000	8.591519e-02	0.018899
