location	LR	alpha	D
560765.000000	371.901742	1.181842e-05	0.017683
560815.000948	324.402203	1.182267e-05	0.017683
560865.001897	321.851746	1.181958e-05	0.017683
560915.002845	305.358979	1.182384e-05	0.017683
560965.003793	280.070214	1.182442e-05	0.017683
561015.004741	242.082945	1.182500e-05	0.017683
561065.005690	217.798609	1.179489e-05	0.017683
561115.006638	133.593027	1.182617e-05	0.017683
561165.007586	158.080450	1.182675e-05	0.017683
561215.008535	145.645883	1.182366e-05	0.017683
561265.009483	4.643565	1.617271e-02	0.017683
561315.010431	85.888166	1.182482e-05	0.017683
561365.011379	10.218799	1.593628e-03	0.017683
561415.012328	8.228575	1.892449e-03	0.017683
561465.013276	6.192568	1.132089e-02	0.017683
561515.014224	6.797918	1.361770e-02	0.017683
561565.015173	5.851084	1.499971e-02	0.017683
561615.016121	0.220865	6.276407e+00	0.035367
561665.017069	9.133006	1.333308e-02	0.017683
561715.018017	6.909178	4.109842e-02	0.017683
561765.018966	6.944387	2.424335e-02	0.017683
561815.019914	6.060159	1.524739e-02	0.017683
561865.020862	5.630869	1.005043e-02	0.017683
561915.021810	6.275976	1.158326e-02	0.017683
561965.022759	5.261059	1.280652e-02	0.017683
562015.023707	2.167249	3.078795e-01	0.035367
562065.024655	3.262955	8.908836e-02	0.035367
562115.025604	4.778747	4.138297e-02	0.017683
562165.026552	2.419250	6.382076e-02	0.017683
562215.027500	5.706720	1.421848e-02	0.017683
562265.028448	2.626380	4.166255e-02	0.017683
562315.029397	3.695714	2.424386e-02	0.017683
562365.030345	3.308422	2.320947e-02	0.017683
562415.031293	2.275344	2.484311e-02	0.017683
562465.032242	0.220865	3.138203e+00	0.035367
562515.033190	3.967857	2.206017e-02	0.017683
562565.034138	1.450257	2.637562e-02	0.017683
562615.035086	1.052160	1.303850e-01	0.017683
562665.036035	1.579775	4.897239e-02	0.035367
562715.036983	1.707856	5.852601e-02	0.035367
562765.037931	0.855028	4.450696e-01	0.035367
562815.038880	0.706221	2.381482e+00	0.017683
562865.039828	0.866030	1.642939e-01	0.017683
562915.040776	0.648388	8.335694e-02	0.035367
562965.041724	0.342156	2.183475e-01	0.035367
563015.042673	0.706221	1.253490e+01	0.017683
563065.043621	1.042370	5.242035e-01	0.035367
563115.044569	3.337968	6.772177e-03	0.035367
563165.045518	0.414468	1.847448e-01	0.035367
563215.046466	0.706221	2.965550e+00	0.017683
563265.047414	0.598072	2.473984e-02	0.035367
563315.048362	2.241623	1.511427e-02	0.035367
563365.049311	2.377623	2.239461e-01	0.035367
563415.050259	3.768464	7.294610e-03	0.035367
563465.051207	0.130282	3.012462e+00	0.035367
563515.052156	0.822505	1.000435e-01	0.035367
563565.053104	9.996554	5.260728e-03	0.035367
563615.054052	0.375436	6.016260e-01	0.035367
563665.055000	1.523171	4.443540e-02	0.017683
563715.055949	2.537048	2.261763e-01	0.035367
563765.056897	3.850083	4.384270e-03	0.035367
563815.057845	9.026963	4.569788e-03	0.035367
563865.058793	2.120241	9.298088e-02	0.035367
563915.059742	11.153830	3.953949e-03	0.035367
563965.060690	1.565421	7.078491e-02	0.035367
564015.061638	8.254316	3.255616e-03	0.035367
564065.062587	14.587129	3.261813e-03	0.035367
564115.063535	16.668464	3.306754e-03	0.035367
564165.064483	14.100985	3.352952e-03	0.035367
564215.065431	5.382984	3.387023e-03	0.035367
564265.066380	12.162011	2.591829e-03	0.017683
564315.067328	7.869106	2.620125e-03	0.017683
564365.068276	0.796429	2.500356e-02	0.035367
564415.069225	1.874094	9.920141e-02	0.035367
564465.070173	0.478241	1.334374e-01	0.035367
564515.071121	2.588703	2.440052e-03	0.017683
564565.072069	1.060252	1.211240e-01	0.035367
564615.073018	2.623183	2.463091e-03	0.017683
564665.073966	8.426709	2.105290e-03	0.017683
564715.074914	10.616144	2.114393e-03	0.017683
564765.075863	10.210954	2.142886e-03	0.017683
564815.076811	6.740939	2.523170e-03	0.017683
564865.077759	3.171281	1.220656e-02	0.035367
564915.078707	2.018187	7.503693e-02	0.035367
564965.079656	3.657884	1.757159e-02	0.035367
565015.080604	2.031890	2.002691e-01	0.035367
565065.081552	3.279410	2.352566e-02	0.017683
565115.082501	0.937269	8.638218e-02	0.035367
565165.083449	2.124839	8.386714e-02	0.035367
565215.084397	3.618259	6.996741e-03	0.017683
565265.085345	2.507778	1.623494e-01	0.017683
565315.086294	2.913155	1.289126e-01	0.017683
565365.087242	2.455841	3.006557e-01	0.035367
565415.088190	2.061079	1.082232e+00	0.035367
565465.089139	2.864214	6.518581e-02	0.017683
565515.090087	4.244709	3.784414e-02	0.017683
565565.091035	4.797509	3.760681e-02	0.017683
565615.091983	2.375220	7.543364e-01	0.035367
565665.092932	4.365141	4.547056e-02	0.035367
565715.093880	2.720331	9.237438e-02	0.035367
565765.094828	2.954196	2.185586e-01	0.035367
565815.095776	6.887544	1.944593e-02	0.017683
565865.096725	4.255536	1.935786e-02	0.017683
565915.097673	7.390307	1.793460e-02	0.017683
565965.098621	4.359157	7.083701e-02	0.035367
566015.099570	3.580740	3.739478e-02	0.035367
566065.100518	5.250491	3.341683e-02	0.017683
566115.101466	10.043480	1.371588e-02	0.017683
566165.102414	2.306090	3.313979e-02	0.017683
566215.103363	3.328813	5.457110e-02	0.017683
566265.104311	2.505096	8.396564e-01	0.035367
566315.105259	4.273359	8.638656e-03	0.017683
566365.106208	4.006864	2.134827e-02	0.017683
566415.107156	4.392408	5.147848e-02	0.017683
566465.108104	8.570254	9.653223e-03	0.017683
566515.109052	3.459743	6.413372e-02	0.035367
566565.110001	4.876023	3.207611e-02	0.017683
566615.110949	6.724492	8.613813e-03	0.017683
566665.111897	9.051165	8.315362e-03	0.017683
566715.112846	3.784057	6.379150e-02	0.017683
566765.113794	3.225110	8.896386e-02	0.035367
566815.114742	8.424276	1.168583e-02	0.017683
566865.115690	9.605011	7.303197e-03	0.017683
566915.116639	6.196387	7.189430e-03	0.017683
566965.117587	1.747880	2.715504e-01	0.035367
567015.118535	1.652640	6.056980e-02	0.017683
567065.119484	7.469462	6.427013e-03	0.017683
567115.120432	1.796248	4.014995e-02	0.035367
567165.121380	3.608347	3.447073e-02	0.035367
567215.122328	8.130450	5.093645e-03	0.017683
567265.123277	2.701772	2.677834e-02	0.017683
567315.124225	10.142016	5.668068e-03	0.017683
567365.125173	2.559165	9.439515e-02	0.017683
567415.126122	13.359039	4.092773e-03	0.017683
567465.127070	11.407448	4.056620e-03	0.017683
567515.128018	3.854490	6.317114e-02	0.017683
567565.128966	5.420561	7.956878e-03	0.017683
567615.129915	3.840728	5.103561e-02	0.017683
567665.130863	4.800716	8.140388e-03	0.017683
567715.131811	11.564761	4.860008e-03	0.017683
567765.132760	1.334190	6.216705e-01	0.035367
567815.133708	6.717818	6.825417e-03	0.017683
567865.134656	3.235244	1.144891e-02	0.017683
567915.135604	6.726328	1.092761e-02	0.017683
567965.136553	0.433887	1.610340e-01	0.017683
568015.137501	8.015076	1.832445e-02	0.035367
568065.138449	5.154549	1.840099e-02	0.035367
568115.139397	1.570340	1.768331e-01	0.035367
568165.140346	1.587180	1.414099e-01	0.017683
568215.141294	1.871245	7.315178e-01	0.035367
568265.142242	1.052110	7.433911e-01	0.017683
568315.143191	3.971045	3.322781e-02	0.035367
568365.144139	1.032069	1.953080e+00	0.035367
568415.145087	4.024497	2.291934e-02	0.035367
568465.146035	3.795506	2.019706e-02	0.035367
568515.146984	5.466835	1.057132e-02	0.017683
568565.147932	0.624470	1.144470e-01	0.035367
568615.148880	9.064370	6.673529e-03	0.017683
568665.149829	5.545066	6.492979e-03	0.017683
568715.150777	3.275651	2.246557e-02	0.017683
568765.151725	2.183768	1.015643e-01	0.035367
568815.152673	1.929225	3.011494e-01	0.035367
568865.153622	11.245537	4.235563e-03	0.017683
568915.154570	10.616370	3.249254e-03	0.017683
568965.155518	9.581520	3.185428e-03	0.017683
569015.156467	9.446160	3.170279e-03	0.017683
569065.157415	9.582674	3.103308e-03	0.017683
569115.158363	9.716637	3.088678e-03	0.017683
569165.159311	10.005802	3.049432e-03	0.017683
569215.160260	3.278623	2.728267e-02	0.035367
569265.161208	1.140895	9.536009e-02	0.035367
569315.162156	2.049015	2.215570e-01	0.035367
569365.163105	3.798451	1.013374e-02	0.017683
569415.164053	1.345400	1.895243e-02	0.035367
569465.165001	2.380893	6.457342e-02	0.017683
569515.165949	4.856854	1.368743e-02	0.017683
569565.166898	12.296310	5.491571e-03	0.035367
569615.167846	2.587525	4.682908e-02	0.035367
569665.168794	3.078161	3.999530e-02	0.035367
569715.169743	0.520867	1.565430e-01	0.035367
569765.170691	0.989023	1.874892e+00	0.035367
569815.171639	3.928364	4.589211e-03	0.017683
569865.172587	6.503769	4.567648e-03	0.017683
569915.173536	5.647368	4.727811e-03	0.017683
569965.174484	2.506788	4.360797e-03	0.017683
570015.175432	1.501993	3.962690e-02	0.017683
570065.176380	2.156689	1.634485e-02	0.017683
570115.177329	4.803273	3.054814e-02	0.017683
570165.178277	2.570298	7.852286e-02	0.035367
570215.179225	2.185099	2.596396e-02	0.017683
570265.180174	1.795367	8.153271e-02	0.017683
570315.181122	3.720676	3.460020e-02	0.017683
570365.182070	3.658406	4.042883e-02	0.017683
570415.183018	3.436793	1.064804e-01	0.035367
570465.183967	0.690813	1.361156e+00	0.017683
570515.184915	1.295419	5.459134e-02	0.035367
570565.185863	1.924714	3.911164e-02	0.035367
570615.186812	4.600650	2.310231e-02	0.035367
570665.187760	1.329859	1.314421e-01	0.035367
