location	LR	alpha	D
1850710.000000	0.219130	1.049576e+01	0.039221
1850760.003898	1.206545	1.411830e-01	0.019610
1850810.007797	3.136383	3.925716e-01	0.039221
1850860.011695	1.854490	1.411959e-01	0.039221
1850910.015594	4.535423	2.992635e-02	0.039221
1850960.019492	0.501048	1.849417e+00	0.039221
1851010.023391	0.909537	1.739190e-02	0.019610
1851060.027289	1.502922	1.187798e-01	0.019610
1851110.031188	3.023809	1.477889e-02	0.019610
1851160.035086	3.940604	7.948864e-02	0.039221
1851210.038984	3.604750	7.235089e-02	0.039221
1851260.042883	1.757189	5.881116e-02	0.019610
1851310.046781	3.570749	3.077292e-02	0.019610
1851360.050680	2.333003	1.763391e-01	0.039221
1851410.054578	2.844362	7.689617e-02	0.039221
1851460.058477	1.133691	2.804122e-02	0.039221
1851510.062375	0.319958	4.686357e-02	0.019610
1851560.066273	0.478664	3.822463e-02	0.039221
1851610.070172	0.806245	1.303031e-02	0.019610
1851660.074070	1.416704	2.877187e-02	0.039221
1851710.077969	2.308330	4.182321e-02	0.039221
1851760.081867	1.845507	2.243652e-01	0.039221
1851810.085766	4.881954	1.664553e-02	0.039221
1851860.089664	0.854301	1.257494e+01	0.039221
1851910.093563	0.872195	1.691674e+00	0.019610
1851960.097461	1.463378	9.755483e-02	0.039221
1852010.101359	0.308916	5.824570e-01	0.039221
1852060.105258	0.000000	2.177651e-01	0.019610
1852110.109156	2.042390	8.564752e-02	0.039221
1852160.113055	1.988343	4.154126e-01	0.039221
1852210.116953	0.121668	2.064802e-01	0.039221
1852260.120852	0.893415	2.816104e-02	0.039221
1852310.124750	3.842680	5.432932e-02	0.039221
1852360.128649	2.460331	7.022829e-02	0.019610
1852410.132547	2.422024	2.004428e-01	0.039221
1852460.136445	0.797051	1.958206e+00	0.039221
1852510.140344	2.285525	7.266548e-02	0.019610
1852560.144242	2.520456	1.007182e-01	0.039221
1852610.148141	1.278722	6.056077e-02	0.019610
1852660.152039	0.862620	3.807686e-02	0.039221
1852710.155938	0.000000	3.089275e-01	0.019610
1852760.159836	0.097375	1.993005e+01	0.039221
1852810.163735	0.000000	4.161427e-01	0.019610
1852860.167633	0.710462	1.197992e-01	0.039221
1852910.171531	0.000000	1.994299e-01	0.019610
1852960.175430	0.000000	2.188800e-01	0.019610
1853010.179328	0.082852	6.390190e-01	0.039221
1853060.183227	0.000000	2.868599e+00	0.019610
1853110.187125	0.800141	9.537979e-02	0.039221
1853160.191024	0.121054	4.183970e-02	0.039221
1853210.194922	0.748189	5.490978e-01	0.039221
1853260.198820	0.000000	2.308217e+00	0.019610
1853310.202719	2.034172	3.523459e+00	0.039221
1853360.206617	0.000000	6.974064e-01	0.019610
1853410.210516	0.000000	3.261802e-01	0.019610
1853460.214414	1.242174	6.733463e-02	0.039221
1853510.218313	0.055328	9.915561e-02	0.039221
1853560.222211	0.000000	1.684868e-01	0.019610
1853610.226110	0.000000	1.001888e-01	0.019610
1853660.230008	0.000000	1.719937e-01	0.019610
1853710.233906	0.000000	6.071005e-01	0.019610
1853760.237805	0.000000	1.545955e+00	0.019610
1853810.241703	1.607469	2.271688e-02	0.039221
1853860.245602	0.000000	5.051698e-01	0.019610
1853910.249500	0.785240	1.256497e-01	0.039221
1853960.253399	0.771248	2.586966e-02	0.039221
1854010.257297	0.000000	5.519094e-01	0.019610
1854060.261196	1.316982	6.079394e-01	0.019610
1854110.265094	0.525015	2.286565e-02	0.039221
1854160.268992	0.821225	4.489861e-02	0.039221
1854210.272891	3.193363	6.731254e-02	0.039221
1854260.276789	6.423928	3.096995e-03	0.039221
1854310.280688	5.625263	2.805233e-03	0.039221
1854360.284586	1.558694	2.529209e-03	0.039221
1854410.288485	0.888303	6.768627e-02	0.019610
1854460.292383	0.888303	5.279543e-02	0.019610
1854510.296281	0.000000	5.006180e-02	0.019610
1854560.300180	0.000000	6.325784e-02	0.019610
1854610.304078	0.000000	8.590087e-02	0.019610
1854660.307977	0.000000	1.337912e-01	0.019610
