location	LR	alpha
2460318.000000	0.931843	3.344870e+01
2460368.002101	0.228046	3.427005e-01
2460418.004202	0.212320	2.017355e-02
2460468.006303	1.323777	7.337077e-03
2460518.008403	0.249413	1.390691e-02
2460568.010504	0.301302	9.170586e+01
2460618.012605	2.146140	2.789895e-02
2460668.014706	0.575176	5.300406e-01
2460718.016807	0.000000	7.140002e+02
2460768.018908	0.054413	3.026137e-01
2460818.021008	0.423883	1.214137e-01
2460868.023109	0.013492	7.673076e-02
2460918.025210	0.000656	1.534425e-01
2460968.027311	0.000687	4.498086e-02
2461018.029412	0.001045	2.457392e-02
2461068.031513	0.002244	1.534314e-02
2461118.033613	0.006599	9.708813e-03
2461168.035714	0.017658	6.861011e-03
2461218.037815	0.031163	5.526250e-03
2461268.039916	0.043804	4.699645e-03
2461318.042017	0.054103	4.133291e-03
2461368.044118	0.059966	3.755643e-03
2461418.046218	0.057806	3.549341e-03
2461468.048319	0.044483	3.510628e-03
2461518.050420	0.021467	3.696199e-03
2461568.052521	0.000468	4.574796e-03
2461618.054622	0.000000	2.631894e-02
2461668.056723	0.000000	2.956079e-02
2461718.058824	0.000000	3.371344e-02
2461768.060924	0.000000	3.922350e-02
2461818.063025	0.000000	4.688655e-02
2461868.065126	0.000000	5.827086e-02
2461918.067227	0.000000	7.695625e-02
2461968.069328	0.000000	1.132817e-01
2462018.071429	0.000000	2.145594e-01
2462068.073529	0.000000	2.024815e+00
2462118.075630	0.091632	2.803558e-01
2462168.077731	0.033689	4.838139e-02
2462218.079832	0.000000	1.515119e+00
2462268.081933	0.000000	2.361307e+00
2462318.084034	0.000397	8.899169e-02
2462368.086134	0.000044	4.956913e-02
2462418.088235	0.037062	1.295042e-02
2462468.090336	0.287957	1.489978e-02
2462518.092437	0.336298	4.472821e-02
2462568.094538	0.253636	3.726397e-02
2462618.096639	0.000656	5.291705e-01
2462668.098739	0.000467	3.405056e-01
2462718.100840	0.000056	7.168301e-02
2462768.102941	0.000038	4.043617e-02
2462818.105042	0.000035	2.804932e-02
2462868.107143	0.000000	6.420792e-02
2462918.109244	0.000000	8.766114e-02
2462968.111345	0.000000	1.381078e-01
2463018.113445	0.000000	3.253219e-01
2463068.115546	0.000000	4.160234e+00
2463118.117647	0.655022	9.529087e-02
2463168.119748	0.000000	2.040729e+00
2463218.121849	0.048188	8.072228e-02
2463268.123950	0.383259	2.158379e-02
2463318.126050	0.000000	3.345047e-01
2463368.128151	0.000000	2.340025e+00
2463418.130252	0.000000	9.892624e-01
2463468.132353	0.000000	6.425199e+00
2463518.134454	0.801699	1.829439e-02
2463568.136555	0.785389	3.363089e-02
2463618.138655	0.137706	1.832424e-01
2463668.140756	0.831393	9.787932e-02
2463718.142857	0.000000	5.600002e+00
2463768.144958	0.784496	5.835821e-02
2463818.147059	0.789776	4.078404e-02
2463868.149160	0.000000	5.583578e+00
2463918.151261	0.000000	2.890689e+00
2463968.153361	1.502415	2.149540e-02
2464018.155462	0.000000	2.477017e+00
