location	LR	alpha
1311375.000000	22.198981	6.288467e+01
1311425.002597	14.427726	6.793400e+01
1311475.005193	0.190270	4.568553e+07
1311525.007790	0.651228	2.203905e+04
1311575.010387	0.614751	2.165575e+07
1311625.012984	1.902260	1.070015e+07
1311675.015580	9.546323	8.473403e+01
1311725.018177	4.032214	8.778241e+01
1311775.020774	8.793586	8.938670e+01
1311825.023370	12.289772	9.137632e+01
1311875.025967	13.262588	9.411445e+01
1311925.028564	13.062601	9.866637e+01
1311975.031161	13.527067	1.101721e+02
1312025.033757	6.116770	1.616610e+02
1312075.036354	11.738062	1.704521e+02
1312125.038951	0.419069	2.641203e+07
1312175.041547	14.395516	1.713691e+02
1312225.044144	15.250158	1.808043e+02
1312275.046741	14.521573	2.006064e+02
1312325.049338	12.416425	2.362524e+02
1312375.051934	0.794935	1.285558e+05
1312425.054531	5.351783	4.638824e+02
1312475.057128	6.230944	1.114264e+03
1312525.059724	3.051342	1.077170e+07
1312575.062321	0.266321	3.842642e+07
1312625.064918	0.838211	8.736198e+03
1312675.067515	0.614751	2.165575e+07
1312725.070111	0.078791	1.399440e+08
1312775.072708	1.924340	1.767137e+03
1312825.075305	2.808162	2.955386e+02
1312875.077901	1.168075	1.095742e+07
1312925.080498	2.210779	2.301221e+02
1312975.083095	3.104158	1.972950e+02
1313025.085692	2.816842	1.763019e+02
1313075.088288	14.548724	1.532910e+02
1313125.090885	17.560618	1.455039e+02
1313175.093482	17.585126	1.430077e+02
1313225.096078	19.449062	1.416745e+02
1313275.098675	20.517791	1.415762e+02
1313325.101272	20.606639	1.415373e+02
1313375.103869	18.881131	1.445518e+02
1313425.106465	18.969401	1.484933e+02
1313475.109062	17.970755	1.545779e+02
1313525.111659	7.435682	1.639056e+02
1313575.114255	7.435682	1.639056e+02
1313625.116852	6.113720	1.741601e+02
1313675.119449	3.227537	1.757221e+02
1313725.122046	7.117772	1.781932e+02
1313775.124642	0.022570	2.265963e+08
1313825.127239	11.743921	1.798780e+02
1313875.129836	11.739003	1.871804e+02
1313925.132432	12.295488	1.900961e+02
1313975.135029	11.965511	1.947529e+02
1314025.137626	15.303792	1.973086e+02
1314075.140223	16.197492	2.028717e+02
1314125.142819	16.256860	2.120826e+02
1314175.145416	13.708345	2.489503e+02
1314225.148013	3.998080	2.806388e+02
1314275.150609	0.820270	2.251419e+07
1314325.153206	5.821201	3.021955e+02
1314375.155803	0.000000	2.489279e+06
1314425.158400	0.000000	4.643227e+05
1314475.160996	3.992295	3.613052e+02
1314525.163593	4.268092	4.122389e+02
1314575.166190	1.101938	1.668470e+07
1314625.168786	1.101938	1.668470e+07
1314675.171383	1.664883	1.246221e+03
1314725.173980	0.022570	2.265963e+08
1314775.176577	0.721986	2.009358e+03
