location	LR	alpha	D
294884.000000	0.326888	1.781631e+02	0.036835
294934.004300	11.667742	7.583899e-04	0.036835
294984.008600	0.467793	7.362352e-02	0.036835
295034.012900	1.484018	8.000686e-02	0.036835
295084.017200	1.583865	6.321513e-01	0.036835
295134.021500	4.102664	6.000647e-02	0.036835
295184.025800	2.301890	1.738481e-01	0.036835
295234.030100	1.851393	9.675067e-02	0.036835
295284.034400	0.488278	3.270619e-01	0.036835
295334.038700	1.950823	1.872404e+01	0.036835
295384.043000	0.000000	1.003597e+00	0.018418
295434.047300	6.352777	7.831388e-04	0.036835
295484.051600	21.258312	8.437661e-04	0.036835
295534.055900	23.985385	8.467432e-04	0.036835
295584.060200	17.141382	7.908815e-04	0.036835
295634.064500	0.578016	4.812417e-01	0.036835
295684.068800	2.119425	3.005170e-01	0.036835
295734.073100	1.189414	2.102568e-01	0.036835
295784.077400	0.158163	3.176591e+00	0.036835
295834.081700	0.000000	1.515477e+00	0.018418
295884.086000	14.891189	8.886970e-04	0.036835
295934.090300	0.674360	1.483257e+00	0.036835
295984.094600	7.468015	8.953281e-04	0.036835
296034.098900	19.305264	8.150564e-04	0.036835
296084.103200	0.382722	1.689380e+00	0.036835
296134.107500	2.000479	4.564605e-02	0.036835
296184.111800	0.878016	5.879132e-02	0.036835
296234.116100	2.387893	9.123474e-04	0.036835
296284.120400	1.861417	1.189537e-01	0.018418
296334.124700	1.384851	9.521455e-02	0.036835
296384.129000	3.119158	7.223300e-02	0.018418
296434.133300	0.622810	1.669758e-01	0.036835
296484.137600	0.875076	1.063241e-01	0.036835
296534.141900	0.000000	6.614523e-01	0.018418
296584.146200	0.220981	3.867174e-01	0.036835
296634.150500	0.651846	4.829071e-01	0.018418
296684.154800	1.495930	6.431218e-01	0.036835
296734.159100	0.000000	9.869153e-01	0.018418
296784.163400	0.556222	7.414888e-02	0.036835
296834.167700	0.000000	6.549147e+00	0.018418
296884.172000	0.515458	3.892566e-01	0.018418
296934.176300	0.193541	1.027189e-01	0.036835
296984.180600	0.383659	1.786181e+00	0.036835
297034.184900	0.000000	9.848258e-01	0.018418
297084.189200	0.672450	1.480019e+01	0.018418
297134.193500	0.792195	2.913081e-01	0.036835
297184.197800	0.318274	5.262650e-01	0.036835
297234.202100	0.000000	2.501095e+00	0.018418
297284.206400	0.672450	2.852795e+00	0.018418
297334.210700	1.395388	8.444343e-01	0.036835
297384.215000	0.000000	6.970667e-01	0.018418
297434.219300	0.796707	1.459512e-01	0.036835
297484.223600	3.256899	3.368671e-02	0.036835
297534.227900	0.693769	1.959891e-01	0.036835
297584.232200	1.244788	5.524044e-02	0.036835
297634.236500	6.796899	1.207637e-03	0.036835
297684.240800	17.433130	1.210927e-03	0.036835
297734.245100	15.692717	1.217068e-03	0.036835
297784.249400	11.807999	1.035755e-03	0.036835
297834.253700	0.672450	6.871671e+00	0.018418
297884.258000	1.137306	2.461943e-01	0.036835
297934.262300	0.246705	5.158562e-01	0.018418
297984.266600	0.930892	6.766893e-01	0.036835
298034.270900	0.000000	3.718521e-01	0.018418
298084.275200	2.861470	6.925402e-02	0.036835
298134.279500	0.999304	8.746033e-01	0.018418
298184.283800	1.607445	1.374826e-01	0.018418
298234.288100	0.520015	1.068679e-01	0.018418
298284.292400	0.740560	3.837738e+00	0.036835
298334.296700	0.062398	4.096025e-01	0.036835
298384.301000	0.924476	5.783276e-01	0.036835
298434.305300	0.000000	5.531306e-01	0.018418
298484.309600	0.000000	1.793615e+00	0.018418
298534.313900	0.651846	3.255473e+00	0.018418
298584.318200	0.507155	5.534598e-01	0.036835
298634.322500	0.672450	1.638784e+00	0.018418
298684.326800	0.749779	3.363870e-01	0.036835
298734.331100	0.346844	1.545170e-01	0.036835
298784.335400	0.160749	2.337569e-01	0.036835
298834.339700	3.399533	1.658237e-02	0.036835
298884.344000	1.432080	3.469781e-01	0.036835
298934.348300	1.773889	7.666899e-01	0.036835
298984.352600	3.253195	3.220202e-02	0.036835
299034.356900	2.538156	7.301185e-02	0.036835
299084.361200	9.161053	1.025848e-03	0.036835
299134.365500	4.970563	1.032468e-03	0.036835
299184.369800	29.428989	9.998643e-04	0.036835
299234.374100	5.956862	1.015948e-03	0.036835
299284.378400	3.070963	2.689280e-01	0.036835
299334.382700	1.294788	7.800969e-01	0.018418
299384.387000	2.952951	8.269803e-02	0.036835
299434.391300	3.777624	3.525354e-02	0.036835
299484.395600	7.612821	1.061233e-03	0.018418
299534.399900	1.938841	1.136362e-01	0.036835
299584.404200	4.777984	2.379045e-02	0.018418
