location	LR	alpha
1850824.000000	0.005515	2.996450e+08
1850874.002500	0.005416	2.975551e+08
1850924.004999	0.000000	1.077307e+06
1850974.007499	0.735083	7.670055e+03
1851024.009998	0.713372	4.883746e+03
1851074.012498	0.005456	7.218301e+04
1851124.014997	0.000000	9.746164e+05
1851174.017497	0.183056	1.112114e+08
1851224.019996	0.622650	1.418992e+04
1851274.022496	1.167527	6.572466e+03
1851324.024995	0.342057	2.247631e+04
1851374.027495	0.083264	8.399862e+04
1851424.029994	0.199042	1.268156e+04
1851474.032494	0.110435	3.517002e+05
1851524.034993	0.253434	2.962574e+04
1851574.037493	0.196673	9.236973e+07
1851624.039992	0.031006	9.780166e+04
1851674.042492	0.022688	1.392047e+04
1851724.044991	0.523961	3.180326e+07
1851774.047491	0.466729	9.383319e+07
1851824.049990	0.000000	5.982312e+08
1851874.052490	0.178399	1.357778e+08
1851924.054989	0.100303	4.519627e+04
1851974.057489	0.063076	3.940698e+04
1852024.059988	0.112888	9.662280e+04
1852074.062488	0.000000	4.092787e+05
1852124.064987	0.000000	9.812563e+05
1852174.067487	0.004333	2.346788e+08
1852224.069986	0.363218	3.064411e+07
1852274.072486	2.193468	2.566982e+07
1852324.074985	0.000000	1.200000e+09
1852374.077485	0.028617	2.314364e+08
1852424.079984	1.979070	4.106624e+07
1852474.082484	0.778383	4.581435e+07
1852524.084983	0.392669	9.812176e+03
1852574.087483	1.399655	6.071511e+07
1852624.089982	0.042518	2.147662e+08
1852674.092482	0.424683	1.075087e+04
1852724.094981	0.000903	6.862330e+04
1852774.097481	0.000998	8.369222e+04
1852824.099980	0.059482	7.491092e+04
1852874.102480	0.000000	2.584039e+05
1852924.104979	0.051626	1.030335e+05
1852974.107479	0.031051	1.449365e+04
1853024.109978	2.021754	2.688691e+03
1853074.112478	2.071316	3.703313e+04
1853124.114977	3.982194	2.402666e+03
1853174.117477	5.793254	1.163753e+07
1853224.119976	5.299323	4.735068e+03
1853274.122476	0.000050	4.117763e+08
1853324.124975	0.265257	7.778170e+07
1853374.127475	0.040007	3.251492e+04
1853424.129974	0.000000	1.200000e+09
1853474.132474	0.034152	2.316719e+08
1853524.134973	0.059662	8.540373e+04
1853574.137473	0.105332	9.166490e+03
1853624.139972	0.096624	6.206492e+03
1853674.142472	0.127256	4.902637e+03
1853724.144971	0.214846	3.847895e+03
1853774.147471	0.781273	3.047832e+03
1853824.149970	0.467677	4.064666e+03
1853874.152470	0.239707	2.614961e+04
1853924.154969	0.000000	1.200000e+09
1853974.157469	0.078502	7.223024e+04
1854024.159968	0.005807	1.271818e+05
1854074.162468	0.005473	2.558974e+08
1854124.164967	0.687348	1.030018e+08
1854174.167467	1.194349	1.188877e+04
1854224.169966	0.000000	4.774032e+06
1854274.172466	0.000000	1.091496e+05
1854324.174965	0.000000	5.520590e+04
1854374.177465	0.000000	3.694635e+04
1854424.179964	0.000000	2.776348e+04
1854474.182464	0.000000	2.223665e+04
1854524.184963	0.000000	2.649458e+04
1854574.187463	0.000000	3.473271e+04
1854624.189962	0.000020	1.585199e+04
1854674.192462	0.000115	2.651290e+04
1854724.194961	0.000126	1.480813e+05
1854774.197461	1.522520	5.699088e+06
1854824.199960	0.000000	1.200000e+09
1854874.202460	0.000022	4.973626e+08
1854924.204959	0.043720	3.424020e+06
1854974.207459	0.706137	1.631925e+07
1855024.209958	2.997449	1.986378e+04
1855074.212458	0.000000	7.470917e+05
1855124.214957	0.256414	1.105904e+08
1855174.217457	0.000000	2.827421e+06
1855224.219956	0.178250	2.760761e+04
1855274.222456	0.064255	4.337020e+04
1855324.224955	0.066808	1.615671e+06
1855374.227455	1.496143	1.111563e+04
1855424.229954	1.834148	6.236957e+03
1855474.232454	1.723475	1.797472e+07
1855524.234953	0.043496	1.001657e+06
1855574.237453	0.134279	2.757594e+04
1855624.239952	0.370482	6.342409e+07
1855674.242452	0.684847	1.032650e+07
1855724.244951	0.000000	1.076112e+09
1855774.247451	0.000001	5.687795e+08
1855824.249950	0.000000	1.200000e+09
1855874.252450	0.000000	1.200000e+09
1855924.254949	0.228042	7.057750e+07
1855974.257449	0.014595	7.181385e+04
1856024.259948	0.000101	9.244949e+04
1856074.262448	0.000041	4.717162e+08
1856124.264947	0.079786	3.214954e+05
1856174.267447	0.020498	2.650603e+05
1856224.269946	0.043688	1.300885e+04
1856274.272446	0.011613	8.128139e+04
1856324.274945	0.011019	3.453121e+04
