location	LR	alpha	D
635389.000000	2.057248	5.714286e-01	0.023300
635439.003807	0.170838	9.091173e-02	0.046600
635489.007614	0.612285	4.838647e-01	0.046600
635539.011421	1.353453	4.442565e-01	0.046600
635589.015227	0.047057	1.895265e+00	0.046600
635639.019034	1.135628	1.156091e-02	0.046600
635689.022841	0.490662	3.875695e+01	0.046600
635739.026648	5.366534	1.444090e-02	0.046600
635789.030455	0.000000	1.237694e+01	0.023300
635839.034262	1.410882	3.231224e-01	0.046600
635889.038069	1.035756	1.522916e-02	0.046600
635939.041875	0.000000	1.765794e-01	0.023300
635989.045682	0.838334	6.978596e-02	0.046600
636039.049489	2.362354	6.248391e-02	0.023300
636089.053296	0.820933	1.132645e-01	0.023300
636139.057103	2.407262	1.175812e-01	0.023300
636189.060910	2.076443	3.408502e-02	0.023300
636239.064716	0.908605	1.199224e-01	0.046600
636289.068523	1.725138	4.271505e-02	0.046600
636339.072330	1.822113	3.774443e-02	0.046600
636389.076137	1.525271	4.478883e-02	0.023300
636439.079944	0.490662	1.107341e+01	0.046600
636489.083751	0.900011	1.645723e-01	0.023300
636539.087558	1.384945	6.669912e-02	0.023300
636589.091364	1.203999	1.767080e-01	0.046600
636639.095171	1.190629	3.419272e-01	0.023300
636689.098978	0.886323	6.191191e-02	0.046600
636739.102785	1.061963	4.667395e-02	0.046600
636789.106592	0.898906	4.150717e-02	0.046600
636839.110399	0.337468	1.821228e-01	0.046600
636889.114206	0.321601	2.312771e-01	0.046600
636939.118012	0.910128	1.144143e-01	0.046600
636989.121819	0.000000	1.103126e+00	0.023300
637039.125626	0.156446	3.254293e-01	0.046600
637089.129433	0.000000	2.905969e+00	0.023300
637139.133240	0.000000	9.890189e-01	0.023300
637189.137047	2.737891	7.649988e-02	0.046600
637239.140854	1.847868	8.619818e-03	0.046600
637289.144660	2.375323	1.909146e-01	0.023300
637339.148467	0.900307	1.751433e+00	0.023300
637389.152274	0.145071	1.201675e+00	0.046600
637439.156081	0.779756	5.551545e-02	0.046600
637489.159888	0.120749	4.164356e-02	0.046600
637539.163695	0.000000	8.044853e-02	0.023300
637589.167502	0.000000	6.025080e-02	0.023300
637639.171308	0.000000	5.290338e-02	0.023300
637689.175115	0.000000	6.786377e-02	0.023300
637739.178922	0.000000	9.462150e-02	0.023300
637789.182729	0.000000	1.562149e-01	0.023300
637839.186536	0.897068	1.947463e-02	0.046600
637889.190343	1.116658	4.699590e-02	0.046600
637939.194149	1.136946	2.935752e-02	0.046600
637989.197956	1.296983	1.566175e-02	0.046600
638039.201763	0.000000	9.661700e-02	0.023300
638089.205570	0.000000	6.888414e-02	0.023300
638139.209377	0.000000	5.352142e-02	0.023300
638189.213184	0.000000	4.376158e-02	0.023300
638239.216991	0.000000	3.701225e-02	0.023300
638289.220797	0.000000	3.206663e-02	0.023300
638339.224604	0.000000	2.828691e-02	0.023300
638389.228411	0.000000	2.530427e-02	0.023300
638439.232218	0.000000	2.576392e-02	0.023300
638489.236025	0.000000	2.886253e-02	0.023300
638539.239832	0.000000	3.280838e-02	0.023300
638589.243639	0.000000	3.800399e-02	0.023300
638639.247445	0.000000	4.515479e-02	0.023300
638689.251252	0.000000	5.562026e-02	0.023300
638739.255059	0.000000	7.240041e-02	0.023300
638789.258866	0.000000	1.036797e-01	0.023300
638839.262673	0.000000	1.825447e-01	0.023300
638889.266480	0.691309	6.789885e-02	0.046600
638939.270287	0.308864	9.468974e-02	0.046600
638989.274093	1.381721	2.341234e-01	0.046600
639039.277900	2.246356	8.482233e-03	0.046600
639089.281707	1.404394	1.942633e-02	0.046600
639139.285514	0.969586	4.764111e-01	0.046600
639189.289321	0.366045	6.640771e-01	0.046600
639239.293128	1.505567	9.994112e-03	0.046600
639289.296934	1.565315	6.318128e-03	0.046600
639339.300741	0.491652	6.411289e-03	0.046600
639389.304548	0.047057	6.317966e+00	0.046600
639439.308355	1.206482	4.482770e-02	0.046600
639489.312162	2.014010	5.256961e-03	0.046600
639539.315969	1.417080	6.293134e-02	0.046600
639589.319776	1.945083	8.976643e-02	0.023300
639639.323582	4.110737	7.212939e-03	0.046600
639689.327389	1.154496	3.563727e-01	0.023300
639739.331196	1.248687	2.293088e-01	0.046600
639789.335003	0.000000	3.274219e+00	0.023300
639839.338810	0.047057	1.158281e+00	0.046600
639889.342617	0.850583	2.179213e-02	0.046600
639939.346424	0.529599	2.331666e-02	0.046600
639989.350230	1.176399	2.582591e-02	0.023300
640039.354037	0.047057	1.421028e+00	0.046600
640089.357844	0.000000	3.353416e+01	0.023300
640139.361651	0.886774	4.885229e-02	0.046600
640189.365458	3.713667	4.539171e-02	0.046600
640239.369265	1.225012	2.012385e-01	0.046600
640289.373072	3.285800	1.346238e-02	0.023300
640339.376878	2.362523	1.049163e-01	0.023300
640389.380685	3.022462	1.229988e-02	0.023300
640439.384492	3.679615	4.534883e-02	0.023300
640489.388299	4.430893	5.758480e-02	0.046600
640539.392106	4.095892	3.120060e-02	0.046600
640589.395913	3.566844	2.881873e-02	0.046600
640639.399719	2.885664	3.284073e-02	0.023300
640689.403526	6.698655	2.323765e-02	0.023300
640739.407333	6.095542	2.617759e-02	0.023300
640789.411140	2.599149	2.847575e-02	0.023300
640839.414947	3.720036	7.000556e-02	0.023300
640889.418754	6.117392	1.984845e-02	0.023300
640939.422561	3.495316	5.592387e-02	0.023300
640989.426367	3.052306	7.291568e-02	0.023300
641039.430174	3.223043	7.342582e-02	0.046600
641089.433981	4.917900	4.372637e-02	0.023300
641139.437788	1.859096	4.555154e-02	0.023300
641189.441595	1.582897	9.953684e-02	0.046600
641239.445402	3.304896	8.083780e-02	0.046600
641289.449209	4.649797	1.189946e-02	0.046600
641339.453015	4.994445	1.133730e-02	0.046600
641389.456822	0.225957	1.833971e+00	0.046600
641439.460629	2.432153	3.204609e-02	0.046600
