location	LR	alpha
4210.000000	0.082211	1.615347e+08
4260.003781	0.082239	3.776033e+04
4310.007561	0.010360	2.818537e+04
4360.011342	0.003117	1.556352e+05
4410.015122	0.003117	3.002935e+08
4460.018903	0.003117	2.387307e+05
4510.022684	0.000000	1.200000e+09
4560.026464	0.000000	1.200000e+09
4610.030245	0.025004	8.933143e+07
4660.034026	0.025004	8.933143e+07
4710.037806	0.000745	7.170766e+04
4760.041587	0.001067	2.475896e+05
4810.045367	0.924882	6.478024e+03
4860.049148	1.728342	1.225798e+04
4910.052929	1.728342	1.225798e+04
4960.056709	0.396947	1.010758e+08
5010.060490	0.396947	1.010758e+08
5060.064271	0.054408	5.760320e+04
5110.068051	0.051826	1.567133e+08
5160.071832	1.497349	7.047744e+04
5210.075612	1.497336	6.253876e+07
5260.079393	1.529201	1.731448e+04
5310.083174	0.165474	4.603945e+05
5360.086954	0.165474	1.492101e+08
5410.090735	0.165554	4.470216e+04
5460.094516	0.184418	1.696689e+04
5510.098296	0.588266	4.818926e+03
5560.102077	0.869244	3.709569e+03
5610.105857	1.036500	2.955193e+03
5660.109638	1.082453	2.602422e+03
5710.113419	0.919546	2.484256e+03
5760.117199	0.483944	2.510600e+03
5810.120980	0.076874	1.559160e+04
5860.124760	0.081455	2.625022e+04
5910.128541	0.082211	9.518424e+04
5960.132322	0.000000	2.056029e+06
6010.136102	0.000000	1.200000e+09
6060.139883	0.000000	3.325241e+05
6110.143664	0.036681	7.512655e+04
6160.147444	0.036704	1.505537e+08
6210.151225	0.085090	1.476326e+08
6260.155005	0.085090	1.476326e+08
6310.158786	0.032432	1.887802e+08
6360.162567	0.032432	1.887802e+08
6410.166347	0.877538	9.178993e+07
6460.170128	0.877538	9.178993e+07
6510.173909	1.589567	8.615091e+07
6560.177689	1.589567	8.615091e+07
6610.181470	1.589567	8.615091e+07
6660.185250	1.004612	8.657505e+07
6710.189031	1.004612	8.657505e+07
6760.192812	0.126628	1.269350e+08
6810.196592	0.126628	1.269350e+08
6860.200373	0.037449	5.517765e+07
6910.204154	0.037449	5.517765e+07
6960.207934	0.267466	2.329527e+04
7010.211715	0.454784	1.121895e+08
7060.215495	0.454784	1.121895e+08
7110.219276	0.246295	1.200015e+08
7160.223057	0.246295	1.200015e+08
7210.226837	0.253859	5.339710e+07
7260.230618	0.253859	5.339710e+07
7310.234398	0.608459	1.529760e+04
7360.238179	0.554667	7.280224e+07
7410.241960	0.016251	8.003009e+04
7460.245740	0.021273	5.327866e+04
7510.249521	0.081131	7.343598e+04
7560.253302	0.081092	1.517557e+08
7610.257082	0.081092	1.517557e+08
7660.260863	1.371992	2.707891e+07
7710.264643	1.371992	2.707891e+07
7760.268424	1.076280	8.958504e+03
7810.272205	0.231594	1.217127e+08
7860.275985	0.231594	1.001566e+06
7910.279766	0.789172	2.149891e+04
7960.283547	0.556008	3.069452e+05
