location	LR	alpha
635454.000000	0.001339	3.108087e+08
635504.005815	1.030759	1.219644e+07
635554.011630	0.240784	2.809251e+04
635604.017445	0.123193	1.907010e+05
635654.023260	0.002535	4.368584e+04
635704.029076	0.001353	3.591026e+04
635754.034891	0.000000	3.173704e+05
635804.040706	0.005578	8.210413e+04
635854.046521	0.005921	6.447414e+04
635904.052336	0.000060	2.645416e+04
635954.058151	0.749899	8.960370e+03
636004.063966	0.008226	1.885854e+08
636054.069781	0.082642	7.149963e+03
636104.075597	0.000000	1.471117e+05
636154.081412	0.132306	1.991593e+08
636204.087227	0.000000	2.826551e+06
636254.093042	0.000364	4.821709e+04
636304.098857	0.000175	1.519975e+04
636354.104672	1.021312	2.777987e+03
636404.110487	2.103652	5.127454e+03
636454.116302	0.332049	4.424235e+04
636504.122118	0.039961	6.970123e+04
636554.127933	0.010308	2.423628e+08
636604.133748	0.208532	5.900343e+07
636654.139563	0.849918	1.559126e+04
636704.145378	0.000000	1.261113e+06
636754.151193	0.713265	4.466610e+04
636804.157008	0.132347	4.636050e+04
636854.162823	0.496705	4.249995e+03
636904.168638	0.336210	9.341517e+03
636954.174454	0.354265	1.246830e+08
637004.180269	0.018506	1.531892e+08
637054.186084	0.015261	3.423006e+04
637104.191899	0.191962	2.405703e+04
637154.197714	0.174938	7.068882e+03
637204.203529	0.888197	7.289544e+03
637254.209344	0.073621	2.917046e+04
637304.215159	0.112888	2.198923e+05
637354.220975	0.610934	1.237872e+04
637404.226790	0.363981	3.921236e+03
637454.232605	0.342961	2.300904e+03
637504.238420	0.318590	1.584244e+03
637554.244235	0.405265	1.114653e+03
637604.250050	0.589629	9.029441e+02
637654.255865	0.767115	7.760080e+02
637704.261680	0.898836	6.914827e+02
637754.267495	0.914780	6.377395e+02
637804.273311	0.523595	6.215868e+02
637854.279126	0.000000	4.493230e+05
637904.284941	0.776273	2.713026e+03
637954.290756	0.636287	5.071501e+02
638004.296571	0.856261	4.595141e+02
638054.302386	0.816052	4.337578e+02
638104.308201	0.702032	4.167904e+02
638154.314016	0.555542	4.051357e+02
638204.319832	0.391549	3.976752e+02
638254.325647	0.218238	3.947061e+02
638304.331462	0.042620	3.993394e+02
638354.337277	0.000000	7.343654e+03
638404.343092	0.000000	6.594740e+03
638454.348907	0.000000	6.333127e+03
638504.354722	0.000000	4.842833e+03
638554.360537	0.000000	4.686074e+03
638604.366353	0.000001	4.801737e+03
638654.372168	0.022509	9.306122e+02
638704.377983	0.128665	9.471771e+02
638754.383798	0.277491	9.727786e+02
638804.389613	0.493905	1.000849e+03
638854.395428	0.830057	1.036835e+03
638904.401243	1.409403	1.140443e+03
638954.407058	1.834407	1.567214e+03
639004.412873	1.595198	3.824672e+03
639054.418689	1.729462	3.030524e+03
639104.424504	0.000000	1.489289e+05
639154.430319	0.000000	1.769245e+05
639204.436134	0.154969	8.051970e+03
639254.441949	0.036063	5.260505e+04
639304.447764	0.005324	2.155740e+05
639354.453579	0.000903	1.268422e+06
639404.459394	0.000000	2.877906e+06
639454.465210	0.001259	1.506591e+05
639504.471025	0.008592	1.657808e+05
639554.476840	0.008425	2.812978e+04
639604.482655	0.000000	9.533857e+05
639654.488470	0.000000	1.200000e+09
639704.494285	2.587143	1.937870e+07
639754.500100	0.000000	8.914031e+05
639804.505915	0.000000	1.461504e+05
639854.511730	0.118084	2.703648e+04
639904.517546	0.000000	8.441822e+04
639954.523361	0.031041	5.224373e+03
640004.529176	0.111557	1.231359e+05
640054.534991	0.109107	1.377012e+08
640104.540806	0.000042	5.993026e+04
640154.546621	0.391837	3.040948e+07
640204.552436	1.972181	2.762376e+04
640254.558251	0.091208	7.979594e+03
640304.564067	0.032666	1.607763e+08
640354.569882	0.000000	2.896192e+05
640404.575697	0.010301	7.041595e+04
640454.581512	0.000000	1.200000e+09
640504.587327	0.000000	1.200000e+09
640554.593142	0.000000	1.005980e+05
640604.598957	0.000000	1.449371e+06
640654.604772	0.013565	1.009734e+06
640704.610588	0.004245	1.251547e+05
640754.616403	0.628350	1.121245e+07
640804.622218	0.000000	6.670512e+06
640854.628033	0.030861	5.594046e+05
640904.633848	1.718216	1.162273e+04
640954.639663	1.349642	3.698082e+03
641004.645478	2.638227	1.285361e+03
641054.651293	3.926276	1.041703e+03
641104.657108	1.024712	2.681239e+07
641154.662924	0.955436	2.850314e+07
641204.668739	0.000000	5.125530e+05
641254.674554	0.268362	5.450800e+07
641304.680369	1.818558	4.316457e+07
641354.686184	0.000046	2.046468e+05
641404.691999	0.044376	2.122209e+08
641454.697814	1.226799	9.092529e+04
641504.703629	0.000000	1.200000e+09
641554.709445	0.974671	1.107853e+03
641604.715260	2.773210	7.253235e+02
641654.721075	3.977732	6.962416e+02
641704.726890	4.691984	8.442722e+02
641754.732705	4.400399	1.885312e+03
641804.738520	4.639122	1.428458e+03
641854.744335	2.406887	2.508717e+03
641904.750150	0.226421	2.760262e+04
641954.755966	0.027580	1.936379e+08
642004.761781	0.566737	4.145430e+03
642054.767596	1.830775	1.757433e+03
642104.773411	0.111557	7.336088e+04
642154.779226	0.362960	2.511312e+03
642204.785041	0.100660	4.191087e+03
642254.790856	0.052552	5.034949e+03
642304.796671	0.006141	1.006622e+04
642354.802486	0.212845	1.206585e+04
642404.808302	0.000000	2.937434e+05
642454.814117	0.000000	1.200000e+09
642504.819932	0.000000	1.396968e+05
642554.825747	0.005322	9.478800e+04
642604.831562	0.015185	5.789785e+04
642654.837377	0.000000	5.705573e+05
642704.843192	0.000000	5.698721e+05
642754.849007	0.003933	1.072828e+04
642804.854823	0.000000	4.373598e+04
642854.860638	0.022421	6.388825e+03
642904.866453	0.116811	1.697583e+04
642954.872268	0.007168	6.289728e+04
643004.878083	0.796669	5.886066e+03
643054.883898	0.159551	4.804038e+03
643104.889713	0.050705	1.244625e+04
643154.895528	0.048096	3.346398e+04
