location	LR	alpha	D
635360.000000	0.440965	1.332016e+02	0.045619
635410.006312	0.060538	2.002106e+00	0.045619
635460.012624	1.949453	4.384920e-02	0.045619
635510.018936	1.659627	3.175781e-02	0.045619
635560.025248	3.269490	1.382529e-02	0.045619
635610.031560	2.504006	1.127853e-02	0.045619
635660.037872	1.544334	1.176034e-01	0.022809
635710.044184	1.612724	7.892441e-02	0.022809
635760.050496	1.616892	5.939109e-02	0.022809
635810.056808	1.617739	4.760830e-02	0.022809
635860.063120	1.289707	3.323519e-02	0.045619
635910.069432	0.990067	3.341973e-02	0.045619
635960.075744	1.359164	2.602610e-02	0.045619
636010.082056	2.410960	2.542815e-02	0.045619
636060.088368	4.921836	2.527428e-03	0.045619
636110.094680	1.594670	9.164028e-01	0.045619
636160.100992	8.472879	2.581813e-03	0.045619
636210.107304	10.646719	2.819620e-03	0.045619
636260.113616	10.716104	2.638589e-03	0.045619
636310.119928	8.858487	2.887475e-03	0.045619
636360.126240	8.117760	3.023528e-03	0.045619
636410.132552	7.178883	3.361468e-03	0.045619
636460.138864	3.197740	4.282866e-03	0.045619
636510.145176	0.819632	2.313763e-01	0.045619
636560.151488	0.219447	3.022986e+00	0.045619
636610.157800	3.379492	1.079955e-02	0.045619
636660.164112	1.680480	1.041991e-01	0.022809
636710.170424	0.000000	2.877406e+00	0.022809
636760.176736	0.572189	8.464573e-01	0.045619
636810.183048	1.806392	4.109846e-03	0.045619
636860.189360	0.000000	2.864400e+00	0.022809
636910.195672	0.396985	6.978502e-01	0.045619
636960.201984	0.024742	1.461273e-02	0.045619
637010.208296	2.739615	1.321283e-02	0.045619
637060.214608	1.137444	9.080861e-01	0.045619
637110.220920	1.290052	2.342793e-01	0.045619
637160.227232	0.000000	2.514265e+00	0.022809
637210.233544	0.208824	2.025880e-01	0.045619
637260.239856	0.387267	2.821698e-01	0.045619
637310.246168	0.000000	2.826079e+00	0.022809
637360.252480	0.000000	4.752858e+01	0.022809
637410.258792	0.703077	1.169728e+00	0.022809
637460.265104	0.703077	1.991202e-01	0.022809
637510.271416	0.703077	1.088224e-01	0.022809
637560.277728	0.703077	7.487002e-02	0.022809
637610.284040	0.703077	5.706566e-02	0.022809
637660.290352	1.031617	4.022926e-02	0.045619
637710.296664	1.036478	3.445339e-02	0.045619
637760.302976	1.046413	3.330529e-02	0.045619
637810.309288	0.888359	2.924622e-02	0.022809
637860.315600	0.957469	1.011758e-01	0.045619
637910.321912	4.898979	4.961388e-03	0.045619
637960.328224	1.863078	2.093210e-01	0.022809
638010.334536	1.863442	1.118000e-01	0.022809
638060.340848	1.863500	7.626752e-02	0.022809
638110.347160	1.863522	5.787395e-02	0.022809
638160.353472	1.863533	4.662846e-02	0.022809
638210.359784	2.303216	1.436024e-02	0.022809
638260.366096	2.430507	1.156776e-02	0.022809
638310.372408	3.190464	1.260997e-02	0.022809
638360.378720	3.562457	1.223714e-02	0.022809
638410.385032	2.720035	1.409087e-02	0.022809
638460.391344	3.170610	9.696118e-03	0.022809
638510.397656	2.739935	1.512093e-02	0.045619
638560.403968	4.577897	1.025995e-02	0.045619
638610.410280	4.415599	9.735597e-03	0.022809
638660.416592	4.110881	9.520661e-03	0.022809
638710.422904	4.201931	9.157347e-03	0.022809
