location	LR	alpha
5223885.000000	0.147243	1.495235e+08
5223935.003511	0.000000	3.334635e+05
5223985.007022	0.000000	3.261069e+05
5224035.010533	0.501641	1.391099e+04
5224085.014044	0.246563	3.154366e+04
5224135.017554	0.231096	1.404319e+04
5224185.021065	0.232149	6.484968e+03
5224235.024576	0.218054	4.385673e+03
5224285.028087	0.146956	2.332983e+03
5224335.031598	0.255520	2.230752e+03
5224385.035109	0.477172	1.062396e+03
5224435.038620	0.799487	1.254469e+03
5224485.042131	1.297914	3.447187e+03
5224535.045641	0.321635	7.380142e+04
5224585.049152	0.683897	4.041228e+07
5224635.052663	0.060849	1.763730e+08
5224685.056174	1.510021	5.862946e+06
5224735.059685	1.510021	5.862946e+06
5224785.063196	0.000000	2.563501e+05
5224835.066707	0.000000	1.200000e+09
5224885.070218	0.004339	1.582180e+06
5224935.073729	0.000112	4.195185e+08
5224985.077239	0.445375	8.853720e+07
5225035.080750	0.957101	2.554101e+07
5225085.084261	0.681272	1.221717e+08
5225135.087772	0.345932	1.031287e+08
5225185.091283	0.600163	2.107606e+07
5225235.094794	1.978062	1.070948e+07
5225285.098305	2.607177	3.475899e+03
5225335.101816	4.770534	2.234888e+03
5225385.105327	7.293573	1.393829e+03
5225435.108837	9.921681	1.234229e+03
5225485.112348	13.597781	1.277405e+03
5225535.115859	12.562935	1.312222e+03
5225585.119370	2.974963	6.075753e+06
5225635.122881	4.260098	2.659092e+07
5225685.126392	1.099420	1.243319e+04
5225735.129903	0.411761	5.848901e+04
5225785.133414	0.000000	1.188364e+06
5225835.136924	0.000000	1.200000e+09
5225885.140435	0.000000	1.169709e+05
5225935.143946	0.000000	5.797632e+04
5225985.147457	0.000000	3.853905e+04
5226035.150968	0.000000	2.886253e+04
5226085.154479	0.000000	2.307003e+04
5226135.157990	0.044452	5.396883e+03
5226185.161501	0.225033	3.912352e+03
5226235.165012	0.493361	5.111058e+03
5226285.168522	0.681436	1.269583e+04
5226335.172033	0.068558	2.051777e+08
5226385.175544	0.000000	1.200000e+09
5226435.179055	0.000000	1.506879e+05
5226485.182566	0.000000	3.181778e+05
5226535.186077	0.000000	1.200000e+09
5226585.189588	0.001143	3.636137e+08
5226635.193099	0.001139	3.998328e+04
5226685.196609	0.000000	1.107737e+05
5226735.200120	0.000000	1.568471e+06
5226785.203631	0.000000	1.180457e+05
5226835.207142	0.719286	1.296078e+03
5226885.210653	2.118178	1.406546e+03
5226935.214164	6.033839	2.612203e+04
5226985.217675	0.004404	1.004694e+05
5227035.221186	0.432346	2.940421e+03
5227085.224697	0.000000	3.458774e+05
5227135.228207	0.053140	2.386866e+03
5227185.231718	0.166373	3.180617e+07
5227235.235229	0.000000	1.200000e+09
5227285.238740	0.000000	2.017871e+05
5227335.242251	0.154327	3.360825e+03
5227385.245762	0.182084	4.003023e+03
5227435.249273	0.282168	4.933063e+03
5227485.252784	0.578662	6.284837e+03
5227535.256295	1.291913	8.450061e+03
5227585.259805	1.001361	3.177364e+07
5227635.263316	0.280247	2.173718e+08
5227685.266827	0.000000	1.200000e+09
5227735.270338	3.632134	2.443335e+07
5227785.273849	0.000000	1.200000e+09
5227835.277360	0.000000	1.200000e+09
5227885.280871	0.013345	9.007541e+04
5227935.284382	0.000000	2.851970e+05
5227985.287892	0.000000	3.265975e+05
5228035.291403	0.224293	5.712106e+05
5228085.294914	0.000000	1.200000e+09
5228135.298425	0.190915	8.057415e+04
5228185.301936	0.113948	2.037150e+08
5228235.305447	0.039930	2.660070e+08
5228285.308958	0.000000	1.200000e+09
5228335.312469	0.000654	5.140948e+05
5228385.315980	0.000000	2.548416e+06
5228435.319490	0.027630	2.185463e+08
5228485.323001	0.762570	1.916367e+04
5228535.326512	0.452082	8.990134e+07
5228585.330023	0.581877	1.117084e+08
5228635.333534	0.000000	1.200000e+09
5228685.337045	0.005565	3.139734e+08
5228735.340556	0.000000	1.200000e+09
5228785.344067	0.196385	1.207359e+08
5228835.347577	0.000000	1.200000e+09
5228885.351088	0.031486	2.177242e+08
5228935.354599	0.032874	3.179795e+05
5228985.358110	0.128542	5.908028e+04
5229035.361621	0.532564	1.514987e+04
5229085.365132	0.339058	2.097051e+04
5229135.368643	0.000000	1.900668e+06
5229185.372154	0.061421	7.480701e+03
5229235.375665	0.103072	4.345003e+03
5229285.379175	0.164846	2.984465e+03
5229335.382686	0.111437	2.797226e+03
5229385.386197	0.000000	5.643870e+04
5229435.389708	0.000000	1.062906e+05
5229485.393219	0.000000	9.107526e+05
5229535.396730	0.000000	1.091721e+06
5229585.400241	0.000000	5.499909e+05
5229635.403752	0.085755	8.030761e+05
5229685.407263	0.027865	5.335990e+04
5229735.410773	0.038525	1.440653e+04
5229785.414284	0.054919	8.233384e+03
5229835.417795	0.068078	5.914130e+03
5229885.421306	0.080326	4.528746e+03
5229935.424817	0.410968	2.978355e+03
5229985.428328	0.884072	2.732925e+03
5230035.431839	1.517631	3.455872e+03
5230085.435350	0.466328	8.802536e+03
5230135.438860	0.028689	8.016449e+04
5230185.442371	0.614382	1.949864e+04
5230235.445882	0.944462	1.246748e+07
5230285.449393	0.384350	7.352095e+07
5230335.452904	1.412690	7.272076e+03
5230385.456415	1.178725	3.243063e+03
5230435.459926	1.130555	2.082963e+03
5230485.463437	1.161744	1.558007e+03
5230535.466948	1.199318	1.186110e+03
5230585.470458	1.264635	1.067663e+03
5230635.473969	1.205638	1.063737e+03
5230685.477480	1.032523	1.104605e+03
5230735.480991	0.810300	1.191229e+03
5230785.484502	0.619282	1.328918e+03
5230835.488013	0.486365	1.509247e+03
5230885.491524	0.382688	1.747482e+03
5230935.495035	0.290594	2.125840e+03
5230985.498545	0.234352	2.842306e+03
5231035.502056	0.238851	4.111269e+03
5231085.505567	0.272645	6.840580e+03
5231135.509078	0.255756	2.454810e+04
5231185.512589	0.025504	2.397950e+08
5231235.516100	0.316895	5.861019e+04
5231285.519611	0.000656	1.139985e+05
5231335.523122	0.000649	5.597568e+04
5231385.526633	0.000000	1.416493e+06
5231435.530143	0.312929	1.408052e+05
5231485.533654	0.016816	2.486562e+08
5231535.537165	0.000000	1.200000e+09
5231585.540676	0.096922	5.372080e+05
5231635.544187	0.121712	1.696680e+04
5231685.547698	0.020153	1.996132e+04
5231735.551209	0.028854	9.885769e+03
5231785.554720	0.037474	6.548097e+03
5231835.558231	0.056436	4.480578e+03
5231885.561741	0.134549	3.871332e+03
5231935.565252	0.108238	4.850013e+03
5231985.568763	0.091461	7.850359e+03
