location	LR	alpha
4355.000000	0.000000	1.200000e+09
4405.002072	0.000000	1.200000e+09
4455.004143	0.000000	1.200000e+09
4505.006215	0.000000	1.200000e+09
4555.008287	0.000000	1.200000e+09
4605.010358	0.572851	9.334080e+07
4655.012430	0.572506	6.396932e+04
4705.014502	0.000000	4.109986e+05
4755.016573	0.000000	1.200000e+09
4805.018645	0.000000	2.947953e+05
4855.020717	0.107861	9.204243e+07
4905.022788	0.107861	9.204243e+07
4955.024860	4.355258	1.445023e+07
5005.026932	4.355258	1.445023e+07
5055.029004	0.000017	5.011234e+08
5105.031075	0.000017	5.011234e+08
5155.033147	0.000000	1.200000e+09
5205.035219	0.000000	1.200000e+09
5255.037290	0.491394	8.610678e+03
5305.039362	1.637097	2.617985e+04
5355.041434	1.847585	3.837004e+07
5405.043505	1.941734	3.535740e+03
5455.045577	1.585601	2.137676e+03
5505.047649	1.742994	1.777976e+03
5555.049720	1.684440	1.662362e+03
5605.051792	1.269743	1.633796e+03
5655.053864	0.435877	1.675106e+03
5705.055935	0.059124	1.344952e+04
5755.058007	0.066404	1.810163e+04
5805.060079	0.067118	3.302710e+04
5855.062150	0.066738	3.122742e+05
5905.064222	0.066738	1.568065e+08
5955.066294	0.432134	3.463162e+07
6005.068365	0.432134	3.463162e+07
6055.070437	1.083163	1.134612e+04
6105.072509	0.788419	6.453616e+07
6155.074580	0.788419	6.453616e+07
6205.076652	0.018871	8.258363e+04
6255.078724	0.018961	2.738626e+08
6305.080796	0.247144	1.089279e+08
6355.082867	0.247160	7.381522e+04
6405.084939	0.993966	6.525378e+07
6455.087011	0.993966	6.525378e+07
6505.089082	1.820458	2.324903e+04
6555.091154	1.340397	8.914325e+07
6605.093226	1.340397	8.914325e+07
6655.095297	0.654165	5.961435e+07
6705.097369	0.654165	5.961435e+07
6755.099441	0.189675	1.489029e+08
6805.101512	0.189675	1.489029e+08
6855.103584	0.042118	2.552668e+08
6905.105656	0.042118	2.552668e+08
6955.107727	0.042118	1.204408e+05
7005.109799	0.090070	8.824779e+04
7055.111871	0.090065	1.148505e+08
7105.113942	0.497174	4.240556e+07
7155.116014	0.497174	4.240556e+07
7205.118086	0.568002	5.439725e+04
7255.120157	0.567769	9.487317e+07
7305.122229	0.732498	2.593127e+04
7355.124301	0.207485	1.785702e+08
7405.126372	0.207485	5.962496e+05
7455.128444	0.000000	4.514731e+05
7505.130516	0.000126	9.692037e+04
7555.132588	0.000241	4.292943e+08
7605.134659	0.000241	4.292943e+08
7655.136731	0.000241	1.426331e+05
7705.138803	0.045955	4.447727e+04
7755.140874	0.211841	2.391775e+04
7805.142946	0.000000	1.200000e+09
7855.145018	0.000000	2.918655e+05
7905.147089	0.000000	1.416409e+05
7955.149161	0.002288	1.457049e+04
8005.151233	1.426224	1.738397e+03
8055.153304	2.882166	1.654278e+03
8105.155376	4.248124	1.666131e+03
8155.157448	5.683707	1.816853e+03
8205.159519	1.337037	2.181363e+03
8255.161591	0.000000	1.200000e+09
8305.163663	1.926615	5.603850e+03
8355.165734	1.419074	3.154120e+07
8405.167806	1.419074	3.154120e+07
8455.169878	1.878622	1.382247e+07
8505.171949	1.878622	1.382247e+07
8555.174021	2.925148	3.003408e+03
8605.176093	0.478736	1.053113e+08
8655.178164	0.478736	1.053113e+08
8705.180236	1.380227	2.983380e+07
8755.182308	1.380227	2.983380e+07
8805.184380	1.358180	6.219840e+07
8855.186451	1.358180	6.219840e+07
8905.188523	0.289947	1.005174e+08
8955.190595	0.289947	1.005174e+08
9005.192666	0.286036	4.807489e+04
9055.194738	0.000000	1.200000e+09
9105.196810	0.048288	2.597504e+04
9155.198881	0.411756	1.996735e+04
9205.200953	0.116552	3.400095e+04
9255.203025	0.070589	8.724212e+04
9305.205096	0.070586	1.839894e+08
9355.207168	0.274728	3.340190e+04
9405.209240	0.237844	1.538849e+08
9455.211311	0.237844	1.538849e+08
9505.213383	0.428721	3.006774e+07
9555.215455	0.428721	3.006774e+07
9605.217526	0.004165	3.322277e+08
9655.219598	0.004165	3.322277e+08
9705.221670	0.951518	2.704799e+07
9755.223741	0.904143	2.147645e+04
9805.225813	0.624932	3.854779e+03
9855.227885	0.736531	3.120976e+03
9905.229956	0.660172	2.812235e+03
9955.232028	0.534542	2.629407e+03
10005.234100	0.405023	2.483954e+03
10055.236172	0.286421	2.362456e+03
10105.238243	0.338897	5.347376e+03
10155.240315	0.527598	6.220647e+03
10205.242387	0.446767	1.858915e+07
10255.244458	0.446767	1.858915e+07
10305.246530	0.456671	6.606435e+03
10355.248602	0.168351	8.087530e+03
10405.250673	0.052548	1.327636e+04
10455.252745	0.044620	1.958424e+04
10505.254817	0.039638	3.686100e+04
10555.256888	0.039526	2.086710e+05
10605.258960	0.419694	2.114850e+04
10655.261032	0.531428	4.139716e+07
10705.263103	0.766330	1.775045e+04
10755.265175	0.252979	5.181036e+04
