location	LR	alpha
4137.000000	0.034498	2.141089e+08
4187.001553	2.170766	4.541215e+02
4237.003107	3.486982	8.851618e+02
4287.004660	3.864451	1.039240e+03
4337.006214	2.405630	1.243990e+03
4387.007767	1.352791	3.001374e+07
4437.009321	1.352791	3.001374e+07
4487.010874	0.661559	3.946424e+07
4537.012428	0.671420	3.285370e+04
4587.013981	0.328625	5.399099e+04
4637.015534	0.343649	3.015911e+04
4687.017088	3.382051	2.498764e+03
4737.018641	3.683897	2.709913e+03
4787.020195	2.557864	3.712171e+03
4837.021748	1.349140	1.698332e+04
4887.023302	1.263724	4.604245e+07
4937.024855	1.812214	4.086868e+07
4987.026408	1.812214	4.086868e+07
5037.027962	0.404649	1.407795e+04
5087.029515	0.009608	2.864669e+08
5137.031069	0.289536	2.163529e+04
5187.032622	0.791819	5.823536e+07
5237.034176	0.791819	5.823536e+07
5287.035729	2.288119	8.832303e+03
5337.037283	1.728678	1.088463e+07
5387.038836	0.073273	8.105252e+04
5437.040389	0.073295	1.788821e+08
5487.041943	0.073316	7.512046e+04
5537.043496	0.181800	2.310492e+04
5587.045050	1.091765	5.154043e+03
5637.046603	1.720817	1.255977e+03
5687.048157	0.905314	1.339959e+03
5737.049710	0.220832	1.503515e+04
5787.051263	0.117516	9.898304e+04
5837.052817	0.554051	4.433445e+07
5887.054370	0.554051	4.433445e+07
5937.055924	2.640820	7.382287e+03
5987.057477	1.288707	4.382782e+07
6037.059031	1.288707	4.382782e+07
6087.060584	1.751051	3.476861e+07
6137.062138	1.751051	3.476861e+07
6187.063691	0.797992	5.388018e+07
6237.065244	0.797992	5.388018e+07
6287.066798	5.355910	2.565574e+07
6337.068351	5.355910	2.565574e+07
6387.069905	5.355910	2.565574e+07
6437.071458	0.002601	1.959447e+08
6487.073012	0.002601	1.959447e+08
6537.074565	0.393590	8.095696e+07
6587.076118	0.393590	8.095696e+07
6637.077672	1.177837	2.181714e+04
6687.079225	0.884761	3.428753e+07
6737.080779	0.746434	1.465257e+04
6787.082332	0.048994	2.485352e+05
6837.083886	1.109288	9.904615e+03
6887.085439	1.599448	3.615277e+07
6937.086993	1.599448	3.615277e+07
6987.088546	13.379968	1.979723e+03
7037.090099	6.053907	6.199510e+06
7087.091653	3.987375	3.563135e+07
7137.093206	3.987375	3.563135e+07
7187.094760	11.894878	2.302129e+03
7237.096313	16.788911	1.992697e+03
7287.097867	21.359285	1.481731e+03
7337.099420	1.962342	1.365464e+05
7387.100973	1.962342	3.992575e+07
7437.102527	28.616300	8.228215e+02
7487.104080	31.319431	7.855601e+02
7537.105634	33.244366	7.625806e+02
7587.107187	32.628703	7.514098e+02
7637.108741	27.607090	7.509425e+02
7687.110294	23.166418	7.370573e+02
7737.111848	36.803384	7.106952e+02
7787.113401	26.906119	6.773553e+02
7837.114954	26.906119	6.773553e+02
7887.116508	32.696053	6.634784e+02
7937.118061	29.924018	6.520656e+02
7987.119615	26.434691	6.528911e+02
8037.121168	20.285930	6.673221e+02
8087.122722	12.578157	7.347605e+02
8137.124275	2.796884	8.613972e+03
8187.125829	2.214130	2.316572e+07
8237.127382	0.569478	9.947513e+07
8287.128935	0.569478	9.947513e+07
8337.130489	1.700000	1.122481e+04
8387.132042	4.277126	1.235057e+04
8437.133596	0.000000	4.345123e+05
8487.135149	0.000000	1.200000e+09
8537.136703	0.000000	2.169069e+06
8587.138256	0.000000	2.709219e+05
8637.139809	2.826428	3.510943e+03
8687.141363	1.016755	4.877055e+07
8737.142916	1.016755	4.877055e+07
8787.144470	1.295445	1.022973e+04
8837.146023	0.891890	7.708666e+07
8887.147577	0.891890	7.708666e+07
8937.149130	0.759625	6.496945e+07
8987.150684	0.759625	1.121029e+06
9037.152237	0.291419	1.209160e+08
9087.153790	0.291419	1.209160e+08
9137.155344	2.506893	9.216903e+03
9187.156897	1.232214	8.122529e+03
9237.158451	0.341937	1.432943e+04
9287.160004	0.091135	5.927644e+04
9337.161558	0.092028	3.225694e+04
9387.163111	0.549388	3.927089e+03
9437.164664	1.929117	2.590130e+03
9487.166218	3.181513	2.192930e+03
9537.167771	2.973144	1.960280e+03
9587.169325	2.781401	1.814130e+03
9637.170878	2.536855	1.694558e+03
9687.172432	2.189766	1.570028e+03
9737.173985	1.710968	1.385122e+03
9787.175539	1.056223	1.233130e+03
9837.177092	0.574230	6.128517e+03
9887.178645	0.762636	8.258849e+03
9937.180199	0.391775	1.632524e+04
9987.181752	0.197933	8.263954e+05
10037.183306	0.827506	1.465377e+04
10087.184859	1.099827	2.471020e+07
10137.186413	1.099827	2.471020e+07
10187.187966	1.708663	3.641365e+03
10237.189519	0.683963	3.438668e+03
10287.191073	0.000000	1.134101e+06
10337.192626	0.715126	2.883346e+03
10387.194180	0.785011	3.064625e+03
10437.195733	0.524127	4.160123e+03
10487.197287	0.404469	6.249456e+03
10537.198840	0.449676	9.525300e+03
10587.200394	0.508304	1.643127e+04
10637.201947	0.518556	9.235133e+04
10687.203500	0.518556	7.999048e+07
10737.205054	0.140447	1.442318e+04
10787.206607	0.000000	1.200000e+09
10837.208161	0.000000	1.787842e+06
10887.209714	1.031605	3.642500e+03
10937.211268	1.293334	3.608028e+03
10987.212821	1.053551	4.159463e+03
11037.214374	0.725985	6.333922e+03
11087.215928	0.485394	1.332039e+04
11137.217481	0.563635	4.029968e+04
11187.219035	0.488850	2.497941e+04
11237.220588	0.019662	1.106119e+08
11287.222142	0.019662	1.493315e+05
11337.223695	0.026325	1.075329e+08
11387.225249	0.026325	1.119803e+05
11437.226802	1.570119	5.806654e+07
11487.228355	1.570119	5.806654e+07
11537.229909	1.102583	2.337616e+04
11587.231462	0.000000	1.200000e+09
11637.233016	0.000000	3.488178e+05
11687.234569	0.000586	2.173519e+08
11737.236123	0.000586	2.173519e+08
11787.237676	0.343784	4.878428e+07
11837.239229	0.343784	4.878428e+07
11887.240783	1.326028	3.263300e+07
11937.242336	1.326028	3.263300e+07
11987.243890	1.459401	1.798749e+04
12037.245443	1.856587	4.848931e+06
12087.246997	3.971336	4.791367e+03
12137.248550	1.710729	4.702866e+07
12187.250104	1.710729	4.702866e+07
12237.251657	2.290079	4.119603e+07
12287.253210	2.290079	2.794153e+05
12337.254764	5.174111	5.239126e+03
12387.256317	5.673659	5.731184e+03
12437.257871	5.673659	5.731184e+03
12487.259424	0.666306	8.099139e+07
12537.260978	0.666306	8.099139e+07
12587.262531	1.876110	9.719535e+03
12637.264085	5.275576	6.997839e+03
12687.265638	3.755965	4.715813e+03
12737.267191	0.854693	3.506544e+07
12787.268745	0.854693	3.506544e+07
12837.270298	0.263998	6.678412e+07
12887.271852	0.272260	2.750771e+04
12937.273405	0.917855	5.393806e+03
12987.274959	2.735610	1.810096e+03
13037.276512	4.117681	1.526822e+03
13087.278065	4.642757	1.352300e+03
13137.279619	3.976497	1.260627e+03
13187.281172	1.359350	1.365672e+04
13237.282726	1.197939	3.390872e+07
13287.284279	0.545285	3.423827e+07
13337.285833	7.391668	5.638356e+02
13387.287386	13.334701	4.738489e+02
13437.288940	14.851066	4.483650e+02
13487.290493	15.934225	4.312776e+02
13537.292046	16.612473	4.180698e+02
13587.293600	16.736983	4.059005e+02
13637.295153	16.454979	3.973231e+02
13687.296707	15.740339	3.913480e+02
13737.298260	14.541111	3.874696e+02
13787.299814	12.771305	3.854674e+02
13837.301367	10.293018	3.852089e+02
13887.302920	6.876976	3.867644e+02
13937.304474	2.114237	3.905005e+02
13987.306027	0.571822	7.564937e+03
14037.307581	0.511722	1.304315e+04
14087.309134	0.489785	3.854457e+04
14137.310688	0.489881	8.731864e+07
14187.312241	0.605128	2.139563e+04
14237.313795	1.210719	7.533505e+03
14287.315348	2.201179	5.012011e+03
14337.316901	2.968903	4.297367e+03
14387.318455	1.947609	1.087611e+05
14437.320008	10.726133	5.121222e+02
14487.321562	10.655345	5.402148e+02
14537.323115	9.415089	5.935628e+02
14587.324669	1.863702	7.185332e+02
14637.326222	9.520713	8.041285e+02
14687.327775	10.344991	8.870533e+02
14737.329329	9.265181	9.883042e+02
14787.330882	5.919272	1.143338e+03
14837.332436	0.710081	7.474004e+04
14887.333989	0.718963	4.297064e+04
14937.335543	0.718402	4.092364e+07
14987.337096	0.718402	4.092364e+07
15037.338650	1.298918	4.521057e+07
15087.340203	1.298918	4.521057e+07
15137.341756	4.249034	2.928946e+07
15187.343310	4.249034	2.928946e+07
15237.344863	7.581112	4.429569e+03
15287.346417	4.036865	2.901815e+07
15337.347970	10.603858	3.017321e+03
15387.349524	2.260766	2.631383e+07
15437.351077	2.260766	2.631383e+07
15487.352630	14.815968	1.001209e+03
15537.354184	1.963922	2.521100e+07
15587.355737	18.925162	8.274956e+02
15637.357291	23.292361	7.543215e+02
15687.358844	25.285542	7.130795e+02
15737.360398	23.660450	6.734232e+02
15787.361951	4.108763	1.486148e+07
15837.363505	22.710796	6.224970e+02
15887.365058	19.788322	6.067957e+02
15937.366611	26.016954	5.956189e+02
15987.368165	27.573509	5.928816e+02
16037.369718	27.846886	5.967005e+02
16087.371272	27.394100	6.064553e+02
16137.372825	26.424073	6.222875e+02
16187.374379	25.036784	6.450209e+02
16237.375932	23.283400	6.764703e+02
16287.377486	21.187207	7.202429e+02
16337.379039	18.753261	7.841993e+02
16387.380592	15.982407	8.890432e+02
16437.382146	12.936067	1.111023e+03
16487.383699	9.970944	1.827845e+03
16537.385253	6.970756	6.940297e+03
16587.386806	5.833112	1.923492e+07
16637.388360	8.206679	5.345351e+03
16687.389913	1.430767	4.525333e+07
16737.391466	1.430767	4.525333e+07
16787.393020	1.830104	3.973590e+07
16837.394573	1.827128	3.417906e+04
16887.396127	0.214888	8.613576e+07
16937.397680	0.214888	8.613576e+07
16987.399234	1.819074	1.231455e+04
17037.400787	1.524688	1.525440e+07
17087.402341	1.524688	1.525440e+07
17137.403894	0.059063	1.851176e+08
17187.405447	0.059063	1.851176e+08
17237.407001	0.468727	5.692259e+04
17287.408554	0.468707	1.137189e+08
17337.410108	0.533392	2.453560e+04
17387.411661	0.135896	1.360810e+08
17437.413215	0.066834	3.257748e+04
17487.414768	0.000000	1.200000e+09
17537.416321	0.000000	1.671785e+07
17587.417875	2.236099	4.393373e+04
17637.419428	2.241839	5.713960e+07
17687.420982	3.819594	1.355822e+04
17737.422535	1.747701	7.717868e+07
17787.424089	1.747701	8.277948e+04
17837.425642	4.521498	3.611952e+03
17887.427196	6.409451	2.685527e+03
17937.428749	6.613153	2.347967e+03
17987.430302	9.757805	2.165589e+03
18037.431856	7.281477	2.280890e+03
18087.433409	4.092671	1.393851e+07
18137.434963	4.092671	1.393851e+07
18187.436516	1.606679	1.528377e+07
18237.438070	3.278154	1.859057e+03
18287.439623	9.245055	1.623782e+03
18337.441176	6.399417	1.622319e+03
18387.442730	0.026679	6.105789e+04
18437.444283	0.027233	1.713978e+08
18487.445837	0.027233	1.713978e+08
18537.447390	4.418518	2.098821e+07
18587.448944	4.418518	2.098821e+07
18637.450497	0.000000	1.200000e+09
18687.452051	0.000000	1.200000e+09
18737.453604	0.000000	3.090864e+05
18787.455157	0.193212	6.819421e+03
18837.456711	0.286521	1.367153e+04
18887.458264	0.357733	2.896327e+04
18937.459818	0.361882	8.637957e+07
