location	LR	alpha
1378453.000000	0.000005	4.896258e+08
1378503.002197	0.000155	3.844357e+04
1378553.004395	0.578638	2.429274e+03
1378603.006592	0.036988	4.796944e+07
1378653.008789	0.192599	4.800524e+07
1378703.010986	0.000957	9.338820e+04
1378753.013184	0.000957	2.998099e+08
1378803.015381	0.278872	1.745952e+04
1378853.017578	0.149406	4.607727e+04
1378903.019775	0.314524	3.455986e+07
1378953.021973	0.081019	1.280440e+08
1379003.024170	0.084508	4.539225e+04
1379053.026367	0.094511	1.694012e+08
1379103.028564	0.095225	2.465933e+04
1379153.030762	0.296340	7.562787e+03
1379203.032959	0.803745	2.203467e+04
1379253.035156	1.432206	3.739980e+03
1379303.037354	0.067655	6.862621e+04
1379353.039551	0.468483	2.335286e+03
1379403.041748	0.635167	3.446078e+03
1379453.043945	0.384908	4.246229e+07
1379503.046143	0.403963	4.236817e+07
1379553.048340	0.996210	2.722160e+07
1379603.050537	0.310273	7.885135e+07
1379653.052734	0.000000	1.200000e+09
1379703.054932	0.000000	1.200000e+09
1379753.057129	0.318104	1.274449e+04
1379803.059326	0.622880	4.749780e+07
1379853.061523	0.184462	3.187054e+04
1379903.063721	0.003223	7.495634e+04
1379953.065918	0.001337	8.195273e+04
1380003.068115	0.000647	2.524137e+05
1380053.070312	1.234869	1.623203e+04
1380103.072510	0.000000	6.275844e+05
1380153.074707	0.000325	5.027308e+05
1380203.076904	0.018215	2.363510e+08
1380253.079102	0.000000	1.200000e+09
1380303.081299	1.066661	2.922673e+07
1380353.083496	0.252139	9.581177e+03
1380403.085693	0.084504	4.804530e+03
1380453.087891	0.000284	2.651226e+05
1380503.090088	0.208350	1.141259e+08
1380553.092285	3.433194	3.919522e+06
1380603.094482	0.000000	1.200000e+09
1380653.096680	1.156912	4.736264e+03
1380703.098877	0.031611	1.781574e+08
1380753.101074	0.070734	1.131186e+08
1380803.103271	6.067609	3.607699e+04
1380853.105469	0.000000	1.200000e+09
1380903.107666	0.001006	3.373147e+08
1380953.109863	0.000770	1.295756e+07
1381003.112061	0.268530	4.696336e+04
1381053.114258	0.000151	1.665741e+05
1381103.116455	0.000000	8.239994e+04
1381153.118652	0.000000	1.143933e+06
1381203.120850	0.000090	8.249931e+04
1381253.123047	0.319737	1.438440e+04
1381303.125244	0.000032	9.016406e+05
