location	LR	alpha	D
635497.000000	3.610101	1.578948e-01	0.020926
635547.006919	1.301366	4.009246e+00	0.020926
635597.013837	1.017582	1.026020e-01	0.041851
635647.020756	0.000000	3.873562e-01	0.020926
635697.027675	0.000000	1.494829e+00	0.020926
635747.034593	0.000000	1.087489e+00	0.020926
635797.041512	0.073142	2.969186e+00	0.041851
635847.048431	0.465646	3.145232e+01	0.041851
635897.055349	0.858303	4.605578e-01	0.020926
635947.062268	0.000000	8.033349e-01	0.020926
635997.069187	0.989100	1.200831e-01	0.041851
636047.076105	0.000000	2.994304e-01	0.020926
636097.083024	0.115921	2.440525e+00	0.020926
636147.089943	4.149556	6.932812e-02	0.041851
636197.096862	0.663942	1.666949e-01	0.041851
636247.103780	0.844755	7.945027e-01	0.020926
636297.110699	0.844755	1.843014e-01	0.020926
636347.117618	1.265125	1.042412e-01	0.020926
636397.124536	0.844755	3.886580e-01	0.020926
636447.131455	1.226823	5.577982e-02	0.020926
636497.138374	0.243058	1.412004e+01	0.041851
636547.145292	0.717554	4.308068e-01	0.020926
636597.152211	1.108480	3.024969e-01	0.020926
636647.159130	1.126233	4.021332e-01	0.020926
636697.166048	3.248794	8.685200e-02	0.041851
636747.172967	1.941555	6.656469e-01	0.041851
636797.179886	2.350300	1.851277e-01	0.041851
636847.186804	2.155308	4.836135e-01	0.020926
636897.193723	1.146322	1.595878e-01	0.041851
636947.200642	2.154561	3.749248e+00	0.041851
636997.207560	1.421247	1.514755e-02	0.020926
637047.214479	0.680209	5.882625e-01	0.041851
637097.221398	1.842506	7.906252e-02	0.041851
637147.228316	0.000000	5.932280e-01	0.020926
637197.235235	2.196901	1.922780e-01	0.041851
637247.242154	5.119992	1.154890e-02	0.041851
637297.249072	2.143759	2.524992e-02	0.041851
637347.255991	2.300589	3.020722e-02	0.041851
637397.262910	0.979173	7.986002e-02	0.020926
637447.269829	1.116598	5.991915e-02	0.020926
637497.276747	1.134476	4.794691e-02	0.020926
637547.283666	1.138971	3.996221e-02	0.020926
637597.290585	1.575383	3.425726e-02	0.020926
637647.297503	1.568540	2.997770e-02	0.020926
637697.304422	1.508767	2.664863e-02	0.020926
637747.311341	1.274911	2.398506e-02	0.020926
637797.318259	0.870006	1.353153e-01	0.020926
637847.325178	0.870006	3.102794e-01	0.020926
637897.332097	1.732329	1.779539e-02	0.020926
637947.339015	0.870006	1.956340e-01	0.020926
637997.345934	0.870006	1.077722e-01	0.020926
638047.352853	0.870006	7.437116e-02	0.020926
638097.359771	0.870006	5.677522e-02	0.020926
638147.366690	0.870006	4.591249e-02	0.020926
638197.373609	0.870006	3.853890e-02	0.020926
638247.380527	0.870006	3.320599e-02	0.020926
638297.387446	1.919929	1.142435e-02	0.020926
638347.394365	2.521862	1.090518e-02	0.020926
638397.401283	1.947706	1.043114e-02	0.020926
638447.408202	2.034254	1.255766e-02	0.020926
638497.415121	2.592334	6.171522e-03	0.020926
638547.422040	2.030949	1.402560e-02	0.020926
638597.428958	1.984605	1.489626e-02	0.041851
638647.435877	2.642954	6.526834e-03	0.020926
638697.442796	2.470636	7.442126e-03	0.020926
638747.449714	3.617049	7.655748e-03	0.020926
638797.456633	4.127658	7.739655e-03	0.020926
638847.463552	3.923657	7.497826e-03	0.020926
638897.470470	3.159679	2.220045e-02	0.041851
638947.477389	1.174132	5.673153e-02	0.041851
638997.484308	1.152444	1.137610e-01	0.041851
639047.491226	4.549820	8.617540e-03	0.020926
639097.498145	3.000203	3.927963e-02	0.041851
639147.505064	3.414242	1.033151e-02	0.020926
639197.511982	1.892954	5.839755e-02	0.020926
639247.518901	1.796079	1.726150e-01	0.020926
639297.525820	4.220219	1.046687e-02	0.020926
639347.532738	4.107341	1.098431e-02	0.020926
639397.539657	3.608276	5.812256e-02	0.020926
639447.546576	0.740209	2.225894e+00	0.041851
639497.553494	2.728128	1.239098e-02	0.020926
639547.560413	2.377414	6.650424e-02	0.041851
639597.567332	4.363593	3.137807e-02	0.041851
639647.574250	2.292624	8.851237e-02	0.041851
639697.581169	7.838510	1.962648e-02	0.020926
639747.588088	1.061478	1.630699e-01	0.020926
639797.595007	4.271112	1.795320e-02	0.020926
639847.601925	3.953082	1.879705e-02	0.020926
639897.608844	3.075694	2.207470e-02	0.020926
639947.615763	3.332807	2.417482e-02	0.020926
639997.622681	2.641448	5.623839e-02	0.041851
640047.629600	1.311337	5.302790e-01	0.041851
640097.636519	2.951401	4.128867e-02	0.020926
640147.643437	1.616177	1.894042e-01	0.041851
640197.650356	3.339983	2.931480e-02	0.020926
640247.657275	3.061435	1.956222e-01	0.020926
640297.664193	4.920003	7.157165e-02	0.020926
640347.671112	2.449090	1.299701e-01	0.041851
640397.678031	1.844742	4.825518e-02	0.020926
640447.684949	1.411274	3.562423e-01	0.041851
640497.691868	0.778196	3.786461e-01	0.041851
640547.698787	2.641692	4.368419e-02	0.041851
640597.705705	3.456093	2.754154e-02	0.041851
640647.712624	1.991066	2.288821e-02	0.041851
640697.719543	1.877969	2.239978e-02	0.041851
640747.726461	0.870006	4.244250e-01	0.020926
640797.733380	0.000000	1.551715e+00	0.020926
640847.740299	2.270924	1.018452e-02	0.041851
640897.747217	0.870006	9.793689e-01	0.020926
640947.754136	0.870006	1.230247e+00	0.020926
640997.761055	0.736005	6.887093e-02	0.041851
641047.767974	0.073177	1.327435e+01	0.041851
641097.774892	1.377117	2.410854e-01	0.041851
641147.781811	1.127305	4.954953e-01	0.020926
641197.788730	0.644100	1.345122e-01	0.041851
641247.795648	0.967094	7.892477e-01	0.041851
641297.802567	2.404005	6.116288e-02	0.020926
641347.809486	0.000000	2.495070e+00	0.020926
641397.816404	0.794911	4.699939e-01	0.041851
641447.823323	0.212808	4.766316e-01	0.041851
641497.830242	1.220030	3.172065e-01	0.041851
641547.837160	0.000000	4.644474e-01	0.020926
641597.844079	0.000000	1.582194e-01	0.020926
641647.850998	0.000000	1.787071e-01	0.020926
641697.857916	0.000000	7.000318e-01	0.020926
641747.864835	1.194486	2.064155e-01	0.041851
641797.871754	0.126453	3.140308e-02	0.041851
641847.878672	0.000000	2.865421e-01	0.020926
641897.885591	0.327128	9.532468e-02	0.041851
641947.892510	0.121588	6.822351e-02	0.041851
641997.899428	0.056095	4.270378e-01	0.041851
642047.906347	1.533325	1.225284e+01	0.041851
642097.913266	0.870006	7.095020e-01	0.020926
642147.920184	0.200745	1.793180e-01	0.041851
642197.927103	0.080577	1.026280e-01	0.041851
642247.934022	0.000000	1.766420e-01	0.020926
642297.940941	0.000000	2.305075e-01	0.020926
642347.947859	0.865703	5.138431e-01	0.041851
642397.954778	1.365105	2.941503e-02	0.041851
642447.961697	0.245274	1.134996e+00	0.041851
642497.968615	0.000000	5.990600e-01	0.020926
642547.975534	0.831903	6.024103e-01	0.041851
642597.982453	0.000000	9.243247e-01	0.020926
642647.989371	0.417923	7.518571e-01	0.041851
642697.996290	0.000000	1.333883e+00	0.020926
642748.003209	0.073177	4.397983e-01	0.041851
642798.010127	0.000000	2.104889e-01	0.020926
642848.017046	0.000000	2.105893e-01	0.020926
642898.023965	0.194989	3.159888e-01	0.041851
642948.030883	1.452887	6.842185e-01	0.041851
642998.037802	0.035455	1.342349e-01	0.041851
643048.044721	0.000000	2.183594e-01	0.020926
643098.051639	0.397081	3.621494e-01	0.041851
643148.058558	0.820670	1.584938e-01	0.041851
643198.065477	0.000000	9.277500e-01	0.020926
643248.072395	0.000000	2.435261e+00	0.020926
643298.079314	2.170350	2.452950e-01	0.041851
643348.086233	0.472979	2.055657e+00	0.041851
643398.093152	0.425457	2.178129e-01	0.041851
643448.100070	0.000000	4.428033e-01	0.020926
643498.106989	1.654606	1.556279e-01	0.041851
643548.113908	0.000000	2.849416e-01	0.020926
643598.120826	0.038589	1.302637e-01	0.041851
643648.127745	0.048623	1.371786e-01	0.041851
643698.134664	0.000000	3.515488e-01	0.020926
643748.141582	0.000000	3.888729e-01	0.020926
643798.148501	0.786454	8.965161e-02	0.041851
643848.155420	0.870006	1.753212e+00	0.020926
643898.162338	0.667673	1.265320e-01	0.041851
643948.169257	0.000000	9.352540e-01	0.020926
643998.176176	0.427663	2.408487e-01	0.041851
644048.183094	0.108553	1.099657e+00	0.041851
644098.190013	0.000000	1.177624e+00	0.020926
644148.196932	0.623989	8.264023e-01	0.041851
644198.203850	0.000000	2.489428e-01	0.020926
644248.210769	0.000000	1.221862e-01	0.020926
644298.217688	0.000000	2.459908e-01	0.020926
644348.224606	2.529141	3.954976e-01	0.041851
644398.231525	3.761238	3.095299e-01	0.041851
644448.238444	1.393410	8.953006e-02	0.041851
644498.245362	4.661458	3.232364e-02	0.041851
644548.252281	0.677287	1.162202e-01	0.041851
644598.259200	1.702176	9.363821e-01	0.041851
644648.266119	0.870006	3.674085e+00	0.020926
644698.273037	1.426816	4.737971e-02	0.041851
644748.279956	1.397203	1.931497e-02	0.041851
644798.286875	0.000000	8.677614e-02	0.020926
644848.293793	0.000000	6.373021e-02	0.020926
644898.300712	0.000000	5.035655e-02	0.020926
644948.307631	0.000000	4.162221e-02	0.020926
644998.314549	0.000000	3.925605e-02	0.020926
645048.321468	0.000000	4.693395e-02	0.020926
645098.328387	0.067863	5.365006e-02	0.020926
645148.335305	0.067840	6.909866e-02	0.020926
645198.342224	0.067784	9.704202e-02	0.020926
645248.349143	0.067501	1.629309e-01	0.020926
645298.356061	1.705839	1.026541e-01	0.041851
645348.362980	0.500136	5.670088e-02	0.020926
645398.369899	1.182499	1.342734e-01	0.041851
645448.376817	1.723814	1.087185e-01	0.020926
645498.383736	0.751095	1.156028e-01	0.041851
645548.390655	1.132547	7.255549e-02	0.041851
645598.397573	0.000000	1.578443e+00	0.020926
645648.404492	0.000000	4.917128e-01	0.020926
645698.411411	0.000000	6.517699e-01	0.020926
645748.418329	0.073177	1.193026e+00	0.041851
645798.425248	0.623989	3.503977e+00	0.041851
645848.432167	0.870006	2.707479e+00	0.020926
645898.439086	0.190385	2.296808e+00	0.041851
645948.446004	1.282493	7.769001e-01	0.041851
645998.452923	1.393489	1.832879e+00	0.041851
646048.459842	3.009248	1.170115e-02	0.041851
646098.466760	1.526900	1.206433e-01	0.020926
646148.473679	0.623989	3.145717e+00	0.041851
646198.480598	1.073971	1.529041e-01	0.020926
646248.487516	0.198399	1.304592e-01	0.041851
646298.494435	1.749214	4.247870e-02	0.020926
646348.501354	3.427547	3.609007e-02	0.041851
646398.508272	7.156825	3.026418e-02	0.041851
646448.515191	3.513480	1.843634e-01	0.041851
646498.522110	3.303455	3.840272e-02	0.020926
646548.529028	2.623504	1.677640e-01	0.020926
646598.535947	2.850819	3.058947e-01	0.041851
646648.542866	3.095750	7.474638e-02	0.041851
646698.549784	1.239605	5.182471e-02	0.020926
646748.556703	1.234640	1.921744e-01	0.041851
646798.563622	0.870006	1.254755e+00	0.020926
646848.570540	1.641503	2.428356e-01	0.041851
646898.577459	0.000000	3.683530e-01	0.020926
646948.584378	0.000000	8.476842e+00	0.020926
646998.591297	1.353575	1.591328e-01	0.041851
647048.598215	0.046450	1.762007e+00	0.041851
647098.605134	1.236448	4.877032e-01	0.041851
647148.612053	0.375602	6.041930e-02	0.041851
647198.618971	0.000000	3.315860e+00	0.020926
647248.625890	1.639231	6.706873e-01	0.041851
647298.632809	0.242727	9.947545e-02	0.041851
647348.639727	0.000000	3.708252e-01	0.020926
647398.646646	0.038063	6.800160e-01	0.041851
647448.653565	1.217971	2.129683e-01	0.041851
647498.660483	0.000000	1.892889e+00	0.020926
647548.667402	0.000000	2.769702e+00	0.020926
647598.674321	0.000000	4.184929e-01	0.020926
647648.681239	0.282376	1.782565e-01	0.041851
647698.688158	0.100540	1.805108e-01	0.041851
