location	LR	alpha	D
1378576.000000	0.574354	1.347915e+02	0.036835
1378626.001648	1.309921	1.011522e-01	0.036835
1378676.003296	2.759529	1.941758e-02	0.036835
1378726.004944	0.368009	1.153791e-01	0.036835
1378776.006593	0.671950	2.469170e-02	0.036835
1378826.008241	3.112091	8.163309e-03	0.036835
1378876.009889	1.022302	1.154056e+00	0.036835
1378926.011537	5.045588	6.233804e-03	0.036835
1378976.013185	3.394866	5.430757e-03	0.036835
1379026.014833	1.443504	5.524900e-03	0.036835
1379076.016482	0.000000	8.956326e-02	0.018418
1379126.018130	0.000000	1.428880e-01	0.018418
1379176.019778	0.000000	3.531466e-01	0.018418
1379226.021426	0.000000	1.719549e+00	0.018418
1379276.023074	0.156171	1.147007e-01	0.036835
1379326.024722	0.312213	6.951027e-01	0.036835
1379376.026370	0.000000	2.263026e-01	0.018418
1379426.028019	1.442203	6.383931e-02	0.036835
1379476.029667	0.815540	1.600633e-01	0.036835
1379526.031315	1.131226	3.995829e-01	0.018418
1379576.032963	0.887353	1.347816e-01	0.036835
1379626.034611	0.975993	4.027315e-02	0.036835
1379676.036259	3.459095	2.708582e-02	0.036835
1379726.037907	2.755445	8.891388e-02	0.036835
1379776.039556	0.540726	2.177728e+00	0.036835
1379826.041204	1.003838	5.208059e-01	0.018418
1379876.042852	1.889694	2.793482e-01	0.036835
1379926.044500	0.805051	1.968649e-01	0.036835
1379976.046148	4.548633	3.680461e-02	0.018418
1380026.047796	1.344322	2.446593e-01	0.018418
1380076.049445	1.723554	5.455770e-02	0.018418
1380126.051093	2.730124	7.060945e-02	0.018418
1380176.052741	1.732706	6.028552e-02	0.018418
1380226.054389	1.379537	8.002903e-02	0.018418
1380276.056037	4.658150	2.268191e-02	0.018418
1380326.057685	1.726601	1.033968e-01	0.036835
1380376.059333	0.243413	2.095780e+00	0.036835
1380426.060982	2.451987	5.553986e-02	0.036835
1380476.062630	1.962779	2.184305e-01	0.036835
1380526.064278	5.698627	1.837492e-02	0.036835
1380576.065926	1.873790	1.967001e-02	0.018418
1380626.067574	1.335604	1.199189e-01	0.018418
1380676.069222	1.667067	7.456622e-02	0.018418
1380726.070870	1.259404	5.997873e-02	0.018418
1380776.072519	0.708078	4.445638e-02	0.018418
1380826.074167	0.663205	1.098314e+00	0.018418
1380876.075815	0.666505	5.768723e-02	0.036835
1380926.077463	0.258112	1.000646e-01	0.036835
1380976.079111	0.525595	2.098409e+01	0.036835
1381026.080759	0.672450	6.024325e-01	0.018418
1381076.082408	0.672450	3.989042e-01	0.018418
1381126.084056	0.000000	1.668615e-01	0.018418
1381176.085704	0.000000	5.475878e-01	0.018418
1381226.087352	4.366495	9.381691e-03	0.036835
