location	LR	alpha	D
2476347.000000	4.922777	6.557378e-02	0.033575
2476397.003976	4.983020	1.017324e-02	0.033575
2476447.007952	2.512633	1.018411e-01	0.033575
2476497.011927	1.918366	4.615597e-02	0.033575
2476547.015903	8.379592	2.197866e-02	0.033575
2476597.019879	3.540522	2.419451e-02	0.033575
2476647.023855	1.660062	1.658643e-01	0.033575
2476697.027831	0.096296	9.976863e-01	0.033575
2476747.031807	7.148953	3.400889e-02	0.033575
2476797.035782	5.853905	3.287995e-02	0.016787
2476847.039758	2.577006	9.377911e-02	0.033575
2476897.043734	6.005630	6.123815e-02	0.016787
2476947.047710	5.232996	1.305024e-01	0.016787
2476997.051686	9.388868	1.477927e-02	0.016787
2477047.055662	4.871047	1.378428e-01	0.016787
2477097.059637	5.726520	6.028343e-02	0.016787
2477147.063613	7.086450	9.235290e-02	0.033575
2477197.067589	3.162724	1.388818e-01	0.033575
2477247.071565	8.937027	4.180141e-02	0.033575
2477297.075541	7.499817	2.537404e-02	0.033575
2477347.079517	5.832977	2.597851e-02	0.016787
2477397.083492	6.340279	3.323330e-02	0.033575
2477447.087468	8.466556	2.185444e-02	0.033575
2477497.091444	4.620304	2.003032e-02	0.033575
2477547.095420	2.330195	8.045516e-03	0.033575
2477597.099396	4.091936	9.046579e-03	0.033575
2477647.103372	4.368043	1.595964e-02	0.016787
2477697.107347	1.930407	2.186085e-01	0.016787
2477747.111323	2.583490	1.223101e-01	0.016787
2477797.115299	3.244431	1.130845e-01	0.033575
2477847.119275	0.136311	6.095063e-02	0.033575
2477897.123251	0.000000	9.898337e-01	0.016787
2477947.127226	0.260904	1.058705e-01	0.033575
2477997.131202	1.345858	4.352375e-01	0.033575
2478047.135178	0.098350	1.232961e+00	0.033575
2478097.139154	1.767579	1.006829e-02	0.033575
2478147.143130	1.405322	9.905833e-01	0.033575
2478197.147106	1.078224	5.612954e-01	0.033575
2478247.151081	1.252474	1.051238e-01	0.033575
2478297.155057	0.813906	1.345969e-01	0.016787
2478347.159033	2.993259	1.645652e-01	0.033575
2478397.163009	5.097668	3.418242e-01	0.033575
2478447.166985	1.146984	3.063805e-01	0.033575
2478497.170961	0.891436	3.784342e+00	0.016787
2478547.174936	3.964429	3.420591e-02	0.033575
2478597.178912	3.783728	2.961656e-02	0.033575
2478647.182888	3.404255	1.018528e-01	0.033575
2478697.186864	2.478838	9.829733e-01	0.033575
2478747.190840	0.872088	3.051159e-01	0.033575
2478797.194816	0.710608	8.021539e-02	0.033575
2478847.198791	0.623784	3.344471e-02	0.033575
2478897.202767	0.567572	6.342400e-02	0.016787
2478947.206743	0.621797	4.126642e-02	0.016787
2478997.210719	1.024212	4.112556e-02	0.016787
2479047.214695	0.432280	5.535433e-02	0.016787
2479097.218670	0.662261	1.156277e-01	0.033575
2479147.222646	2.918330	8.463974e-02	0.016787
2479197.226622	1.551025	1.897935e-01	0.016787
2479247.230598	1.527426	4.448244e-02	0.033575
2479297.234574	1.337954	5.798962e-01	0.033575
2479347.238550	0.891436	1.657790e+00	0.016787
2479397.242525	0.000000	8.131475e-01	0.016787
2479447.246501	0.317830	1.563447e-01	0.033575
2479497.250477	0.000000	1.454462e+00	0.016787
2479547.254453	0.480707	1.638126e-01	0.033575
2479597.258429	0.684243	2.192119e-01	0.033575
2479647.262405	4.294938	1.268148e-02	0.033575
2479697.266380	4.141228	9.283158e-02	0.033575
2479747.270356	1.807049	5.156776e-01	0.033575
2479797.274332	0.681495	2.683023e-01	0.033575
2479847.278308	1.077987	4.978254e-01	0.033575
2479897.282284	0.329657	6.519975e-01	0.033575
2479947.286260	1.121614	1.866650e-01	0.033575
