location	LR	alpha
5223817.000000	4.280508	3.955095e+02
5223867.006316	3.709499	4.348967e+02
5223917.012633	0.559404	4.633768e+02
5223967.018949	3.875049	4.989041e+02
5224017.025266	4.065831	5.575965e+02
5224067.031582	0.332094	2.281799e+07
5224117.037899	2.082988	9.212176e+06
5224167.044215	5.104751	6.517663e+02
5224217.050531	5.189053	6.675890e+02
5224267.056848	4.945388	7.334309e+02
5224317.063164	4.620256	8.864543e+02
5224367.069481	3.798855	1.130791e+03
5224417.075797	3.651379	5.618176e+03
5224467.082113	1.149527	8.010211e+03
5224517.088430	0.041350	1.646571e+08
5224567.094746	2.071372	2.070924e+07
5224617.101063	0.000000	1.200000e+09
5224667.107379	1.191927	2.934265e+03
5224717.113696	2.514824	1.753144e+03
5224767.120012	2.287611	1.576270e+03
5224817.126328	1.307319	1.763482e+03
5224867.132645	0.166690	6.645288e+03
5224917.138961	0.594449	5.442877e+07
5224967.145278	0.251297	1.129067e+04
5225017.151594	0.074943	4.558914e+04
5225067.157911	0.000000	2.918397e+05
5225117.164227	0.000000	7.762589e+05
5225167.170543	0.137386	1.168507e+08
5225217.176860	0.000000	3.067823e+05
5225267.183176	0.071813	6.560964e+04
5225317.189493	1.441060	5.036609e+03
5225367.195809	2.081652	3.582598e+03
5225417.202126	0.464896	4.912785e+04
5225467.208442	1.434660	7.472789e+03
5225517.214758	0.000000	1.200000e+09
5225567.221075	0.000000	4.268743e+05
5225617.227391	0.156428	1.113181e+08
5225667.233708	0.000000	3.862848e+05
5225717.240024	0.001518	1.769658e+05
5225767.246340	0.282893	1.635812e+04
5225817.252657	0.000000	1.200000e+09
5225867.258973	0.000000	1.859482e+06
5225917.265290	0.000000	1.137702e+05
5225967.271606	0.000000	5.868023e+04
5226017.277923	0.000000	3.953604e+04
5226067.284239	0.000051	9.635266e+03
5226117.290555	0.013445	5.472233e+03
5226167.296872	0.053250	5.140201e+03
5226217.303188	0.170403	5.461463e+03
5226267.309505	0.742174	1.210448e+04
5226317.315821	0.005749	4.080151e+04
5226367.322138	0.000000	8.483189e+05
5226417.328454	0.000000	2.444510e+05
5226467.334770	0.000000	7.197614e+05
5226517.341087	0.000000	1.200000e+09
5226567.347403	0.148467	1.148236e+08
5226617.353720	0.145465	2.725342e+04
5226667.360036	2.567044	6.740268e+03
5226717.366353	2.064560	1.311152e+03
5226767.372669	2.564934	1.116545e+03
5226817.378985	2.959490	1.169987e+03
5226867.385302	3.273820	1.473703e+03
5226917.391618	3.775630	2.225514e+03
5226967.397935	3.901569	5.306767e+03
5227017.404251	0.310541	6.376782e+07
5227067.410567	0.332094	2.862200e+05
5227117.416884	0.969016	1.878562e+03
5227167.423200	0.000000	2.398325e+06
5227217.429517	2.425525	5.985256e+02
5227267.435833	5.140106	5.513103e+02
5227317.442150	7.648583	5.252537e+02
5227367.448466	8.285157	5.122118e+02
5227417.454782	8.577347	5.026285e+02
5227467.461099	8.607889	5.128300e+02
5227517.467415	8.342334	5.447513e+02
5227567.473732	0.862466	1.504601e+07
5227617.480048	1.465895	1.122760e+07
5227667.486365	1.720811	1.743652e+07
5227717.492681	2.330716	1.639550e+07
5227767.498997	0.000000	1.200000e+09
5227817.505314	0.000000	1.200000e+09
5227867.511630	0.000000	1.266540e+07
5227917.517947	0.000000	1.282713e+05
5227967.524263	0.000000	8.668044e+05
5228017.530580	0.000000	2.186748e+06
5228067.536896	0.862466	1.504601e+07
5228117.543212	0.767366	8.884373e+03
5228167.549529	1.398125	1.502992e+07
5228217.555845	0.084479	1.595356e+08
5228267.562162	1.395585	1.542621e+04
5228317.568478	0.000000	1.639622e+05
5228367.574794	0.003403	1.678443e+05
5228417.581111	0.103786	3.085455e+04
5228467.587427	0.060633	6.776768e+04
5228517.593744	0.300834	1.908653e+04
5228567.600060	0.841407	2.983162e+07
5228617.606377	1.639992	4.202113e+03
5228667.612693	0.055910	1.205319e+08
5228717.619009	0.000000	2.892518e+05
5228767.625326	5.037242	4.333174e+04
5228817.631642	0.000000	5.129488e+06
5228867.637959	0.000831	3.108608e+08
5228917.644275	0.072313	1.352431e+08
5228967.650592	0.000000	1.200000e+09
5229017.656908	0.003401	4.774640e+04
5229067.663224	0.214135	1.237789e+04
5229117.669541	0.240558	5.636333e+07
5229167.675857	0.332094	2.281799e+07
5229217.682174	0.724912	2.805412e+03
5229267.688490	3.953953	2.183847e+03
5229317.694806	4.845265	2.371011e+03
5229367.701123	2.811984	1.854472e+03
5229417.707439	1.347243	2.066366e+03
5229467.713756	0.303271	2.723399e+03
5229517.720072	0.180788	3.973277e+03
5229567.726389	0.000000	8.141630e+04
5229617.732705	0.000000	2.927241e+05
5229667.739021	0.063385	1.135562e+05
5229717.745338	0.006807	7.856093e+04
5229767.751654	0.007435	1.744792e+04
5229817.757971	0.511294	3.589062e+03
