location	LR	alpha
635351.000000	0.787912	1.920311e+07
635401.004909	0.001627	1.140685e+05
635451.009818	0.000007	6.337226e+05
635501.014727	0.038854	2.089641e+08
635551.019635	0.027926	1.529788e+07
635601.024544	0.221111	5.177912e+03
635651.029453	0.064152	5.277903e+03
635701.034362	0.005424	1.162563e+04
635751.039271	0.006248	5.167082e+04
635801.044180	0.000000	5.947449e+05
635851.049088	0.000007	4.528768e+04
635901.053997	0.000010	1.642795e+04
635951.058906	0.024054	8.401750e+03
636001.063815	0.024952	7.782430e+04
636051.068724	0.000000	5.878349e+04
636101.073633	0.587434	2.741933e+07
636151.078541	0.028710	2.389518e+08
636201.083450	0.000000	8.272588e+05
636251.088359	0.046332	1.205318e+04
636301.093268	0.000351	1.536101e+04
636351.098177	0.000274	8.979201e+03
636401.103086	0.000172	6.612651e+03
636451.107994	0.039720	2.494001e+03
636501.112903	0.124564	2.750149e+03
636551.117812	0.174050	3.559669e+03
636601.122721	0.276800	5.428655e+03
636651.127630	1.582449	1.246337e+04
636701.132539	0.027703	6.945116e+04
636751.137447	0.183030	2.024362e+04
636801.142356	0.000000	1.200000e+09
636851.147265	0.196472	3.775281e+03
636901.152174	0.060150	2.737529e+03
636951.157083	0.376324	1.813891e+03
637001.161992	0.897245	1.827763e+03
637051.166900	1.245043	2.311146e+03
637101.171809	0.000007	8.748607e+04
637151.176718	0.763514	1.048018e+03
637201.181627	0.713880	1.210070e+03
637251.186536	0.341209	2.025366e+03
637301.191445	0.002710	1.657245e+05
637351.196353	0.007174	2.719311e+08
637401.201262	0.238828	3.342268e+03
637451.206171	0.358223	1.645521e+03
637501.211080	0.437516	1.063649e+03
637551.215989	0.578085	7.818922e+02
637601.220898	0.712049	6.414525e+02
637651.225806	0.817075	5.588786e+02
637701.230715	0.896808	5.058628e+02
637751.235624	0.950961	4.723503e+02
637801.240533	0.949879	4.558159e+02
637851.245442	0.622146	4.695065e+02
637901.250351	1.494780	2.713369e+03
637951.255259	0.964497	4.515109e+02
638001.260168	0.711448	4.555163e+02
638051.265077	0.519750	5.151236e+02
638101.269986	0.399251	5.888131e+02
638151.274895	0.311716	6.217254e+02
638201.279804	0.237362	6.459235e+02
638251.284712	0.168973	6.732808e+02
638301.289621	0.104372	7.141209e+02
638351.294530	0.046435	7.917528e+02
638401.299439	0.007593	9.920322e+02
638451.304348	0.000881	1.478602e+03
638501.309257	0.002047	1.624490e+03
638551.314165	0.002871	1.759184e+03
638601.319074	0.003201	1.968560e+03
638651.323983	0.003244	2.280507e+03
638701.328892	0.003199	2.735239e+03
638751.333801	0.003151	3.421785e+03
638801.338710	0.003128	4.557309e+03
638851.343619	0.003124	6.801390e+03
638901.348527	0.003124	1.338608e+04
638951.353436	0.003124	4.199113e+05
639001.358345	0.003124	1.283883e+04
639051.363254	0.005602	6.144689e+03
639101.368163	0.002714	1.003049e+04
639151.373072	0.002710	3.560087e+04
639201.377980	0.002710	3.038716e+04
639251.382889	0.000000	4.823085e+04
