location	LR	alpha	D
635465.000000	1.367416	3.186394e+01	0.033575
635515.004311	1.896263	1.621716e-01	0.033575
635565.008622	2.009301	6.394599e-01	0.033575
635615.012934	2.933205	2.636211e-03	0.016787
635665.017245	0.891436	1.578589e-01	0.016787
635715.021556	0.017425	9.522179e-02	0.016787
635765.025867	1.125367	6.817179e-02	0.033575
635815.030178	2.148819	2.131760e-02	0.033575
635865.034490	1.562887	3.644128e-01	0.033575
635915.038801	0.260477	1.608050e-01	0.033575
635965.043112	0.000000	7.977075e-01	0.016787
636015.047423	0.246306	1.484536e+00	0.033575
636065.051735	0.857042	3.109226e-02	0.016787
636115.056046	2.058014	1.427200e-01	0.016787
636165.060357	0.887715	4.604694e-01	0.016787
636215.064668	1.141049	1.142154e-01	0.016787
636265.068979	1.387493	6.979541e-02	0.016787
636315.073291	0.874447	9.841975e-02	0.016787
636365.077602	0.874447	1.668465e-01	0.016787
636415.081913	0.874447	5.474930e-01	0.016787
636465.086224	2.905392	2.726097e-01	0.033575
636515.090535	2.736905	8.903787e-02	0.033575
636565.094847	2.304596	3.910002e-02	0.033575
636615.099158	0.878340	1.440301e-01	0.033575
636665.103469	2.721996	7.004767e-01	0.033575
636715.107780	0.894882	2.452874e+00	0.016787
636765.112091	0.326339	1.186698e+00	0.033575
636815.116403	1.210981	1.117435e-01	0.033575
636865.120714	2.115064	1.455470e-02	0.016787
636915.125025	1.207669	5.423724e-01	0.033575
636965.129336	1.083259	9.989235e-02	0.033575
637015.133647	2.822037	8.123842e-03	0.016787
637065.137959	1.112753	2.616543e-01	0.033575
637115.142270	1.343541	9.100717e-02	0.033575
637165.146581	1.310010	1.687004e+00	0.033575
637215.150892	4.039950	4.556068e-03	0.033575
637265.155204	5.283553	4.119685e-03	0.016787
637315.159515	0.325097	3.888072e-01	0.033575
637365.163826	0.466459	8.440967e-02	0.016787
637415.168137	0.442394	7.042947e-02	0.033575
637465.172448	0.250718	4.955148e-02	0.033575
637515.176760	0.055315	4.107104e-02	0.033575
637565.181071	0.000000	6.085779e-02	0.016787
637615.185382	0.000000	5.534682e-02	0.016787
637665.189693	0.000000	7.193802e-02	0.016787
637715.194004	0.101249	3.456281e-02	0.033575
637765.198316	0.127600	5.550921e-02	0.033575
637815.202627	0.102956	2.133940e-01	0.033575
637865.206938	0.120464	1.208964e-01	0.033575
637915.211249	0.128200	4.633423e-02	0.033575
