location	LR	alpha	D
1850724.000000	1.840168	7.548669e+01	0.034451
1850774.002499	3.983371	4.671084e-03	0.034451
1850824.004998	0.816959	6.622536e-03	0.034451
1850874.007497	2.879057	9.523241e-02	0.034451
1850924.009996	5.023917	7.330528e-03	0.034451
1850974.012495	1.399720	9.493764e-03	0.034451
1851024.014994	1.291175	9.884798e-03	0.034451
1851074.017493	0.768404	8.009342e-01	0.034451
1851124.019992	1.059891	2.018136e+00	0.034451
1851174.022491	1.345088	7.644409e-02	0.034451
1851224.024990	0.588573	8.475573e-01	0.034451
1851274.027489	1.209369	2.265326e-01	0.034451
1851324.029988	0.808472	3.746488e-01	0.017225
1851374.032487	0.553982	3.928628e-01	0.034451
1851424.034986	0.562317	1.111472e-01	0.034451
1851474.037485	0.000000	2.972148e+00	0.017225
1851524.039984	0.517664	1.580404e+00	0.034451
1851574.042483	4.073496	2.684309e-02	0.034451
1851624.044982	1.896037	1.298764e-02	0.034451
1851674.047481	1.495358	1.263095e-02	0.034451
1851724.049980	0.738270	1.490687e+00	0.034451
1851774.052479	3.559458	4.779877e-02	0.017225
1851824.054978	2.795560	1.965442e-01	0.034451
1851874.057477	2.331385	3.550899e-02	0.017225
1851924.059976	2.431768	3.324652e-02	0.017225
1851974.062475	0.569294	2.430367e+00	0.034451
1852024.064974	3.539460	2.290360e-02	0.017225
1852074.067473	3.908478	7.320084e-02	0.034451
1852124.069972	3.645107	2.830656e-02	0.034451
1852174.072471	3.878042	2.597811e-02	0.017225
1852224.074970	2.727219	3.288348e-02	0.017225
1852274.077469	1.348121	3.946361e-02	0.017225
1852324.079968	4.606678	5.359056e-02	0.034451
1852374.082467	3.868068	6.483596e-02	0.034451
1852424.084966	0.000000	1.412330e+02	0.017225
1852474.087465	3.769322	1.459699e-02	0.017225
1852524.089964	1.283125	2.218526e-01	0.017225
1852574.092463	1.700732	1.152821e-01	0.034451
1852624.094962	1.950490	6.776025e-02	0.034451
1852674.097461	1.394472	3.538807e-02	0.034451
1852724.099960	1.934346	1.938924e-02	0.034451
1852774.102459	1.853951	2.580077e-02	0.034451
1852824.104958	4.329759	1.068666e-02	0.034451
1852874.107457	5.346702	1.080004e-02	0.034451
1852924.109956	2.017661	3.417834e-01	0.034451
1852974.112455	4.289136	1.877604e-02	0.034451
1853024.114954	0.214709	1.351176e-02	0.017225
1853074.117453	0.808265	9.532694e-02	0.034451
1853124.119952	1.525465	5.937069e-02	0.034451
1853174.122451	2.932694	4.637224e-01	0.034451
1853224.124950	1.987361	7.643919e-03	0.017225
1853274.127449	1.725472	5.501371e-02	0.017225
1853324.129948	3.044392	2.984111e-02	0.034451
1853374.132447	1.274906	1.035665e-01	0.034451
1853424.134946	0.520793	2.389796e-02	0.017225
1853474.137445	3.878495	1.168295e-02	0.017225
1853524.139944	2.042263	2.783319e-02	0.017225
1853574.142443	1.102978	6.446677e-02	0.034451
1853624.144942	1.107337	5.828484e-03	0.017225
1853674.147441	0.906569	5.124977e-02	0.034451
1853724.149940	0.624586	4.778021e-02	0.017225
1853774.152439	0.473625	1.756563e-02	0.017225
1853824.154938	1.153641	1.636762e-02	0.017225
1853874.157437	1.382193	2.763975e-02	0.017225
1853924.159936	0.531662	7.800309e-02	0.034451
1853974.162435	5.379856	1.358754e-02	0.034451
1854024.164934	2.402329	8.622860e-02	0.034451
1854074.167433	2.274929	4.179138e-02	0.034451
1854124.169932	1.216730	8.877716e-02	0.034451
1854174.172431	0.951408	2.845460e-01	0.017225
1854224.174930	3.018931	1.548737e-02	0.034451
1854274.177429	1.554594	1.463732e-02	0.034451
1854324.179928	1.219788	6.244148e-02	0.017225
1854374.182427	1.517695	9.351750e-03	0.034451
1854424.184926	1.101999	3.244864e-02	0.017225
1854474.187425	1.859540	3.506849e-02	0.017225
1854524.189924	1.234421	4.121021e-02	0.017225
1854574.192423	0.931932	5.459319e-02	0.017225
1854624.194922	0.931926	7.066925e-02	0.017225
1854674.197421	0.931915	1.001648e-01	0.017225
1854724.199920	0.931877	1.719195e-01	0.017225
1854774.202419	0.930466	6.061344e-01	0.017225
1854824.204918	0.000000	5.856001e+01	0.017225
1854874.207417	0.000000	1.303298e+00	0.017225
1854924.209916	0.000000	2.026688e-01	0.017225
1854974.212415	0.946152	1.738813e-02	0.034451
1855024.214914	0.000000	2.847033e+00	0.017225
1855074.217413	2.128873	2.128480e-02	0.034451
1855124.219912	1.464694	3.569092e-02	0.034451
1855174.222411	0.823621	2.194677e-02	0.034451
1855224.224910	1.256675	1.179043e-02	0.034451
1855274.227409	0.167515	2.935618e-02	0.034451
1855324.229908	0.826491	1.323379e-02	0.034451
1855374.232407	0.000000	6.584998e-02	0.017225
1855424.234906	0.938417	5.613638e-02	0.017225
1855474.237405	0.938382	7.327679e-02	0.017225
1855524.239904	0.938280	1.054851e-01	0.017225
1855574.242403	0.937537	1.882128e-01	0.017225
1855624.244902	1.999179	1.985950e-02	0.017225
1855674.247401	0.987306	1.554587e-01	0.034451
1855724.249900	0.875377	2.391628e-02	0.034451
1855774.252399	2.373438	2.627272e-02	0.034451
1855824.254898	3.476894	2.986968e-02	0.034451
1855874.257397	0.848115	1.314962e-01	0.034451
1855924.259896	2.144730	3.957001e-02	0.017225
1855974.262395	1.178571	2.296106e-01	0.017225
1856024.264894	2.416937	5.804530e-02	0.017225
1856074.267393	3.694528	1.156820e-01	0.034451
1856124.269892	2.881980	8.148304e-02	0.017225
1856174.272391	1.979372	1.927018e-01	0.017225
1856224.274890	2.966489	3.776849e-02	0.034451
1856274.277389	0.000000	4.326055e+01	0.017225
1856324.279888	1.625005	3.134806e-01	0.034451
1856374.282387	0.651859	5.100256e-02	0.034451
1856424.284886	2.728489	2.750496e-02	0.034451
1856474.287385	1.307747	2.088001e-02	0.034451
1856524.289884	3.264760	2.159400e-02	0.034451
1856574.292383	0.747445	3.716046e-01	0.034451
1856624.294882	0.000000	1.701843e+01	0.017225
1856674.297381	0.000000	9.024336e-01	0.017225
1856724.299880	0.753406	1.208461e-01	0.034451
1856774.302379	0.645475	2.536869e-01	0.017225
1856824.304878	2.051715	7.351568e-03	0.034451
1856874.307377	2.013142	1.227864e-02	0.034451
1856924.309876	0.345170	4.280977e-02	0.034451
1856974.312375	1.455575	3.850334e-02	0.034451
1857024.314874	0.634363	7.192034e-01	0.017225
1857074.317373	0.119537	2.194481e-01	0.017225
1857124.319872	1.687846	4.520176e-03	0.034451
1857174.322371	0.758066	1.953575e-01	0.017225
1857224.324870	0.869236	1.184309e-01	0.017225
1857274.327369	1.003437	7.929827e-02	0.017225
1857324.329868	1.613529	5.389136e-02	0.017225
1857374.332367	1.544316	4.774553e-02	0.017225
1857424.334866	1.372644	3.982280e-02	0.017225
1857474.337365	0.929721	5.590165e-02	0.017225
1857524.339864	0.966644	6.990559e-02	0.017225
1857574.342363	1.621377	1.024387e-01	0.034451
1857624.344862	0.621299	7.341754e-01	0.017225
1857674.347361	1.144556	2.457268e-02	0.034451
1857724.349860	0.964280	6.271234e-02	0.034451
1857774.352359	1.683052	4.275824e-02	0.034451
1857824.354858	1.757215	3.152544e-02	0.034451
1857874.357357	2.678788	1.516382e-02	0.034451
1857924.359856	2.643151	1.426263e-02	0.034451
1857974.362355	1.154879	1.346254e-02	0.034451
1858024.364854	1.335584	2.156976e-02	0.017225
1858074.367353	1.731856	1.924083e-01	0.034451
1858124.369852	0.417454	1.214927e-01	0.034451
1858174.372351	1.080041	2.960243e-02	0.017225
1858224.374850	1.201690	6.881726e-02	0.017225
1858274.377349	1.315124	1.007238e-02	0.017225
1858324.379848	0.317976	1.801257e-01	0.017225
1858374.382347	1.626793	5.194747e-02	0.034451
1858424.384846	1.688729	2.847224e-02	0.034451
1858474.387345	1.627059	8.624489e-03	0.017225
1858524.389844	3.085454	8.325298e-03	0.017225
1858574.392343	1.381076	8.046175e-03	0.017225
1858624.394842	0.913924	3.329681e-02	0.017225
1858674.397341	1.030733	2.923995e-02	0.017225
1858724.399840	1.071949	2.606429e-02	0.017225
1858774.402339	1.088255	2.351086e-02	0.017225
1858824.404838	1.095636	2.141309e-02	0.017225
1858874.407337	1.099378	1.965900e-02	0.017225
1858924.409836	1.101458	1.817053e-02	0.017225
1858974.412335	1.102704	1.689159e-02	0.017225
1859024.414834	1.103494	1.578086e-02	0.017225
1859074.417333	0.605169	2.192111e-02	0.017225
1859124.419832	1.104388	1.394668e-02	0.017225
1859174.422331	1.104651	1.318069e-02	0.017225
1859224.424830	1.104847	1.249447e-02	0.017225
1859274.427329	1.415637	1.186272e-02	0.017225
1859324.429828	0.605169	1.504834e-02	0.017225
1859374.432327	0.915770	1.316413e-02	0.017225
1859424.434826	0.737092	1.337144e-02	0.017225
1859474.437325	0.621299	1.478629e-02	0.017225
1859524.439824	0.621299	1.575712e-02	0.017225
1859574.442323	0.621299	1.686441e-02	0.017225
1859624.444822	0.621299	1.813908e-02	0.017225
1859674.447321	0.621299	1.962218e-02	0.017225
1859724.449820	0.621299	2.136941e-02	0.017225
1859774.452319	0.621299	2.345822e-02	0.017225
1859824.454818	0.621299	2.599962e-02	0.017225
1859874.457317	0.621299	2.915857e-02	0.017225
1859924.459816	0.621299	3.319133e-02	0.017225
1859974.462315	0.621299	3.851860e-02	0.017225
1860024.464814	0.621299	4.588291e-02	0.017225
1860074.467313	0.621299	5.672882e-02	0.017225
1860124.469812	0.621299	7.428950e-02	0.017225
1860174.472311	0.621299	1.075966e-01	0.017225
1860224.474810	1.841000	1.521828e-02	0.034451
1860274.477309	3.431860	1.624866e-02	0.034451
1860324.479808	0.751852	9.068270e-01	0.034451
1860374.482307	0.630020	4.845384e-01	0.034451
1860424.484806	3.296718	2.085088e-02	0.034451
1860474.487305	0.929444	2.228360e-02	0.034451
1860524.489804	1.368819	2.456449e-02	0.034451
1860574.492303	1.482157	2.736555e-02	0.034451
1860624.494802	0.429954	1.015371e-01	0.034451
1860674.497301	1.047697	3.966979e-02	0.034451
1860724.499800	0.934851	4.571433e-02	0.017225
1860774.502299	1.254828	5.031496e-02	0.034451
1860824.504798	1.891137	6.366212e-02	0.034451
1860874.507297	2.026663	9.562306e-02	0.034451
1860924.509796	7.470162	3.212431e-03	0.034451
1860974.512295	6.236861	3.268430e-03	0.034451
1861024.514794	0.517112	3.088237e+00	0.034451
1861074.517293	0.634363	8.093305e+00	0.017225
1861124.519792	0.000000	1.408486e+00	0.017225
1861174.522291	0.313168	3.118690e-01	0.034451
1861224.524790	0.285608	1.105738e-01	0.034451
1861274.527289	0.000000	1.139895e+00	0.017225
1861324.529788	0.000000	1.982496e-01	0.017225
1861374.532287	0.000000	2.331559e-01	0.017225
1861424.534786	1.059996	6.162117e-01	0.034451
1861474.537285	0.000000	6.871786e-01	0.017225
1861524.539784	1.295205	1.406042e-02	0.034451
1861574.542283	1.699115	2.833248e-02	0.034451
1861624.544782	1.593948	2.699346e-01	0.034451
1861674.547281	1.176087	1.121800e+00	0.034451
1861724.549780	0.000000	2.182691e+01	0.017225
1861774.552279	0.000000	3.375312e-01	0.017225
1861824.554778	0.000000	1.402610e-01	0.017225
1861874.557277	0.000000	8.852349e-02	0.017225
1861924.559776	0.000000	6.466919e-02	0.017225
1861974.562275	0.000000	5.094195e-02	0.017225
1862024.564774	0.000000	5.468584e-02	0.017225
1862074.567273	0.000000	7.082458e-02	0.017225
1862124.569772	0.000000	1.004771e-01	0.017225
1862174.572271	0.649204	2.663280e-02	0.034451
1862224.574770	1.154446	6.047619e-02	0.034451
1862274.577269	1.316408	2.240573e-02	0.034451
1862324.579768	0.919362	3.181007e-02	0.034451
1862374.582267	0.346545	2.968993e-01	0.034451
1862424.584766	1.770507	1.227316e+00	0.034451
1862474.587265	1.042864	4.915468e-01	0.034451
1862524.589764	0.951441	1.035396e+00	0.017225
1862574.592263	0.948434	1.948296e-01	0.017225
1862624.594762	0.951125	1.075319e-01	0.017225
1862674.597261	1.439348	5.395616e-02	0.017225
1862724.599760	1.037770	6.329121e-02	0.017225
1862774.602259	0.907473	9.804101e-02	0.017225
1862824.604758	0.906385	1.657567e-01	0.017225
1862874.607257	1.870070	2.092806e-02	0.017225
1862924.609756	0.000000	1.968000e+01	0.017225
1862974.612255	0.452988	1.107137e-01	0.034451
1863024.614754	1.346941	9.543617e-03	0.017225
1863074.617253	3.873810	2.136686e-02	0.034451
1863124.619752	3.970288	1.284273e-02	0.034451
1863174.622251	5.101215	1.748308e-02	0.034451
1863224.624750	2.524726	6.303340e-02	0.034451
1863274.627249	2.067852	1.212889e-02	0.034451
1863324.629748	2.533767	8.986274e-03	0.017225
1863374.632247	2.825796	9.335853e-03	0.017225
1863424.634746	4.051882	9.713727e-03	0.017225
1863474.637245	1.529314	2.269184e+00	0.034451
1863524.639744	1.660566	1.070129e-02	0.017225
1863574.642243	2.112595	4.190562e-02	0.017225
1863624.644742	3.960300	4.643679e-02	0.034451
1863674.647241	4.494045	3.122131e-02	0.034451
1863724.649740	2.231992	8.277915e-02	0.034451
1863774.652239	3.329453	1.473022e-02	0.017225
1863824.654738	2.968519	2.623839e-02	0.017225
1863874.657237	1.003966	6.498525e-02	0.017225
1863924.659736	2.159220	8.258497e-02	0.034451
1863974.662235	2.256445	1.795499e-02	0.017225
1864024.664734	5.512470	1.888767e-02	0.017225
1864074.667233	3.179823	2.084537e-02	0.017225
1864124.669732	4.483737	2.241607e-02	0.034451
1864174.672231	2.506587	5.021514e-01	0.034451
1864224.674730	5.278591	2.756560e-02	0.017225
1864274.677229	1.129847	3.258011e-02	0.017225
1864324.679728	1.558083	3.769787e-02	0.017225
1864374.682227	0.393082	4.422860e-02	0.017225
1864424.684726	1.646591	5.496637e-02	0.034451
1864474.687225	2.231223	1.163606e+00	0.034451
1864524.689724	1.256678	1.028368e-01	0.017225
1864574.692223	3.209807	1.682846e-01	0.017225
1864624.694722	1.324178	7.259298e-02	0.017225
1864674.697221	2.195054	7.628601e-02	0.034451
1864724.699720	0.552432	6.131842e-02	0.034451
1864774.702219	2.031209	2.745856e-01	0.017225
1864824.704718	0.000000	2.550631e+00	0.017225
1864874.707217	0.482115	3.471145e-02	0.034451
1864924.709716	0.487281	1.673414e-01	0.034451
1864974.712215	2.026217	8.217143e-01	0.034451
1865024.714714	1.085281	2.403581e-02	0.034451
1865074.717213	0.277976	5.638360e-01	0.034451
1865124.719712	0.162773	9.064735e-01	0.034451
1865174.722211	0.000000	2.320087e-01	0.017225
1865224.724710	0.000000	2.274757e+00	0.017225
1865274.727209	1.950961	7.260724e-02	0.034451
1865324.729708	0.599015	5.948555e-02	0.017225
1865374.732207	2.326568	1.407331e-01	0.034451
1865424.734706	3.983977	4.610680e-02	0.017225
1865474.737205	2.014951	1.584425e-01	0.017225
1865524.739704	2.189143	9.543523e-02	0.017225
1865574.742203	0.457086	7.908147e-02	0.017225
1865624.744702	0.927100	1.991527e-01	0.034451
1865674.747201	0.873845	4.351811e-02	0.034451
1865724.749700	0.000000	4.364113e+00	0.017225
1865774.752199	0.063733	2.801632e-01	0.034451
1865824.754698	0.000000	3.967559e-01	0.017225
1865874.757197	0.000000	9.406458e-01	0.017225
1865924.759696	1.495873	3.679617e-01	0.034451
1865974.762195	0.296925	8.329545e+00	0.034451
1866024.764694	3.592312	1.568145e-02	0.034451
1866074.767193	1.341971	1.928244e-01	0.034451
1866124.769692	0.716126	5.512248e-01	0.017225
1866174.772191	0.678879	7.172490e+00	0.034451
1866224.774690	0.895548	1.533323e+00	0.034451
1866274.777189	1.369868	4.711830e-02	0.034451
1866324.779688	2.570820	2.579424e-02	0.034451
1866374.782187	4.498700	2.890050e-02	0.034451
1866424.784686	3.698701	6.771424e-02	0.034451
1866474.787185	1.268244	1.695223e-01	0.034451
1866524.789684	0.388050	2.438512e-01	0.034451
1866574.792183	1.763866	1.159663e-01	0.017225
1866624.794682	2.125195	8.096874e-02	0.034451
1866674.797181	1.939266	1.041641e-01	0.017225
1866724.799680	1.171634	2.489610e-01	0.017225
1866774.802179	1.327308	4.650771e-01	0.017225
1866824.804678	2.537556	3.703446e+00	0.034451
1866874.807177	0.986446	2.615478e-02	0.034451
1866924.809676	0.000000	1.305722e+00	0.017225
1866974.812175	2.008663	1.694624e-01	0.034451
1867024.814674	3.008723	3.431292e-02	0.034451
1867074.817173	2.124187	3.967893e+00	0.034451
1867124.819672	0.000000	6.594597e+00	0.017225
1867174.822171	1.635288	3.172743e-01	0.034451
1867224.824670	1.927011	6.208289e-01	0.034451
1867274.827169	2.784407	1.239322e-01	0.034451
1867324.829668	0.210811	1.115016e+00	0.034451
1867374.832167	1.113236	1.190096e-01	0.017225
1867424.834666	0.589374	1.278845e-01	0.017225
1867474.837165	0.944856	1.531165e+00	0.017225
1867524.839664	0.000000	2.884383e+00	0.017225
1867574.842163	2.738391	4.654009e-02	0.034451
1867624.844662	0.710464	3.898069e-02	0.034451
1867674.847161	0.634363	2.052278e+00	0.017225
1867724.849660	0.230540	1.261162e-01	0.034451
1867774.852159	1.775640	8.965117e-02	0.034451
1867824.854658	0.782590	7.568753e-01	0.017225
1867874.857157	1.037589	1.213873e-01	0.017225
1867924.859656	1.044740	8.061283e-02	0.017225
1867974.862155	1.045631	6.034329e-02	0.017225
1868024.864654	0.915787	5.559039e-02	0.017225
1868074.867153	0.000000	6.851944e-02	0.017225
1868124.869652	0.000000	9.590003e-02	0.017225
1868174.872151	0.000000	1.597277e-01	0.017225
1868224.874650	0.000000	4.776053e-01	0.017225
1868274.877149	0.000000	1.068709e+01	0.017225
1868324.879648	0.890520	6.739884e-02	0.034451
1868374.882147	0.699371	1.213566e-01	0.034451
1868424.884646	0.000000	1.849436e-01	0.017225
1868474.887145	0.000000	1.044503e-01	0.017225
1868524.889644	0.000000	1.186822e-01	0.017225
1868574.892143	0.000000	2.347976e-01	0.017225
1868624.894642	0.000000	1.085622e+01	0.017225
1868674.897141	0.338643	1.348748e+00	0.034451
1868724.899640	0.000000	5.479543e-01	0.017225
1868774.902139	0.000000	2.721221e-01	0.017225
1868824.904638	0.338199	1.100851e+00	0.034451
1868874.907137	0.000000	6.701240e-01	0.017225
1868924.909636	0.000000	1.189253e+00	0.017225
1868974.912135	0.000000	5.432848e-01	0.017225
1869024.914634	0.000000	1.484163e+00	0.017225
1869074.917133	0.000000	4.630142e-01	0.017225
1869124.919632	0.000000	1.734197e+00	0.017225
1869174.922131	0.000000	9.935531e-01	0.017225
1869224.924630	0.605169	3.758853e-01	0.017225
1869274.927129	0.605169	1.464716e-01	0.017225
1869324.929628	0.605169	9.095755e-02	0.017225
1869374.932127	0.605169	6.595865e-02	0.017225
1869424.934626	0.605169	5.173871e-02	0.017225
1869474.937125	0.605169	4.256267e-02	0.017225
1869524.939624	0.605169	3.615114e-02	0.017225
1869574.942123	0.000000	3.351414e-02	0.017225
1869624.944622	0.000000	3.895405e-02	0.017225
1869674.947121	0.000000	4.650211e-02	0.017225
1869724.949620	0.000000	5.767835e-02	0.017225
1869774.952119	0.000000	7.592638e-02	0.017225
1869824.954618	0.000000	1.110645e-01	0.017225
1869874.957117	0.000000	2.067437e-01	0.017225
