location	LR	alpha	D
1850821.000000	3.961552	3.571428e-02	0.041851
1850871.006699	0.621692	2.399678e-01	0.041851
1850921.013399	5.753259	2.870905e-02	0.041851
1850971.020098	4.128011	1.977001e-02	0.041851
1851021.026797	1.544113	8.220688e-02	0.041851
1851071.033497	4.100224	2.047899e-02	0.020926
1851121.040196	1.909162	2.551009e-01	0.041851
1851171.046895	2.560126	6.695955e-01	0.041851
1851221.053595	3.010216	1.017411e-01	0.020926
1851271.060294	3.324565	3.519682e-02	0.020926
1851321.066993	4.000026	4.670478e-02	0.020926
1851371.073693	6.913430	5.605545e-02	0.041851
1851421.080392	3.317554	7.326497e-02	0.041851
1851471.087091	2.831948	7.495918e-02	0.020926
1851521.093791	2.303612	2.108733e-01	0.020926
1851571.100490	3.887512	1.169705e-02	0.020926
1851621.107189	1.923603	1.608348e-02	0.020926
1851671.113889	0.426622	3.339546e-01	0.041851
1851721.120588	1.030949	8.553687e-01	0.041851
1851771.127287	0.587736	1.167687e+00	0.041851
1851821.133987	7.497911	1.481727e-02	0.041851
1851871.140686	0.425634	1.939008e+00	0.041851
1851921.147385	1.375891	1.105725e+00	0.041851
1851971.154085	0.802596	1.677364e+00	0.041851
1852021.160784	1.318281	5.377288e-02	0.041851
1852071.167483	1.195888	7.135740e-02	0.041851
1852121.174183	0.238510	9.663848e-02	0.020926
1852171.180882	1.797833	1.795893e-01	0.041851
1852221.187581	2.924529	3.091793e-01	0.041851
1852271.194281	2.426948	8.836151e-02	0.020926
1852321.200980	2.942319	6.479446e-02	0.020926
1852371.207679	2.675379	3.314213e-01	0.041851
1852421.214379	3.548331	6.115761e-02	0.041851
1852471.221078	0.995674	1.868545e-01	0.020926
1852521.227777	0.471676	1.616645e-01	0.020926
1852571.234477	0.286691	2.007847e-01	0.041851
1852621.241176	0.041860	6.307784e-02	0.020926
1852671.247875	0.206333	1.426327e+00	0.041851
1852721.254575	2.017257	4.267813e-03	0.041851
1852771.261274	0.397081	1.420822e+00	0.041851
1852821.267973	0.354830	5.063273e-01	0.041851
1852871.274673	0.444347	1.184897e-01	0.041851
1852921.281372	2.060993	1.079565e+00	0.041851
1852971.288071	6.075484	1.307600e-02	0.041851
1853021.294771	0.000000	1.557384e+00	0.020926
1853071.301470	3.092560	6.924351e-02	0.041851
