location	LR	alpha	D
294879.000000	3.003318	1.818182e-01	0.017691
294929.004800	0.291589	2.095375e-01	0.035382
294979.009600	0.000000	5.716901e-01	0.017691
295029.014400	0.000000	9.220557e-01	0.017691
295079.019200	0.000000	4.025765e+00	0.017691
295129.024000	1.950551	1.044573e+00	0.035382
295179.028800	1.260699	6.244865e-01	0.035382
295229.033600	2.621925	3.336447e-01	0.035382
295279.038400	1.227988	1.204625e+00	0.017691
295329.043200	2.605540	1.332694e-01	0.035382
295379.048000	2.799632	3.993610e-01	0.035382
295429.052800	0.000000	1.490165e+00	0.017691
295479.057600	0.085703	4.133476e+01	0.035382
295529.062400	0.085703	3.815516e+01	0.035382
295579.067200	0.000000	1.097615e+00	0.017691
295629.072000	0.085703	2.565606e+00	0.035382
295679.076800	0.000000	2.437439e+00	0.017691
295729.081600	1.217576	1.096974e-02	0.035382
295779.086400	0.087519	1.380682e-01	0.035382
295829.091200	0.000000	6.286673e+00	0.017691
295879.096000	0.000000	1.094891e+01	0.017691
295929.100800	0.603666	2.864016e-01	0.017691
295979.105600	0.621151	2.830894e-02	0.035382
296029.110400	0.886336	4.152823e+00	0.017691
296079.115200	1.915164	6.253751e-02	0.035382
296129.120000	3.181998	1.235585e-01	0.035382
296179.124800	1.638089	2.073427e-01	0.035382
296229.129600	2.668494	2.865986e-01	0.017691
296279.134400	4.851686	9.745450e-02	0.017691
296329.139200	4.321154	8.814504e-02	0.017691
296379.144000	7.969324	2.703579e-02	0.017691
296429.148800	5.665486	2.890531e-02	0.017691
296479.153600	5.891617	3.489929e-02	0.017691
296529.158400	6.598649	3.569744e-02	0.017691
296579.163200	5.712019	3.062499e-02	0.035382
296629.168000	2.784757	4.666210e-02	0.017691
296679.172800	1.964578	6.817475e-01	0.035382
296729.177600	4.153589	1.109287e-01	0.017691
296779.182400	4.842452	1.762164e-01	0.017691
296829.187200	1.956067	2.299414e-01	0.017691
296879.192000	1.703941	1.174260e-01	0.035382
296929.196800	0.528853	7.884527e-02	0.035382
296979.201600	0.715038	6.742180e-01	0.035382
297029.206400	0.110647	2.854277e+00	0.035382
297079.211200	0.000000	2.505848e+00	0.017691
297129.216000	0.886336	2.300613e+00	0.017691
297179.220800	0.000000	8.708780e-01	0.017691
297229.225600	0.441458	1.093151e-01	0.035382
297279.230400	0.886336	1.559251e+01	0.017691
297329.235200	0.487686	6.052585e-01	0.035382
297379.240000	0.036393	2.937023e+00	0.035382
297429.244800	0.000000	2.287981e+00	0.017691
297479.249600	0.000000	5.334283e+00	0.017691
297529.254400	0.000000	1.116737e+00	0.017691
297579.259200	0.000000	2.531219e+00	0.017691
297629.264000	0.000000	3.676471e+00	0.017691
297679.268800	0.000000	3.671074e+00	0.017691
297729.273600	0.886336	4.036814e-01	0.017691
297779.278400	0.000000	5.266855e+00	0.017691
297829.283200	0.280644	9.769443e-01	0.035382
297879.288000	0.633228	8.751460e-01	0.035382
297929.292800	0.832514	1.068635e-01	0.035382
297979.297600	0.000000	3.603865e-01	0.017691
298029.302400	0.000000	2.154492e-01	0.017691
298079.307200	0.000000	2.107926e+00	0.017691
298129.312000	0.000000	1.641138e+00	0.017691
298179.316800	1.799347	3.086922e-01	0.035382
298229.321600	0.000000	9.079905e+00	0.017691
298279.326400	3.232023	7.627457e-02	0.035382
298329.331200	0.000000	5.147565e+00	0.017691
