location	LR	alpha	D
1850833.000000	6.196875	7.147111e-03	0.016377
1850883.005000	1.724045	5.617757e-02	0.032754
1850933.009999	3.607209	7.599796e-03	0.016377
1850983.014999	2.601395	1.615107e-02	0.016377
1851033.019998	2.154367	1.043660e-01	0.016377
1851083.024998	4.363192	8.559352e-03	0.016377
1851133.029997	1.927454	3.532529e-01	0.032754
1851183.034997	2.601460	1.043161e-01	0.032754
1851233.039996	1.899023	5.046636e+00	0.032754
1851283.044996	0.872237	2.397384e+00	0.032754
1851333.049995	3.866923	3.030686e-02	0.016377
1851383.054995	2.467507	1.349148e-01	0.016377
1851433.059994	2.559952	2.786809e-01	0.016377
1851483.064994	2.483482	3.237556e-01	0.032754
1851533.069993	2.104931	1.378201e-01	0.032754
1851583.074993	9.201991	5.002322e-03	0.016377
1851633.079992	2.582279	4.859873e-02	0.016377
1851683.084992	4.093140	3.362145e-02	0.016377
1851733.089991	7.633599	1.552213e-02	0.016377
1851783.094991	5.538674	1.016131e-01	0.032754
1851833.099990	2.309384	1.165176e+00	0.032754
1851883.104990	11.597618	1.928935e-02	0.016377
1851933.109989	7.662285	2.101171e-02	0.016377
1851983.114989	3.358392	8.614318e-01	0.032754
1852033.119988	2.662921	6.708409e-02	0.016377
1852083.124988	4.564797	1.513003e-02	0.016377
1852133.129987	4.034677	8.283289e-02	0.016377
1852183.134987	2.606362	3.958631e-02	0.016377
1852233.139986	5.321052	4.835981e-02	0.016377
1852283.144986	0.401366	3.373569e-01	0.032754
1852333.149985	8.971887	6.598845e-02	0.032754
1852383.154985	5.639404	2.074508e-01	0.032754
1852433.159984	3.919956	1.735107e-01	0.016377
1852483.164984	2.452298	1.716804e+00	0.032754
1852533.169983	0.946700	2.491177e-01	0.032754
1852583.174983	3.791877	5.170444e-02	0.032754
1852633.179982	0.000000	1.463383e+01	0.016377
1852683.184982	0.728134	2.824652e+00	0.032754
1852733.189981	0.000000	7.590126e-01	0.016377
1852783.194981	0.690412	2.021837e-01	0.032754
1852833.199980	3.286298	6.325111e-03	0.016377
1852883.204980	0.616123	1.231878e-01	0.032754
1852933.209979	1.296213	4.880377e-02	0.032754
1852983.214979	0.000000	1.301307e-01	0.016377
1853033.219978	0.000000	8.437636e-02	0.016377
1853083.224978	1.460985	1.268197e-02	0.032754
1853133.229977	3.602677	1.560001e-02	0.032754
1853183.234977	2.720838	5.732551e-01	0.032754
1853233.239976	3.325883	1.094651e-02	0.032754
1853283.244976	1.672199	8.280175e-03	0.032754
1853333.249975	0.000000	2.086948e+00	0.016377
1853383.254975	1.931755	1.956773e-02	0.032754
1853433.259974	0.315452	2.281380e+00	0.032754
1853483.264974	0.322890	5.643082e-01	0.032754
1853533.269973	0.056715	8.678674e-02	0.032754
1853583.274973	0.000000	1.272872e-01	0.016377
1853633.279972	0.000000	8.317163e-02	0.016377
1853683.284972	0.000000	6.176496e-02	0.016377
1853733.289971	0.084471	4.359041e-02	0.032754
1853783.294971	0.000000	4.077542e-02	0.016377
1853833.299970	0.000000	3.485333e-02	0.016377
1853883.304970	0.000000	3.925482e-02	0.016377
1853933.309969	0.000000	4.693183e-02	0.016377
1853983.314969	0.000000	5.834163e-02	0.016377
1854033.319968	1.285396	1.756132e-02	0.032754
1854083.324968	1.266302	2.294327e-02	0.032754
1854133.329967	0.856200	3.287452e-02	0.032754
1854183.334967	0.934602	6.386719e-02	0.032754
1854233.339966	2.876290	8.667807e-02	0.032754
1854283.344966	2.242229	6.154589e-02	0.032754
1854333.349965	2.376013	3.024554e-02	0.032754
1854383.354965	0.000000	7.981115e-02	0.016377
1854433.359964	0.000000	5.989222e-02	0.016377
1854483.364964	0.000000	4.793003e-02	0.016377
1854533.369963	2.558150	1.014053e-02	0.032754
1854583.374963	3.128394	1.096516e-02	0.032754
1854633.379962	0.000000	1.192606e-01	0.016377
1854683.384962	0.000000	2.370837e-01	0.016377
1854733.389961	0.445546	3.939156e+00	0.032754
1854783.394961	0.000000	3.328675e+00	0.016377
1854833.399960	0.438279	4.563179e+00	0.032754
1854883.404960	0.356790	9.527561e-01	0.016377
1854933.409959	0.000000	4.916027e-01	0.016377
1854983.414959	1.121966	1.219327e-01	0.032754
1855033.419958	0.268671	7.765510e+00	0.032754
1855083.424958	0.268671	5.671213e+00	0.032754
1855133.429957	0.268671	5.720951e+00	0.032754
1855183.434957	0.059528	1.151980e+00	0.032754
1855233.439956	0.524072	2.096447e+00	0.032754
1855283.444956	0.955353	2.204060e-01	0.032754
1855333.449955	0.910239	1.473297e-01	0.032754
1855383.454955	1.020064	3.482809e-01	0.016377
1855433.459954	1.648415	4.887188e-02	0.016377
1855483.464954	1.396611	3.433821e-02	0.032754
1855533.469953	2.521406	3.277565e+00	0.032754
1855583.474953	0.879241	1.041210e+00	0.016377
1855633.479952	1.344876	2.636201e-01	0.016377
1855683.484952	1.443860	5.949280e-01	0.032754
1855733.489951	0.264037	3.286768e-01	0.032754
1855783.494951	2.037900	1.065300e+00	0.032754
1855833.499950	0.243992	7.272750e-01	0.032754
1855883.504950	0.059528	8.295838e+00	0.032754
1855933.509949	0.225817	1.410114e+00	0.032754
1855983.514949	0.904444	7.804033e-01	0.032754
1856033.519948	0.879241	2.173933e+00	0.016377
1856083.524948	0.000000	3.404306e+00	0.016377
1856133.529947	0.447194	3.805907e-01	0.032754
1856183.534947	2.627452	2.238395e-01	0.032754
1856233.539946	0.879241	1.268491e+00	0.016377
1856283.544946	2.132109	1.076667e-01	0.032754
1856333.549945	3.249493	1.325235e-01	0.032754
1856383.554945	0.000000	1.048488e+00	0.016377
1856433.559944	0.000000	1.048946e+00	0.016377
1856483.564944	0.000000	1.613976e+00	0.016377
1856533.569943	1.162751	9.113318e-01	0.032754
1856583.574943	1.710968	2.340641e-01	0.032754
1856633.579942	0.520778	2.256035e-01	0.032754
1856683.584942	0.000000	8.324628e-01	0.016377
1856733.589941	0.870930	1.820957e+00	0.016377
1856783.594941	0.000000	1.579999e+00	0.016377
1856833.599940	0.000000	4.511289e-01	0.016377
1856883.604940	2.258817	3.205352e-01	0.032754
1856933.609939	2.420251	2.229251e-01	0.032754
1856983.614939	1.121667	3.929113e-01	0.032754
1857033.619938	2.213667	5.359143e-01	0.032754
1857083.624938	1.332746	3.078429e-01	0.032754
1857133.629937	0.779296	4.550616e-01	0.032754
1857183.634937	0.704730	8.858938e-01	0.032754
1857233.639936	0.945557	2.625776e-01	0.032754
1857283.644936	0.738231	1.087399e-01	0.016377
1857333.649935	1.447527	8.654889e-02	0.016377
1857383.654935	0.861237	1.159973e+00	0.016377
1857433.659934	0.861237	3.025723e-01	0.016377
1857483.664934	0.231290	1.172316e-01	0.032754
1857533.669933	1.117480	2.585659e-01	0.032754
1857583.674933	0.301327	5.536351e-01	0.032754
1857633.679932	0.382563	3.866911e-01	0.032754
1857683.684932	1.245550	9.460043e-01	0.016377
1857733.689931	0.368333	1.055502e-01	0.032754
1857783.694931	1.208483	1.818536e-01	0.032754
1857833.699930	0.000000	3.669734e-01	0.016377
1857883.704930	0.000000	1.450941e-01	0.016377
1857933.709929	0.000000	2.649588e-01	0.016377
1857983.714929	2.929540	7.394397e-02	0.032754
1858033.719928	2.006064	2.710023e-01	0.032754
1858083.724928	1.692682	1.374963e-01	0.016377
1858133.729927	1.233376	2.387107e-01	0.016377
1858183.734927	1.166066	1.308117e-01	0.032754
1858233.739926	1.049808	2.839560e-01	0.032754
1858283.744926	0.000000	6.877085e+00	0.016377
1858333.749925	0.000000	6.857440e+00	0.016377
1858383.754925	0.509933	3.302697e-02	0.032754
1858433.759924	0.000000	1.227497e-01	0.016377
1858483.764924	0.000000	8.121008e-02	0.016377
1858533.769923	0.000000	6.067657e-02	0.016377
1858583.774923	0.000000	4.843106e-02	0.016377
1858633.779922	0.000000	4.029822e-02	0.016377
1858683.784922	0.000000	3.450409e-02	0.016377
1858733.789921	0.000000	3.016668e-02	0.016377
1858783.794921	0.000000	2.679799e-02	0.016377
1858833.799920	0.000000	2.410607e-02	0.016377
1858883.804920	0.000000	2.190561e-02	0.016377
1858933.809919	0.000000	2.007327e-02	0.016377
1858983.814919	0.000000	1.852381e-02	0.016377
1859033.819918	0.000000	1.719641e-02	0.016377
1859083.824918	0.000000	1.604654e-02	0.016377
1859133.829917	0.000000	1.504080e-02	0.016377
1859183.834917	0.000000	1.415370e-02	0.016377
1859233.839916	0.000000	1.336541e-02	0.016377
1859283.844916	0.000000	1.266030e-02	0.016377
1859333.849915	0.876597	1.260305e-02	0.016377
1859383.854915	0.876597	1.330163e-02	0.016377
1859433.859914	0.876597	1.408219e-02	0.016377
1859483.864914	0.876597	1.496007e-02	0.016377
1859533.869913	0.876597	1.595468e-02	0.016377
1859583.874913	0.876597	1.709097e-02	0.016377
1859633.879912	0.876597	1.840151e-02	0.016377
1859683.884912	0.876597	1.992974e-02	0.016377
1859733.889911	0.876597	2.173479e-02	0.016377
1859783.894911	0.876597	2.389937e-02	0.016377
1859833.899910	0.876597	2.654279e-02	0.016377
1859883.904910	0.876597	2.984368e-02	0.016377
1859933.909909	0.876597	3.408218e-02	0.016377
1859983.914909	0.876597	3.972390e-02	0.016377
1860033.919908	0.876597	4.760391e-02	0.016377
1860083.924908	0.876597	5.938385e-02	0.016377
1860133.929907	0.876597	7.891097e-02	0.016377
1860183.934907	0.876597	1.175720e-01	0.016377
1860233.939906	0.876597	2.305028e-01	0.016377
1860283.944906	0.876597	5.839146e+00	0.016377
1860333.949905	0.000000	2.424290e+00	0.016377
1860383.954905	0.992626	2.334760e-01	0.032754
1860433.959904	0.205205	2.569373e-02	0.016377
1860483.964904	0.547917	9.446208e-02	0.032754
1860533.969903	0.120949	1.500565e-01	0.016377
1860583.974903	1.238598	4.440316e-01	0.016377
1860633.979902	1.057004	9.706663e+00	0.032754
1860683.984902	0.158926	1.062089e-01	0.016377
1860733.989901	0.000000	1.200121e-01	0.016377
1860783.994901	0.000000	1.025597e-01	0.016377
1860833.999900	0.000000	1.791042e-01	0.016377
1860884.004900	0.314822	1.387213e-01	0.032754
1860934.009899	0.000000	8.565376e-01	0.016377
1860984.014899	0.000000	8.007954e-01	0.016377
1861034.019898	2.308431	1.021553e+00	0.032754
1861084.024898	0.059528	4.211720e+00	0.032754
1861134.029897	0.183690	1.437754e+00	0.032754
1861184.034897	0.000000	5.209489e-01	0.016377
1861234.039896	0.047377	6.423665e-01	0.032754
1861284.044896	0.000000	2.141141e-01	0.016377
1861334.049895	1.729525	1.205970e-02	0.032754
1861384.054895	1.083510	1.155018e-02	0.032754
1861434.059894	1.584242	2.706287e-01	0.032754
1861484.064894	0.000000	6.019534e-01	0.016377
1861534.069893	0.266750	2.965301e+00	0.032754
1861584.074893	4.439266	3.370078e-02	0.032754
1861634.079892	0.199828	2.557539e-01	0.032754
1861684.084892	0.943834	2.236322e-01	0.032754
1861734.089891	0.867877	1.007547e+00	0.016377
1861784.094891	0.075445	3.150028e-01	0.016377
1861834.099890	0.151418	9.084032e-02	0.016377
1861884.104890	0.077094	8.689046e-02	0.016377
1861934.109889	0.077121	6.379250e-02	0.016377
1861984.114889	0.077134	5.039584e-02	0.016377
1862034.119888	0.077141	4.164931e-02	0.016377
1862084.124888	0.000000	3.679572e-02	0.016377
1862134.129887	0.000000	4.154116e-02	0.016377
1862184.134887	0.000000	5.023757e-02	0.016377
1862234.139886	0.000000	6.353910e-02	0.016377
1862284.144886	0.000000	8.642102e-02	0.016377
1862334.149885	0.000000	1.350589e-01	0.016377
1862384.154885	0.000000	3.089193e-01	0.016377
1862434.159884	0.510411	2.564979e-02	0.032754
1862484.164884	0.277829	8.378578e-02	0.032754
1862534.169883	0.089846	4.839247e-01	0.032754
1862584.174883	0.334772	2.865183e-01	0.032754
1862634.179882	1.058483	8.682992e-01	0.032754
1862684.184882	0.864654	3.767800e+00	0.016377
1862734.189881	0.927292	1.392275e-01	0.016377
1862784.194881	0.864654	1.162848e-01	0.016377
1862834.199880	0.000000	2.076120e-01	0.016377
1862884.204880	0.106705	4.088278e-01	0.032754
1862934.209879	0.879241	9.918347e+00	0.016377
1862984.214879	0.057318	2.277973e+00	0.032754
1863034.219878	0.338222	4.430929e-01	0.032754
1863084.224878	0.224666	3.721073e+00	0.032754
1863134.229877	0.000000	1.173035e+00	0.016377
1863184.234877	0.000000	5.930356e-01	0.016377
1863234.239876	0.000000	1.708432e-01	0.016377
1863284.244876	0.000000	4.323528e-01	0.016377
1863334.249875	0.529052	2.681558e-01	0.032754
1863384.254875	1.714982	1.771345e-01	0.032754
1863434.259874	2.053972	1.944467e+00	0.032754
1863484.264874	0.422609	2.233691e+00	0.032754
1863534.269873	0.000000	1.023007e+00	0.016377
1863584.274873	1.550526	2.600251e-01	0.032754
1863634.279872	2.175436	1.603014e-01	0.032754
1863684.284872	2.208803	4.221117e-02	0.032754
1863734.289871	1.822924	1.281664e+00	0.032754
1863784.294871	2.084949	6.089786e-01	0.032754
1863834.299870	0.925804	7.623947e-01	0.032754
1863884.304870	0.876597	1.642739e+00	0.016377
1863934.309869	1.532444	1.674419e-01	0.032754
1863984.314869	2.229848	1.058996e-01	0.032754
1864034.319868	1.198375	1.389758e-01	0.032754
1864084.324868	1.294312	1.572227e-01	0.032754
1864134.329867	0.049996	7.375094e-01	0.032754
1864184.334867	1.368990	9.703626e-02	0.032754
1864234.339866	0.905513	3.565047e-01	0.016377
1864284.344866	0.249887	4.046518e-01	0.032754
1864334.349865	3.644668	9.967216e-02	0.032754
1864384.354865	1.260342	6.463947e-02	0.032754
1864434.359864	1.173585	8.846941e-02	0.032754
1864484.364864	0.268671	2.389388e+00	0.032754
1864534.369863	2.082980	2.354858e-01	0.032754
1864584.374863	1.252992	1.385279e-01	0.032754
1864634.379862	2.658878	2.831534e-01	0.032754
1864684.384862	2.783783	3.383123e-01	0.032754
1864734.389861	0.879241	3.078019e+01	0.016377
1864784.394861	2.258746	1.857437e-01	0.032754
1864834.399860	1.169459	8.108135e-01	0.016377
1864884.404860	0.438845	9.174582e-01	0.032754
1864934.409859	0.000000	6.182427e-01	0.016377
1864984.414859	0.103531	2.013470e-01	0.032754
1865034.419858	0.057318	1.189072e+00	0.032754
1865084.424858	0.057318	2.853940e+00	0.032754
1865134.429857	0.000000	1.049882e+00	0.016377
1865184.434857	0.000000	6.463728e-01	0.016377
1865234.439856	1.016101	1.076814e-01	0.032754
1865284.444856	0.000000	1.727990e-01	0.016377
1865334.449855	1.530186	7.248557e-02	0.016377
1865384.454855	1.660769	1.038555e-01	0.032754
1865434.459854	3.788775	2.578281e-01	0.016377
1865484.464854	2.803752	1.404086e-01	0.016377
1865534.469853	2.083599	8.858059e-02	0.016377
1865584.474853	1.184146	6.469878e-02	0.032754
1865634.479852	1.791688	5.095976e-02	0.032754
1865684.484852	1.859894	4.130595e-02	0.032754
1865734.489851	0.000000	7.747008e-01	0.016377
1865784.494851	0.435599	5.580059e-01	0.032754
1865834.499850	0.961755	4.681968e-01	0.032754
1865884.504850	3.849363	2.421820e-02	0.032754
1865934.509849	1.142345	2.203438e-01	0.032754
1865984.514849	0.500689	3.828794e-01	0.032754
1866034.519848	0.879241	8.107275e+00	0.016377
1866084.524848	3.175180	2.286797e-01	0.032754
1866134.529847	1.810677	6.437320e-01	0.032754
1866184.534847	1.769187	7.815816e-02	0.016377
1866234.539846	1.452389	1.984778e-01	0.016377
1866284.544846	2.194310	4.828101e-02	0.016377
1866334.549845	2.111946	9.408083e-02	0.032754
1866384.554845	2.387257	2.634558e+00	0.032754
1866434.559844	0.610238	3.118109e-01	0.032754
1866484.564844	0.879241	2.207848e+00	0.016377
1866534.569843	0.761807	3.796886e-01	0.032754
1866584.574843	0.042553	1.399443e+00	0.032754
1866634.579842	1.080737	4.465209e+00	0.032754
1866684.584842	0.534108	2.316603e-01	0.032754
1866734.589841	0.879241	2.925695e+01	0.016377
1866784.594841	0.000000	1.034943e+00	0.016377
1866834.599840	0.000000	3.529247e+00	0.016377
1866884.604840	1.298450	2.631300e-01	0.032754
1866934.609839	4.014158	1.354251e-01	0.032754
1866984.614839	2.156261	2.883587e-01	0.032754
1867034.619838	0.000000	3.550127e+00	0.016377
1867084.624838	0.210126	1.418024e-01	0.032754
1867134.629837	3.095924	4.924053e-01	0.032754
1867184.634837	2.603769	9.785152e-02	0.032754
1867234.639836	0.633920	1.514304e+00	0.032754
1867284.644836	2.274275	1.906470e-01	0.032754
1867334.649835	1.720790	2.081652e+00	0.032754
1867384.654835	1.929836	1.168966e-01	0.016377
1867434.659834	0.082826	6.920349e-01	0.016377
1867484.664834	0.000000	1.635955e+00	0.016377
1867534.669833	0.059528	7.243349e-01	0.032754
1867584.674833	0.670056	8.864917e-02	0.032754
1867634.679832	0.346216	5.535098e-01	0.032754
1867684.684832	0.580020	1.868526e-01	0.032754
1867734.689831	1.480548	1.353031e-01	0.032754
1867784.694831	2.095366	2.945840e-01	0.032754
1867834.699830	0.787285	7.242014e-02	0.032754
1867884.704830	0.000000	1.450943e-01	0.016377
1867934.709829	0.000000	9.042285e-02	0.016377
1867984.714829	0.000000	6.567614e-02	0.016377
1868034.719828	0.000000	6.693435e-02	0.016377
1868084.724828	0.000000	9.282525e-02	0.016377
1868134.729827	0.000000	1.513810e-01	0.016377
1868184.734827	0.000000	4.100437e-01	0.016377
1868234.739826	0.000000	5.309327e+00	0.016377
1868284.744826	3.782274	4.763539e-02	0.032754
1868334.749825	0.059528	1.493498e+00	0.032754
1868384.754825	0.054984	5.957251e-01	0.032754
1868434.759824	0.000000	2.114172e-01	0.016377
1868484.764824	0.000000	1.123966e-01	0.016377
1868534.769823	0.000000	1.247010e-01	0.016377
1868584.774823	0.000000	2.595988e-01	0.016377
1868634.779822	1.691934	6.079491e-02	0.032754
1868684.784822	0.000000	2.074394e+00	0.016377
1868734.789821	0.000000	5.507160e-01	0.016377
1868784.794821	0.059176	1.671430e-01	0.032754
1868834.799820	0.879241	2.069029e+00	0.016377
1868884.804820	0.000000	4.315799e-01	0.016377
1868934.809819	1.593843	4.369725e-01	0.032754
1868984.814819	0.870930	3.767445e+00	0.016377
1869034.819818	0.848037	2.157966e-01	0.032754
1869084.824818	0.470930	1.328217e+00	0.032754
1869134.829817	0.463383	2.062912e-01	0.032754
1869184.834817	1.797435	3.316432e-02	0.032754
1869234.839816	0.000000	5.033597e-01	0.016377
1869284.844816	0.000000	1.625030e-01	0.016377
1869334.849815	0.000000	9.689156e-02	0.016377
1869384.854815	0.000000	6.902312e-02	0.016377
1869434.859814	0.000000	5.360498e-02	0.016377
1869484.864814	0.000000	4.381725e-02	0.016377
1869534.869813	0.000000	3.705193e-02	0.016377
1869584.874813	0.879241	3.748532e-02	0.016377
1869634.879812	0.879241	4.442467e-02	0.016377
1869684.884812	0.879241	5.451690e-02	0.016377
1869734.889811	0.879241	7.054249e-02	0.016377
1869784.894811	0.879241	9.991239e-02	0.016377
1869834.899810	0.879241	1.711835e-01	0.016377
1869884.904810	0.879241	5.971577e-01	0.016377
