location	LR	alpha
1378527.000000	0.008455	2.566033e+08
1378577.002747	0.806782	1.828330e+07
1378627.005494	0.165109	8.382075e+07
1378677.008241	0.038476	1.002518e+05
1378727.010988	0.217503	2.218562e+08
1378777.013735	0.715295	4.536906e+07
1378827.016482	0.044778	7.145119e+07
1378877.019228	0.000000	1.200000e+09
1378927.021975	0.071561	1.424603e+08
1378977.024722	0.072610	3.444743e+04
1379027.027469	0.420933	1.088213e+04
1379077.030216	0.862920	6.287673e+03
1379127.032963	0.524106	4.043503e+03
1379177.035710	0.590481	3.820133e+03
1379227.038457	0.721433	5.347680e+03
1379277.041204	0.402115	6.647152e+03
1379327.043951	0.048888	1.058451e+05
1379377.046698	0.124178	2.209862e+04
1379427.049445	0.000000	1.803185e+05
1379477.052191	0.160656	1.284034e+05
1379527.054938	0.160330	6.807991e+04
1379577.057685	0.442188	4.773473e+04
1379627.060432	0.205324	1.376292e+08
1379677.063179	0.021622	4.597667e+04
1379727.065926	0.000000	1.675220e+06
1379777.068673	0.000000	1.200000e+09
1379827.071420	0.000000	1.200000e+09
1379877.074167	0.516839	2.690297e+07
1379927.076914	0.023949	3.007890e+08
1379977.079661	0.000000	2.771782e+05
1380027.082408	0.000000	8.490282e+04
1380077.085154	0.000825	1.340981e+04
1380127.087901	0.006383	1.876772e+04
1380177.090648	0.006745	4.688800e+04
1380227.093395	0.006747	3.025386e+08
1380277.096142	0.378848	4.862718e+07
1380327.098889	0.708197	9.532854e+03
1380377.101636	0.799389	3.056951e+03
1380427.104383	0.085389	5.897961e+04
1380477.107130	0.088458	1.862151e+08
1380527.109877	0.643257	1.694957e+05
1380577.112624	0.520281	3.670926e+03
1380627.115371	0.749178	1.724964e+03
1380677.118117	0.729769	1.647415e+03
1380727.120864	0.582674	2.117253e+03
1380777.123611	0.963176	3.020003e+03
1380827.126358	1.094723	5.003108e+03
1380877.129105	0.405564	3.109037e+05
1380927.131852	1.203198	7.842079e+06
1380977.134599	0.179797	1.307774e+08
1381027.137346	0.062218	3.647045e+04
1381077.140093	0.086172	5.824933e+07
1381127.142840	0.482786	5.707792e+03
1381177.145587	0.258768	4.221604e+07
1381227.148334	1.245544	5.136135e+03
1381277.151080	0.060054	2.600064e+08
1381327.153827	0.000000	1.200000e+09
1381377.156574	0.115158	1.593814e+08
1381427.159321	1.174861	4.538861e+07
1381477.162068	0.000000	1.200000e+09
