location	LR	alpha	D
509754.000000	0.771211	2.775401e+00	0.031515
509804.003870	2.320778	1.317556e-01	0.031515
509854.007739	3.148417	7.806300e-01	0.031515
509904.011609	5.154013	2.469194e-02	0.015758
509954.015479	3.841341	1.874547e-01	0.031515
510004.019349	3.491509	1.008239e-01	0.015758
510054.023218	2.700103	5.212129e-01	0.031515
510104.027088	2.463161	2.855301e-01	0.015758
510154.030958	3.001944	7.099292e-02	0.015758
510204.034828	1.113375	1.390932e+00	0.031515
510254.038697	7.018234	2.277207e-02	0.015758
510304.042567	7.675467	4.054637e-02	0.015758
510354.046437	2.469900	1.968712e-01	0.015758
510404.050307	0.679529	1.925571e+00	0.031515
510454.054176	2.171467	7.592332e-02	0.031515
510504.058046	1.393367	2.184124e-01	0.031515
510554.061916	1.002257	5.439237e-01	0.031515
510604.065786	2.765296	3.497871e-02	0.015758
510654.069655	4.210827	5.716183e-02	0.015758
510704.073525	3.373829	1.035639e+01	0.031515
510754.077395	8.840280	1.712029e-02	0.015758
510804.081265	4.145682	1.435805e-01	0.015758
510854.085134	5.304785	4.066624e-02	0.015758
510904.089004	6.909001	4.578596e-02	0.015758
510954.092874	4.878005	5.827868e-02	0.015758
511004.096744	2.681035	1.973627e+00	0.031515
511054.100613	1.134702	1.017817e-01	0.015758
511104.104483	0.842842	1.223186e-01	0.031515
511154.108353	4.229033	2.326070e-02	0.015758
511204.112223	5.337343	2.115984e-02	0.015758
511254.116092	2.163623	7.979197e-02	0.031515
511304.119962	2.284757	2.268819e-01	0.031515
511354.123832	0.000000	1.185322e+00	0.015758
511404.127702	2.720085	3.414220e-01	0.031515
511454.131571	1.825862	2.038444e-01	0.031515
511504.135441	2.540977	6.891188e-02	0.015758
511554.139311	9.069912	7.787854e-03	0.015758
511604.143180	14.731441	6.872289e-03	0.015758
511654.147050	6.728084	7.393045e-03	0.015758
511704.150920	2.950575	5.765048e-02	0.015758
511754.154790	2.882240	3.120766e+00	0.031515
511804.158659	4.106852	1.008538e-02	0.015758
511854.162529	1.253663	1.345857e-01	0.015758
511904.166399	12.968211	3.205269e-03	0.015758
511954.170269	2.301924	7.180511e-02	0.015758
512004.174138	3.408504	1.779956e-02	0.015758
512054.178008	3.159381	9.181888e-01	0.031515
512104.181878	4.811347	1.973094e-02	0.015758
512154.185748	3.301020	1.827584e-02	0.015758
512204.189617	3.131726	1.328625e-02	0.015758
512254.193487	2.616171	4.314762e-01	0.031515
512304.197357	1.356718	1.109085e-01	0.031515
512354.201227	4.909124	1.868573e-02	0.031515
512404.205096	1.388376	1.551097e+00	0.031515
512454.208966	1.055692	5.162471e-01	0.031515
512504.212836	11.797486	4.581528e-03	0.015758
512554.216706	6.480375	3.878745e-03	0.015758
512604.220575	5.820717	1.243239e-02	0.015758
512654.224445	6.341108	6.011347e-03	0.015758
512704.228315	9.523336	5.697387e-03	0.015758
512754.232185	12.664874	4.406527e-03	0.015758
512804.236054	14.577662	4.327074e-03	0.015758
512854.239924	16.739476	4.295285e-03	0.015758
512904.243794	18.003758	3.876274e-03	0.015758
512954.247664	18.881782	3.919970e-03	0.015758
513004.251533	16.780092	4.005677e-03	0.015758
513054.255403	17.736134	3.969231e-03	0.015758
513104.259273	2.488879	3.647535e-02	0.015758
513154.263143	11.877528	4.776569e-03	0.015758
513204.267012	16.534245	3.781590e-03	0.015758
513254.270882	14.357075	4.370423e-03	0.015758
513304.274752	13.441068	3.666053e-03	0.015758
513354.278621	12.835020	3.610892e-03	0.015758
513404.282491	12.878353	4.276118e-03	0.015758
513454.286361	11.749983	3.505403e-03	0.015758
513504.290231	12.779315	5.785110e-03	0.015758
513554.294100	13.628543	5.823247e-03	0.015758
513604.297970	14.086296	5.738063e-03	0.015758
513654.301840	13.870686	3.270377e-03	0.015758
513704.305710	14.898816	3.266811e-03	0.015758
513754.309579	15.413461	3.249998e-03	0.015758
513804.313449	15.517628	3.180228e-03	0.015758
513854.317319	16.492203	3.735621e-03	0.015758
513904.321189	15.901124	4.982725e-03	0.015758
513954.325058	16.169518	3.058629e-03	0.015758
514004.328928	17.093980	5.073289e-03	0.015758
514054.332798	14.497407	6.167549e-03	0.015758
514104.336668	6.784921	3.943884e-02	0.015758
514154.340537	12.191775	9.148715e-03	0.015758
514204.344407	2.727695	1.390581e+00	0.031515
514254.348277	14.746036	8.610472e-03	0.015758
514304.352147	17.320369	7.076940e-03	0.015758
514354.356016	17.576062	4.198218e-03	0.015758
514404.359886	12.558860	9.649092e-03	0.015758
514454.363756	6.227660	2.401747e-02	0.015758
514504.367626	1.887708	3.127636e-01	0.031515
514554.371495	4.155334	3.916813e-02	0.015758
514604.375365	12.009224	1.149838e-02	0.015758
514654.379235	3.777594	5.162847e-01	0.031515
514704.383105	13.483012	6.747701e-03	0.015758
514754.386974	5.498787	2.916961e-02	0.015758
514804.390844	9.970652	7.433144e-03	0.015758
514854.394714	14.219544	1.047481e-02	0.015758
514904.398584	15.927732	9.852837e-03	0.015758
514954.402453	11.347306	1.698748e-02	0.015758
515004.406323	13.223833	1.176002e-02	0.015758
515054.410193	9.420677	1.601259e-02	0.015758
515104.414062	9.317697	2.350241e-02	0.015758
515154.417932	6.556750	3.687566e-02	0.015758
515204.421802	1.367865	9.051260e-02	0.015758
515254.425672	3.178800	1.654871e+00	0.031515
515304.429541	1.583491	1.028495e+00	0.031515
515354.433411	3.996457	9.061157e-02	0.015758
515404.437281	4.319631	1.022879e-01	0.015758
515454.441151	5.193021	2.257511e-02	0.015758
515504.445020	4.954393	1.776606e-02	0.015758
515554.448890	7.200029	9.604234e-03	0.015758
515604.452760	10.844567	9.234656e-03	0.015758
515654.456630	10.503695	9.150130e-03	0.015758
515704.460499	3.769000	9.269240e-02	0.031515
515754.464369	2.878326	6.453325e-01	0.031515
515804.468239	10.179855	1.026107e-02	0.015758
