location	LR	alpha
5223908.000000	0.000064	5.157629e+08
5223958.002808	0.282988	5.373018e+04
5224008.005615	0.000237	4.698141e+04
5224058.008423	0.036268	1.503548e+08
5224108.011230	0.001337	3.875300e+08
5224158.014038	0.001338	4.115176e+04
5224208.016845	0.001441	1.801679e+04
5224258.019653	0.008177	1.002301e+04
5224308.022461	0.018704	1.561989e+04
5224358.025268	0.094978	1.444546e+04
5224408.028076	0.009712	6.233154e+04
5224458.030883	0.033547	7.761407e+04
5224508.033691	0.034020	1.119539e+05
5224558.036499	0.000000	2.834485e+05
5224608.039306	0.006444	3.684919e+08
5224658.042114	0.112046	3.527531e+04
5224708.044921	0.559234	1.538885e+04
5224758.047729	0.606550	9.839125e+03
5224808.050536	0.090414	1.099827e+04
5224858.053344	0.000000	2.522273e+05
5224908.056152	0.296055	4.738471e+07
5224958.058959	2.915218	7.645406e+06
5225008.061767	0.043276	2.294819e+08
5225058.064574	0.063786	2.694261e+08
5225108.067382	0.001722	3.284763e+08
5225158.070190	0.066281	1.917927e+08
5225208.072997	1.446080	1.185755e+07
5225258.075805	0.108112	2.309604e+05
5225308.078612	0.015147	2.446173e+08
5225358.081420	0.000000	2.462469e+05
5225408.084227	0.000000	1.634121e+06
5225458.087035	0.926574	7.465871e+03
5225508.089843	1.429367	2.324027e+07
5225558.092650	0.092037	2.663696e+04
5225608.095458	0.746010	5.188268e+07
5225658.098265	0.000000	5.251091e+07
5225708.101073	0.000000	1.081777e+06
5225758.103880	0.749711	2.204919e+04
5225808.106688	0.092327	1.237620e+05
5225858.109496	0.000000	1.200000e+09
5225908.112303	0.765360	3.019297e+07
5225958.115111	0.010828	2.125277e+05
5226008.117918	5.966489	3.149578e+03
5226058.120726	6.614265	2.991351e+03
5226108.123534	0.000505	2.627102e+08
5226158.126341	4.417493	4.203146e+03
5226208.129149	4.368980	2.236591e+03
5226258.131956	2.384313	1.319312e+04
5226308.134764	0.010996	1.854948e+08
5226358.137571	0.231978	5.403404e+07
5226408.140379	0.120344	1.891505e+04
5226458.143187	0.110456	9.757241e+03
5226508.145994	0.072125	6.952973e+04
5226558.148802	0.000000	2.592915e+05
5226608.151609	0.000000	3.232772e+05
5226658.154417	0.000000	8.609861e+04
5226708.157225	0.000000	4.966266e+04
5226758.160032	0.000000	3.489533e+04
5226808.162840	0.000000	2.689734e+04
5226858.165647	0.000000	2.657196e+04
5226908.168455	0.000000	3.434964e+04
5226958.171262	0.014529	6.971514e+03
5227008.174070	0.020280	1.167366e+04
