location	LR	alpha
509771.000000	0.587372	5.820666e+04
509821.003796	0.007286	5.537155e+04
509871.007593	0.000000	1.200000e+09
509921.011389	0.000000	1.200000e+09
509971.015186	0.000000	1.200000e+09
510021.018982	0.000000	1.200000e+09
510071.022779	0.000000	1.200000e+09
510121.026575	0.000000	1.200000e+09
510171.030372	0.000000	1.200000e+09
510221.034168	0.000000	3.282082e+05
510271.037965	0.164863	9.188969e+07
510321.041761	0.164863	9.188969e+07
510371.045557	0.023270	2.111261e+08
510421.049354	0.023270	2.111261e+08
510471.053150	0.023270	2.111261e+08
510521.056947	0.000000	1.200000e+09
510571.060743	0.000000	1.200000e+09
510621.064540	0.020216	2.186711e+08
510671.068336	0.020216	2.186711e+08
510721.072133	0.020216	2.186711e+08
510771.075929	0.170748	9.895051e+07
510821.079725	0.170748	9.895051e+07
510871.083522	0.000000	1.537731e+05
510921.087318	0.000000	1.200000e+09
510971.091115	0.000000	1.200000e+09
511021.094911	1.174640	6.064978e+04
511071.098708	1.174640	6.064978e+04
511121.102504	1.174640	6.064978e+04
511171.106301	0.000000	4.663985e+05
511221.110097	0.000000	1.200000e+09
511271.113894	0.000000	6.211945e+05
511321.117690	0.000000	1.200000e+09
511371.121486	0.000000	1.200000e+09
511421.125283	0.023647	1.613770e+08
511471.129079	0.023647	1.613770e+08
511521.132876	0.023647	2.361263e+05
511571.136672	0.023015	3.348776e+04
511621.140469	0.025298	1.905045e+04
511671.144265	0.050836	1.655493e+04
511721.148062	0.141127	2.058760e+04
511771.151858	0.578958	5.412705e+04
511821.155655	0.000000	1.200000e+09
511871.159451	0.000000	1.200000e+09
511921.163247	0.000000	1.385851e+05
511971.167044	0.000852	3.584549e+08
512021.170840	0.000852	3.584549e+08
512071.174637	0.000000	4.473831e+05
512121.178433	0.000000	1.200000e+09
512171.182230	0.000000	4.883891e+05
512221.186026	0.000000	1.527355e+06
512271.189823	0.000000	1.200000e+09
512321.193619	0.000000	1.200000e+09
512371.197415	0.000000	1.200000e+09
512421.201212	0.000000	3.626133e+05
512471.205008	0.135747	2.098274e+04
512521.208805	0.033044	1.832519e+04
512571.212601	0.008268	1.916523e+04
512621.216398	0.000048	3.226106e+04
512671.220194	0.000000	8.797402e+04
512721.223991	0.000000	1.224017e+05
512771.227787	0.000000	2.011002e+05
512821.231584	0.000000	5.632299e+05
512871.235380	0.000000	1.200000e+09
512921.239176	0.000000	1.200000e+09
512971.242973	1.745294	5.533669e+04
513021.246769	1.745294	5.533669e+04
513071.250566	1.745294	5.533669e+04
513121.254362	0.120895	3.088234e+07
513171.258159	0.120895	3.088234e+07
513221.261955	0.191569	1.189668e+04
513271.265752	0.169360	5.279449e+03
513321.269548	0.068099	3.883214e+03
513371.273345	0.000000	8.620244e+04
513421.277141	0.000000	6.748392e+04
513471.280937	0.000000	5.544438e+04
513521.284734	0.000000	4.705031e+04
513571.288530	0.000000	4.086371e+04
513621.292327	0.000000	4.482163e+04
513671.296123	0.000000	5.237546e+04
513721.299920	0.000000	6.299147e+04
513771.303716	0.000000	7.900505e+04
513821.307513	0.000000	1.059359e+05
513871.311309	0.000000	1.607220e+05
513921.315105	0.000000	3.328700e+05
513971.318902	0.000000	1.200000e+09
514021.322698	0.051411	3.441712e+07
514071.326495	0.051411	3.441712e+07
514121.330291	0.000000	2.587869e+05
514171.334088	0.000000	1.200000e+09
514221.337884	0.000000	1.200000e+09
514271.341681	0.000000	2.930381e+05
514321.345477	0.098963	1.248117e+08
514371.349274	0.098963	1.248117e+08
514421.353070	0.000000	1.200000e+09
514471.356866	0.000000	2.374523e+06
514521.360663	0.000000	2.511882e+05
514571.364459	0.000000	2.001446e+07
514621.368256	0.000000	1.200000e+09
514671.372052	0.000000	1.200000e+09
514721.375849	0.000000	1.200000e+09
514771.379645	0.000000	1.698768e+06
514821.383442	1.680326	3.664254e+03
514871.387238	1.972690	3.791083e+03
514921.391035	1.869579	3.592536e+03
514971.394831	2.524543	5.274875e+03
515021.398627	1.627024	4.786733e+03
515071.402424	0.831684	1.262081e+07
515121.406220	0.831684	1.262081e+07
515171.410017	0.000000	1.200000e+09
515221.413813	0.000000	1.200000e+09
515271.417610	0.000000	4.831849e+05
515321.421406	0.846471	3.439608e+07
