location	LR	alpha
560663.000000	0.000419	3.406571e+08
560713.002480	0.108350	1.308270e+04
560763.004960	0.066261	2.746234e+04
560813.007440	0.727656	6.073254e+03
560863.009920	0.626443	3.704247e+03
560913.012400	1.031463	2.441747e+03
560963.014880	0.014950	3.416115e+04
561013.017360	0.002083	6.437440e+05
561063.019840	3.148994	1.041823e+04
561113.022320	0.172034	1.074565e+08
561163.024800	0.006273	2.525111e+08
561213.027280	0.396573	2.141649e+04
561263.029760	0.282121	1.635709e+04
561313.032240	0.740142	3.468128e+03
561363.034720	3.885070	1.487021e+03
561413.037200	3.790311	1.472138e+03
561463.039681	4.687541	1.696362e+03
561513.042161	6.629064	2.170125e+03
561563.044641	1.827368	3.240353e+03
561613.047121	0.651640	1.116382e+07
561663.049601	0.198872	3.224424e+04
561713.052081	0.312419	3.745787e+07
561763.054561	0.114436	1.320322e+05
561813.057041	0.288751	7.215017e+03
561863.059521	1.200279	2.035764e+03
561913.062001	0.005318	9.727024e+04
561963.064481	3.608932	3.847045e+03
562013.066961	0.481032	3.133000e+07
562063.069441	0.000000	1.200000e+09
562113.071921	0.164371	7.179238e+03
562163.074401	0.442896	8.483172e+04
562213.076881	0.846134	2.609742e+07
562263.079361	2.089007	1.680840e+03
562313.081841	3.260935	1.151816e+03
562363.084321	2.580000	1.110296e+03
562413.086801	0.000031	8.096608e+04
562463.089281	0.078351	4.446947e+04
562513.091761	0.336155	3.158450e+07
562563.094241	0.252726	6.991500e+03
562613.096721	0.013983	1.060609e+04
562663.099201	0.000017	3.256494e+04
562713.101681	0.000020	1.819826e+06
562763.104161	0.453202	3.454352e+07
562813.106641	0.000020	9.269904e+04
562863.109121	3.774680	5.807908e+02
562913.111601	5.915808	6.214021e+02
562963.114081	2.084565	1.007341e+03
563013.116562	0.723756	1.030007e+07
563063.119042	2.545595	3.893278e+03
563113.121522	1.007311	5.301425e+07
563163.124002	2.959131	6.132586e+03
563213.126482	0.360190	5.693679e+07
563263.128962	0.321147	2.304814e+04
563313.131442	0.226790	3.569442e+07
563363.133922	1.305750	6.805044e+03
563413.136402	4.010118	1.335598e+03
563463.138882	0.016820	4.252351e+07
563513.141362	0.704845	9.266971e+03
563563.143842	3.720639	1.505886e+03
563613.146322	4.723722	4.950022e+03
563663.148802	2.557092	1.486032e+07
563713.151282	0.214152	8.735427e+03
563763.153762	1.356151	3.553181e+02
563813.156242	14.876642	2.493987e+02
563863.158722	24.001835	2.026912e+02
563913.161202	30.430927	1.739358e+02
563963.163682	15.507416	1.604433e+02
564013.166162	35.592346	1.468294e+02
564063.168642	33.141772	1.368445e+02
564113.171122	35.148832	1.299469e+02
564163.173602	33.020764	1.256049e+02
564213.176082	3.179087	1.418597e+07
564263.178562	47.419572	1.143615e+02
564313.181042	48.256677	1.101141e+02
564363.183522	57.671304	1.054052e+02
564413.186002	59.691086	1.022439e+02
564463.188482	55.837326	9.961719e+01
564513.190962	60.248705	9.792667e+01
564563.193443	62.949773	9.505511e+01
564613.195923	66.213421	9.292833e+01
564663.198403	63.680846	9.168460e+01
564713.200883	67.305110	9.050121e+01
564763.203363	65.774873	8.981976e+01
564813.205843	72.995886	8.865726e+01
564863.208323	74.240042	8.794551e+01
564913.210803	74.705284	8.753920e+01
564963.213283	74.507939	8.743675e+01
