location	LR	alpha
5223817.000000	3.378343	8.188574e+02
5223867.003008	2.378767	1.081140e+03
5223917.006015	0.000000	1.200000e+09
5223967.009023	1.748031	1.401857e+03
5224017.012030	1.805937	1.931719e+03
5224067.015038	1.889158	3.999011e+03
5224117.018045	0.937063	2.957919e+07
5224167.021053	2.042130	2.514664e+07
5224217.024060	0.001042	1.787611e+08
5224267.027068	2.689146	5.639041e+03
5224317.030075	0.508615	1.047079e+04
5224367.033083	0.000000	3.012458e+05
5224417.036090	0.001061	3.916232e+08
5224467.039098	0.000000	1.200000e+09
5224517.042105	0.000000	2.711834e+05
5224567.045113	0.000000	1.200000e+09
5224617.048120	0.000000	1.200000e+09
5224667.051128	0.000047	4.980333e+05
5224717.054135	0.236038	2.291730e+04
5224767.057143	0.157399	1.024433e+04
5224817.060150	0.069451	1.249876e+04
5224867.063158	0.098204	4.408407e+04
5224917.066165	0.000000	1.200000e+09
5224967.069173	2.566662	4.168627e+03
5225017.072180	3.123952	1.181789e+07
5225067.075188	2.300610	3.879991e+04
5225117.078195	0.000000	2.598408e+06
5225167.081203	0.004520	2.968977e+04
5225217.084211	0.067790	4.309202e+04
5225267.087218	0.060286	2.099253e+05
5225317.090226	0.511744	1.085738e+04
5225367.093233	0.066276	3.384820e+04
5225417.096241	0.091379	6.377161e+04
5225467.099248	0.952147	7.939131e+03
5225517.102256	0.073236	1.199602e+08
5225567.105263	0.301939	4.655727e+04
5225617.108271	0.000475	4.036895e+08
5225667.111278	0.052635	4.772607e+04
5225717.114286	0.007336	1.184092e+05
5225767.117293	0.683123	2.067465e+04
5225817.120301	0.000000	1.200000e+09
5225867.123308	0.132566	2.992376e+04
5225917.126316	0.106484	1.677614e+05
5225967.129323	0.210895	4.850298e+07
5226017.132331	0.031840	2.178682e+08
5226067.135338	3.339128	8.527410e+06
5226117.138346	5.338775	2.606789e+03
5226167.141353	5.942888	3.964878e+03
5226217.144361	0.072150	1.819926e+08
5226267.147368	0.352252	1.103012e+08
5226317.150376	0.034193	4.657405e+04
5226367.153383	0.030887	9.418591e+04
5226417.156391	0.029288	1.092553e+04
5226467.159398	0.159566	7.261134e+03
5226517.162406	0.588612	1.952529e+07
5226567.165414	0.036074	2.336790e+08
5226617.168421	0.036449	3.461660e+04
5226667.171429	0.095715	5.676501e+05
5226717.174436	0.095490	1.276738e+04
5226767.177444	0.000000	1.367683e+05
5226817.180451	0.000000	7.481251e+05
5226867.183459	0.698116	7.080211e+03
5226917.186466	3.128376	3.949673e+06
5226967.189474	0.465017	2.934512e+07
5227017.192481	2.724736	2.070485e+07
5227067.195489	0.311184	5.243392e+04
5227117.198496	0.000000	2.283454e+05
5227167.201504	0.230445	8.273576e+03
5227217.204511	0.091324	2.094153e+04
5227267.207519	0.000000	1.200000e+09
5227317.210526	0.079898	3.906977e+04
5227367.213534	0.471435	9.551661e+03
5227417.216541	0.000000	6.152533e+05
5227467.219549	0.094113	2.735274e+04
5227517.222556	0.054793	2.641023e+04
5227567.225564	0.085282	9.542661e+07
5227617.228571	0.100593	1.665581e+08
5227667.231579	0.087741	1.377065e+08
5227717.234586	0.025218	1.449269e+08
5227767.237594	0.000000	1.200000e+09
5227817.240602	0.000000	1.884633e+05
5227867.243609	0.001079	3.210134e+06
5227917.246617	0.142919	3.079470e+04
5227967.249624	0.063477	3.880356e+04
