location	LR	alpha	D
5223802.000000	5.372234	1.444043e-02	0.045183
5223852.006717	0.364273	3.174659e-02	0.045183
5223902.013434	2.700872	1.641616e-02	0.045183
5223952.020150	3.203692	2.739852e-02	0.045183
5224002.026867	2.394364	3.092997e-02	0.045183
5224052.033584	2.852905	6.090330e-02	0.045183
5224102.040301	3.927795	2.214187e-02	0.022591
5224152.047018	2.453736	2.439258e-02	0.022591
5224202.053734	2.908822	2.715263e-02	0.022591
5224252.060451	2.653763	8.272411e-02	0.022591
5224302.067168	3.199209	3.626112e-02	0.022591
5224352.073885	3.367401	4.512532e-02	0.022591
5224402.080602	3.733513	4.066685e-02	0.045183
5224452.087318	3.098625	3.477380e-02	0.045183
5224502.094035	3.978624	2.941854e-02	0.022591
5224552.100752	1.874795	1.483326e-01	0.045183
5224602.107469	1.529093	3.884434e-01	0.022591
5224652.114185	0.929905	1.521186e-01	0.045183
5224702.120902	1.150442	5.432839e-02	0.045183
5224752.127619	1.475514	1.575066e-02	0.045183
5224802.134336	3.441139	1.675664e-02	0.045183
5224852.141053	2.582043	1.610433e-02	0.045183
5224902.147769	0.486466	2.736463e-01	0.045183
5224952.154486	0.909201	9.611877e-02	0.045183
5225002.161203	0.000000	7.444031e+01	0.022591
5225052.167920	1.521615	1.119259e+00	0.045183
5225102.174637	0.206418	9.586607e-02	0.045183
5225152.181353	0.596724	3.410899e-01	0.045183
5225202.188070	4.440946	1.077381e-02	0.045183
5225252.194787	5.216164	9.660322e-03	0.045183
5225302.201504	1.153879	2.035024e-01	0.045183
5225352.208221	3.511012	6.444400e-02	0.045183
5225402.214937	1.838801	7.073379e-01	0.045183
5225452.221654	4.336772	5.558701e-03	0.045183
5225502.228371	6.699716	5.690518e-03	0.045183
5225552.235088	1.423406	1.563214e-01	0.045183
5225602.241805	2.494416	3.306946e-02	0.045183
5225652.248521	0.000000	1.596852e+01	0.022591
5225702.255238	0.629493	3.366807e+00	0.045183
5225752.261955	2.662202	2.031357e-02	0.045183
5225802.268672	1.773509	6.792203e-03	0.045183
5225852.275388	4.066279	6.823127e-03	0.045183
5225902.282105	0.934634	8.317040e-02	0.022591
5225952.288822	0.970178	6.176371e-02	0.022591
5226002.295539	0.974409	4.912083e-02	0.022591
5226052.302256	0.899574	5.247099e-02	0.022591
5226102.308972	0.566012	6.715501e-02	0.022591
5226152.315689	0.566012	9.325145e-02	0.022591
5226202.322406	0.566012	1.525212e-01	0.022591
5226252.329123	0.566012	4.185431e-01	0.022591
5226302.335840	0.000000	1.285369e+00	0.022591
5226352.342556	0.456160	7.377470e-02	0.045183
5226402.349273	2.490609	1.769001e-02	0.045183
5226452.355990	2.905991	1.647547e-02	0.045183
5226502.362707	0.795755	1.732509e-02	0.045183
5226552.369424	0.217208	2.421158e-02	0.045183
5226602.376140	0.380212	4.992176e-02	0.045183
5226652.382857	3.479487	1.309162e-02	0.045183
5226702.389574	2.634474	1.326538e-02	0.045183
5226752.396291	0.217884	7.801916e-02	0.045183
5226802.403008	1.296130	5.842174e-02	0.045183
5226852.409724	1.934929	4.698334e-02	0.045183
5226902.416441	2.485004	8.242687e-02	0.045183
5226952.423158	2.072787	1.255534e-01	0.022591
5227002.429875	2.799188	2.959822e-02	0.022591
5227052.436591	2.596769	8.795296e-02	0.022591
5227102.443308	2.434690	6.297337e-02	0.022591
5227152.450025	2.900163	5.075069e-02	0.045183
5227202.456742	3.898799	2.966308e-02	0.045183
5227252.463459	3.119773	3.620307e-02	0.022591
5227302.470175	0.337554	1.146112e+00	0.045183
5227352.476892	0.799865	4.641752e-02	0.022591
5227402.483609	1.095144	7.206497e-02	0.022591
5227452.490326	1.386905	9.639302e-02	0.022591
5227502.497043	1.372054	1.148293e-01	0.022591
5227552.503759	3.563756	1.261172e-02	0.045183
5227602.510476	0.965879	1.876435e-02	0.045183
5227652.517193	0.447510	1.265448e+00	0.045183
5227702.523910	0.000000	4.846352e+00	0.022591
5227752.530627	0.984888	1.406696e+00	0.045183
5227802.537343	0.000000	2.196734e+00	0.022591
5227852.544060	0.000000	1.419121e+00	0.022591
5227902.550777	0.000000	2.888033e-01	0.022591
5227952.557494	0.158381	7.573727e-02	0.045183
5228002.564211	0.000000	4.353472e-01	0.022591
5228052.570927	0.306709	1.272660e+00	0.022591
5228102.577644	2.014794	9.964927e-02	0.045183
5228152.584361	0.858195	3.192818e-01	0.045183
5228202.591078	0.366561	3.702684e-01	0.045183
5228252.597794	0.000000	2.609947e+00	0.022591
5228302.604511	0.000000	6.816436e-01	0.022591
5228352.611228	0.000000	1.053670e+00	0.022591
5228402.617945	0.000000	8.811902e-01	0.022591
5228452.624662	0.000000	9.505206e-01	0.022591
5228502.631378	1.140695	1.172234e-01	0.045183
5228552.638095	0.000000	9.707243e-01	0.022591
5228602.644812	0.124929	7.502378e-01	0.045183
5228652.651529	0.566012	2.759590e+00	0.022591
5228702.658246	0.000000	1.566939e+00	0.022591
5228752.664962	0.971967	1.161099e+00	0.045183
5228802.671679	0.000000	1.440867e+00	0.022591
5228852.678396	1.213701	4.904398e-02	0.045183
5228902.685113	0.566012	7.121184e+00	0.022591
5228952.691830	0.848512	5.198922e+00	0.022591
5229002.698546	0.350364	1.253938e-01	0.045183
5229052.705263	0.566012	1.645021e+00	0.022591
5229102.711980	0.566012	1.787847e+00	0.022591
5229152.718697	2.124859	5.706642e-02	0.045183
5229202.725414	2.398256	7.487153e-02	0.045183
5229252.732130	0.000000	4.663431e-01	0.022591
5229302.738847	0.767055	1.169459e+00	0.022591
5229352.745564	0.726779	2.711593e-01	0.045183
5229402.752281	0.695805	6.534997e-01	0.045183
5229452.758997	1.254265	6.274805e-02	0.045183
5229502.765714	1.065447	2.024409e-02	0.045183
5229552.772431	2.326019	4.506326e-04	0.045183
5229602.779148	4.387484	4.622102e-04	0.045183
5229652.785865	0.000000	5.419724e+00	0.022591
5229702.792581	10.661472	4.639977e-04	0.045183
5229752.799298	13.898022	4.648965e-04	0.045183
5229802.806015	15.723083	4.657988e-04	0.045183
5229852.812732	19.631999	4.554740e-04	0.045183
