location	LR	alpha	D
295008.000000	0.407698	9.761456e+00	0.043018
295058.002801	0.000000	1.999067e+00	0.021509
295108.005601	0.000000	2.397316e+00	0.021509
295158.008402	0.393275	1.090077e+00	0.043018
295208.011202	0.609590	1.260234e+00	0.043018
295258.014003	0.107057	2.149702e+02	0.043018
295308.016803	1.125119	4.022530e+00	0.021509
295358.019604	0.046913	3.917398e+00	0.043018
295408.022404	0.000000	4.030099e+00	0.021509
295458.025205	0.000000	3.019025e+00	0.021509
295508.028006	0.107057	1.012850e+00	0.043018
295558.030806	0.107057	9.771374e+01	0.043018
295608.033607	0.821342	6.686642e-01	0.043018
295658.036407	1.735283	1.498580e+00	0.043018
295708.039208	1.274176	4.011825e-01	0.043018
295758.042008	0.252972	5.025129e-01	0.043018
295808.044809	2.910455	6.137508e+00	0.043018
295858.047610	3.860823	7.381345e-02	0.043018
295908.050410	3.297721	2.853719e-01	0.021509
295958.053211	3.907935	1.429477e-01	0.021509
296008.056011	3.562163	9.452986e-02	0.043018
296058.058812	2.595642	6.894221e-02	0.043018
296108.061612	4.770625	6.591174e-02	0.043018
296158.064413	1.378235	3.082014e-01	0.021509
296208.067213	2.047369	1.291256e-01	0.021509
296258.070014	4.608355	2.720657e-02	0.021509
296308.072815	4.615765	2.829703e-02	0.021509
296358.075615	2.422017	8.328956e-02	0.021509
296408.078416	1.779994	3.436270e-01	0.043018
296458.081216	4.067501	4.916396e-02	0.021509
296508.084017	4.340762	3.907726e-02	0.021509
296558.086817	1.355181	5.383261e-02	0.021509
296608.089618	1.155642	2.225916e-01	0.021509
296658.092418	2.437875	3.517966e-01	0.021509
296708.095219	2.094021	1.574167e-01	0.021509
296758.098020	3.201929	7.792077e-01	0.043018
296808.100820	1.554633	8.054136e-01	0.021509
296858.103621	0.000000	7.016059e-01	0.021509
296908.106421	0.119798	3.232374e+00	0.043018
296958.109222	0.693483	2.443533e-01	0.043018
297008.112022	1.396303	8.783611e-01	0.043018
297058.114823	2.487061	6.799395e-01	0.043018
297108.117624	0.588052	1.631712e+00	0.043018
297158.120424	1.399013	1.012850e+00	0.043018
297208.123225	3.840260	1.624327e-01	0.043018
297258.126025	1.685915	2.042910e+00	0.021509
297308.128826	5.899905	1.320550e-01	0.043018
297358.131626	3.657034	1.488405e+00	0.043018
297408.134427	0.437792	9.916742e-01	0.043018
297458.137227	1.043414	1.051018e+01	0.043018
297508.140028	0.119798	2.062716e+01	0.043018
297558.142829	0.107057	2.107551e+01	0.043018
297608.145629	0.527220	3.852868e-01	0.043018
297658.148430	0.046913	1.787632e+00	0.043018
297708.151230	0.000000	2.890710e+00	0.021509
297758.154031	0.000000	2.867660e-01	0.021509
297808.156831	2.234244	6.828498e-01	0.043018
297858.159632	2.768820	1.106973e+00	0.043018
297908.162432	1.026091	9.123171e-01	0.043018
297958.165233	0.647714	1.035958e-01	0.043018
298008.168034	0.000000	1.822823e-01	0.021509
298058.170834	0.000000	7.580944e-01	0.021509
298108.173635	1.750562	8.706608e-02	0.043018
298158.176435	0.000000	4.249948e+00	0.021509
298208.179236	2.462175	3.477166e-01	0.043018
298258.182036	0.830381	4.344080e-02	0.043018
298308.184837	1.185298	6.645276e-01	0.043018
298358.187638	0.000000	1.222947e+00	0.021509
298408.190438	0.700027	1.428354e+00	0.043018
298458.193239	1.690544	2.694287e-01	0.043018
298508.196039	1.694124	5.941757e-01	0.021509
298558.198840	0.000000	1.363457e+00	0.021509
298608.201640	1.429905	6.465350e-01	0.043018
298658.204441	1.378633	4.331193e-01	0.043018
298708.207241	1.245638	6.749434e-02	0.043018
298758.210042	2.198791	1.365194e+00	0.043018
298808.212843	0.046913	1.377964e+00	0.043018
298858.215643	0.000000	9.080151e-01	0.021509
298908.218444	1.679568	8.011670e-02	0.043018
298958.221244	0.786232	1.174026e+00	0.043018
299008.224045	0.329118	2.467696e-01	0.043018
299058.226845	0.992361	1.227331e-01	0.043018
299108.229646	1.125119	3.715577e+00	0.021509
299158.232446	2.389717	2.051381e+00	0.043018
299208.235247	2.867127	1.083377e-01	0.043018
299258.238048	0.856125	8.129008e-01	0.043018
299308.240848	5.200174	6.746430e-02	0.043018
299358.243649	0.000000	2.827755e+00	0.021509
299408.246449	1.869678	1.791933e+00	0.043018
299458.249250	1.129638	7.618682e-01	0.021509
299508.252050	0.214127	3.503439e-01	0.021509
299558.254851	0.000000	8.418190e-01	0.021509
299608.257652	1.686231	4.128829e+00	0.043018
299658.260452	0.000000	4.380286e+00	0.021509
299708.263253	1.125119	3.719401e-01	0.021509
299758.266053	1.125119	1.458681e-01	0.021509
299808.268854	1.125119	9.072431e-02	0.021509
299858.271654	1.125119	6.583579e-02	0.021509
299908.274455	1.125119	5.166301e-02	0.021509
299958.277255	1.125119	4.251139e-02	0.021509
300008.280056	1.125119	3.611411e-02	0.021509
300058.282857	1.125119	3.139036e-02	0.021509
300108.285657	1.125119	2.775942e-02	0.021509
300158.288458	0.000000	2.914662e-02	0.021509
300208.291258	0.000000	3.317586e-02	0.021509
300258.294059	0.000000	3.849783e-02	0.021509
300308.296859	0.000000	4.585349e-02	0.021509
300358.299660	0.000000	5.668390e-02	0.021509
300408.302460	0.000000	7.421264e-02	0.021509
300458.305261	0.000000	1.074357e-01	0.021509
300508.308062	0.000000	1.945149e-01	0.021509
300558.310862	0.611149	8.293643e-02	0.043018
300608.313663	0.498936	2.248512e-02	0.043018
300658.316463	0.094945	2.904411e-01	0.043018
300708.319264	0.969375	4.335146e-01	0.043018
300758.322064	0.000000	9.738630e-01	0.021509
300808.324865	0.000000	1.925395e-01	0.021509
300858.327666	0.000000	2.010983e-01	0.021509
300908.330466	0.271114	2.033783e-01	0.043018
300958.333267	0.000000	6.545480e-01	0.021509
301008.336067	0.000000	1.125289e+00	0.021509
301058.338868	0.676938	1.747714e-01	0.043018
301108.341668	0.000000	6.431445e-01	0.021509
301158.344469	0.478630	3.255197e-02	0.043018
301208.347269	0.000000	1.568068e+00	0.021509
301258.350070	0.220885	5.218792e-01	0.043018
301308.352871	0.440646	2.705575e-01	0.021509
