location	LR	alpha
635361.000000	0.000000	1.200000e+09
635411.005710	0.081818	2.387520e+08
635461.011421	0.111083	7.339930e+04
635511.017131	0.001192	2.315550e+04
635561.022841	0.000000	3.212229e+05
635611.028551	0.245803	4.222800e+04
635661.034262	0.015902	4.140777e+04
635711.039972	0.015904	1.871912e+04
635761.045682	0.023911	7.106281e+03
635811.051393	0.213567	2.897327e+03
635861.057103	0.894663	2.157219e+03
635911.062813	0.514285	1.655805e+03
635961.068523	0.360211	1.424300e+03
636011.074234	0.326431	1.272012e+03
636061.079944	0.314649	1.200508e+03
636111.085654	0.278907	1.214300e+03
636161.091364	0.206740	1.359658e+03
636211.097075	0.159654	1.760244e+03
636261.102785	0.176272	2.277785e+03
636311.108495	0.239891	3.002440e+03
636361.114206	0.389615	4.361380e+03
636411.119916	1.086304	8.201047e+03
636461.125626	0.003510	1.792084e+05
636511.131336	0.000000	2.856801e+05
636561.137047	0.476645	6.110464e+07
636611.142757	0.220443	6.560919e+03
636661.148467	0.018297	5.640124e+03
636711.154178	0.000000	5.510084e+04
636761.159888	0.000000	2.696906e+05
636811.165598	0.000100	1.364097e+05
636861.171308	0.277702	1.053377e+04
636911.177019	1.274297	1.133249e+03
636961.182729	2.794011	9.091475e+02
637011.188439	1.985920	6.986514e+02
637061.194149	1.090913	7.739192e+02
637111.199860	0.851366	1.428447e+03
637161.205570	0.000000	4.081058e+06
637211.211280	0.538439	1.127290e+04
637261.216991	1.799630	2.853026e+03
637311.222701	2.253180	1.699449e+03
637361.228411	0.694179	1.145788e+03
637411.234121	1.484936	7.236440e+02
637461.239832	1.544478	5.055692e+02
637511.245542	1.609326	4.009875e+02
637561.251252	1.610732	3.639954e+02
637611.256963	1.550369	3.415208e+02
637661.262673	1.440010	3.248115e+02
637711.268383	1.278429	3.111690e+02
637761.274093	1.035849	3.001153e+02
637811.279804	0.578931	2.935705e+02
637861.285514	0.000000	1.205230e+06
637911.291224	0.324734	2.551720e+02
637961.296934	0.684912	2.345397e+02
638011.302645	0.821656	2.227701e+02
638061.308355	0.886012	2.152180e+02
638111.314065	0.916863	2.101883e+02
638161.319776	0.928808	2.069158e+02
638211.325486	0.928496	2.050022e+02
638261.331196	0.919332	2.042431e+02
638311.336906	0.903111	2.045689e+02
638361.342617	0.880683	2.060231e+02
638411.348327	0.852243	2.087685e+02
638461.354037	0.817501	2.131365e+02
638511.359748	0.775892	2.197516e+02
638561.365458	0.727079	2.298574e+02
638611.371168	0.672306	2.459269e+02
638661.376878	0.616656	2.723541e+02
638711.382589	0.566230	3.133530e+02
638761.388299	0.512078	3.802306e+02
638811.394009	0.536843	7.193525e+02
638861.399719	0.556576	1.013652e+03
638911.405430	0.106912	3.378308e+03
638961.411140	0.809431	4.459923e+03
639011.416850	0.354200	7.162592e+03
639061.422561	0.688395	1.043152e+03
639111.428271	0.810902	5.088362e+02
639161.433981	0.911124	4.839065e+02
639211.439691	0.853259	4.977415e+02
639261.445402	0.704751	5.351678e+02
639311.451112	0.394937	6.069579e+02
639361.456822	0.003516	8.357648e+04
639411.462533	0.333897	8.624857e+02
639461.468243	0.795020	9.224174e+02
639511.473953	0.841050	1.170525e+03
639561.479663	0.901231	2.152253e+03
639611.485374	0.631657	4.681343e+04
639661.491084	0.000000	1.988183e+06
639711.496794	0.682356	2.522180e+04
639761.502505	0.015906	4.351505e+04
639811.508215	0.000009	3.160465e+04
639861.513925	0.000007	4.657241e+05
639911.519635	0.000000	4.892810e+05
639961.525346	0.110017	1.170437e+04
640011.531056	0.000000	3.688265e+05
640061.536766	0.244476	4.948159e+04
640111.542476	0.000000	1.200000e+09
640161.548187	0.449456	1.268759e+07
640211.553897	0.335592	7.655143e+03
640261.559607	0.000549	5.924147e+04
640311.565318	0.572655	2.227619e+04
640361.571028	0.183673	7.625165e+03
640411.576738	0.875644	1.726153e+03
640461.582448	0.000407	2.265037e+05
640511.588159	0.422949	1.694430e+04
640561.593869	0.289264	3.201985e+03
640611.599579	0.043728	1.773593e+03
640661.605290	0.125261	2.197935e+03
640711.611000	0.174010	4.168654e+03
640761.616710	0.135739	2.006026e+04
640811.622420	0.203278	3.788146e+07
640861.628131	0.877611	3.470230e+03
640911.633841	0.750523	1.901578e+04
640961.639551	0.292747	3.290376e+03
641011.645261	0.000000	5.229015e+05
641061.650972	0.000000	5.412743e+05
641111.656682	0.241946	9.864290e+07
641161.662392	0.073007	1.900919e+08
641211.668103	0.094854	2.017125e+08
641261.673813	0.672824	7.445146e+07
641311.679523	2.014112	3.946516e+03
641361.685233	0.000000	1.200000e+09
641411.690944	0.000000	1.200000e+09
641461.696654	1.666063	1.908093e+03
641511.702364	1.497329	1.464305e+03
641561.708075	1.071487	1.198563e+03
641611.713785	1.239340	1.062304e+03
641661.719495	1.104432	9.806165e+02
641711.725205	0.676353	9.236016e+02
641761.730916	0.472181	8.920169e+02
641811.736626	0.337671	8.746975e+02
641861.742336	0.233260	8.807667e+02
641911.748046	0.162292	9.624359e+02
641961.753757	0.236904	1.446709e+03
642011.759467	0.482204	1.492335e+03
642061.765177	0.744359	1.675988e+03
642111.770888	0.005137	3.223234e+03
642161.776598	0.000000	1.038500e+05
642211.782308	0.000000	4.035103e+04
642261.788018	0.000143	1.323262e+04
642311.793729	0.000102	3.162531e+04
642361.799439	0.656526	9.777683e+03
642411.805149	0.048318	5.794627e+04
642461.810860	0.000000	3.062084e+05
642511.816570	0.000000	9.710029e+04
642561.822280	0.001977	1.424685e+04
642611.827990	0.354885	7.452833e+03
642661.833701	0.039039	4.076145e+04
642711.839411	0.000000	1.910888e+05
642761.845121	0.000000	2.413855e+06
642811.850831	0.987723	3.515090e+03
642861.856542	0.137135	5.859043e+03
642911.862252	0.076709	1.818218e+04
642961.867962	0.039610	2.673826e+04
643011.873673	0.000000	1.523755e+06
643061.879383	0.188488	3.750539e+03
643111.885093	0.090714	6.161931e+03
643161.890803	0.297881	3.180336e+04
643211.896514	0.000000	6.023335e+06
643261.902224	0.000000	5.692770e+05
643311.907934	0.005922	4.483564e+04
643361.913645	0.161918	1.171883e+04
643411.919355	0.122273	4.447167e+04
643461.925065	0.307600	5.844335e+03
643511.930775	0.911610	2.982362e+03
643561.936486	0.282578	3.656612e+03
643611.942196	0.101730	7.396744e+03
643661.947906	0.095983	1.910539e+05
643711.953617	0.090547	8.679612e+03
643761.959327	0.301968	2.824087e+03
643811.965037	0.511058	3.514602e+03
643861.970747	0.957241	1.817721e+04
643911.976458	0.086165	1.140684e+05
643961.982168	1.386471	5.433167e+03
644011.987878	0.216606	1.215817e+08
644061.993588	0.007153	1.118007e+05
644111.999299	0.021653	1.648207e+05
644162.005009	0.293535	2.091015e+04
644212.010719	0.197241	4.739246e+03
644262.016430	0.093783	2.802248e+03
644312.022140	0.000407	5.843253e+04
644362.027850	0.000407	3.280947e+04
644412.033560	0.047765	3.023034e+03
644462.039271	0.036800	2.115158e+08
644512.044981	0.447726	1.164491e+05
644562.050691	0.107970	7.329282e+03
644612.056402	0.015498	1.015041e+05
644662.062112	0.000000	4.712036e+05
644712.067822	0.000000	5.831119e+04
644762.073532	0.015885	1.499918e+03
644812.079243	0.000000	2.118480e+04
644862.084953	0.000000	1.606922e+04
644912.090663	0.000000	1.294366e+04
644962.096373	0.000000	1.083599e+04
645012.102084	0.000000	9.318603e+03
645062.107794	0.000000	1.060139e+04
645112.113504	0.000000	1.261032e+04
645162.119215	0.000000	1.555863e+04
645212.124925	0.000000	2.030628e+04
645262.130635	0.000000	2.922377e+04
645312.136345	0.000000	5.210621e+04
645362.142056	0.000000	2.401289e+05
645412.147766	0.000000	8.795099e+05
645462.153476	0.000000	6.736410e+04
645512.159187	0.031963	1.167386e+04
