location	LR	alpha
295003.000000	0.113240	2.912107e+07
295053.005502	0.000000	8.168990e+05
295103.011003	0.000000	3.252031e+05
295153.016505	0.015056	1.874899e+08
295203.022007	0.081678	1.226198e+05
295253.027508	0.081678	1.387274e+08
295303.033010	3.252969	5.967811e+03
295353.038512	2.745253	9.283357e+04
295403.044013	0.122170	4.511040e+07
295453.049515	0.014053	8.165615e+04
295503.055017	0.601218	1.162085e+04
295553.060518	0.485010	6.191731e+03
295603.066020	0.004492	2.602724e+06
295653.071521	0.782543	6.590779e+07
295703.077023	0.000000	1.200000e+09
295753.082525	0.000000	1.794078e+05
295803.088026	0.000000	1.200000e+09
295853.093528	0.056516	1.325038e+08
295903.099030	0.267311	1.069316e+08
295953.104531	0.518510	2.185364e+04
296003.110033	0.361487	1.432270e+05
296053.115535	0.674863	6.694729e+03
296103.121036	0.293912	1.723775e+04
296153.126538	0.009405	2.118167e+05
296203.132040	0.002138	3.116864e+08
296253.137541	0.351817	8.551006e+07
296303.143043	0.228717	6.523635e+07
296353.148545	0.678810	8.229476e+07
296403.154046	0.889729	1.553881e+07
296453.159548	2.001939	3.396444e+03
296503.165050	0.408940	4.219667e+07
296553.170551	0.628310	6.660738e+03
296603.176053	1.781014	1.599972e+03
296653.181554	2.591697	1.219393e+03
296703.187056	2.791960	1.125707e+03
296753.192558	2.224622	1.159663e+03
296803.198059	1.109659	1.439864e+03
296853.203561	0.074543	4.723678e+03
296903.209063	0.000018	7.018228e+04
296953.214564	0.000018	4.739381e+08
297003.220066	0.557740	5.787219e+07
297053.225568	2.092842	4.270581e+03
297103.231069	0.836793	3.569569e+07
297153.236571	0.033534	2.219273e+08
297203.242073	1.888507	7.837823e+03
297253.247574	2.602606	7.663542e+03
297303.253076	0.106825	1.488551e+08
297353.258578	2.411227	4.140396e+06
297403.264079	0.000000	1.200000e+09
297453.269581	0.038512	2.394145e+08
297503.275083	0.350409	1.060669e+04
297553.280584	0.000000	1.200000e+09
297603.286086	0.000000	3.638949e+06
297653.291587	0.160455	2.070434e+04
297703.297089	0.209535	2.367239e+05
297753.302591	0.166928	8.883727e+03
297803.308092	0.002692	3.001468e+08
297853.313594	5.452450	2.873615e+03
297903.319096	3.859931	1.433258e+07
297953.324597	0.338505	1.919515e+04
298003.330099	0.003266	1.200819e+05
298053.335601	0.070062	4.910413e+04
298103.341102	0.094366	1.689766e+08
298153.346604	0.676768	6.129010e+07
298203.352106	0.000243	1.114284e+05
298253.357607	0.006642	2.202843e+08
298303.363109	0.411396	3.712541e+04
298353.368611	0.215751	2.936936e+04
298403.374112	0.951121	1.005056e+04
298453.379614	2.033118	3.485152e+03
298503.385116	4.580428	1.902091e+03
298553.390617	5.748943	1.887623e+03
298603.396119	0.567426	3.088035e+07
298653.401620	1.823778	1.992478e+07
298703.407122	2.280943	3.395290e+07
298753.412624	0.066578	1.404698e+08
298803.418125	0.001617	1.331819e+05
298853.423627	2.041293	3.390924e+03
298903.429129	0.721990	2.587449e+07
298953.434630	2.290189	1.493212e+07
299003.440132	0.001626	3.292037e+08
299053.445634	0.017165	1.619662e+05
299103.451135	0.329198	1.122012e+08
299153.456637	2.877999	1.445015e+07
299203.462139	0.450473	5.191005e+07
299253.467640	0.427434	1.353883e+04
299303.473142	0.000000	1.200000e+09
299353.478644	0.293396	1.078465e+08
299403.484145	0.000000	3.559736e+05
299453.489647	0.049875	3.942155e+04
299503.495149	0.096749	3.307819e+04
299553.500650	0.050459	6.324522e+04
299603.506152	0.002697	3.512919e+08
299653.511653	0.000027	4.981863e+08
299703.517155	0.000027	7.868976e+04
299753.522657	0.000028	3.146443e+04
299803.528158	0.000039	1.901810e+04
299853.533660	0.000083	1.298109e+04
299903.539162	0.000190	9.514108e+03
299953.544663	0.000378	7.396075e+03
300003.550165	0.000657	6.036339e+03
300053.555667	0.001359	4.905340e+03
300103.561168	0.006126	3.766226e+03
300153.566670	0.080362	1.492368e+03
300203.572172	0.254915	1.532691e+03
300253.577673	0.375372	1.690929e+03
300303.583175	0.432758	1.865680e+03
300353.588677	0.395454	2.122801e+03
300403.594178	0.253836	2.776571e+03
300453.599680	0.131409	5.454878e+03
300503.605182	0.094131	1.126477e+04
300553.610683	0.092423	4.733347e+04
300603.616185	0.753455	1.035957e+07
300653.621687	0.356155	1.016578e+08
300703.627188	0.000000	1.200000e+09
300753.632690	6.055125	5.955458e+03
300803.638191	1.911660	4.068667e+03
300853.643693	0.233313	9.561524e+03
300903.649195	0.101821	5.187897e+04
300953.654696	0.035923	3.115196e+04
301003.660198	1.599308	6.416699e+03
301053.665700	3.164604	3.807080e+03
301103.671201	4.608553	2.318772e+03
301153.676703	2.743663	3.384523e+03
301203.682205	3.722478	2.891888e+03
301253.687706	3.361851	3.119215e+06
301303.693208	0.394060	9.582649e+07
301353.698710	0.000000	1.200000e+09
301403.704211	0.154400	1.133854e+08
301453.709713	0.291380	9.687654e+07
301503.715215	0.000000	1.200000e+09
301553.720716	0.000000	1.200000e+09
301603.726218	0.052725	6.369243e+04
301653.731720	0.055334	3.988130e+04
301703.737221	0.594942	2.636849e+04
301753.742723	2.124890	9.608946e+03
301803.748224	2.325791	1.351269e+04
301853.753726	4.433390	2.224952e+03
301903.759228	5.356668	1.948848e+03
301953.764729	4.694573	1.939075e+03
302003.770231	1.887500	2.177203e+03
