location	LR	alpha
4001316.000000	0.000000	1.200000e+03
4001366.003255	0.000967	2.022029e-01
4001416.006509	0.000000	2.995127e+00
4001466.009764	0.000869	2.059575e-01
4001516.013018	0.618960	7.490911e-02
4001566.016273	0.068700	2.745349e-01
4001616.019527	0.041857	3.705076e-01
4001666.022782	0.001050	7.945927e-01
4001716.026036	0.520057	1.848045e-01
4001766.029291	0.000000	2.978192e+00
4001816.032546	0.000000	4.439094e-01
4001866.035800	0.000000	2.555138e-01
4001916.039055	0.000659	1.689206e+00
4001966.042309	0.000000	3.944374e+00
4002016.045564	2.189226	2.106813e-02
4002066.048818	2.822641	1.544744e-02
4002116.052073	0.900501	1.078149e-02
4002166.055327	0.003183	2.533362e-02
4002216.058582	0.000000	1.691537e-01
4002266.061837	0.000000	5.731163e-01
4002316.065091	0.000000	6.201843e+00
4002366.068346	0.000000	4.093253e+00
4002416.071600	0.000000	2.549308e-01
4002466.074855	0.000000	5.734729e-01
4002516.078109	0.490993	2.800646e-02
4002566.081364	0.000000	6.254443e+00
4002616.084618	1.211219	3.037185e+00
4002666.087873	0.300505	3.040221e-02
4002716.091128	1.246669	7.167578e-02
4002766.094382	0.000000	1.271427e+02
4002816.097637	0.200700	2.099863e-01
4002866.100891	0.219806	2.030570e-02
4002916.104146	0.015092	2.683843e-02
4002966.107400	0.020875	7.235565e-02
4003016.110655	0.000000	6.351410e+00
4003066.113909	0.000000	4.976381e-01
4003116.117164	0.000000	5.667960e+00
4003166.120419	0.005441	1.350590e+00
4003216.123673	0.000063	3.336460e-01
4003266.126928	0.728253	2.512503e-02
4003316.130182	1.177366	6.284210e-02
4003366.133437	0.000000	8.993021e+01
4003416.136691	0.000000	1.681452e+00
4003466.139946	0.282642	4.992344e-01
4003516.143200	0.000865	2.302097e+01
4003566.146455	0.000000	6.474083e+00
4003616.149710	0.000000	5.582152e+00
4003666.152964	0.115564	1.841682e-01
4003716.156219	0.093867	1.056383e-01
4003766.159473	0.059853	1.101662e+01
4003816.162728	2.128696	2.803409e-02
4003866.165982	0.431164	1.018571e-02
4003916.169237	0.140146	8.566671e-03
4003966.172491	1.222770	2.292426e-02
4004016.175746	3.765466	7.021084e-03
4004066.179001	4.048655	4.624587e-03
4004116.182255	0.756397	5.999352e-02
4004166.185510	2.289995	3.180808e-03
4004216.188764	2.294300	2.862195e-03
4004266.192019	1.873616	2.749742e-03
4004316.195273	1.356988	2.792557e-03
4004366.198528	0.848345	3.066163e-03
4004416.201782	0.526743	4.088449e-03
4004466.205037	0.536366	5.480691e-03
4004516.208292	0.492743	7.048660e-03
4004566.211546	0.005383	9.134412e-01
4004616.214801	0.900897	3.345948e-01
4004666.218055	2.761537	6.749217e-02
4004716.221310	0.096957	1.775936e-02
4004766.224564	0.000000	2.296842e+00
4004816.227819	0.000000	3.181184e+00
4004866.231074	0.299587	4.259084e-01
4004916.234328	0.000000	5.930517e-01
4004966.237583	0.000894	5.688362e-01
4005016.240837	0.000000	1.580689e+01
4005066.244092	0.000000	9.645594e+00
4005116.247346	1.007446	1.742062e-02
4005166.250601	2.850171	1.139183e-02
4005216.253855	1.613220	1.063329e-02
4005266.257110	0.067337	2.048390e-02
4005316.260365	0.000000	9.419422e-01
4005366.263619	0.241719	1.523616e-01
4005416.266874	0.023180	3.580469e-02
4005466.270128	0.000000	3.964304e-01
4005516.273383	0.000000	3.180778e-01
4005566.276637	0.000000	1.658919e+01
4005616.279892	0.000000	3.225714e+00
4005666.283146	0.260297	2.504389e-02
4005716.286401	0.511501	8.336626e-03
4005766.289656	2.326446	6.986175e-03
4005816.292910	1.728746	8.500387e-03
4005866.296165	0.421222	1.412014e-02
4005916.299419	0.083393	4.171853e-02
4005966.302674	0.000000	3.964666e+01
4006016.305928	0.000000	4.937067e-01
4006066.309183	0.066241	1.838791e-02
4006116.312437	0.335404	9.387131e-03
4006166.315692	0.458776	9.971374e-03
4006216.318947	0.527936	1.349168e-01
4006266.322201	0.692231	8.199600e-03
4006316.325456	1.920629	1.086484e-02
4006366.328710	0.104634	1.470670e-01
4006416.331965	0.060186	7.844793e-02
4006466.335219	1.355631	3.653327e-03
4006516.338474	1.963062	3.195361e-03
4006566.341728	1.510202	3.352531e-03
4006616.344983	0.221057	6.137959e-03
4006666.348238	0.000000	3.583976e+00
4006716.351492	1.612223	3.522111e-02
4006766.354747	0.000000	4.536429e+00
4006816.358001	0.309247	5.795296e-01
4006866.361256	0.952221	1.153117e-02
4006916.364510	0.972079	6.908260e-03
4006966.367765	0.722413	5.577296e-03
4007016.371019	0.239083	5.629445e-03
4007066.374274	0.000000	1.309676e-01
4007116.377529	0.000000	2.883058e-01
4007166.380783	0.000000	3.315635e+00
4007216.384038	0.067327	4.250790e-01
4007266.387292	0.000924	3.787065e-01
4007316.390547	0.000865	8.441023e+00
4007366.393801	0.005484	4.515796e-01
4007416.397056	0.000000	3.330611e+00
4007466.400310	0.000855	1.354386e-01
4007516.403565	0.000484	4.801367e-02
4007566.406820	0.000243	3.082230e-02
4007616.410074	0.000149	2.286018e-02
4007666.413329	0.000113	1.805472e-02
4007716.416583	0.000104	1.470414e-02
4007766.419838	0.000125	1.209955e-02
4007816.423092	0.000652	8.780753e-03
4007866.426347	0.007055	6.636641e-03
4007916.429601	0.019448	6.186107e-03
4007966.432856	0.031869	6.399345e-03
4008016.436111	0.045904	6.984620e-03
4008066.439365	0.065634	7.865355e-03
4008116.442620	0.094757	9.161233e-03
4008166.445874	0.138172	1.127176e-02
4008216.449129	0.203915	1.543249e-02
4008266.452383	0.307991	2.830932e-02
4008316.455638	0.059885	6.902079e-01
4008366.458892	0.000000	1.608818e+00
4008416.462147	0.000865	1.338916e+00
4008466.465402	0.000000	2.195631e+00
4008516.468656	0.000000	2.685371e+00
4008566.471911	0.544422	1.315573e+00
4008616.475165	0.189496	1.447187e-01
4008666.478420	0.000000	3.937213e-01
4008716.481674	1.432401	6.658851e-03
