location	LR	alpha
2476370.000000	0.378597	1.386240e+07
2476420.007638	1.642762	1.185782e+04
2476470.015277	0.159745	8.165118e+04
2476520.022915	0.000003	4.299753e+05
2476570.030554	0.491892	1.039316e+07
2476620.038192	0.066438	3.010218e+07
2476670.045831	0.970487	1.684094e+04
2476720.053469	0.267603	3.251037e+04
2476770.061108	0.168809	1.126246e+08
2476820.068746	0.063058	1.080886e+04
2476870.076384	0.000000	1.200000e+09
2476920.084023	0.492816	1.692150e+07
2476970.091661	0.765170	8.722100e+07
2477020.099300	0.905335	3.690116e+07
2477070.106938	2.606982	4.726589e+06
2477120.114577	1.629137	2.991776e+07
2477170.122215	1.676639	2.663117e+07
2477220.129854	3.416331	1.778038e+03
2477270.137492	0.030318	2.468867e+08
2477320.145130	0.026427	1.852238e+04
2477370.152769	0.000006	1.251132e+05
2477420.160407	0.002201	3.153412e+05
2477470.168046	0.002214	2.948843e+04
2477520.175684	0.000000	6.474039e+04
2477570.183323	0.000000	1.440588e+05
2477620.190961	0.000000	1.200000e+09
2477670.198600	0.948453	1.401742e+07
2477720.206238	7.273887	1.207316e+03
2477770.213877	5.359638	4.141442e+06
2477820.221515	0.940978	3.304635e+04
2477870.229153	0.000000	1.200000e+09
2477920.236792	0.031200	4.412820e+04
2477970.244430	0.003522	3.179336e+05
2478020.252069	0.000000	4.362543e+05
2478070.259707	0.365304	2.149271e+07
2478120.267346	0.934192	1.093325e+07
2478170.274984	1.769897	1.977092e+07
2478220.282623	1.504182	2.823114e+07
2478270.290261	1.624394	1.899216e+03
2478320.297899	2.625243	3.938521e+06
2478370.305538	0.069487	2.179739e+08
2478420.313176	0.000000	1.200000e+09
2478470.320815	0.799063	7.156869e+07
2478520.328453	0.006732	3.610061e+07
2478570.336092	0.187518	1.147586e+04
2478620.343730	0.559254	2.906800e+07
2478670.351369	1.315105	3.696964e+07
2478720.359007	0.086231	1.134969e+05
2478770.366645	0.000035	1.678339e+05
2478820.374284	0.218030	2.095016e+03
2478870.381922	0.006136	5.801755e+03
2478920.389561	0.006290	4.709550e+03
2478970.397199	0.003102	8.307771e+03
2479020.404838	0.020535	6.644593e+03
2479070.412476	0.054753	5.874051e+03
2479120.420115	0.425242	2.594924e+03
2479170.427753	1.278984	3.237460e+03
2479220.435391	2.015274	4.710519e+06
2479270.443030	0.837720	4.137798e+07
2479320.450668	0.000000	1.200000e+09
2479370.458307	0.134423	4.730455e+05
2479420.465945	0.533481	2.428619e+07
2479470.473584	0.056853	1.244137e+05
2479520.481222	0.000000	1.200000e+09
2479570.488861	0.017710	3.091832e+08
2479620.496499	0.094949	2.045456e+08
2479670.504137	0.008058	3.253055e+08
2479720.511776	0.194722	1.847694e+08
2479770.519414	0.607377	6.815688e+07
2479820.527053	0.102372	1.990075e+08
2479870.534691	0.063084	2.451149e+08
2479920.542330	0.034525	2.614554e+08
2479970.549968	0.052653	2.194146e+08
2480020.557607	0.097488	2.390333e+08
2480070.565245	0.216659	9.589891e+07
2480120.572884	1.157765	5.685943e+04
2480170.580522	0.026968	8.309447e+04
2480220.588160	0.340570	1.314589e+04
2480270.595799	0.433468	7.968250e+07
2480320.603437	0.035358	2.247881e+08
2480370.611076	2.581510	7.923789e+06
2480420.618714	1.985400	3.101915e+03
2480470.626353	0.888415	1.744586e+07
2480520.633991	0.000000	1.200000e+09
2480570.641630	0.890318	4.324055e+06
2480620.649268	0.001260	4.225324e+08
2480670.656906	0.060281	4.835960e+04
2480720.664545	0.577392	6.037911e+04
2480770.672183	0.158553	9.607126e+04
2480820.679822	0.324582	1.323966e+08
2480870.687460	0.195542	1.400879e+08
2480920.695099	0.345373	1.406219e+08
2480970.702737	0.209918	1.373752e+08
2481020.710376	0.146488	1.305328e+08
2481070.718014	0.348702	1.127316e+08
2481120.725652	0.163242	9.417368e+07
2481170.733291	0.131809	2.518971e+04
2481220.740929	0.155069	9.901435e+07
2481270.748568	0.190847	1.004885e+04
2481320.756206	0.080547	1.000367e+08
2481370.763845	0.083524	1.941325e+04
2481420.771483	0.150470	6.517831e+03
2481470.779122	0.521263	3.465371e+03
2481520.786760	1.523064	2.070206e+03
2481570.794398	3.149964	1.433513e+03
2481620.802037	2.126677	1.328788e+03
2481670.809675	1.178179	1.460915e+03
2481720.817314	0.491487	2.720535e+03
2481770.824952	0.408198	3.458634e+03
