location	LR	alpha
560703.000000	0.340508	3.116637e+03
560753.001349	0.107566	4.277389e+03
560803.002699	0.136725	1.018643e+04
560853.004048	0.001019	1.525761e+05
560903.005398	0.401701	7.176730e+03
560953.006747	0.493698	4.359414e+03
561003.008096	0.701695	3.541605e+03
561053.009446	0.669624	3.628171e+03
561103.010795	0.881145	5.532607e+04
561153.012144	0.000000	2.798113e+05
561203.013494	0.010311	1.088088e+05
561253.014843	0.000000	3.676362e+05
561303.016193	0.000000	3.794880e+05
561353.017542	0.000000	7.352761e+04
561403.018891	0.052213	1.055564e+04
561453.020241	0.035725	3.406706e+04
561503.021590	0.387556	1.581130e+04
561553.022939	1.547189	6.064287e+03
561603.024289	0.311590	6.027141e+03
561653.025638	1.416954	1.839123e+03
561703.026988	1.657748	1.747714e+03
561753.028337	1.588552	2.065625e+03
561803.029686	0.443544	3.535265e+03
561853.031036	0.000000	6.201507e+05
561903.032385	0.000000	1.301995e+05
561953.033735	0.636324	4.148069e+03
562003.035084	1.046301	2.212294e+03
562053.036433	1.352582	1.338598e+03
562103.037783	1.679830	1.358371e+03
562153.039132	0.000000	1.200000e+09
562203.040481	0.962813	9.079337e+02
562253.041831	0.901780	8.700651e+02
562303.043180	0.592249	9.142137e+02
562353.044530	0.000000	2.956961e+05
562403.045879	0.499851	9.274127e+02
562453.047228	0.433635	9.999424e+02
562503.048578	0.394325	1.491845e+03
562553.049927	0.221289	2.764448e+03
562603.051276	0.063416	3.993058e+03
562653.052626	0.000000	7.526604e+04
562703.053975	0.000000	4.536486e+05
562753.055325	0.535756	6.621135e+03
562803.056674	0.521457	2.968033e+03
562853.058023	0.366265	1.982411e+03
562903.059373	0.283298	1.909853e+03
562953.060722	0.000000	5.260076e+05
563003.062071	1.630746	4.357619e+02
563053.063421	2.683227	4.524052e+02
563103.064770	3.456998	5.137970e+02
563153.066120	3.418846	5.697224e+02
563203.067469	2.156986	7.427415e+02
563253.068818	0.075516	1.405555e+04
563303.070168	0.734323	6.450401e+03
563353.071517	0.661491	2.155954e+07
563403.072867	1.831399	1.111325e+03
563453.074216	0.000000	7.308482e+05
563503.075565	0.000000	7.413273e+05
563553.076915	1.598161	7.728687e+02
563603.078264	2.333945	6.347291e+02
563653.079613	1.040835	5.245009e+03
563703.080963	0.014845	7.662756e+04
563753.082312	0.352526	2.616979e+03
563803.083662	0.388942	3.301532e+03
563853.085011	0.715333	9.885626e+03
563903.086360	0.001479	1.133869e+05
563953.087710	0.007096	8.104141e+03
564003.089059	0.082167	2.861128e+03
564053.090408	0.063298	2.789953e+03
564103.091758	0.047909	6.466068e+03
564153.093107	0.295476	2.034140e+04
564203.094457	0.013959	2.072154e+08
564253.095806	0.071069	9.487517e+03
564303.097155	1.279482	1.578874e+02
564353.098505	1.988854	1.534125e+02
564403.099854	2.462548	1.501654e+02
564453.101204	2.790684	1.478681e+02
564503.102553	3.015244	1.463603e+02
564553.103902	3.158950	1.455424e+02
564603.105252	3.235091	1.453676e+02
564653.106601	3.251614	1.458349e+02
564703.107950	3.213054	1.469881e+02
564753.109300	3.121522	1.489318e+02
564803.110649	2.977246	1.518666e+02
564853.111999	2.778963	1.561808e+02
564903.113348	2.524505	1.626769e+02
564953.114697	2.212636	1.734557e+02
565003.116047	1.853546	1.990127e+02
565053.117396	1.719495	3.981601e+02
565103.118745	1.748946	4.742611e+02
565153.120095	1.785029	5.572248e+02
565203.121444	1.821909	7.035611e+02
565253.122794	1.732965	1.202128e+03
565303.124143	1.060334	2.860086e+03
565353.125492	0.000729	3.322291e+08
565403.126842	0.081048	5.719120e+07
565453.128191	0.000000	3.165832e+06
565503.129540	0.749062	1.348448e+03
565553.130890	0.770669	9.997735e+02
565603.132239	0.379338	4.757624e+03
565653.133589	0.224625	1.521421e+04
565703.134938	0.012799	1.628817e+05
565753.136287	1.280567	4.528368e+03
565803.137637	1.871499	1.695636e+03
565853.138986	3.029579	8.957083e+02
565903.140336	2.976543	5.658586e+02
565953.141685	3.099421	4.246166e+02
566003.143034	3.159445	6.642271e+02
566053.144384	3.077848	8.206699e+02
566103.145733	2.262963	8.537995e+02
566153.147082	1.356941	1.224794e+03
566203.148432	1.873259	6.818479e+03
566253.149781	0.059336	5.363762e+04
566303.151131	0.000000	2.540850e+07
566353.152480	0.000000	7.656652e+04
566403.153829	0.623436	2.422112e+02
566453.155179	1.819939	2.255150e+02
566503.156528	2.664346	2.175314e+02
566553.157877	3.260895	2.134625e+02
566603.159227	3.691558	2.118893e+02
566653.160576	4.029770	2.128915e+02
566703.161926	4.285068	2.163529e+02
566753.163275	4.450406	2.226407e+02
566803.164624	4.485480	2.326255e+02
566853.165974	4.267361	2.414210e+02
566903.167323	3.289671	2.544150e+02
566953.168673	0.000000	2.899155e+05
567003.170022	2.466763	2.691359e+02
567053.171371	4.446572	2.551625e+02
567103.172721	5.731764	2.455716e+02
567153.174070	6.444086	2.401893e+02
567203.175419	6.803151	2.304911e+02
