location	LR	alpha	D
509771.000000	1.262216	1.147881e+02	0.033950
509821.002263	25.745830	2.105337e-05	0.016975
509871.004527	6.478023	2.075381e-05	0.016975
509921.006790	2.453997	9.235593e-01	0.033950
509971.009053	3.954497	2.910508e-03	0.033950
510021.011316	0.705762	2.879472e-01	0.033950
510071.013580	1.996362	3.751593e-01	0.033950
510121.015843	1.891905	4.592637e+01	0.033950
510171.018106	1.620689	1.082074e-02	0.033950
510221.020369	3.849587	8.281688e-03	0.033950
510271.022633	0.799140	1.495768e+00	0.016975
510321.024896	0.389245	1.735305e+00	0.033950
510371.027159	0.747083	9.232699e-02	0.033950
510421.029423	3.002291	7.344076e-03	0.033950
510471.031686	0.560133	1.627497e+00	0.033950
510521.033949	0.000000	1.988747e+00	0.016975
510571.036212	0.057213	4.433553e-01	0.033950
510621.038476	0.536995	3.963900e+01	0.033950
510671.040739	0.918399	2.001359e-01	0.033950
510721.043002	0.000000	1.491981e+00	0.016975
510771.045265	0.135703	8.599232e-01	0.016975
510821.047529	2.055021	1.263790e-01	0.033950
510871.049792	1.503720	1.805417e-01	0.033950
510921.052055	5.378605	3.450310e-03	0.033950
510971.054318	1.527275	6.355728e-01	0.033950
511021.056582	1.349162	5.503969e-01	0.033950
511071.058845	0.542523	2.922635e-01	0.016975
511121.061108	0.867153	8.215740e-02	0.033950
511171.063372	1.055967	8.610404e-01	0.033950
511221.065635	0.000000	3.629146e-01	0.016975
511271.067898	1.244655	2.809858e-02	0.033950
511321.070161	2.341629	1.690309e-02	0.033950
511371.072425	1.435718	4.010276e-02	0.033950
511421.074688	1.580770	1.970684e-02	0.033950
511471.076951	2.085139	1.997439e-01	0.033950
511521.079214	0.813637	1.485293e+00	0.016975
511571.081478	1.357287	8.167794e-02	0.016975
511621.083741	1.077460	2.453171e-01	0.016975
511671.086004	2.934541	3.125701e-02	0.016975
511721.088268	2.882596	3.884604e-02	0.033950
511771.090531	2.770655	8.168295e-02	0.033950
511821.092794	2.625909	4.581776e-02	0.016975
511871.095057	1.318782	2.626367e-02	0.016975
511921.097321	2.182953	8.961733e-02	0.016975
511971.099584	1.137488	1.231541e+00	0.033950
512021.101847	1.477014	1.089900e-01	0.016975
512071.104110	1.530515	5.170096e-02	0.016975
512121.106374	1.106567	4.256925e-02	0.033950
512171.108637	0.398899	6.707148e-01	0.033950
512221.110900	1.770466	1.489038e-02	0.016975
512271.113163	2.559387	1.301679e-02	0.016975
512321.115427	6.498863	1.346627e-02	0.033950
512371.117690	1.203858	2.783081e-01	0.033950
512421.119953	2.875101	1.302762e-02	0.033950
512471.122217	4.222719	1.810288e-02	0.033950
512521.124480	31.062545	2.117209e-05	0.016975
512571.126743	46.502911	2.115402e-05	0.016975
512621.129006	57.549195	2.116809e-05	0.016975
512671.131270	65.988978	2.115615e-05	0.016975
512721.133533	69.596738	2.115802e-05	0.016975
512771.135796	71.684901	2.115988e-05	0.016975
512821.138059	70.444384	2.118330e-05	0.016975
512871.140323	60.666241	2.116361e-05	0.016975
512921.142586	52.513489	2.662077e-05	0.016975
512971.144849	50.678785	2.116735e-05	0.016975
513021.147113	64.304552	2.118304e-05	0.016975
513071.149376	72.080722	2.117108e-05	0.016975
513121.151639	92.903415	2.119629e-05	0.016975
513171.153902	111.167438	2.118865e-05	0.016975
513221.156166	119.084277	2.117669e-05	0.016975
513271.158429	126.538694	2.120014e-05	0.016975
513321.160692	131.471914	2.118042e-05	0.016975
513371.162955	135.065350	2.118390e-05	0.016975
513421.165219	137.600835	2.118416e-05	0.016975
513471.167482	139.175132	2.118603e-05	0.016975
513521.169745	139.882576	2.118790e-05	0.016975
513571.172008	118.926207	2.665921e-05	0.016975
513621.174272	118.068219	2.666217e-05	0.016975
513671.176535	127.660861	2.282623e-05	0.016975
513721.178798	134.426125	2.119539e-05	0.016975
513771.181062	130.930482	2.121889e-05	0.016975
513821.183325	126.394628	2.122253e-05	0.016975
513871.185588	120.290154	2.120261e-05	0.016975
513921.187851	112.895981	2.122628e-05	0.016975
513971.190115	102.289790	2.122816e-05	0.016975
514021.192378	89.399822	2.123004e-05	0.016975
514071.194641	81.607018	2.122237e-05	0.016975
514121.196904	53.234039	2.122425e-05	0.016975
514171.199168	47.048211	2.123567e-05	0.016975
514221.201431	44.419900	2.123578e-05	0.016975
514271.203694	42.909468	2.121761e-05	0.016975
514321.205958	6.084460	4.123420e-03	0.016975
514371.208221	7.888102	4.053769e-03	0.016975
514421.210484	2.035503	4.107887e-03	0.016975
514471.212747	1.361679	1.893380e-02	0.016975
514521.215011	2.766162	2.055551e-02	0.033950
514571.217274	2.028215	5.575762e-02	0.033950
514621.219537	0.923905	4.758216e-01	0.016975
514671.221800	8.706022	7.560378e-03	0.016975
514721.224064	3.262658	7.329478e-03	0.016975
514771.226327	0.403420	8.595462e+00	0.033950
514821.228590	0.206930	1.588402e+00	0.033950
514871.230853	1.276181	3.017415e-01	0.016975
514921.233117	1.107078	1.314013e-02	0.016975
514971.235380	1.581676	5.724961e+00	0.033950
515021.237643	2.055968	5.622617e-03	0.016975
515071.239907	8.015231	5.552368e-03	0.016975
515121.242170	7.520222	5.426814e-03	0.016975
515171.244433	0.781226	3.690587e-01	0.033950
515221.246696	3.767567	4.442934e-02	0.033950
515271.248960	2.725661	1.162239e-01	0.033950
515321.251223	2.095227	1.748630e-02	0.033950
515371.253486	3.923702	2.252479e-02	0.016975
515421.255749	2.109155	7.305682e-02	0.033950
515471.258013	2.188182	7.729069e-02	0.033950
515521.260276	5.166684	4.595480e-03	0.016975
515571.262539	23.469758	2.128664e-05	0.016975
515621.264803	39.983170	2.129030e-05	0.016975
515671.267066	46.950650	2.129042e-05	0.016975
515721.269329	1.348984	1.650772e+00	0.033950
515771.271592	44.149982	2.129597e-05	0.016975
515821.273856	71.757306	2.127736e-05	0.016975
515871.276119	77.078651	2.129976e-05	0.016975
515921.278382	98.043497	2.292435e-05	0.016975
515971.280645	112.968391	2.130176e-05	0.016975
516021.282909	132.674134	2.130542e-05	0.016975
516071.285172	166.324886	2.128373e-05	0.016975
516121.287435	189.523338	2.128562e-05	0.016975
516171.289698	208.872234	2.130932e-05	0.016975
516221.291962	225.622231	2.129103e-05	0.016975
516271.294225	240.897405	2.129434e-05	0.016975
516321.296488	245.823425	2.294009e-05	0.016975
516371.298752	267.535298	2.129507e-05	0.016975
516421.301015	275.149716	2.108219e-05	0.016975
516471.303278	286.350877	2.108404e-05	0.016975
516521.305541	301.430457	2.132435e-05	0.016975
516571.307805	311.182742	2.130263e-05	0.016975
516621.310068	320.505922	2.131853e-05	0.016975
516671.312331	329.768327	2.133004e-05	0.016975
516721.314594	333.810949	2.098262e-05	0.016975
516771.316858	346.411553	2.133384e-05	0.016975
516821.319121	353.964230	2.131209e-05	0.016975
516871.321384	361.270143	2.132799e-05	0.016975
516921.323648	364.066070	2.101000e-05	0.016975
516971.325911	370.926656	2.110258e-05	0.016975
517021.328174	381.781240	2.131966e-05	0.016975
517071.330437	388.234402	2.134522e-05	0.016975
517121.332701	393.926501	2.133748e-05	0.016975
517171.334964	395.446471	2.111001e-05	0.016975
517221.337227	400.907120	2.102104e-05	0.016975
517271.339490	406.225279	2.102288e-05	0.016975
517321.341754	415.672580	2.134507e-05	0.016975
517371.344017	420.905644	2.135662e-05	0.016975
517421.346280	425.539771	2.135673e-05	0.016975
517471.348543	430.197743	2.136042e-05	0.016975
517521.350807	429.993650	2.112301e-05	0.016975
517571.353070	438.590188	2.134052e-05	0.016975
517621.355333	442.851949	2.136612e-05	0.016975
517671.357597	446.751822	2.136803e-05	0.016975
517721.359860	445.786715	2.103946e-05	0.016975
517771.362123	454.105802	2.137183e-05	0.016975
517821.364386	457.569098	2.137374e-05	0.016975
517871.366650	460.895516	2.137564e-05	0.016975
517921.368913	463.877131	2.135381e-05	0.016975
517971.371176	467.152825	2.137945e-05	0.016975
518021.373439	465.421777	2.114162e-05	0.016975
518071.375703	472.592232	2.137358e-05	0.016975
518121.377966	475.601282	2.138517e-05	0.016975
518171.380229	477.864911	2.137739e-05	0.016975
518221.382493	480.328023	2.137930e-05	0.016975
518271.384756	478.228051	2.103965e-05	0.016975
518321.387019	484.920129	2.138310e-05	0.016975
518371.389282	487.369999	2.139469e-05	0.016975
518421.391546	489.398486	2.139660e-05	0.016975
518471.393809	491.323100	2.139851e-05	0.016975
518521.396072	493.042039	2.139862e-05	0.016975
518571.398335	494.764307	2.140053e-05	0.016975
518621.400599	496.346936	2.138353e-05	0.016975
518671.402862	497.685292	2.139809e-05	0.016975
518721.405125	494.595682	2.116773e-05	0.016975
518771.407388	500.679427	2.140817e-05	0.016975
518821.409652	497.140280	2.117146e-05	0.016975
518871.411915	503.174896	2.141378e-05	0.016975
518921.414178	503.995520	2.139188e-05	0.016975
518971.416442	505.200460	2.141761e-05	0.016975
519021.418705	505.973440	2.141773e-05	0.016975
519071.420968	506.624307	2.139759e-05	0.016975
519121.423231	507.462799	2.142155e-05	0.016975
519171.425495	507.854480	2.141554e-05	0.016975
519221.427758	508.602055	2.142537e-05	0.016975
519271.430021	509.041663	2.142728e-05	0.016975
519321.432284	509.335354	2.141023e-05	0.016975
519371.434548	509.769673	2.143291e-05	0.016975
519421.436811	509.952930	2.143482e-05	0.016975
519471.439074	509.792463	2.141287e-05	0.016975
519521.441338	510.064938	2.143866e-05	0.016975
519571.443601	503.454218	2.308351e-05	0.016975
519621.445864	509.731968	2.144068e-05	0.016975
519671.448127	509.599131	2.144440e-05	0.016975
519721.450391	509.275253	2.144632e-05	0.016975
519771.452654	508.594687	2.142434e-05	0.016975
519821.454917	508.099448	2.142625e-05	0.016975
519871.457180	509.005872	2.143127e-05	0.016975
519921.459444	508.179434	2.144425e-05	0.016975
519971.461707	507.653077	2.145410e-05	0.016975
520021.463970	506.918149	2.145782e-05	0.016975
520071.466233	505.989881	2.145974e-05	0.016975
520121.468497	499.896890	2.310978e-05	0.016975
520171.470760	503.875049	2.146358e-05	0.016975
