location	LR	alpha
2476347.000000	2.052003	1.142763e+04
2476397.009384	0.146738	2.838112e+04
2476447.018769	0.005761	2.066424e+07
2476497.028153	0.000000	2.401828e+05
2476547.037538	0.161827	4.180147e+04
2476597.046922	0.936973	3.905023e+03
2476647.056307	1.835056	6.109545e+03
2476697.065691	1.737312	8.800757e+03
2476747.075076	0.808332	1.105819e+04
2476797.084460	0.945745	7.250072e+03
2476847.093844	0.360701	3.895929e+07
2476897.103229	6.882221	3.135390e+03
2476947.112613	4.446845	9.095807e+06
2476997.121998	0.895457	2.074833e+04
2477047.131382	0.520678	2.529193e+04
2477097.140767	0.166854	1.343889e+08
2477147.150151	0.673559	1.035896e+08
2477197.159536	0.238788	7.253084e+07
2477247.168920	2.461471	1.741839e+07
2477297.178304	0.000000	3.797027e+06
2477347.187689	0.005457	8.888614e+04
2477397.197073	0.000000	1.200000e+09
2477447.206458	0.000000	1.887014e+05
2477497.215842	2.423480	1.505517e+03
2477547.225227	2.520004	1.542279e+03
2477597.234611	0.000007	2.831432e+05
2477647.243996	1.364452	4.786353e+03
2477697.253380	0.972803	8.006327e+07
2477747.262764	3.756207	1.541725e+07
2477797.272149	2.308006	1.619718e+07
2477847.281533	0.000226	4.674325e+08
2477897.290918	0.251536	2.530702e+04
2477947.300302	0.218159	4.417583e+04
2477997.309687	0.016540	6.006646e+07
2478047.319071	0.000000	1.200000e+09
2478097.328456	2.673001	1.108837e+07
2478147.337840	2.158184	1.182315e+07
2478197.347224	0.001485	3.632670e+08
2478247.356609	0.068919	1.067811e+08
2478297.365993	1.393164	1.309358e+07
2478347.375378	0.110829	8.768975e+04
2478397.384762	1.166711	1.089475e+08
2478447.394147	0.133585	1.176004e+08
2478497.403531	0.479049	2.182329e+07
2478547.412916	0.000000	1.200000e+09
2478597.422300	1.259128	3.532151e+07
2478647.431684	0.000000	1.200000e+09
2478697.441069	0.131534	5.953243e+03
2478747.450453	1.390067	1.861219e+03
2478797.459838	1.634233	1.556536e+03
2478847.469222	1.476559	1.397269e+03
2478897.478607	1.121642	1.386444e+03
2478947.487991	0.589001	1.494041e+03
2478997.497376	0.023133	1.736299e+03
2479047.506760	0.036114	4.326156e+03
2479097.516144	0.175383	3.846514e+03
2479147.525529	0.328903	4.280883e+03
2479197.534913	0.002477	2.570116e+08
