location	LR	alpha	D
294746.000000	0.247477	2.345641e+02	0.030625
294796.003099	1.318425	4.981614e-02	0.030625
294846.006198	0.060168	5.872226e-01	0.030625
294896.009297	0.819309	2.810366e-02	0.030625
294946.012396	0.000000	2.181327e-01	0.015313
294996.015495	0.000000	2.353656e-01	0.015313
295046.018594	0.690429	1.207391e+00	0.030625
295096.021693	0.612928	8.584728e-01	0.015313
295146.024793	0.520729	1.412177e-01	0.015313
295196.027892	0.240737	8.588535e-01	0.015313
295246.030991	2.182113	1.559069e-01	0.030625
295296.034090	0.910213	9.206622e-01	0.015313
295346.037189	1.219283	1.847211e-01	0.030625
295396.040288	0.366682	5.193902e-02	0.030625
295446.043387	1.909173	1.190571e+00	0.030625
295496.046486	0.000000	2.965537e+00	0.015313
295546.049585	0.000000	7.038294e-01	0.015313
295596.052684	0.000000	7.080769e-01	0.015313
295646.055783	1.072847	4.184173e-01	0.030625
295696.058882	0.000000	4.080082e+00	0.015313
295746.061981	0.000000	8.609548e-01	0.015313
295796.065080	0.000000	1.084493e+00	0.015313
295846.068180	0.000000	5.802206e+00	0.015313
295896.071279	2.171190	1.282149e-02	0.030625
295946.074378	1.142273	8.960198e-02	0.030625
295996.077477	0.505903	2.444369e+01	0.030625
296046.080576	1.069842	4.650149e-02	0.030625
296096.083675	1.488337	9.166157e-02	0.030625
296146.086774	1.920093	1.735804e+00	0.030625
296196.089873	0.718986	3.882222e-01	0.030625
296246.092972	0.690676	4.271531e-01	0.030625
296296.096071	1.808397	5.844903e-02	0.030625
296346.099170	0.126078	3.084767e-01	0.030625
296396.102269	0.720517	5.742250e-01	0.015313
296446.105368	1.195896	7.357209e-02	0.030625
296496.108467	1.740145	3.922959e-02	0.015313
296546.111567	0.618844	9.907884e-01	0.015313
296596.114666	0.605935	3.852741e+00	0.015313
296646.117765	0.503493	8.101661e-02	0.030625
296696.120864	0.848165	7.836718e-01	0.030625
296746.123963	0.000000	2.302204e-01	0.015313
296796.127062	1.465434	4.631400e-01	0.030625
296846.130161	0.222458	3.066688e-01	0.030625
296896.133260	1.379272	3.081612e-02	0.030625
296946.136359	0.537784	3.690759e-02	0.030625
296996.139458	1.938584	4.139922e-02	0.030625
297046.142557	0.000000	1.473739e+00	0.015313
297096.145656	0.607205	4.308125e-01	0.030625
297146.148755	0.618844	5.417910e-01	0.015313
297196.151854	0.949000	1.663158e-01	0.015313
297246.154954	1.191512	3.545570e-01	0.015313
297296.158053	1.152658	1.428224e+00	0.030625
297346.161152	1.221876	8.460306e-02	0.030625
297396.164251	2.608468	2.552300e-02	0.030625
297446.167350	1.068636	5.937321e+00	0.030625
297496.170449	0.000000	2.484703e+00	0.015313
297546.173548	0.637876	2.059573e+00	0.030625
297596.176647	1.438227	1.414842e-01	0.030625
297646.179746	0.481408	2.716177e-01	0.030625
297696.182845	1.712041	8.632990e-01	0.030625
297746.185944	0.193029	2.543131e-01	0.015313
297796.189043	0.738909	6.309511e-02	0.030625
297846.192142	0.560847	4.573210e-01	0.030625
297896.195241	2.759155	2.597671e-01	0.030625
297946.198340	0.118102	1.662089e-01	0.030625
297996.201440	0.581621	1.162775e-01	0.030625
298046.204539	0.000000	3.659044e-01	0.015313
298096.207638	1.852841	8.902586e-02	0.030625
298146.210737	0.155358	1.760003e+00	0.030625
298196.213836	0.000000	1.070107e+00	0.015313
298246.216935	1.747976	3.476374e+00	0.030625
298296.220034	0.000000	8.119101e-01	0.015313
298346.223133	0.459888	5.510435e-01	0.030625
298396.226232	0.722025	8.410702e-01	0.030625
298446.229331	0.000000	1.228166e+00	0.015313
298496.232430	0.687112	2.460652e-01	0.030625
298546.235529	3.107442	1.229212e-02	0.030625
298596.238628	0.222870	8.586065e-02	0.030625
298646.241727	1.145685	3.426623e-01	0.030625
298696.244827	1.971263	3.018476e-01	0.030625
298746.247926	2.361012	3.085440e-01	0.030625
298796.251025	2.003654	1.627141e-01	0.030625
298846.254124	0.618844	2.088454e+00	0.015313
298896.257223	0.212956	2.042804e-01	0.030625
298946.260322	0.419026	1.373048e+00	0.030625
298996.263421	2.675651	2.565245e-02	0.030625
299046.266520	3.557989	3.970006e-02	0.030625
