location	LR	alpha
1378451.000000	1.320553	9.210748e+06
1378501.001831	2.529549	2.308365e+03
1378551.003662	1.054702	1.531717e+07
1378601.005492	1.307644	1.044503e+07
1378651.007323	0.000000	1.200000e+09
1378701.009154	0.683495	1.011559e+07
1378751.010985	0.083309	4.178079e+07
1378801.012816	0.165555	3.784072e+04
1378851.014647	0.264078	2.758640e+04
1378901.016477	0.732011	1.759323e+04
1378951.018308	0.071407	2.381181e+08
1379001.020139	2.608527	2.100192e+07
1379051.021970	5.388202	1.598462e+07
1379101.023801	0.729310	2.073550e+07
1379151.025632	4.932095	1.880827e+03
1379201.027462	0.316310	2.335851e+04
1379251.029293	0.912804	1.547731e+03
1379301.031124	1.820553	1.500150e+03
1379351.032955	0.000000	2.350634e+06
1379401.034786	0.007488	8.118109e+04
1379451.036617	0.857324	2.351034e+04
1379501.038447	0.757994	6.209733e+07
1379551.040278	0.977229	2.701234e+07
1379601.042109	0.494070	5.802052e+07
1379651.043940	0.000000	8.243778e+05
1379701.045771	0.056735	1.571643e+05
1379751.047602	0.027393	4.770996e+04
1379801.049432	0.087240	2.063258e+08
1379851.051263	0.652826	1.333404e+04
1379901.053094	0.072614	1.181795e+04
1379951.054925	0.525292	1.019860e+04
1380001.056756	0.985192	1.070163e+04
1380051.058587	0.282517	3.004161e+04
1380101.060417	0.073133	4.754725e+04
1380151.062248	0.102745	1.394613e+04
1380201.064079	2.358704	4.371640e+04
1380251.065910	0.114387	1.251449e+08
1380301.067741	0.000000	1.200000e+09
1380351.069572	0.360600	5.120526e+03
1380401.071402	0.605169	4.310873e+03
1380451.073233	0.230716	6.943591e+04
1380501.075064	0.588575	1.077958e+08
1380551.076895	5.225981	5.917246e+06
1380601.078726	4.156185	2.702076e+06
1380651.080557	0.764675	1.355640e+07
1380701.082387	1.430832	1.763948e+07
1380751.084218	4.853953	6.208262e+06
1380801.086049	15.843592	1.633796e+03
1380851.087880	0.000000	1.200000e+09
1380901.089711	0.162184	1.166776e+08
1380951.091542	0.012491	2.524563e+08
1381001.093372	0.000000	1.200000e+09
1381051.095203	0.016702	5.004759e+04
1381101.097034	0.000004	1.523348e+05
1381151.098865	0.000000	1.447709e+06
1381201.100696	0.000000	2.540439e+05
1381251.102527	0.317009	1.505605e+04
1381301.104357	0.237747	1.201790e+04
1381351.106188	1.283315	2.943602e+07
1381401.108019	0.158341	5.433332e+04
1381451.109850	0.000000	1.200000e+09
1381501.111681	0.137428	1.743604e+08
1381551.113512	0.050545	5.569833e+07
1381601.115342	0.010402	2.869877e+08
1381651.117173	0.047722	1.281949e+05
1381701.119004	0.033697	1.065998e+05
1381751.120835	0.684768	3.558662e+07
1381801.122666	3.115374	3.888193e+07
1381851.124497	2.840292	1.345608e+07
1381901.126327	7.153433	9.430592e+06
1381951.128158	0.866645	3.598456e+07
1382001.129989	0.000008	5.043346e+08
1382051.131820	0.001357	9.082406e+04
1382101.133651	0.356931	9.211015e+07
1382151.135482	0.000735	1.741979e+05
1382201.137312	0.000740	2.687432e+04
1382251.139143	0.052959	1.066532e+04
1382301.140974	0.321921	1.637073e+04
1382351.142805	0.000493	2.224214e+05
1382401.144636	0.000493	8.584638e+04
1382451.146466	0.515274	4.562097e+03
1382501.148297	1.115545	6.333118e+04
1382551.150128	0.000000	1.200000e+09
1382601.151959	0.000000	1.200000e+09
1382651.153790	0.041204	2.768394e+05
1382701.155621	0.000000	1.200000e+09
1382751.157451	0.000000	1.200000e+09
1382801.159282	0.176684	3.180171e+05
1382851.161113	0.000000	1.200000e+09
1382901.162944	0.000000	1.200000e+09
1382951.164775	0.104754	3.727482e+04
1383001.166606	0.425604	2.200038e+04
1383051.168436	0.202059	1.611925e+08
1383101.170267	0.005135	9.254719e+04
1383151.172098	0.002884	3.308632e+04
1383201.173929	0.000026	2.303944e+05
1383251.175760	0.034135	2.122226e+08
1383301.177591	0.349102	5.072365e+07
1383351.179421	0.505568	3.994032e+03
1383401.181252	0.743400	2.451134e+07
1383451.183083	0.032177	2.583873e+04
1383501.184914	3.142050	6.285104e+03
1383551.186745	1.854021	3.338257e+03
1383601.188576	0.171531	7.125889e+03
1383651.190406	0.000000	1.358540e+05
1383701.192237	0.000000	4.701253e+05
1383751.194068	0.000000	4.003299e+05
1383801.195899	0.000005	1.236859e+05
1383851.197730	0.046386	1.788569e+08
1383901.199561	0.472022	4.630350e+07
1383951.201391	0.116875	8.036280e+03
1384001.203222	0.680118	3.525370e+04
1384051.205053	0.000000	1.200000e+09
1384101.206884	0.148096	1.630091e+08
1384151.208715	0.101606	2.101328e+04
1384201.210546	0.000000	1.200000e+09
1384251.212376	0.027553	2.629464e+04
1384301.214207	0.034780	1.679856e+08
1384351.216038	0.033673	6.009395e+04
1384401.217869	1.389462	1.735809e+04
1384451.219700	1.391564	3.401128e+03
1384501.221531	0.776909	2.787516e+03
1384551.223361	0.001604	3.469895e+03
1384601.225192	0.015228	7.995805e+03
1384651.227023	0.033674	7.671309e+03
1384701.228854	0.011412	2.979452e+04
1384751.230685	0.011307	2.478031e+08
1384801.232516	0.082884	1.968600e+08
1384851.234346	0.003977	4.790114e+04
1384901.236177	0.000949	3.361656e+04
1384951.238008	0.052563	1.506165e+04
1385001.239839	0.021582	1.699454e+04
1385051.241670	0.139314	6.054453e+07
1385101.243501	0.005252	3.257027e+08
1385151.245331	0.002498	7.866193e+04
1385201.247162	2.839015	2.334537e+07
1385251.248993	0.000000	1.200000e+09
1385301.250824	0.000000	1.200000e+09
1385351.252655	0.493639	2.528930e+07
1385401.254486	0.558160	4.356216e+07
1385451.256316	0.336402	3.727559e+07
1385501.258147	1.140828	2.713883e+07
1385551.259978	0.958946	9.134250e+03
1385601.261809	0.415563	1.142286e+08
1385651.263640	0.310598	8.078245e+07
1385701.265471	0.016589	2.426047e+08
1385751.267301	0.292391	1.241601e+08
1385801.269132	0.482390	4.010199e+07
1385851.270963	0.784959	2.308733e+04
1385901.272794	0.059336	9.086126e+07
1385951.274625	0.313701	6.814536e+07
1386001.276456	0.258448	7.195653e+04
1386051.278286	0.267113	1.006634e+04
1386101.280117	0.385571	4.986715e+03
1386151.281948	0.389212	3.980702e+03
1386201.283779	0.090812	5.257254e+03
1386251.285610	0.099609	7.753143e+03
1386301.287440	0.161537	1.128503e+04
1386351.289271	0.184237	3.010383e+04
1386401.291102	0.034645	7.680046e+05
1386451.292933	0.033713	5.225226e+04
1386501.294764	0.000000	1.200000e+09
1386551.296595	0.000000	3.757139e+05
1386601.298425	0.000000	3.142521e+05
1386651.300256	0.016848	2.865535e+05
1386701.302087	0.022912	2.151719e+08
1386751.303918	0.042717	2.322232e+08
1386801.305749	0.137009	8.996041e+04
1386851.307580	2.095820	2.900787e+07
1386901.309410	1.743179	5.226039e+06
1386951.311241	1.344146	4.173946e+03
1387001.313072	0.000000	1.200000e+09
1387051.314903	0.007560	1.046154e+06
1387101.316734	0.000000	1.200000e+09
1387151.318565	0.033697	5.569834e+07
1387201.320395	0.000000	3.072153e+06
1387251.322226	0.022563	2.451799e+08
1387301.324057	0.000000	1.200000e+09
1387351.325888	0.024142	1.130944e+05
1387401.327719	0.005831	3.052000e+08
1387451.329550	0.139148	1.887730e+08
1387501.331380	0.304019	1.235764e+08
1387551.333211	0.891774	9.858583e+07
1387601.335042	0.423320	1.297242e+08
1387651.336873	0.359643	1.436200e+08
1387701.338704	0.893133	1.333753e+04
1387751.340535	0.450107	6.028353e+04
1387801.342365	1.228066	5.539291e+03
1387851.344196	0.672783	9.559299e+03
1387901.346027	0.108944	3.154605e+04
1387951.347858	0.041115	4.158456e+04
1388001.349689	0.000031	2.037215e+05
1388051.351520	0.339339	8.777051e+07
1388101.353350	0.552226	1.019347e+08
1388151.355181	0.494711	1.097637e+08
1388201.357012	0.608573	5.489872e+07
1388251.358843	0.269130	6.126649e+04
1388301.360674	0.515606	1.389083e+08
1388351.362505	1.271355	7.068290e+07
1388401.364335	0.383784	1.074085e+08
1388451.366166	0.060583	1.711085e+08
1388501.367997	0.000000	1.200000e+09
1388551.369828	0.143627	3.145259e+04
1388601.371659	0.113289	1.014655e+04
1388651.373490	0.175390	4.400688e+03
1388701.375320	0.343444	2.609036e+03
1388751.377151	0.611565	1.352979e+03
1388801.378982	1.423791	1.049624e+03
1388851.380813	2.170939	9.590889e+02
1388901.382644	2.615352	9.224104e+02
1388951.384475	2.703709	9.159739e+02
1389001.386305	2.442893	9.394379e+02
1389051.388136	1.893215	1.012513e+03
1389101.389967	1.236215	1.193803e+03
1389151.391798	0.775633	1.529019e+03
1389201.393629	0.473272	2.005556e+03
1389251.395460	0.335143	2.442654e+04
1389301.397290	0.000000	2.769953e+05
1389351.399121	0.000000	2.790413e+05
1389401.400952	0.251048	1.985086e+04
1389451.402783	0.875283	3.018100e+04
1389501.404614	0.838798	2.180546e+04
