location	LR	alpha	D
2476383.000000	6.721296	7.603174e-02	0.037122
2476433.006204	3.078294	1.042472e-01	0.018561
2476483.012409	1.467620	9.611010e-02	0.037122
2476533.018613	1.167649	2.390528e-02	0.018561
2476583.024817	0.000000	4.835385e+02	0.018561
2476633.031021	0.000000	5.908360e+00	0.018561
2476683.037226	0.000000	1.246398e+01	0.018561
2476733.043430	0.236590	5.009065e-01	0.037122
2476783.049634	0.040843	6.171578e-01	0.037122
2476833.055838	0.000000	6.334406e-01	0.018561
2476883.062043	0.000000	2.954179e+00	0.018561
2476933.068247	2.197368	1.212957e-01	0.018561
2476983.074451	0.779182	2.452706e-01	0.018561
2477033.080655	2.591317	9.442821e-02	0.018561
2477083.086860	0.909360	5.237171e-01	0.037122
2477133.093064	2.390517	4.726141e-02	0.037122
2477183.099268	5.519035	1.728513e+00	0.037122
2477233.105472	0.000000	2.350420e+00	0.018561
2477283.111677	1.591690	1.767596e-02	0.037122
2477333.117881	0.000000	1.316095e+00	0.018561
2477383.124085	1.061104	1.062064e-02	0.037122
2477433.130290	0.000000	8.492395e-01	0.018561
2477483.136494	0.000000	1.871010e-01	0.018561
2477533.142698	0.000000	1.448273e-01	0.018561
2477583.148902	0.127924	1.001921e-01	0.037122
2477633.155107	0.000000	2.327789e+00	0.018561
2477683.161311	0.446412	6.428503e-01	0.037122
2477733.167515	1.941061	1.484552e-01	0.018561
2477783.173719	1.340217	9.355788e-01	0.018561
2477833.179924	0.000000	6.593133e+00	0.018561
2477883.186128	0.000000	1.011696e+01	0.018561
2477933.192332	0.472444	3.516281e-02	0.037122
2477983.198536	1.415695	3.590681e-02	0.037122
2478033.204741	0.791325	2.358513e-02	0.037122
2478083.210945	1.444026	3.363172e-02	0.018561
2478133.217149	3.722956	9.696185e-01	0.037122
2478183.223353	3.818072	2.095146e-01	0.037122
2478233.229558	2.706148	5.424230e-02	0.018561
2478283.235762	2.667199	1.533825e-01	0.018561
2478333.241966	2.546003	9.357308e-02	0.018561
2478383.248171	4.001924	6.732184e-02	0.037122
2478433.254375	5.247228	1.189597e-02	0.037122
2478483.260579	0.683232	1.173641e-01	0.037122
2478533.266783	3.033502	3.655562e-02	0.037122
2478583.272988	4.931274	4.735480e-02	0.037122
2478633.279192	1.025954	7.778107e-02	0.037122
2478683.285396	3.118682	2.488153e-02	0.018561
2478733.291600	1.340217	2.484904e-01	0.018561
2478783.297805	1.340217	1.220780e-01	0.018561
2478833.304009	1.340217	8.091486e-02	0.018561
2478883.310213	1.340217	6.051124e-02	0.018561
2478933.316417	1.340217	4.832543e-02	0.018561
2478983.322622	1.981678	4.022490e-02	0.018561
2479033.328826	1.311705	5.113538e-02	0.018561
2479083.335030	1.311705	6.498254e-02	0.018561
2479133.341234	1.311705	8.911414e-02	0.018561
2479183.347439	1.311705	1.417559e-01	0.018561
2479233.353643	1.311705	3.463567e-01	0.018561
2479283.359847	0.047307	4.597884e-01	0.037122
2479333.366052	1.226407	4.457913e-01	0.037122
2479383.372256	1.050025	2.467727e-01	0.037122
2479433.378460	1.906492	7.257944e-01	0.018561
2479483.384664	0.795294	3.823525e-01	0.037122
2479533.390869	1.263225	2.997833e+00	0.037122
2479583.397073	3.054216	4.310333e-01	0.037122
2479633.403277	4.212068	3.703329e-01	0.037122
2479683.409481	3.072360	1.530427e-01	0.037122
2479733.415686	1.010185	7.254452e-02	0.037122
2479783.421890	0.000000	4.954809e+00	0.018561
2479833.428094	1.340217	2.803121e+01	0.018561
2479883.434298	1.348293	2.763077e+01	0.018561
2479933.440503	0.000000	3.487863e+00	0.018561
2479983.446707	0.000000	2.698627e+00	0.018561
2480033.452911	2.984957	8.302826e-01	0.037122
2480083.459115	1.816497	8.252590e-01	0.018561
2480133.465320	0.527885	1.297784e-01	0.037122
2480183.471524	3.286814	7.152993e-01	0.037122
2480233.477728	0.068526	4.202825e-02	0.037122
2480283.483933	1.967823	3.948949e-01	0.018561
2480333.490137	2.439550	9.715821e-02	0.037122
2480383.496341	3.813379	1.504677e-01	0.037122
2480433.502545	3.919855	8.855923e-02	0.037122
2480483.508750	0.206858	4.526806e-01	0.018561
2480533.514954	1.044346	1.350533e-01	0.037122
2480583.521158	0.000000	7.888728e+00	0.018561
2480633.527362	0.000000	2.650550e+00	0.018561
2480683.533567	0.075908	1.231193e-01	0.018561
2480733.539771	0.755980	2.528433e-01	0.037122
2480783.545975	1.978181	2.639697e+00	0.018561
2480833.552179	0.929127	1.679547e-01	0.037122
2480883.558384	3.925085	2.701719e+00	0.037122
2480933.564588	1.310011	2.522886e-01	0.037122
2480983.570792	1.154780	1.086669e-01	0.037122
2481033.576997	3.248005	3.110002e+00	0.037122
2481083.583201	1.981523	1.151985e+00	0.018561
2481133.589405	0.945190	8.327207e-01	0.037122
2481183.595609	0.635397	8.031893e-02	0.037122
2481233.601814	2.696926	1.100438e+00	0.037122
2481283.608018	0.000000	6.815078e-01	0.018561
2481333.614222	0.194421	4.852108e+00	0.037122
2481383.620426	0.000000	3.028742e-01	0.018561
2481433.626631	0.000000	2.167107e-01	0.018561
2481483.632835	1.442973	2.798095e-01	0.037122
2481533.639039	0.000000	3.297574e+00	0.018561
2481583.645243	3.784378	8.485461e-01	0.037122
2481633.651448	0.000000	2.759540e+00	0.018561
2481683.657652	0.000000	1.824674e+01	0.018561
2481733.663856	0.000000	8.998106e-01	0.018561
2481783.670060	0.000000	3.272425e-01	0.018561
2481833.676265	0.000000	1.440166e-01	0.018561
2481883.682469	1.109198	7.627887e-02	0.037122
2481933.688673	0.317203	5.733087e-02	0.037122
2481983.694878	2.455882	7.932311e-02	0.018561
2482033.701082	3.390840	1.049879e-01	0.018561
2482083.707286	3.046460	1.154580e+00	0.037122
2482133.713490	0.000000	1.292197e+00	0.018561
2482183.719695	0.000000	4.281045e+01	0.018561
2482233.725899	1.952398	1.696691e-01	0.037122
2482283.732103	0.020449	8.774598e-01	0.037122
2482333.738307	0.458363	2.233045e-01	0.037122
2482383.744512	0.000000	2.008553e-01	0.018561
2482433.750716	0.000000	1.093387e-01	0.018561
2482483.756920	0.000000	7.511412e-02	0.018561
2482533.763124	0.000000	5.720740e-02	0.018561
2482583.769329	0.000000	5.257839e-02	0.018561
2482633.775533	0.000000	6.733084e-02	0.018561
2482683.781737	0.000000	9.359043e-02	0.018561
2482733.787941	0.708254	1.241394e-02	0.037122
2482783.794146	5.737173	2.734111e-02	0.037122
2482833.800350	3.782845	1.787882e-01	0.037122
2482883.806554	0.213535	2.434889e+00	0.037122
2482933.812759	1.454736	1.351157e-01	0.037122
2482983.818963	2.154645	4.024285e-01	0.018561
2483033.825167	0.000000	1.021422e+01	0.018561
2483083.831371	0.047452	3.097645e-01	0.037122
2483133.837576	0.000000	2.005429e-01	0.018561
2483183.843780	0.000000	1.092461e-01	0.018561
2483233.849984	0.000000	7.507041e-02	0.018561
2483283.856188	0.000000	5.718202e-02	0.018561
