location	LR	alpha	D
1378525.000000	1.765780	1.364760e+01	0.041963
1378575.002808	0.642748	3.333592e-01	0.013988
1378625.005615	1.092118	1.199933e-01	0.027976
1378675.008423	0.952367	1.716351e+00	0.013988
1378725.011230	0.517006	6.557781e-02	0.027976
1378775.014038	3.053929	4.820004e-02	0.041963
1378825.016846	2.719276	1.777823e-02	0.013988
1378875.019653	2.963931	4.135130e-01	0.041963
1378925.022461	5.052220	2.702840e-02	0.041963
1378975.025269	2.438543	3.241031e-01	0.041963
1379025.028076	0.321474	2.447577e-01	0.027976
1379075.030884	1.119602	1.611159e-01	0.027976
1379125.033691	4.654656	5.529096e-02	0.041963
1379175.036499	1.930402	3.692723e-02	0.041963
1379225.039307	1.499012	1.611583e-01	0.041963
1379275.042114	0.642748	2.379953e+00	0.013988
1379325.044922	1.445543	9.413791e-03	0.027976
1379375.047729	1.397773	1.007597e-02	0.027976
1379425.050537	1.870642	7.364247e-02	0.041963
1379475.053345	0.491185	7.642928e-01	0.041963
1379525.056152	0.783397	3.289610e-01	0.041963
1379575.058960	0.543275	1.013850e+00	0.041963
1379625.061768	1.849567	8.211515e-01	0.027976
1379675.064575	2.177442	2.190040e-02	0.027976
1379725.067383	0.640796	1.343391e+00	0.013988
1379775.070190	2.999722	1.044116e-01	0.041963
1379825.072998	3.100038	5.126608e-02	0.013988
1379875.075806	3.156659	2.496058e-01	0.041963
1379925.078613	3.773002	3.573691e-01	0.041963
1379975.081421	1.857248	5.086501e-02	0.013988
1380025.084229	2.001554	1.902218e-01	0.013988
1380075.087036	1.920335	9.455300e-02	0.013988
1380125.089844	1.048120	1.556625e-01	0.013988
1380175.092651	2.245830	5.261020e-02	0.041963
1380225.095459	1.130382	6.028776e-01	0.041963
1380275.098267	2.961320	3.069190e-01	0.041963
1380325.101074	0.463664	4.330550e-02	0.041963
1380375.103882	2.657282	1.192541e+00	0.041963
1380425.106689	2.348426	2.509900e-02	0.041963
1380475.109497	1.684692	6.087987e-02	0.013988
1380525.112305	1.819030	5.950537e-02	0.013988
1380575.115112	1.015238	1.120290e-01	0.013988
1380625.117920	1.893318	7.105547e-02	0.013988
1380675.120728	2.181645	5.744944e-02	0.013988
1380725.123535	1.169033	7.541309e-02	0.013988
1380775.126343	0.943754	6.358065e-01	0.013988
1380825.129150	1.033142	2.038359e-01	0.013988
1380875.131958	1.208226	2.659976e-02	0.013988
1380925.134766	1.930721	1.399569e-01	0.041963
1380975.137573	3.205145	1.064763e-01	0.041963
1381025.140381	1.030801	1.707311e-02	0.041963
1381075.143188	0.568626	2.736177e-01	0.041963
1381125.145996	1.059886	2.551463e-01	0.041963
1381175.148804	1.029164	1.497769e-01	0.041963
1381225.151611	0.383718	6.698239e-02	0.041963
1381275.154419	4.955367	1.817111e-01	0.041963
1381325.157227	6.002492	1.399977e-02	0.027976
1381375.160034	1.671838	1.239158e-01	0.041963
1381425.162842	3.304431	7.192640e-02	0.041963
1381475.165649	2.657282	6.451324e+00	0.041963
1381525.168457	2.522109	2.681581e-01	0.041963
1381575.171265	0.957393	4.767339e-01	0.013988
1381625.174072	0.878968	3.747961e-02	0.013988
1381675.176880	1.494652	8.343579e-02	0.013988
1381725.179688	3.536430	1.769381e-01	0.041963
1381775.182495	1.706270	6.550844e-02	0.013988
1381825.185303	3.469035	3.728409e-01	0.027976
1381875.188110	2.064547	1.140813e-01	0.013988
1381925.190918	2.183376	7.732409e-02	0.013988
1381975.193726	2.511269	5.848131e-02	0.013988
1382025.196533	2.603136	4.702258e-02	0.013988
1382075.199341	2.413767	3.931856e-02	0.013988
1382125.202148	2.419814	3.378357e-02	0.013988
1382175.204956	1.671370	2.914070e-02	0.013988
1382225.207764	1.584123	2.621277e-02	0.027976
1382275.210571	1.789146	1.094103e-02	0.027976
1382325.213379	5.275040	1.151867e-02	0.041963
1382375.216187	7.098380	1.420575e-02	0.041963
1382425.218994	4.355545	1.898076e-02	0.041963
1382475.221802	1.285724	4.902399e-02	0.027976
1382525.224609	4.698883	8.769159e-02	0.041963
1382575.227417	2.965782	9.395126e-01	0.041963
1382625.230225	1.193290	7.195549e-02	0.027976
1382675.233032	3.869211	1.734688e-02	0.041963
1382725.235840	1.388029	1.012958e-01	0.041963
1382775.238647	1.652848	2.172392e-01	0.041963
1382825.241455	3.072340	5.183161e-02	0.041963
1382875.244263	2.405647	2.227355e-02	0.027976
1382925.247070	1.629683	1.511806e-02	0.013988
1382975.249878	1.644432	7.373264e-02	0.013988
1383025.252686	1.570796	1.986754e-01	0.013988
1383075.255493	1.655589	1.616041e-01	0.013988
1383125.258301	2.432416	6.530907e-02	0.013988
1383175.261108	2.455299	6.258510e-02	0.013988
1383225.263916	2.266311	4.883287e-02	0.013988
1383275.266724	2.275794	4.375303e-02	0.013988
1383325.269531	1.846957	1.352411e-01	0.013988
1383375.272339	2.806121	5.057388e-01	0.041963
1383425.275146	1.558233	1.309023e-01	0.041963
1383475.277954	2.547346	1.304045e+00	0.041963
1383525.280762	1.001761	6.194532e-02	0.027976
1383575.283569	0.737456	1.811913e-02	0.041963
1383625.286377	0.955436	3.021632e-01	0.013988
1383675.289185	2.859644	1.166273e+00	0.041963
1383725.291992	2.259013	5.061581e-01	0.041963
1383775.294800	2.660585	7.113000e-02	0.041963
1383825.297607	0.962322	3.985761e-01	0.041963
1383875.300415	0.962551	1.377891e+00	0.041963
1383925.303223	1.175588	4.690205e-01	0.041963
1383975.306030	2.415443	2.447464e-01	0.041963
1384025.308838	1.243548	4.005196e+00	0.041963
1384075.311646	1.709875	1.812233e-01	0.041963
1384125.314453	1.078310	8.325770e-01	0.041963
1384175.317261	0.871044	4.559744e-01	0.013988
1384225.320068	1.301982	1.572325e-01	0.041963
1384275.322876	2.781661	1.716278e-01	0.041963
1384325.325684	3.057124	4.009012e-02	0.041963
1384375.328491	2.541710	3.268411e+00	0.041963
1384425.331299	3.822937	4.558697e-03	0.041963
1384475.334106	6.280592	4.406364e-03	0.041963
1384525.336914	3.706943	4.114292e-03	0.027976
1384575.339722	5.008616	4.250286e-03	0.027976
1384625.342529	4.252190	4.176322e-03	0.027976
1384675.345337	4.992461	3.816000e-03	0.027976
1384725.348145	4.159052	4.835489e-03	0.041963
1384775.350952	2.558540	2.335800e-01	0.041963
1384825.353760	1.935462	2.173319e-01	0.041963
1384875.356567	0.831515	1.370795e-01	0.041963
1384925.359375	1.159300	2.215747e-01	0.041963
1384975.362183	0.246754	1.431611e-01	0.041963
1385025.364990	2.300084	3.499115e-01	0.041963
1385075.367798	0.000000	1.128647e+00	0.013988
1385125.370605	1.294902	6.784557e-01	0.041963
1385175.373413	0.640796	7.377409e+00	0.013988
1385225.376221	2.305458	6.193159e-01	0.041963
1385275.379028	0.793637	3.863230e-02	0.041963
1385325.381836	2.289238	1.729559e-01	0.041963
1385375.384644	2.855647	7.084468e-02	0.041963
1385425.387451	2.776081	1.760318e-01	0.041963
1385475.390259	1.913827	5.469706e-02	0.013988
1385525.393066	1.271926	7.795715e-01	0.013988
1385575.395874	2.430965	9.708414e-02	0.041963
1385625.398682	2.082685	2.102124e-01	0.041963
1385675.401489	1.084093	1.059663e-01	0.041963
1385725.404297	1.125147	6.048954e-01	0.041963
1385775.407104	2.895896	8.042663e-01	0.041963
1385825.409912	0.691111	8.948602e-01	0.013988
1385875.412720	0.977125	1.242222e+00	0.041963
1385925.415527	1.502002	2.099427e-02	0.041963
1385975.418335	1.740907	3.745192e+00	0.041963
1386025.421143	4.081392	3.710333e-02	0.041963
1386075.423950	5.836665	1.414134e-02	0.041963
1386125.426758	2.392041	1.328276e-02	0.041963
1386175.429565	0.000000	9.130366e-02	0.013988
1386225.432373	0.642748	1.012081e-01	0.013988
1386275.435181	0.642748	1.750168e-01	0.013988
1386325.437988	2.125018	1.404432e-02	0.013988
1386375.440796	4.474759	1.949822e-02	0.013988
1386425.443604	3.400258	6.233219e-02	0.027976
1386475.446411	3.265334	2.611229e-02	0.027976
1386525.449219	2.454410	3.186821e-02	0.027976
1386575.452026	1.846282	2.675298e-02	0.013988
1386625.454834	2.079743	2.966295e-02	0.013988
1386675.457642	2.883719	2.396261e-02	0.013988
1386725.460449	1.454240	2.862641e-01	0.027976
1386775.463257	3.059589	3.813973e-01	0.041963
1386825.466064	3.621203	7.475054e-02	0.013988
1386875.468872	2.435878	3.619570e-02	0.013988
1386925.471680	2.221824	2.475672e-01	0.041963
1386975.474487	2.949949	2.820043e-02	0.013988
1387025.477295	4.502837	5.811776e-02	0.013988
1387075.480103	3.379290	4.102844e-02	0.013988
1387125.482910	1.933224	3.818836e-02	0.041963
1387175.485718	0.453754	1.403275e-01	0.041963
1387225.488525	0.753591	1.489306e-01	0.041963
1387275.491333	1.251378	1.428565e-01	0.041963
1387325.494141	2.573801	7.270146e-01	0.041963
1387375.496948	0.642748	5.334055e-01	0.013988
1387425.499756	0.000000	7.272622e-01	0.013988
1387475.502563	0.370535	1.057293e-01	0.041963
1387525.505371	0.638708	1.412657e+00	0.013988
1387575.508179	0.642748	1.843833e+00	0.013988
1387625.510986	0.928815	3.691061e-01	0.013988
1387675.513794	1.200345	2.634547e-02	0.041963
1387725.516602	0.753446	9.055470e-02	0.041963
1387775.519409	3.693369	6.966696e-03	0.027976
1387825.522217	0.573312	1.590240e+00	0.041963
1387875.525024	0.785700	1.136842e+00	0.041963
1387925.527832	4.967154	6.911308e-02	0.041963
1387975.530640	0.642748	8.166818e+00	0.013988
1388025.533447	1.626009	1.170350e-01	0.013988
1388075.536255	0.989538	7.288742e-01	0.041963
1388125.539062	1.862856	2.331865e-01	0.041963
1388175.541870	0.640796	8.229719e+00	0.013988
1388225.544678	1.662251	3.804128e-01	0.041963
1388275.547485	0.642748	7.754516e+00	0.013988
1388325.550293	1.436348	9.638781e-01	0.013988
1388375.553101	3.074423	5.632056e-01	0.041963
1388425.555908	1.620726	9.052785e-02	0.013988
1388475.558716	0.892681	2.204210e-01	0.041963
1388525.561523	2.982447	1.136778e-01	0.041963
1388575.564331	1.402487	3.814801e-02	0.013988
1388625.567139	0.642748	4.693524e-01	0.013988
1388675.569946	0.748851	1.136687e-01	0.013988
1388725.572754	0.751395	7.713430e-02	0.013988
1388775.575562	0.751931	5.837269e-02	0.013988
1388825.578369	0.752134	4.695231e-02	0.013988
1388875.581177	1.284007	1.864567e-02	0.013988
1388925.583984	2.723452	1.988125e-02	0.013988
1388975.586792	2.370790	2.199466e-02	0.013988
1389025.589600	2.677449	2.461991e-02	0.013988
1389075.592407	2.654902	2.467067e-02	0.013988
1389125.595215	2.310561	2.749740e-02	0.013988
1389175.598022	2.207720	3.556588e-02	0.013988
1389225.600830	2.138359	4.175377e-02	0.013988
1389275.603638	1.913571	5.054837e-02	0.013988
1389325.606445	1.716404	5.420213e-02	0.013988
1389375.609253	2.798328	9.804662e-02	0.041963
1389425.612061	2.766536	8.671278e-02	0.013988
1389475.614868	3.718032	1.140267e-02	0.013988
1389525.617676	1.745777	2.630559e-01	0.013988
1389575.620483	2.793012	7.904908e-02	0.013988
1389625.623291	3.481855	7.696528e-02	0.027976
1389675.626099	2.195366	3.831371e-01	0.041963
1389725.628906	2.599402	1.404769e-01	0.041963
1389775.631714	2.350154	2.457163e-02	0.027976
1389825.634521	1.253632	8.488635e-02	0.041963
1389875.637329	2.986719	4.826306e-02	0.041963
1389925.640137	2.108140	1.806166e+00	0.041963
1389975.642944	3.444791	8.029415e-01	0.041963
1390025.645752	2.416716	1.531506e-01	0.013988
1390075.648560	1.621260	2.416988e-01	0.013988
1390125.651367	1.423478	9.135990e-02	0.013988
1390175.654175	1.726863	3.104451e-01	0.041963
1390225.656982	0.707383	3.273593e-01	0.041963
1390275.659790	4.374157	2.374201e-01	0.041963
1390325.662598	3.370110	3.891841e-02	0.041963
1390375.665405	2.709832	1.119804e-01	0.041963
1390425.668213	6.801338	1.446361e-02	0.041963
1390475.671021	1.141403	1.579632e-02	0.027976
1390525.673828	1.865944	3.805584e-02	0.041963
1390575.676636	0.636511	2.057495e-01	0.027976
1390625.679443	2.623266	1.768402e-01	0.041963
1390675.682251	0.638708	9.742038e-01	0.013988
1390725.685059	3.370537	1.585518e-01	0.041963
1390775.687866	0.256703	1.220603e-01	0.041963
1390825.690674	1.391652	3.768860e-02	0.027976
1390875.693481	3.310377	1.008157e+00	0.041963
1390925.696289	2.225792	8.179091e-01	0.041963
1390975.699097	0.636473	4.858476e-01	0.013988
1391025.701904	0.636473	1.606385e-01	0.013988
1391075.704712	0.636473	9.622729e-02	0.013988
1391125.707520	0.636473	6.868620e-02	0.013988
1391175.710327	0.636473	5.340208e-02	0.013988
1391225.713135	0.636473	4.368191e-02	0.013988
1391275.715942	0.636473	3.695537e-02	0.013988
1391325.718750	0.636473	3.202401e-02	0.013988
1391375.721558	0.636473	2.825380e-02	0.013988
1391425.724365	0.636473	2.527782e-02	0.013988
1391475.727173	0.749075	2.624253e-02	0.013988
1391525.729980	0.638708	3.059117e-02	0.013988
1391575.732788	0.638708	3.506033e-02	0.013988
1391625.735596	0.638708	4.105871e-02	0.013988
1391675.738403	0.749007	4.664511e-02	0.013988
1391725.741211	0.638708	6.241587e-02	0.013988
1391775.744019	0.638708	8.435495e-02	0.013988
1391825.746826	0.638708	1.300768e-01	0.013988
1391875.749634	2.064701	1.074547e-02	0.013988
1391925.752441	1.458572	1.441484e-01	0.027976
1391975.755249	4.638786	1.572235e-02	0.041963
1392025.758057	3.575524	4.424095e-02	0.027976
1392075.760864	4.709886	1.507085e-02	0.027976
1392125.763672	0.662534	1.052413e-02	0.027976
1392175.766479	2.227252	3.458604e-02	0.041963
1392225.769287	1.772754	5.048533e-01	0.041963
1392275.772095	1.370374	2.965073e-01	0.041963
1392325.774902	0.885457	6.441344e-02	0.013988
1392375.777710	2.471585	1.603802e-02	0.027976
1392425.780518	0.194998	5.362398e-02	0.041963
1392475.783325	0.000000	1.415373e-01	0.013988
1392525.786133	0.000000	9.359364e-02	0.013988
1392575.788940	0.000000	1.534310e-01	0.013988
1392625.791748	3.583873	2.100810e-02	0.041963
1392675.794556	3.649759	3.771149e-02	0.041963
1392725.797363	0.956648	2.069906e+00	0.013988
1392775.800171	5.469601	5.591398e-02	0.041963
1392825.802979	2.046099	7.604421e-02	0.013988
1392875.805786	1.749267	1.015278e-01	0.013988
1392925.808594	2.033077	1.043462e-01	0.013988
1392975.811401	3.222563	9.851295e-02	0.041963
1393025.814209	3.307035	5.641867e-02	0.027976
1393075.817017	0.982777	9.770629e-02	0.013988
1393125.819824	2.400416	1.621149e-01	0.041963
1393175.822632	8.060160	3.218689e-02	0.041963
1393225.825439	1.945483	1.245771e+00	0.041963
1393275.828247	2.485616	1.487088e+00	0.041963
1393325.831055	1.157449	3.171998e-01	0.041963
1393375.833862	1.454119	6.148608e-02	0.041963
1393425.836670	2.907659	4.630286e-02	0.041963
1393475.839478	2.054919	3.012088e-01	0.041963
1393525.842285	2.324806	9.320071e-01	0.041963
1393575.845093	3.503381	1.099355e-01	0.041963
1393625.847900	2.952412	7.850545e-01	0.041963
1393675.850708	0.595354	2.187757e-01	0.041963
1393725.853516	1.408323	1.760913e-01	0.041963
1393775.856323	4.916899	2.671751e-02	0.041963
1393825.859131	2.108140	8.207568e+00	0.041963
1393875.861938	0.000000	8.487728e-01	0.013988
1393925.864746	4.568800	1.093030e-02	0.041963
1393975.867554	1.391706	8.382498e-02	0.041963
1394025.870361	2.209957	1.366200e-01	0.041963
1394075.873169	4.497337	8.713796e-03	0.041963
1394125.875977	0.631494	2.559946e-01	0.013988
1394175.878784	0.000000	2.442937e-01	0.013988
1394225.881592	2.108140	1.311484e+00	0.041963
1394275.884399	2.249508	2.708200e-01	0.041963
1394325.887207	2.108140	2.974355e-01	0.041963
1394375.890015	0.642748	1.317236e+00	0.013988
1394425.892822	0.000000	5.968020e-01	0.013988
1394475.895630	0.221083	2.844306e-02	0.013988
1394525.898438	2.591074	5.170150e-02	0.041963
1394575.901245	1.550748	2.170370e-02	0.027976
1394625.904053	3.282759	1.350966e-01	0.041963
1394675.906860	1.928256	3.502114e-01	0.041963
1394725.909668	1.090170	1.095634e-01	0.041963
1394775.912476	1.494818	2.652442e-01	0.041963
1394825.915283	1.508706	4.082810e-02	0.013988
1394875.918091	1.404529	1.017655e-01	0.013988
1394925.920898	1.620270	9.923840e-02	0.013988
1394975.923706	1.145644	5.505333e-02	0.013988
1395025.926514	0.945565	1.385605e-01	0.013988
1395075.929321	1.692993	1.618633e-01	0.041963
1395125.932129	3.289238	3.717736e-02	0.041963
1395175.934937	4.803158	3.149070e-02	0.041963
1395225.937744	2.282884	4.712726e-01	0.041963
1395275.940552	1.737667	4.670339e-02	0.041963
1395325.943359	0.000000	5.468625e-01	0.013988
1395375.946167	0.539654	1.271178e-01	0.041963
1395425.948975	0.000000	4.436061e-01	0.013988
1395475.951782	1.831895	5.228353e-01	0.041963
1395525.954590	2.034143	1.289693e-01	0.041963
1395575.957397	2.458045	9.278621e-01	0.041963
1395625.960205	1.407203	5.795987e-02	0.013988
1395675.963013	0.117153	7.641512e-02	0.013988
1395725.965820	3.741589	7.782737e-01	0.041963
1395775.968628	0.523053	1.739922e-01	0.041963
1395825.971436	2.652081	7.244557e-01	0.013988
1395875.974243	0.707593	1.155436e-01	0.041963
1395925.977051	0.442083	7.273740e-02	0.041963
1395975.979858	0.785700	4.462648e-01	0.041963
1396025.982666	0.642748	2.181131e-01	0.013988
1396075.985474	0.799258	1.518708e-01	0.013988
1396125.988281	2.309144	2.399438e-01	0.041963
1396175.991089	1.519142	5.408606e+00	0.041963
1396225.993896	2.334085	9.302766e-02	0.027976
1396275.996704	4.394182	2.307546e-01	0.041963
1396325.999512	2.522097	4.800093e-01	0.041963
1396376.002319	2.516537	6.587713e-01	0.041963
1396426.005127	1.979758	2.880632e-01	0.041963
1396476.007935	0.000000	6.002382e-01	0.013988
1396526.010742	0.777208	1.397923e-01	0.041963
1396576.013550	0.865329	1.020049e-01	0.041963
