location	LR	alpha	D
1850868.000000	0.509338	1.662427e+02	0.031385
1850918.006500	1.682907	1.498139e-02	0.031385
1850968.013000	3.039996	1.597897e-02	0.031385
1851018.019500	3.216911	1.694962e-02	0.015692
1851068.026000	1.495027	2.353061e-02	0.015692
1851118.032500	0.916025	4.987683e-01	0.031385
1851168.039000	2.186613	1.854087e+01	0.031385
1851218.045500	2.954833	8.110600e-02	0.031385
1851268.052000	4.558869	2.620385e-02	0.015692
1851318.058500	1.445710	2.496956e-01	0.015692
1851368.065000	3.818721	1.111780e-01	0.015692
1851418.071500	4.741755	6.753228e-03	0.015692
1851468.078000	4.993111	4.652570e-02	0.015692
1851518.084500	4.268084	5.527799e-02	0.015692
1851568.091000	5.007371	1.313041e-02	0.015692
1851618.097500	3.969393	3.148800e-02	0.015692
1851668.104000	1.335088	3.014287e-02	0.031385
1851718.110500	6.991366	3.624167e-02	0.015692
1851768.117000	6.228583	2.409072e-02	0.031385
1851818.123500	5.161935	4.685239e-02	0.031385
1851868.130000	7.144150	1.993786e-02	0.031385
1851918.136500	5.864848	1.944464e-02	0.031385
1851968.143000	1.910655	7.611735e-01	0.031385
1852018.149500	5.463060	7.546422e-03	0.031385
1852068.156000	8.064692	1.064921e-02	0.031385
1852118.162500	2.960408	7.024220e-02	0.031385
1852168.169000	5.228989	3.823715e-02	0.031385
1852218.175500	4.148859	1.828779e-02	0.031385
1852268.182000	7.486175	1.297042e-02	0.031385
1852318.188500	3.049172	7.683027e-02	0.031385
1852368.195000	1.996632	1.054435e-01	0.015692
1852418.201500	2.143954	1.880923e-01	0.015692
1852468.208000	2.721057	1.151543e-01	0.031385
1852518.214500	2.884932	7.442468e-02	0.031385
1852568.221000	2.005986	7.443197e-02	0.031385
1852618.227500	5.763065	2.879496e-02	0.031385
1852668.234000	4.982107	2.302229e-02	0.031385
1852718.240500	2.449755	1.357097e-02	0.031385
1852768.247000	5.963154	8.178579e-03	0.015692
1852818.253500	10.187484	7.695992e-03	0.031385
1852868.260000	8.629568	7.456845e-03	0.015692
1852918.266500	7.104462	7.232112e-03	0.031385
1852968.273000	5.644152	7.020529e-03	0.031385
1853018.279500	6.061705	6.863890e-03	0.031385
1853068.286000	4.133126	1.017155e-01	0.031385
1853118.292500	2.475913	9.643809e-01	0.031385
1853168.299000	7.706489	6.388760e-03	0.031385
1853218.305500	1.954685	5.922694e-02	0.031385
1853268.312000	1.104256	5.705986e-01	0.031385
1853318.318500	0.859795	2.855107e-01	0.031385
1853368.325000	0.636729	2.157012e-02	0.031385
1853418.331500	1.334799	1.095453e-02	0.015692
1853468.338000	0.967190	1.893342e+00	0.015692
1853518.344500	0.379865	1.638606e+00	0.015692
1853568.351000	4.753448	5.196265e-03	0.015692
1853618.357500	1.131950	4.473677e-03	0.015692
1853668.364000	1.739671	2.646882e-03	0.015692
1853718.370500	2.005514	2.163976e-03	0.015692
1853768.377000	2.354115	2.000404e-03	0.015692
1853818.383500	2.878918	1.855397e-03	0.015692
1853868.390000	2.750619	1.859137e-03	0.015692
1853918.396500	2.714525	1.880995e-03	0.015692
1853968.403000	2.318495	1.895856e-03	0.015692
1854018.409500	1.645116	1.903375e-03	0.015692
1854068.416000	1.214024	1.926293e-03	0.015692
1854118.422500	0.000000	2.053309e-02	0.015692
1854168.429000	0.722613	1.698684e-02	0.015692
1854218.435500	0.961607	1.850240e-02	0.015692
1854268.442000	0.961595	2.004818e-02	0.015692
1854318.448500	0.961580	2.187579e-02	0.015692
1854368.455000	0.961560	2.407004e-02	0.015692
1854418.461500	0.961531	2.675355e-02	0.015692
1854468.468000	0.961489	3.011050e-02	0.015692
1854518.474500	0.961424	3.443076e-02	0.015692
1854568.481000	0.961313	4.019844e-02	0.015692
1854618.487500	0.961094	4.828730e-02	0.015692
1854668.494000	0.960549	6.045156e-02	0.015692
1854718.500500	0.958474	8.080835e-02	0.015692
1854768.507000	0.937646	1.218361e-01	0.015692
1854818.513500	2.686519	1.020854e-02	0.031385
1854868.520000	2.906321	1.066212e-02	0.031385
1854918.526500	0.935848	1.193715e-01	0.015692
1854968.533000	0.655750	1.679574e-02	0.031385
1855018.539500	0.915089	1.850537e-02	0.031385
1855068.546000	0.632501	1.010644e+00	0.031385
1855118.552500	0.658703	3.992646e-02	0.031385
1855168.559000	1.125288	1.356837e-01	0.031385
1855218.565500	0.696782	8.131985e-02	0.031385
1855268.572000	1.947314	2.988256e-02	0.031385
1855318.578500	0.906607	3.444104e-02	0.031385
1855368.585000	1.122037	1.359904e-02	0.031385
1855418.591500	1.002388	1.228994e-02	0.031385
1855468.598000	1.279433	7.083739e-02	0.015692
1855518.604500	1.562513	8.086495e-02	0.015692
1855568.611000	1.035488	1.219648e-01	0.015692
1855618.617500	1.513766	2.480236e-01	0.015692
1855668.624000	2.318773	1.081057e-01	0.031385
1855718.630500	1.008146	1.483093e-01	0.031385
1855768.637000	3.591643	5.324745e-02	0.031385
1855818.643500	2.276282	3.222718e-02	0.031385
1855868.650000	1.730788	1.065320e-01	0.015692
1855918.656500	3.112938	1.607362e-01	0.031385
1855968.663000	2.423074	3.160697e-02	0.015692
1856018.669500	1.537132	1.914403e+00	0.031385
1856068.676000	0.338747	6.826365e+00	0.031385
1856118.682500	0.645751	1.239349e+00	0.015692
1856168.689000	0.313060	1.799398e-01	0.015692
1856218.695500	0.639354	1.792248e+00	0.015692
1856268.702000	0.375328	1.215781e-01	0.015692
1856318.708500	1.953316	4.289224e-03	0.015692
1856368.715000	1.886388	4.420419e-03	0.015692
1856418.721500	0.000000	1.554103e+00	0.015692
1856468.728000	0.007112	2.869547e-01	0.031385
1856518.734500	1.187759	2.126659e-02	0.031385
1856568.741000	0.454210	1.145683e-01	0.031385
1856618.747500	0.178868	5.776244e-02	0.031385
1856668.754000	4.011925	8.431428e-03	0.031385
1856718.760500	1.339980	3.784288e-01	0.031385
1856768.767000	1.657280	1.014945e-01	0.031385
1856818.773500	1.905715	4.169946e-02	0.015692
1856868.780000	0.991305	1.677752e-01	0.015692
1856918.786500	3.704126	8.668621e-02	0.031385
1856968.793000	3.186880	1.273791e-01	0.031385
1857018.799500	0.886079	1.293111e-01	0.015692
1857068.806000	0.935851	9.840904e-01	0.015692
1857118.812500	1.450587	1.212997e-01	0.031385
1857168.819000	0.753437	7.214016e-02	0.015692
1857218.825500	0.815119	5.198734e-02	0.015692
1857268.832000	0.645751	1.335826e-01	0.015692
1857318.838500	0.645751	8.581326e-02	0.015692
1857368.845000	0.440767	3.286277e-02	0.031385
1857418.851500	0.000000	1.497221e-01	0.015692
1857468.858000	0.500410	1.731957e-02	0.015692
1857518.864500	1.915723	1.777615e-02	0.015692
1857568.871000	1.770903	9.989261e-02	0.031385
1857618.877500	4.009302	1.458297e-02	0.015692
1857668.884000	1.116352	5.965400e-01	0.031385
1857718.890500	2.890077	1.729379e-02	0.015692
1857768.897000	1.278753	7.061613e-02	0.031385
1857818.903500	1.333037	4.860198e-02	0.031385
1857868.910000	0.682212	3.909943e-02	0.015692
1857918.916500	1.159367	5.086544e-02	0.015692
1857968.923000	0.908042	6.627013e-02	0.015692
1858018.929500	0.822545	1.642249e-01	0.015692
1858068.936000	2.248012	1.149496e-02	0.015692
1858118.942500	1.381410	1.435808e-02	0.015692
1858168.949000	1.346701	8.743723e-02	0.015692
1858218.955500	3.464082	1.579471e-01	0.031385
1858268.962000	2.165187	2.526518e-02	0.015692
1858318.968500	0.209259	3.534736e+00	0.031385
1858368.975000	1.157658	2.087048e-02	0.015692
1858418.981500	1.301054	3.252195e-02	0.031385
1858468.988000	1.146025	2.142591e-02	0.031385
1858518.994500	1.176192	1.655185e-02	0.031385
1858569.001000	1.128497	1.548385e-02	0.031385
1858619.007500	1.043144	1.454532e-02	0.031385
1858669.014000	0.967067	1.371407e-02	0.031385
1858719.020500	0.909235	1.297269e-02	0.031385
1858769.027000	0.974697	1.092869e-02	0.031385
1858819.033500	0.837399	1.170694e-02	0.031385
1858869.040000	0.893140	1.001636e-02	0.031385
1858919.046500	0.800068	1.066623e-02	0.031385
1858969.053000	0.788416	1.021231e-02	0.031385
1859019.059500	0.779626	9.795444e-03	0.031385
1859069.066000	1.084925	9.764562e-03	0.031385
1859119.072500	1.070936	1.017875e-02	0.031385
1859169.079000	0.874997	1.039933e-02	0.031385
1859219.085500	0.207238	1.224383e-02	0.031385
1859269.092000	0.526850	1.166285e-02	0.031385
1859319.098500	0.268535	7.868345e-03	0.031385
1859369.105000	0.639354	1.308765e-02	0.015692
1859419.111500	0.639354	1.384261e-02	0.015692
