location	LR	alpha	D
560718.000000	0.000000	1.200000e+03	0.022241
560768.002261	0.562102	4.444072e-01	0.022241
560818.004523	2.375112	8.889189e-02	0.022241
560868.006784	0.000000	1.191914e+01	0.022241
560918.009045	0.576655	6.002714e-01	0.022241
560968.011306	0.000000	3.008505e+00	0.022241
561018.013568	0.451721	1.201631e+00	0.022241
561068.015829	0.000000	1.994738e+00	0.022241
561118.018090	0.325493	1.734722e+00	0.022241
561168.020352	0.113360	6.170069e-01	0.022241
561218.022613	0.000000	1.504252e+00	0.022241
561268.024874	0.131753	5.127633e-01	0.022241
561318.027135	0.788414	7.948448e-02	0.022241
561368.029397	1.545258	3.876409e-01	0.022241
561418.031658	1.478974	7.841517e-02	0.022241
561468.033919	4.255266	1.016657e-01	0.022241
561518.036181	2.182215	2.351273e-01	0.022241
561568.038442	1.975354	3.239876e-01	0.022241
561618.040703	0.854535	6.938049e-02	0.022241
561668.042964	0.189988	2.309601e-01	0.022241
561718.045226	1.652922	1.148077e+01	0.022241
561768.047487	1.400433	1.793409e+00	0.022241
561818.049748	0.000000	2.412141e+02	0.022241
561868.052010	0.000000	2.307265e+02	0.022241
561918.054271	0.672193	1.315070e+00	0.022241
561968.056532	0.000000	3.926019e+00	0.022241
562018.058793	0.000000	2.428557e+00	0.022241
562068.061055	0.000000	2.954898e+00	0.022241
562118.063316	0.000000	1.895254e+02	0.022241
562168.065577	0.275401	4.128596e-01	0.022241
562218.067839	1.639263	3.034549e-01	0.022241
562268.070100	0.000000	5.796823e+00	0.022241
562318.072361	0.102295	1.334406e-01	0.022241
562368.074623	0.781954	4.422523e-01	0.022241
562418.076884	0.030654	2.096064e+00	0.022241
562468.079145	0.000000	5.434993e-01	0.022241
562518.081406	0.000000	2.940164e+00	0.022241
562568.083668	0.000000	2.661718e-01	0.022241
562618.085929	0.000000	1.277764e-01	0.022241
562668.088190	0.577084	8.270832e-02	0.022241
562718.090452	0.453878	1.305631e-01	0.022241
562768.092713	3.911031	2.139316e-01	0.022241
562818.094974	0.533210	1.482401e+00	0.022241
562868.097235	0.000000	2.447599e+00	0.022241
562918.099497	0.000000	4.123784e-01	0.022241
562968.101758	0.000000	1.212337e+00	0.022241
563018.104019	0.000000	2.450991e+00	0.022241
563068.106281	0.000000	1.129087e+02	0.022241
563118.108542	0.269416	7.551227e-01	0.022241
563168.110803	0.000000	1.083002e+02	0.022241
563218.113064	0.000000	1.479096e+00	0.022241
563268.115326	0.325473	4.777959e-01	0.022241
563318.117587	0.000000	3.849132e+00	0.022241
563368.119848	0.000000	4.166448e+00	0.022241
563418.122110	0.000000	7.557682e-01	0.022241
563468.124371	0.000000	2.909535e+00	0.022241
563518.126632	0.000000	1.065122e+01	0.022241
563568.128893	0.364934	1.432115e+00	0.022241
563618.131155	1.154857	2.735426e-01	0.022241
563668.133416	1.456270	5.984155e-01	0.022241
563718.135677	2.060401	6.823442e-02	0.022241
563768.137939	0.570465	9.534249e-02	0.022241
563818.140200	0.000000	6.452307e+00	0.022241
563868.142461	0.623911	8.177295e+00	0.022241
563918.144722	0.000000	8.291735e+01	0.022241
563968.146984	0.383646	1.478798e-01	0.022241
564018.149245	0.000000	1.751633e+00	0.022241
564068.151506	0.882983	1.166765e-01	0.022241
564118.153768	1.512235	2.270739e-01	0.022241
564168.156029	1.632294	2.744320e+00	0.022241
564218.158290	1.931506	7.492588e-02	0.022241
564268.160551	1.125390	9.904211e-02	0.022241
564318.162813	0.672006	6.354678e-02	0.022241
564368.165074	0.000000	2.801453e-01	0.022241
564418.167335	0.323087	1.674263e+00	0.022241
564468.169597	0.139187	2.865121e-02	0.022241
564518.171858	0.446498	6.093585e-01	0.022241
564568.174119	0.000000	2.874858e+00	0.022241
564618.176380	0.000000	1.672153e+00	0.022241
564668.178642	0.219188	5.213344e-02	0.022241
564718.180903	2.342561	1.747185e-02	0.022241
564768.183164	3.724648	1.869693e-02	0.022241
564818.185426	3.004483	1.787881e-02	0.022241
564868.187687	1.628016	6.378799e-01	0.022241
564918.189948	1.989403	1.931773e-01	0.022241
564968.192209	1.925170	7.556305e-02	0.022241
565018.194471	1.733243	3.102334e-02	0.022241
565068.196732	1.877072	2.785495e-02	0.022241
565118.198993	3.573663	4.112392e-02	0.022241
565168.201255	2.663060	3.627583e-02	0.022241
565218.203516	3.748443	6.256634e-02	0.022241
565268.205777	4.618589	8.772298e-02	0.022241
565318.208039	4.766281	1.382616e-01	0.022241
565368.210300	5.240815	9.583878e-02	0.022241
565418.212561	2.358982	1.108929e-01	0.022241
565468.214822	3.330712	8.728636e-03	0.022241
565518.217084	2.725055	4.720374e-02	0.022241
565568.219345	3.431884	5.101623e-02	0.022241
565618.221606	0.425360	6.151435e-01	0.022241
565668.223868	1.385678	3.644936e-02	0.022241
565718.226129	0.889076	5.776486e-01	0.022241
565768.228390	1.968637	3.485470e-01	0.022241
565818.230651	1.125124	1.514565e-01	0.022241
565868.232913	2.533359	3.505399e-01	0.022241
565918.235174	1.780481	2.184856e-02	0.022241
565968.237435	0.107662	1.638506e-01	0.022241
566018.239697	0.000000	1.546332e+00	0.022241
566068.241958	0.000000	3.137915e-01	0.022241
566118.244219	3.624614	1.462068e-02	0.022241
566168.246480	0.580661	3.178511e-01	0.022241
566218.248742	0.209081	6.957027e-01	0.022241
566268.251003	2.929355	1.285142e-02	0.022241
566318.253264	0.000000	1.606994e+01	0.022241
566368.255526	1.314396	3.453786e-01	0.022241
566418.257787	0.923906	1.375235e-01	0.022241
566468.260048	1.196895	1.050236e-01	0.022241
