location	LR	alpha
1850830.000000	0.048088	7.052734e+07
1850880.003400	0.000000	1.200000e+09
1850930.006799	0.000000	4.322941e+05
1850980.010199	0.000000	3.890082e+05
1851030.013599	0.015677	4.543690e+04
1851080.016998	0.421072	6.594097e+07
1851130.020398	0.000000	1.200000e+09
1851180.023798	0.000016	3.906326e+08
1851230.027197	0.000000	1.533907e+06
1851280.030597	0.044811	7.410401e+07
1851330.033997	0.000000	1.200000e+09
1851380.037396	0.000000	1.200000e+09
1851430.040796	1.170814	3.585742e+07
1851480.044196	0.064970	1.410637e+04
1851530.047595	0.040926	3.370774e+05
1851580.050995	0.000000	2.164804e+06
1851630.054395	0.000000	3.507282e+05
1851680.057794	0.308170	1.181861e+04
1851730.061194	0.076514	7.205477e+03
1851780.064594	0.000000	4.725643e+04
1851830.067993	0.000000	7.879145e+04
1851880.071393	0.000000	2.368364e+05
1851930.074793	0.000000	1.200000e+09
1851980.078192	0.703466	1.387328e+04
1852030.081592	0.020463	1.347596e+05
1852080.084992	0.000000	1.200000e+09
1852130.088391	0.000000	1.200000e+09
1852180.091791	0.000000	1.200000e+09
1852230.095190	0.000000	1.200000e+09
1852280.098590	0.316310	3.946490e+07
1852330.101990	0.020463	1.064683e+05
1852380.105389	0.028084	1.278575e+08
1852430.108789	1.094850	3.723240e+07
1852480.112189	0.000000	1.200000e+09
1852530.115588	0.061389	1.533774e+08
1852580.118988	0.000016	1.468278e+05
1852630.122388	0.333597	3.125748e+04
1852680.125787	0.030633	2.248033e+04
1852730.129187	0.072080	7.881011e+03
1852780.132587	0.019895	2.502546e+04
1852830.135986	0.000000	1.200000e+09
1852880.139386	0.000000	1.276048e+05
1852930.142786	0.000000	6.054059e+04
1852980.146185	0.000000	3.968414e+04
1853030.149585	0.000000	2.951582e+04
1853080.152985	0.000852	8.023956e+03
1853130.156384	0.026095	5.935587e+03
1853180.159784	0.129251	8.740295e+03
1853230.163184	0.316310	3.946490e+07
1853280.166583	0.000000	1.200000e+09
1853330.169983	0.000000	1.140960e+05
1853380.173383	0.000000	5.598259e+04
1853430.176782	0.000000	3.709083e+04
1853480.180182	0.000000	2.773235e+04
1853530.183582	0.000000	2.214490e+04
1853580.186981	0.000000	1.843139e+04
1853630.190381	0.000000	1.578447e+04
