location	LR	alpha
2476112.000000	0.029358	2.251203e+08
2476162.010645	0.029358	7.421071e+04
2476212.021290	0.016146	1.279843e+05
2476262.031935	0.021847	1.041042e+05
2476312.042580	0.066477	3.721807e+04
2476362.053225	0.003367	4.618984e+04
2476412.063870	0.000000	1.200000e+09
2476462.074515	0.000000	1.237127e+05
2476512.085160	0.989776	8.744635e+06
2476562.095806	0.352386	5.779711e+03
2476612.106451	0.196462	5.726747e+03
2476662.117096	1.381598	2.267957e+07
2476712.127741	0.095154	9.843625e+07
2476762.138386	1.081420	1.257767e+04
2476812.149031	0.503372	1.251244e+04
2476862.159676	0.000000	1.200000e+09
2476912.170321	0.517739	3.025901e+07
2476962.180966	0.000857	3.709886e+08
2477012.191611	0.091753	1.697771e+08
2477062.202256	0.056997	1.946687e+08
2477112.212901	0.148751	1.536256e+08
2477162.223546	0.471571	1.180211e+08
2477212.234191	2.448280	7.396579e+03
2477262.244836	1.999548	6.447527e+03
2477312.255481	1.030563	5.206699e+07
2477362.266126	1.563312	3.973084e+03
2477412.276772	0.034498	5.963937e+05
2477462.287417	0.839066	2.388063e+03
2477512.298062	0.700288	2.256594e+03
2477562.308707	0.158786	3.130109e+03
2477612.319352	0.184621	5.083635e+03
2477662.329997	0.345809	6.186542e+03
2477712.340642	0.574057	7.548757e+03
2477762.351287	1.297370	1.039715e+04
2477812.361932	0.177876	5.560472e+07
2477862.372577	0.021668	2.491126e+08
2477912.383222	0.000000	5.070460e+05
2477962.393867	0.000000	1.200000e+09
2478012.404512	0.000000	1.103414e+06
2478062.415157	0.000000	1.828109e+05
2478112.425802	0.000000	1.200000e+09
2478162.436447	0.012225	9.009713e+04
2478212.447092	0.005625	1.597676e+04
2478262.457738	0.009666	7.604262e+03
2478312.468383	0.177399	6.162839e+03
2478362.479028	0.491495	8.277508e+03
2478412.489673	0.815830	1.716909e+04
2478462.500318	0.015983	2.061837e+08
2478512.510963	0.000000	2.462006e+06
2478562.521608	0.000000	7.430987e+05
2478612.532253	0.233963	4.164821e+07
2478662.542898	0.239953	6.206922e+03
2478712.553543	0.016603	1.410576e+04
2478762.564188	0.004140	1.104493e+04
2478812.574833	0.000926	9.889238e+03
2478862.585478	0.000000	2.558647e+04
2478912.596123	0.000000	3.260165e+04
2478962.606768	0.000000	4.491670e+04
2479012.617413	0.000000	7.218356e+04
2479062.628058	0.000000	1.836982e+05
2479112.638704	0.000000	1.200000e+09
2479162.649349	0.009808	2.249968e+08
2479212.659994	0.000000	1.117118e+06
2479262.670639	0.009596	2.622239e+05
2479312.681284	0.031810	1.929354e+08
2479362.691929	0.399827	1.386687e+04
2479412.702574	0.095583	5.248172e+04
2479462.713219	0.115031	1.423462e+08
2479512.723864	0.206118	1.808841e+04
2479562.734509	0.152975	1.453159e+08
2479612.745154	0.067057	2.403370e+08
2479662.755799	0.043438	1.869745e+08
2479712.766444	1.115881	5.979535e+07
2479762.777089	0.271131	1.473339e+08
2479812.787734	0.141302	1.390657e+08
2479862.798379	0.695887	6.583752e+07
2479912.809024	0.008794	2.420564e+08
2479962.819670	0.096334	2.049425e+08
2480012.830315	0.000000	1.200000e+09
2480062.840960	0.000000	1.200000e+09
2480112.851605	0.018218	1.930886e+08
2480162.862250	1.534354	4.728057e+07
2480212.872895	0.062944	1.784774e+08
2480262.883540	0.000000	1.200000e+09
2480312.894185	0.037952	2.228743e+08
2480362.904830	0.954807	4.151697e+07
2480412.915475	0.628587	9.396415e+03
2480462.926120	0.000000	2.051729e+05
2480512.936765	0.000000	1.200000e+09
2480562.947410	1.732815	5.123778e+06
2480612.958055	0.000000	1.087603e+06
2480662.968700	1.009681	4.732432e+03
2480712.979345	2.041332	2.707456e+04
2480762.989990	0.905996	2.157925e+04
2480813.000636	0.123025	1.911942e+08
2480863.011281	0.001969	2.556638e+08
2480913.021926	0.101838	1.908687e+08
2480963.032571	0.071951	1.567061e+08
2481013.043216	0.035356	2.360064e+08
2481063.053861	0.036153	6.189950e+04
2481113.064506	0.042000	3.323972e+04
2481163.075151	0.000349	7.927860e+04
2481213.085796	0.000027	8.235658e+04
2481263.096441	0.322425	2.549421e+04
2481313.107086	0.000000	6.389477e+05
2481363.117731	0.000000	2.748946e+05
2481413.128376	0.331867	1.123181e+08
2481463.139021	0.125115	1.499173e+08
2481513.149666	0.126773	4.951698e+04
2481563.160311	0.743742	7.347814e+03
2481613.170956	0.651137	4.091224e+03
2481663.181602	0.690893	3.150254e+03
2481713.192247	0.605280	2.929116e+03
2481763.202892	0.594160	1.984205e+03
2481813.213537	0.657462	1.967046e+03
2481863.224182	0.167919	2.553017e+03
2481913.234827	0.012359	3.504776e+04
2481963.245472	0.006324	4.599646e+04
2482013.256117	0.511441	3.666884e+04
2482063.266762	0.490949	1.034906e+04
2482113.277407	0.435287	1.184705e+04
2482163.288052	0.189409	6.716942e+04
2482213.298697	0.304244	3.355795e+04
2482263.309342	0.381874	5.211552e+04
2482313.319987	0.687871	9.473135e+07
2482363.330632	2.853141	4.591349e+03
2482413.341277	2.682984	2.903482e+03
2482463.351922	2.912260	2.289674e+03
2482513.362568	2.845943	2.119570e+03
2482563.373213	1.416294	2.211454e+03
2482613.383858	1.951053	2.288001e+03
2482663.394503	1.119700	3.393350e+03
2482713.405148	1.324250	1.613291e+04
2482763.415793	0.000000	1.200000e+09
2482813.426438	0.353287	1.079275e+05
2482863.437083	0.437537	1.088389e+08
2482913.447728	1.466260	1.163688e+04
2482963.458373	0.000021	6.494668e+05
2483013.469018	0.097880	7.009787e+04
2483063.479663	0.000000	6.390204e+08
2483113.490308	1.529909	5.697713e+03
2483163.500953	2.842801	3.260880e+03
2483213.511598	0.546503	3.014089e+07
2483263.522243	2.731019	1.339854e+07
2483313.532888	2.541780	1.833344e+03
2483363.543534	3.153986	1.079932e+03
2483413.554179	3.169598	8.989333e+02
2483463.564824	3.053606	8.162168e+02
2483513.575469	2.846293	7.728326e+02
2483563.586114	2.561034	7.513456e+02
2483613.596759	2.210057	7.450960e+02
2483663.607404	1.804468	7.519139e+02
2483713.618049	1.353522	7.729718e+02
2483763.628694	0.867867	8.179686e+02
2483813.639339	0.381614	9.495301e+02
2483863.649984	0.125437	1.605576e+03
2483913.660629	0.097102	2.040212e+03
2483963.671274	0.088808	2.363061e+03
2484013.681919	0.087198	2.725826e+03
2484063.692564	0.089945	3.156415e+03
2484113.703209	0.095251	3.711404e+03
2484163.713854	0.102794	4.499549e+03
2484213.724500	0.114507	5.744302e+03
2484263.735145	0.141586	8.050442e+03
2484313.745790	0.398248	1.349588e+04
2484363.756435	0.041783	4.902561e+04
2484413.767080	0.085824	3.914232e+04
2484463.777725	0.005413	4.998040e+04
2484513.788370	0.000000	1.711400e+05
2484563.799015	0.299303	2.589905e+04
2484613.809660	0.000000	2.294426e+06
2484663.820305	0.834417	2.526150e+04
2484713.830950	0.910714	1.759660e+04
2484763.841595	0.002847	5.490959e+04
2484813.852240	0.031520	4.895072e+04
2484863.862885	0.113685	1.435193e+05
2484913.873530	0.115075	3.502143e+04
2484963.884175	0.127607	1.180005e+08
2485013.894820	0.171863	8.907111e+03
2485063.905466	2.705040	4.499885e+03
2485113.916111	3.484151	1.455317e+07
2485163.926756	0.407730	9.516349e+07
2485213.937401	0.091268	3.039081e+05
2485263.948046	0.119639	3.054462e+04
2485313.958691	0.011282	6.388310e+04
2485363.969336	0.009784	2.812829e+05
2485413.979981	0.000000	3.346601e+05
2485463.990626	0.055038	7.279307e+04
2485514.001271	0.055106	7.976812e+04
2485564.011916	1.229345	5.598119e+03
2485614.022561	1.678136	4.113260e+03
2485664.033206	2.437222	1.401342e+04
2485714.043851	2.317245	1.127009e+07
2485764.054496	0.441571	2.863840e+04
