location	LR	alpha
560516.000000	0.000000	1.200000e+09
560566.001750	1.061217	4.369547e+03
560616.003501	0.372840	6.766060e+07
560666.005251	1.233787	4.755827e+03
560716.007001	0.044416	2.082385e+03
560766.008751	1.802789	1.252027e+03
560816.010502	2.811707	9.257164e+02
560866.012252	0.086561	1.952489e+05
560916.014002	3.265429	8.074831e+02
560966.015753	2.660664	1.040031e+03
561016.017503	2.538326	6.988239e+03
561066.019253	2.641791	4.939566e+06
561116.021004	0.056333	2.499837e+05
561166.022754	0.010155	1.229936e+05
561216.024504	0.705179	1.019757e+07
561266.026254	0.004066	1.338291e+05
561316.028005	0.086561	8.608240e+05
561366.029755	1.294542	2.357395e+03
561416.031505	0.968136	2.279063e+03
561466.033256	0.001464	2.510465e+05
561516.035006	0.001695	1.488462e+07
561566.036756	0.234299	9.099368e+03
561616.038506	0.051753	4.503974e+04
561666.040257	0.600858	2.591128e+04
561716.042007	2.763868	9.209648e+03
561766.043757	0.015289	2.674708e+08
561816.045508	0.000430	1.151676e+05
561866.047258	0.165480	2.979776e+03
561916.049008	0.313313	5.508460e+03
561966.050758	1.600184	7.448413e+03
562016.052509	0.266525	1.094148e+08
562066.054259	0.030729	2.626948e+08
562116.056009	0.000000	1.200000e+09
562166.057760	0.708225	7.035075e+03
562216.059510	1.766656	2.954938e+03
562266.061260	0.086561	1.222717e+05
562316.063011	2.149462	1.330410e+03
562366.064761	1.495952	1.077420e+03
562416.066511	0.620209	1.806117e+03
562466.068261	0.173122	4.017849e+07
562516.070012	0.028469	5.202238e+04
562566.071762	1.419959	1.244864e+03
562616.073512	1.178052	1.305529e+03
562666.075263	0.658648	3.521060e+03
562716.077013	0.199981	1.231582e+04
562766.078763	2.752161	3.634243e+06
562816.080513	2.443583	2.229098e+03
562866.082264	2.317230	1.069151e+03
562916.084014	1.661102	1.167282e+03
562966.085764	0.000000	3.181808e+05
563016.087515	0.000000	1.200000e+09
563066.089265	0.000000	2.701115e+06
563116.091015	0.081108	1.517675e+08
563166.092765	0.124651	1.209206e+04
563216.094516	0.997761	3.104768e+04
563266.096266	0.123206	2.803667e+04
563316.098016	0.418814	2.549068e+04
563366.099767	0.281295	3.795993e+04
563416.101517	0.066330	3.890479e+04
563466.103267	0.018061	2.597315e+05
563516.105018	0.064500	3.125262e+04
563566.106768	0.234136	7.043627e+03
563616.108518	0.001829	1.276381e+06
563666.110268	0.081545	1.817409e+05
563716.112019	0.007326	3.111938e+05
563766.113769	0.007314	3.025415e+04
563816.115519	0.263877	3.730720e+03
563866.117270	0.412160	5.492389e+03
563916.119020	0.959295	1.076846e+04
563966.120770	0.089760	1.853141e+08
564016.122520	0.088333	1.413655e+04
564066.124271	0.000001	2.255172e+04
564116.126021	0.000000	1.536059e+05
564166.127771	0.000000	1.717993e+05
564216.129522	0.000000	5.433284e+04
564266.131272	0.000000	3.226909e+04
564316.133022	0.000000	2.294960e+04
564366.134772	0.000000	1.780688e+04
564416.136523	0.004406	1.263965e+03
564466.138273	0.000000	1.229608e+04
564516.140023	0.000000	1.064837e+04
564566.141774	0.000000	9.390078e+03
564616.143524	0.000000	9.441067e+03
564666.145274	0.000000	1.071399e+04
564716.147025	0.000000	1.238366e+04
564766.148775	0.000000	1.466980e+04
564816.150525	0.000000	1.799114e+04
564866.152275	0.000000	2.325658e+04
564916.154026	0.000000	3.287932e+04
564966.155776	0.000000	5.608551e+04
565016.157526	0.000000	1.906364e+05
565066.159277	0.000000	2.802106e+05
565116.161027	0.000269	1.848708e+05
565166.162777	0.000000	8.109250e+06
565216.164527	0.000000	1.307566e+06
565266.166278	0.060696	6.606882e+04
565316.168028	1.470295	5.831709e+06
565366.169778	0.000519	3.626356e+08
565416.171529	0.053783	1.983107e+08
565466.173279	0.015289	2.823663e+05
565516.175029	0.016926	1.646890e+04
565566.176779	0.005140	3.067867e+04
565616.178530	0.109041	1.804691e+08
565666.180280	0.012095	4.915062e+04
565716.182030	0.015934	2.681054e+08
565766.183781	0.723981	5.583148e+07
565816.185531	0.725818	8.811032e+03
565866.187281	0.145997	1.416396e+08
565916.189032	0.000429	2.492474e+05
565966.190782	0.249159	1.536331e+05
566016.192532	0.000024	2.811571e+05
566066.194282	0.000000	1.200000e+09
566116.196033	0.569080	1.317470e+04
566166.197783	0.015325	2.691998e+08
566216.199533	2.466907	2.965158e+03
566266.201284	0.998251	8.025221e+04
566316.203034	3.308953	1.822650e+03
566366.204784	1.425826	4.126371e+03
566416.206534	0.165636	2.169623e+04
566466.208285	0.109027	1.538687e+04
566516.210035	0.003274	1.884342e+05
566566.211785	0.468780	2.796032e+03
566616.213536	0.017442	1.240581e+04
566666.215286	0.004065	5.200100e+04
566716.217036	0.000000	1.200000e+09
566766.218786	0.076158	8.843711e+03
566816.220537	0.276375	9.711548e+07
566866.222287	1.362131	8.818235e+03
566916.224037	0.036698	2.120792e+04
566966.225788	0.000000	1.200000e+09
567016.227538	0.511969	9.315148e+07
567066.229288	0.041742	7.085346e+04
567116.231039	0.122903	5.601947e+04
567166.232789	0.027576	1.665188e+05
567216.234539	0.562378	1.258901e+04
567266.236289	0.110678	1.620283e+08
567316.238040	2.046936	2.986430e+03
