location	LR	alpha
560726.000000	0.000000	1.200000e+09
560776.002407	0.714436	2.064420e+03
560826.004814	1.850951	3.469457e+03
560876.007222	0.270108	4.885274e+03
560926.009629	0.234006	3.171623e+07
560976.012036	0.024990	4.007627e+04
561026.014443	0.458423	1.726578e+04
561076.016850	2.432802	6.324780e+03
561126.019257	1.078477	3.509636e+03
561176.021665	0.000004	9.459125e+05
561226.024072	0.000004	1.139842e+06
561276.026479	0.000652	3.302496e+08
561326.028886	0.000004	7.700420e+04
561376.031293	0.544037	1.347455e+03
561426.033700	1.343432	3.524072e+03
561476.036108	0.000004	3.904734e+07
561526.038515	5.095022	8.405170e+02
561576.040922	4.875998	8.999859e+02
561626.043329	0.350812	1.409843e+03
561676.045736	0.917146	3.333837e+03
561726.048144	0.773930	3.170987e+07
561776.050551	0.000652	3.302496e+08
561826.052958	0.802792	9.623997e+03
561876.055365	0.460201	3.457096e+03
561926.057772	0.000004	2.347368e+05
561976.060179	2.078463	1.351722e+04
562026.062587	0.060481	1.631056e+08
562076.064994	0.000250	1.492913e+05
562126.067401	1.919405	4.668754e+03
562176.069808	1.279783	1.394086e+03
562226.072215	1.412660	1.376620e+03
562276.074623	1.300913	1.475732e+03
562326.077030	1.221044	1.804747e+03
562376.079437	0.000004	6.325019e+04
562426.081844	0.000004	1.304562e+05
562476.084251	0.006139	1.951737e+05
562526.086658	0.231012	2.409090e+05
562576.089066	0.188317	6.621005e+03
562626.091473	0.000004	3.509438e+04
562676.093880	0.000004	2.577697e+05
562726.096287	0.000007	7.490040e+04
562776.098694	0.234006	3.171623e+07
562826.101101	0.000004	6.447729e+05
562876.103509	0.000004	1.599469e+05
562926.105916	0.075173	1.469621e+04
562976.108323	0.000652	3.302496e+08
563026.110730	0.872282	2.819240e+04
563076.113137	0.075155	1.150545e+08
563126.115545	0.000254	1.105850e+05
563176.117952	0.075249	8.479055e+04
563226.120359	0.045271	3.602313e+04
563276.122766	0.029092	1.949386e+08
563326.125173	0.036031	1.126474e+04
563376.127580	0.253715	8.199255e+07
563426.129988	1.534157	6.549060e+03
563476.132395	0.373783	1.826461e+04
563526.134802	0.520849	3.393549e+07
563576.137209	0.765378	1.258048e+07
563626.139616	0.000799	3.421075e+08
563676.142023	0.000000	1.200000e+09
563726.144431	0.000000	1.200000e+09
563776.146838	0.851671	1.433989e+04
563826.149245	1.032721	4.124774e+03
563876.151652	0.544909	7.983273e+03
563926.154059	0.005520	1.418646e+05
563976.156467	0.192908	1.074426e+04
564026.158874	0.060481	1.631056e+08
564076.161281	0.006822	1.693946e+05
564126.163688	0.000000	4.761768e+05
564176.166095	0.066770	2.768847e+04
564226.168502	0.071256	4.101093e+04
564276.170910	0.053723	7.930430e+03
564326.173317	0.070439	5.026923e+03
564376.175724	0.080789	8.521051e+03
564426.178131	0.000000	1.200000e+09
564476.180538	0.000736	3.095645e+08
564526.182946	0.027196	6.588388e+04
564576.185353	0.000000	1.844042e+05
564626.187760	0.000000	5.487836e+04
564676.190167	0.001889	6.656436e+03
564726.192574	0.108129	2.989570e+03
564776.194981	0.606563	2.188070e+03
564826.197389	1.265373	2.269498e+03
564876.199796	1.852386	2.356604e+03
564926.202203	0.000000	3.560780e+06
564976.204610	0.344964	2.276196e+03
565026.207017	0.000473	1.244279e+04
565076.209424	0.000000	6.192710e+04
565126.211832	0.000000	2.267385e+05
565176.214239	0.000000	2.554396e+05
565226.216646	0.002816	2.539177e+08
565276.219053	0.082330	5.590514e+04
565326.221460	0.000788	3.297610e+08
565376.223868	0.154755	4.063227e+07
565426.226275	0.000000	4.942408e+05
565476.228682	0.000652	1.244154e+05
565526.231089	0.056515	2.142359e+04
565576.233496	0.060566	5.606290e+04
565626.235903	0.000000	4.618417e+05
565676.238311	0.000000	1.052719e+06
565726.240718	0.010882	2.234078e+08
565776.243125	0.001304	1.692740e+05
565826.245532	0.012660	2.127369e+08
565876.247939	0.015155	8.409731e+04
565926.250346	0.000027	4.553447e+05
565976.252754	0.000000	5.326815e+05
566026.255161	0.000000	2.434055e+05
566076.257568	0.000462	3.559555e+08
566126.259975	0.000000	1.433644e+06
566176.262382	0.000000	1.200000e+09
566226.264790	0.000000	1.200000e+09
566276.267197	0.000186	3.019312e+05
566326.269604	0.172345	7.426692e+04
566376.272011	0.000000	6.887745e+05
566426.274418	0.000609	1.104657e+05
566476.276825	0.000000	1.200000e+09
566526.279233	0.000000	2.265651e+05
566576.281640	0.000000	6.304703e+04
