location	LR	alpha
295020.000000	0.060204	2.396469e+08
295070.006802	0.034605	1.126549e+08
295120.013604	0.132771	4.995104e+04
295170.020406	0.000000	1.200000e+09
295220.027208	0.177702	2.427166e+08
295270.034010	0.002203	3.889439e+08
295320.040812	0.000000	1.200000e+09
295370.047614	0.000037	1.455252e+05
295420.054416	0.000000	3.027458e+05
295470.061218	0.211375	1.251541e+04
295520.068020	0.000000	1.068164e+06
295570.074822	0.000000	1.629950e+05
295620.081624	0.022424	3.158316e+08
295670.088427	0.000000	1.149191e+06
295720.095229	0.000000	1.200000e+09
295770.102031	0.000000	1.200000e+09
295820.108833	0.000000	1.200000e+09
295870.115635	0.000000	3.155011e+05
295920.122437	0.000000	1.200000e+09
295970.129239	0.098656	2.375842e+08
296020.136041	0.136640	3.679451e+04
296070.142843	0.341113	3.431705e+04
296120.149645	0.001941	2.255807e+05
296170.156447	0.570977	1.738452e+05
296220.163249	0.566285	3.960399e+04
296270.170051	0.000000	1.200000e+09
296320.176853	1.991423	9.039445e+03
296370.183655	5.708461	4.882014e+06
296420.190457	0.533888	6.229956e+04
296470.197259	0.010321	3.620657e+04
296520.204061	0.116782	1.620897e+06
296570.210863	0.004404	2.742400e+05
296620.217665	0.015101	5.100588e+04
296670.224467	0.001048	3.692097e+08
296720.231269	0.855856	3.305574e+07
296770.238071	0.623757	4.382424e+07
296820.244873	1.557460	3.208844e+07
296870.251676	0.336780	4.746878e+07
296920.258478	1.393251	2.364885e+07
296970.265280	0.020776	1.778223e+08
297020.272082	0.020501	1.132281e+05
297070.278884	0.000000	4.183332e+05
297120.285686	0.000000	3.150040e+05
297170.292488	0.062096	7.351229e+04
297220.299290	0.000000	4.691980e+05
297270.306092	1.418247	2.393208e+07
297320.312894	0.148274	2.566836e+08
297370.319696	0.157970	2.346467e+08
297420.326498	0.157621	2.105442e+04
297470.333300	0.000000	1.200000e+09
297520.340102	0.000000	1.200000e+09
297570.346904	0.873944	5.119789e+07
297620.353706	0.334865	6.230990e+03
297670.360508	0.000000	4.769058e+05
297720.367310	0.000000	1.386170e+06
297770.374112	0.402780	4.093675e+04
297820.380914	0.423463	1.920914e+04
297870.387716	0.093957	2.755175e+05
297920.394518	0.010244	3.772048e+04
297970.401320	0.000000	1.907812e+05
298020.408122	0.042452	1.968323e+04
298070.414924	0.059920	8.191812e+04
298120.421727	0.059920	2.471962e+08
298170.428529	0.000429	2.158447e+08
298220.435331	0.000000	1.200000e+09
298270.442133	0.016382	2.865387e+08
298320.448935	0.091930	1.694208e+05
298370.455737	0.006444	2.703574e+08
298420.462539	0.262366	1.678369e+08
298470.469341	0.617405	4.515464e+07
298520.476143	1.071346	1.345751e+04
298570.482945	0.046595	2.612108e+08
298620.489747	0.000000	3.133519e+05
298670.496549	0.000000	1.200000e+09
298720.503351	0.000000	7.152069e+05
298770.510153	0.027833	2.248115e+05
298820.516955	0.002749	1.329082e+05
298870.523757	1.010313	4.416588e+06
298920.530559	0.011990	2.070967e+08
298970.537361	0.000000	3.900450e+05
299020.544163	0.143421	2.133668e+08
299070.550965	0.249968	1.459903e+08
299120.557767	0.113552	1.823675e+08
299170.564569	0.966450	4.441286e+07
299220.571371	0.954388	4.038670e+07
299270.578173	0.000039	5.205046e+08
299320.584975	0.235938	1.910535e+08
299370.591778	0.002379	2.612843e+05
299420.598580	0.002379	1.030107e+05
299470.605382	0.005711	2.188676e+05
299520.612184	0.005711	1.269182e+05
299570.618986	0.082586	7.520998e+04
299620.625788	0.000000	5.904831e+05
299670.632590	0.690242	1.440940e+04
299720.639392	0.058793	1.926642e+04
299770.646194	0.038575	1.222195e+04
299820.652996	0.026474	9.010046e+03
299870.659798	0.019623	7.112354e+03
299920.666600	0.015914	5.808019e+03
299970.673402	0.027070	2.721752e+03
300020.680204	0.045715	2.426684e+03
300070.687006	0.063834	2.208654e+03
300120.693808	0.084318	2.065478e+03
300170.700610	0.101465	2.045398e+03
300220.707412	0.114465	2.195493e+03
300270.714214	0.115558	2.429295e+03
300320.721016	0.123235	3.022419e+03
300370.727818	0.161040	3.658653e+03
300420.734620	0.222867	4.552299e+03
300470.741422	0.318816	6.237926e+03
300520.748224	0.385040	1.216647e+04
300570.755027	0.347093	3.242152e+07
300620.761829	0.008055	1.418069e+08
300670.768631	0.277727	5.669249e+07
300720.775433	0.006175	2.789064e+08
300770.782235	0.092410	3.034684e+05
300820.789037	0.087817	1.608392e+04
300870.795839	0.000000	9.941602e+04
300920.802641	0.000000	3.583827e+05
300970.809443	0.000000	1.200000e+09
301020.816245	0.052845	7.472078e+04
301070.823047	0.056226	2.737922e+04
301120.829849	0.050072	1.349780e+05
301170.836651	0.369524	2.343739e+04
301220.843453	0.000436	3.284515e+06
301270.850255	0.000436	2.015790e+05
301320.857057	0.000073	1.571578e+05
301370.863859	0.042098	2.428952e+05
301420.870661	0.030425	1.247140e+08
301470.877463	0.071785	1.270233e+04
301520.884265	0.106361	6.806575e+03
301570.891067	0.176979	6.038263e+03
301620.897869	0.168548	9.628167e+03
301670.904671	0.169036	2.174245e+04
301720.911473	0.162293	5.345251e+05
301770.918275	0.011189	2.477553e+05
301820.925078	0.005317	7.379465e+04
301870.931880	0.125176	1.305906e+04
301920.938682	0.079658	1.407346e+05
301970.945484	0.079662	1.928125e+04
302020.952286	0.079761	1.035856e+04
302070.959088	0.079953	7.155449e+03
302120.965890	0.063923	6.932102e+03
302170.972692	0.028186	7.175030e+03
302220.979494	0.000000	2.056110e+04
302270.986296	0.000002	2.194122e+04
302320.993098	0.000023	2.586276e+04
302370.999900	0.000067	4.117799e+04
302421.006702	0.000070	1.871945e+05
302471.013504	0.000000	9.977544e+05
302521.020306	0.034581	2.188352e+08
302571.027108	0.154778	2.409108e+04
302621.033910	0.008681	1.415165e+04
302671.040712	0.000000	6.656692e+04
302721.047514	0.000000	4.345789e+04
302771.054316	0.117391	5.576260e+03
302821.061118	0.214443	7.056528e+03
302871.067920	0.333843	1.124627e+04
302921.074722	0.154224	4.338639e+04
302971.081524	0.147686	1.602808e+08
303021.088326	0.003144	5.057323e+05
303071.095129	0.010869	3.349405e+04
303121.101931	0.008597	3.306336e+08
303171.108733	0.000024	5.467019e+08
303221.115535	0.000000	1.200000e+09
303271.122337	0.006944	2.121418e+05
303321.129139	0.006910	2.967935e+04
303371.135941	0.006474	1.614708e+04
303421.142743	0.009646	1.063593e+04
303471.149545	0.011051	1.092011e+04
303521.156347	0.009152	1.686841e+04
303571.163149	0.007875	4.150109e+04
303621.169951	0.002138	3.730223e+08
303671.176753	0.002138	3.598694e+05
303721.183555	0.000000	1.348136e+06
303771.190357	0.000657	2.321845e+05
303821.197159	0.000562	3.051181e+04
303871.203961	0.002303	1.516444e+04
303921.210763	0.052063	9.195009e+03
303971.217565	0.313133	7.277134e+03
304021.224367	0.082704	9.332866e+03
304071.231169	0.001350	1.710349e+04
304121.237971	0.000000	6.125657e+04
304171.244773	0.000000	1.423909e+05
304221.251575	0.000000	1.200000e+09
304271.258378	0.056114	5.587104e+07
304321.265180	0.001955	1.002340e+05
304371.271982	0.000000	1.200000e+09
304421.278784	0.000000	2.279214e+05
304471.285586	0.015253	5.075865e+05
304521.292388	0.012234	2.309585e+04
304571.299190	0.003683	1.365703e+04
304621.305992	0.024248	9.445004e+03
304671.312794	0.148405	7.110196e+03
304721.319596	0.215091	8.861238e+03
304771.326398	0.094599	2.428202e+04
304821.333200	0.087141	1.199966e+08
304871.340002	0.006959	1.816421e+06
304921.346804	0.017138	2.750560e+08
304971.353606	0.000000	1.200000e+09
305021.360408	0.000000	1.200000e+09
305071.367210	0.000019	5.453660e+08
305121.374012	0.005554	3.745723e+08
305171.380814	0.006880	1.484020e+08
305221.387616	0.000000	1.472871e+05
305271.394418	0.487149	1.434288e+04
305321.401220	0.588544	2.447394e+04
305371.408022	0.000000	1.200000e+09
305421.414824	0.000486	4.756468e+08
305471.421626	0.004153	2.535990e+08
305521.428429	0.000000	1.200000e+09
305571.435231	0.010446	3.538143e+08
305621.442033	0.003690	3.581834e+08
305671.448835	0.001186	1.366317e+05
305721.455637	0.139452	2.567079e+04
305771.462439	0.000000	1.460808e+05
305821.469241	0.000000	1.200000e+09
305871.476043	0.000000	8.082548e+05
305921.482845	0.099606	4.309479e+04
305971.489647	0.837198	1.265816e+04
306021.496449	0.080614	6.022220e+04
306071.503251	0.083297	4.333308e+04
306121.510053	0.006100	2.726937e+08
306171.516855	0.035803	1.589505e+08
306221.523657	0.098695	5.880410e+04
306271.530459	0.000075	4.281082e+08
306321.537261	0.000075	4.963986e+04
306371.544063	0.000084	2.226049e+04
306421.550865	0.000709	1.200285e+04
306471.557667	0.003171	1.369807e+04
306521.564469	0.003513	2.663573e+04
306571.571271	0.003329	7.910959e+05
306621.578073	0.000641	1.320267e+05
306671.584875	0.000046	1.170980e+05
306721.591678	0.000000	1.200000e+09
306771.598480	0.000000	2.842675e+05
306821.605282	0.050495	3.128948e+04
306871.612084	0.000000	8.675482e+04
306921.618886	0.704598	1.033925e+04
306971.625688	0.934978	3.756168e+07
307021.632490	0.000002	6.483494e+08
307071.639292	0.000345	4.096944e+08
307121.646094	0.000357	5.270770e+04
307171.652896	0.402204	1.721102e+04
307221.659698	0.029822	2.115176e+08
307271.666500	0.000000	1.200000e+09
307321.673302	0.030190	5.565570e+07
307371.680104	0.020024	5.361015e+04
307421.686906	0.000870	5.978600e+04
307471.693708	0.000869	3.804784e+08
307521.700510	0.002955	2.689412e+08
307571.707312	1.283530	6.615465e+07
307621.714114	0.423694	1.479553e+05
307671.720916	0.000000	1.146673e+06
307721.727718	0.007355	2.970651e+08
307771.734520	0.021456	2.371102e+04
307821.741322	0.022297	1.943416e+08
307871.748124	0.000247	2.622404e+05
307921.754926	0.220349	4.074699e+07
307971.761729	0.000000	1.200000e+09
308021.768531	0.183077	1.762326e+05
308071.775333	0.103927	3.695955e+04
308121.782135	0.000000	3.304795e+06
308171.788937	0.000000	6.023802e+05
308221.795739	0.005153	3.382189e+08
308271.802541	0.000000	2.646172e+05
308321.809343	0.000000	1.200000e+09
308371.816145	0.024278	1.951172e+05
308421.822947	1.077028	3.316108e+07
308471.829749	0.350002	3.949269e+07
308521.836551	0.000000	1.200000e+09
308571.843353	0.000000	1.200000e+09
308621.850155	0.000000	3.070522e+05
308671.856957	0.005393	8.858005e+04
308721.863759	0.005333	3.206104e+08
308771.870561	0.005343	5.510320e+04
308821.877363	0.005930	1.311631e+05
308871.884165	0.005930	3.867879e+08
308921.890967	0.000000	3.545774e+05
308971.897769	0.014755	1.465058e+04
309021.904571	0.090490	1.376173e+04
309071.911373	0.144559	1.861991e+04
309121.918175	0.089295	4.146756e+07
309171.924977	0.000000	1.200000e+09
309221.931780	0.028833	1.204709e+05
309271.938582	0.291271	2.288965e+04
309321.945384	0.000000	1.200000e+09
309371.952186	3.252814	5.233227e+04
309421.958988	0.750441	9.321450e+03
309471.965790	0.000000	7.270258e+05
309521.972592	0.000000	2.969494e+05
309571.979394	3.253559	5.045418e+04
309621.986196	0.205760	1.042471e+04
309671.992998	0.493940	1.714634e+04
309721.999800	0.023098	6.525722e+04
309772.006602	0.021431	3.358055e+08
309822.013404	0.000000	1.200000e+09
309872.020206	0.000000	1.536530e+05
309922.027008	0.000000	1.200000e+09
309972.033810	0.000000	2.511509e+05
310022.040612	1.876275	4.472944e+03
310072.047414	1.874809	4.661344e+03
310122.054216	1.621009	4.332366e+03
310172.061018	1.146281	4.418261e+03
310222.067820	1.049950	5.554961e+03
310272.074622	0.803236	2.516385e+04
310322.081424	0.508670	2.345495e+07
310372.088226	0.114807	2.655320e+08
310422.095029	0.099582	6.281957e+04
310472.101831	0.156510	1.984754e+08
310522.108633	0.093372	1.550803e+08
310572.115435	0.255147	1.348265e+04
310622.122237	1.398452	1.450546e+07
310672.129039	0.016083	5.793290e+04
310722.135841	0.017096	1.282610e+08
310772.142643	0.000000	1.200000e+09
310822.149445	0.491111	6.916032e+07
310872.156247	0.232073	6.292152e+07
310922.163049	0.666959	8.482195e+07
310972.169851	1.057014	2.855248e+07
311022.176653	0.084036	9.882934e+07
311072.183455	0.200325	1.477430e+04
311122.190257	0.000000	2.520035e+05
311172.197059	0.203574	1.154850e+08
311222.203861	0.000000	7.270548e+05
311272.210663	0.000000	9.770827e+05
311322.217465	1.904918	1.991279e+04
311372.224267	0.088067	2.511683e+08
311422.231069	0.039216	2.585195e+08
311472.237871	0.042019	2.632666e+04
311522.244673	0.000000	1.254930e+05
311572.251475	0.000000	1.200000e+09
311622.258277	0.000857	2.888668e+05
311672.265080	0.106212	2.577086e+08
311722.271882	0.092607	4.711899e+04
311772.278684	0.000000	1.200000e+09
311822.285486	0.000000	2.445620e+05
311872.292288	0.000000	1.200000e+09
311922.299090	0.140976	1.996925e+08
311972.305892	0.009844	2.741585e+08
312022.312694	0.175380	2.166223e+08
312072.319496	0.360779	1.590819e+04
312122.326298	0.032994	1.209030e+04
312172.333100	0.000000	1.114717e+05
312222.339902	0.000000	4.674301e+05
312272.346704	0.276987	4.316754e+07
312322.353506	0.000000	2.308363e+05
312372.360308	0.000657	5.769749e+04
312422.367110	0.000393	2.403893e+04
312472.373912	0.000099	1.803955e+04
312522.380714	0.000016	1.569842e+04
312572.387516	0.000002	1.477201e+04
312622.394318	0.000000	1.420559e+04
312672.401120	0.000000	1.411111e+04
312722.407922	0.000000	1.368397e+04
312772.414724	0.000000	1.385425e+04
312822.421526	0.000000	1.256042e+04
312872.428328	0.000000	1.148760e+04
312922.435131	0.000000	1.125521e+04
312972.441933	0.000000	1.228311e+04
313022.448735	0.000000	1.351763e+04
313072.455537	0.000000	1.502804e+04
313122.462339	0.000000	1.691844e+04
313172.469141	0.000000	1.935286e+04
313222.475943	0.000000	2.260562e+04
313272.482745	0.000000	2.717271e+04
313322.489547	0.000000	3.405246e+04
313372.496349	0.000000	4.559694e+04
313422.503151	0.000000	6.898392e+04
313472.509953	0.000000	1.416237e+05
313522.516755	0.000000	1.048970e+06
313572.523557	0.000010	5.521343e+08
313622.530359	0.019725	1.761172e+08
313672.537161	0.000000	1.200000e+09
313722.543963	0.195013	2.206196e+08
313772.550765	0.024071	2.734131e+08
313822.557567	0.293186	4.451297e+07
313872.564369	0.385608	1.656056e+07
313922.571171	0.434279	1.316354e+04
313972.577973	0.707319	3.354479e+07
314022.584775	0.000000	5.972362e+08
314072.591577	0.000000	1.200000e+09
314122.598380	0.758331	5.733745e+07
314172.605182	0.000000	1.200000e+09
314222.611984	0.245572	1.789729e+08
314272.618786	0.005172	8.812702e+05
314322.625588	0.048614	3.636706e+04
314372.632390	0.541233	8.557166e+03
314422.639192	0.602335	1.181003e+05
314472.645994	0.689453	2.432857e+04
314522.652796	0.096171	2.249407e+08
314572.659598	0.109109	3.381663e+03
314622.666400	0.367744	4.661593e+03
314672.673202	0.389805	1.850415e+07
314722.680004	1.163906	7.365452e+03
314772.686806	0.103771	1.105882e+08
314822.693608	0.000000	2.760197e+05
314872.700410	0.000000	2.968947e+05
314922.707212	0.077194	2.090499e+05
314972.714014	0.087058	2.538799e+05
315022.720816	0.000000	4.198257e+05
315072.727618	0.047333	1.666270e+08
315122.734420	5.565599	1.446867e+04
315172.741222	0.277501	2.431363e+04
315222.748024	0.462527	1.168154e+08
315272.754826	0.075929	1.542721e+08
315322.761628	0.138646	1.249142e+08
315372.768431	0.317524	2.202642e+04
315422.775233	0.225800	9.882901e+07
315472.782035	0.231611	1.203856e+08
315522.788837	0.070662	7.711511e+05
315572.795639	0.420787	1.095817e+08
315622.802441	0.194990	1.276022e+08
315672.809243	0.191580	2.245253e+04
315722.816045	0.031876	1.117579e+06
315772.822847	0.066003	2.029662e+04
315822.829649	0.089388	4.105247e+04
315872.836451	0.089390	1.177472e+05
315922.843253	0.044382	2.298174e+04
315972.850055	0.671697	5.738862e+03
316022.856857	0.468212	1.662389e+07
316072.863659	0.174096	1.108058e+08
316122.870461	1.643329	2.081481e+04
316172.877263	0.050051	2.154894e+08
316222.884065	0.000000	1.200000e+09
316272.890867	0.105613	1.106881e+04
316322.897669	0.368290	9.271409e+03
316372.904471	0.651332	2.703681e+03
316422.911273	1.201481	3.648486e+03
316472.918075	3.918019	4.712175e+03
316522.924877	1.141996	1.224437e+04
316572.931680	0.000000	1.200000e+09
316622.938482	0.000000	4.322159e+05
316672.945284	0.354333	9.785583e+03
316722.952086	0.544343	1.757784e+04
316772.958888	0.429343	2.973475e+03
316822.965690	0.084107	1.358644e+04
316872.972492	0.044810	9.275330e+03
316922.979294	0.000000	1.200000e+09
316972.986096	0.597024	4.346650e+07
317022.992898	0.000000	2.400948e+05
317072.999700	0.185837	1.729862e+04
317123.006502	0.399821	7.750850e+03
317173.013304	0.037201	3.746905e+04
317223.020106	0.038811	5.540176e+04
317273.026908	0.425710	8.456681e+07
317323.033710	2.092142	1.696168e+07
317373.040512	0.000000	1.200000e+09
317423.047314	0.000000	1.200000e+09
317473.054116	0.077582	7.969858e+03
317523.060918	0.143899	1.418003e+04
317573.067720	0.009126	5.023961e+04
317623.074522	0.009137	2.130458e+08
317673.081324	0.000000	1.200000e+09
317723.088126	0.039657	8.432774e+04
317773.094928	0.161316	2.194822e+04
317823.101731	0.688986	6.974234e+03
317873.108533	2.054474	4.908737e+03
317923.115335	0.688676	5.473196e+07
317973.122137	0.689732	4.891454e+04
318023.128939	0.262533	2.794081e+04
318073.135741	0.024425	7.510605e+04
318123.142543	0.884362	1.568137e+04
318173.149345	1.743068	2.807727e+03
318223.156147	0.260053	2.626617e+04
318273.162949	0.680855	4.404818e+07
318323.169751	0.444780	4.645630e+04
318373.176553	0.449107	3.225074e+04
318423.183355	2.837937	3.089533e+03
318473.190157	1.795118	1.090570e+04
318523.196959	1.502016	2.851145e+07
318573.203761	0.046660	1.999492e+05
318623.210563	0.191320	5.162997e+07
318673.217365	0.000000	7.025417e+05
318723.224167	0.603353	1.291170e+04
318773.230969	0.200784	2.164198e+05
318823.237771	0.107334	4.000283e+04
318873.244573	0.000000	1.200000e+09
318923.251375	1.495063	4.234835e+07
318973.258177	3.591981	4.162280e+03
319023.264979	3.949171	2.554890e+03
319073.271782	1.906721	1.450539e+07
319123.278584	2.520809	3.837647e+03
319173.285386	0.209272	8.919083e+07
319223.292188	0.209272	1.361878e+05
319273.298990	1.562120	7.116193e+03
319323.305792	0.093666	1.288962e+04
319373.312594	0.032817	4.594368e+07
319423.319396	0.000000	1.200000e+09
319473.326198	0.000000	1.200000e+09
319523.333000	0.000000	1.037586e+06
319573.339802	0.021763	2.361476e+08
319623.346604	0.000000	4.298890e+05
319673.353406	0.000000	4.589094e+05
319723.360208	0.065198	5.017986e+04
319773.367010	0.000000	1.200000e+09
319823.373812	0.871087	4.398352e+07
319873.380614	2.554013	1.376688e+07
319923.387416	3.215573	2.411976e+07
319973.394218	0.182688	5.762653e+07
320023.401020	0.044028	1.133082e+08
320073.407822	2.800434	2.349608e+07
320123.414624	1.354803	2.919523e+04
320173.421426	1.529354	5.087838e+07
320223.428228	0.617484	3.327590e+03
320273.435031	0.000000	1.549234e+05
320323.441833	0.000000	1.200000e+09
320373.448635	0.000000	1.200000e+09
320423.455437	0.537910	4.301162e+07
320473.462239	0.079437	7.265282e+07
320523.469041	1.115675	9.507471e+06
320573.475843	0.362356	1.615147e+04
320623.482645	0.245123	5.761127e+03
320673.489447	0.320618	7.268861e+03
320723.496249	0.269861	2.309187e+04
320773.503051	0.266935	9.595350e+07
320823.509853	0.890944	1.020308e+04
320873.516655	0.775814	1.331932e+04
320923.523457	0.206191	1.062866e+05
320973.530259	0.815699	1.659060e+04
321023.537061	0.379146	2.381554e+04
321073.543863	0.486949	8.294108e+07
321123.550665	0.023801	2.640037e+04
321173.557467	0.021328	1.262899e+08
321223.564269	0.403549	5.012037e+07
321273.571071	0.890562	2.902265e+04
321323.577873	0.394926	4.279676e+07
321373.584675	0.043850	1.973150e+08
321423.591477	0.292161	1.961956e+04
321473.598279	0.496922	2.666955e+04
321523.605082	0.000000	4.840694e+05
321573.611884	0.081089	4.503017e+04
321623.618686	0.828259	1.090128e+04
