location	LR	alpha
4446.000000	108.072661	5.147087e+01
4496.003316	49.464262	5.486355e+01
4546.006632	49.464262	5.486355e+01
4596.009948	0.695651	2.355021e+07
4646.013264	0.695651	2.355021e+07
4696.016579	71.387815	6.094698e+01
4746.019895	41.639893	6.228219e+01
4796.023211	72.707247	6.398764e+01
4846.026527	40.318124	6.724059e+01
4896.029843	40.318124	6.724059e+01
4946.033159	4.970173	8.562582e+06
4996.036475	4.970173	8.562582e+06
5046.039791	66.820947	7.804340e+01
5096.043107	64.483328	8.377553e+01
5146.046422	67.119105	8.915134e+01
5196.049738	24.505808	9.144565e+01
5246.053054	58.810501	9.350964e+01
5296.056370	32.714089	9.684041e+01
5346.059686	2.089485	1.758691e+07
5396.063002	74.835342	9.746937e+01
5446.066318	80.439733	9.802641e+01
5496.069634	84.029142	9.893763e+01
5546.072950	86.317154	1.001567e+02
5596.076265	87.645586	1.016520e+02
5646.079581	88.189889	1.034056e+02
5696.082897	88.030143	1.054101e+02
5746.086213	87.173890	1.076774e+02
5796.089529	85.550378	1.102310e+02
5846.092845	82.965087	1.131056e+02
5896.096161	78.942069	1.163574e+02
5946.099477	71.966840	1.200961e+02
5996.102793	12.117254	1.234077e+02
6046.106108	12.117254	1.234077e+02
6096.109424	1.112686	1.897951e+07
6146.112740	1.112686	1.897951e+07
6196.116056	66.643175	1.381842e+02
6246.119372	60.833397	1.418932e+02
6296.122688	0.749975	2.197226e+07
6346.126004	0.749975	2.197226e+07
6396.129320	63.786475	1.637041e+02
6446.132636	34.032086	1.680430e+02
6496.135952	34.032086	1.680430e+02
6546.139267	5.416639	7.454178e+06
6596.142583	5.416639	7.454178e+06
6646.145899	24.339520	2.028529e+02
6696.149215	24.339520	2.028529e+02
6746.152531	61.226965	2.139886e+02
6796.155847	30.322446	2.203235e+02
6846.159163	30.322446	2.203235e+02
6896.162479	9.289368	2.569052e+02
6946.165795	9.289368	2.569052e+02
6996.169110	5.615721	5.793681e+06
7046.172426	5.615721	5.793681e+06
7096.175742	2.232871	5.698229e+04
7146.179058	2.232170	1.623137e+07
7196.182374	29.404470	4.554941e+02
7246.185690	29.404470	4.554941e+02
7296.189006	39.575982	5.092371e+02
7346.192322	22.882798	5.805685e+02
7396.195638	22.882798	5.805685e+02
7446.198953	0.873734	1.081393e+07
7496.202269	9.968551	1.332403e+03
7546.205585	2.257647	3.552707e+07
7596.208901	2.257647	3.552707e+07
7646.212217	3.012370	1.062184e+04
7696.215533	1.125668	4.286443e+07
7746.218849	1.125668	4.286443e+07
7796.222165	1.442195	1.290719e+07
7846.225481	1.442195	1.290719e+07
7896.228796	1.786171	4.624631e+07
7946.232112	1.786171	4.624631e+07
7996.235428	1.808450	3.640308e+07
8046.238744	1.816982	4.619215e+04
8096.242060	6.431711	4.683610e+03
8146.245376	3.651070	2.647109e+07
8196.248692	3.639305	2.620565e+04
8246.252008	0.205004	3.197519e+07
8296.255324	0.205004	3.197519e+07
8346.258639	2.642432	1.261232e+07
8396.261955	2.642432	1.261232e+07
8446.265271	0.225598	1.181262e+05
8496.268587	0.225598	4.339536e+07
8546.271903	0.225598	4.339536e+07
8596.275219	1.862685	2.937771e+07
8646.278535	1.862685	2.937771e+07
8696.281851	1.302471	2.860757e+07
8746.285167	1.302471	2.860757e+07
8796.288482	2.886401	2.366918e+07
8846.291798	2.886401	2.366918e+07
8896.295114	5.035466	5.185722e+03
8946.298430	1.244783	3.462494e+07
8996.301746	1.244783	9.477015e+04
9046.305062	6.333915	1.197563e+03
9096.308378	0.983785	1.039316e+07
9146.311694	3.654842	7.138770e+02
9196.315010	14.133786	7.070818e+02
9246.318325	16.175342	7.631062e+02
9296.321641	16.013176	9.127041e+02
9346.324957	7.423273	1.373379e+03
9396.328273	0.654351	2.400808e+07
9446.331589	0.654351	2.400808e+07
9496.334905	2.480130	2.983668e+07
9546.338221	2.480130	2.983668e+07
9596.341537	0.082264	2.044323e+08
9646.344853	0.082264	2.044323e+08
9696.348168	0.186042	2.401863e+05
9746.351484	0.186042	3.727643e+07
9796.354800	0.979720	2.581234e+03
9846.358116	0.029869	9.211955e+05
9896.361432	0.029869	1.326979e+06
9946.364748	16.524241	4.632834e+02
9996.368064	22.807299	4.147992e+02
10046.371380	7.627526	1.858843e+04
10096.374696	7.399332	1.361156e+07
10146.378012	7.399218	5.401751e+04
10196.381327	7.392941	5.209338e+06
10246.384643	7.392941	5.209338e+06
10296.387959	49.280474	2.619146e+02
10346.391275	51.401317	2.538279e+02
10396.394591	51.097644	2.484774e+02
10446.397907	48.936595	2.450781e+02
10496.401223	44.287133	2.432943e+02
10546.404539	33.967057	2.430145e+02
10596.407855	0.046773	2.120505e+08
10646.411170	0.000015	5.454459e+08
10696.414486	0.000015	5.454459e+08
10746.417802	3.973919	1.638531e+07
10796.421118	3.973919	1.638531e+07
10846.424434	18.671423	2.500977e+02
10896.427750	1.006621	2.486588e+07
10946.431066	27.749518	2.516778e+02
10996.434382	34.639400	2.550579e+02
11046.437698	34.534060	2.625930e+02
11096.441013	30.010402	2.760186e+02
11146.444329	20.281299	3.018000e+02
11196.447645	1.254627	7.306442e+03
11246.450961	0.881787	2.694891e+07
11296.454277	2.972919	3.674521e+03
11346.457593	1.414918	2.426678e+07
11396.460909	2.614616	4.358702e+03
11446.464225	6.031289	1.415532e+03
11496.467541	2.466571	1.092753e+04
11546.470856	0.627362	2.627722e+07
11596.474172	0.627362	2.627722e+07
11646.477488	4.927739	1.526950e+03
11696.480804	6.850920	1.378734e+03
11746.484120	0.723117	2.604452e+07
11796.487436	7.494602	1.627023e+07
11846.490752	7.494602	1.627023e+07
11896.494068	1.541398	1.702502e+07
11946.497384	1.541398	1.702502e+07
11996.500699	15.660572	1.015945e+03
12046.504015	1.779840	1.934100e+07
12096.507331	8.948947	1.990345e+03
12146.510647	3.691587	1.708108e+07
12196.513963	3.691587	1.708108e+07
12246.517279	0.961654	2.242507e+07
12296.520595	0.961654	2.242507e+07
12346.523911	6.412227	1.015762e+03
12396.527227	0.030318	9.584833e+05
12446.530542	0.030318	2.468867e+08
12496.533858	0.206814	3.272985e+07
12546.537174	0.206814	3.272985e+07
12596.540490	11.299250	9.382460e+02
12646.543806	4.297387	2.381366e+06
12696.547122	1.101319	1.844116e+07
12746.550438	1.101319	1.844116e+07
12796.553754	1.129471	2.483616e+04
12846.557070	3.859870	2.106224e+03
12896.560385	0.936897	2.535344e+04
12946.563701	2.702799	2.043326e+03
12996.567017	3.134258	2.005437e+03
13046.570333	1.784691	2.455588e+03
13096.573649	1.013886	3.490713e+03
13146.576965	0.641266	4.969963e+03
13196.580281	0.642327	8.891803e+03
13246.583597	0.538981	3.469802e+04
13296.586913	0.529878	6.844350e+07
13346.590228	0.636154	1.935520e+04
13396.593544	0.236980	1.143572e+08
13446.596860	0.236980	1.143572e+08
13496.600176	0.239279	4.515577e+04
13546.603492	0.002399	1.680616e+05
13596.606808	0.085932	6.943828e+03
13646.610124	0.145752	5.634120e+03
13696.613440	0.055376	5.199300e+03
13746.616756	0.273565	2.898698e+03
13796.620071	0.796651	2.395239e+03
13846.623387	1.311937	2.106833e+03
13896.626703	1.866337	1.781541e+03
13946.630019	2.228023	1.765407e+03
13996.633335	1.875125	2.021652e+03
14046.636651	0.805398	4.569085e+03
14096.639967	0.221927	2.731435e+04
14146.643283	1.102774	7.003856e+03
14196.646599	1.496264	2.375559e+07
14246.649915	1.496264	2.375559e+07
14296.653230	1.597965	8.285734e+03
14346.656546	3.163631	2.052417e+03
14396.659862	0.066438	3.010218e+07
14446.663178	4.094414	1.647526e+06
14496.666494	2.210574	3.096879e+03
14546.669810	0.047951	5.914495e+04
14596.673126	0.047585	1.710482e+08
14646.676442	0.042483	5.563877e+04
14696.679758	5.542523	1.020202e+02
14746.683073	14.096573	9.863265e+01
14796.686389	20.208867	9.617193e+01
14846.689705	25.188331	9.437692e+01
14896.693021	19.629854	9.002206e+01
14946.696337	19.629854	9.002206e+01
14996.699653	38.500817	8.822798e+01
15046.702969	36.239811	8.570792e+01
15096.706285	52.396923	8.418084e+01
15146.709601	57.624677	8.351998e+01
15196.712916	57.624677	8.351998e+01
15246.716232	64.611761	8.090503e+01
15296.719548	65.160363	8.070081e+01
15346.722864	67.486153	7.941835e+01
15396.726180	68.520690	7.884308e+01
15446.729496	68.520690	7.884308e+01
15496.732812	68.749919	7.770756e+01
15546.736128	67.559801	7.710569e+01
15596.739444	65.380718	7.697227e+01
15646.742759	61.297054	7.694980e+01
15696.746075	51.275440	7.718875e+01
15746.749391	1.008563	2.030958e+07
15796.752707	1.008563	2.030958e+07
15846.756023	55.725036	7.694613e+01
15896.759339	52.639831	7.696097e+01
15946.762655	60.445770	7.683852e+01
15996.765971	62.388353	7.677883e+01
16046.769287	62.855565	7.686946e+01
16096.772602	62.389483	7.731930e+01
16146.775918	61.173513	7.789432e+01
16196.779234	59.266172	7.862962e+01
16246.782550	56.676366	7.984473e+01
16296.785866	53.358862	8.147902e+01
16346.789182	49.241008	8.423977e+01
16396.792498	44.209565	9.086647e+01
16446.795814	38.247564	1.098187e+02
16496.799130	31.077904	1.248279e+02
16546.802445	22.118511	1.561564e+02
16596.805761	12.119158	2.047138e+02
16646.809077	1.911789	2.273711e+03
16696.812393	0.011124	3.369080e+07
16746.815709	0.021139	3.505294e+04
16796.819025	3.124472	1.666444e+06
16846.822341	0.264062	2.699729e+04
16896.825657	0.018390	2.216538e+08
16946.828973	0.018390	2.216538e+08
16996.832288	2.437200	1.704302e+07
17046.835604	2.437200	1.704302e+07
17096.838920	2.437200	1.704302e+07
17146.842236	0.328503	2.652687e+07
17196.845552	0.328503	2.652687e+07
17246.848868	17.799556	3.456830e+02
17296.852184	25.671373	3.348936e+02
17346.855500	28.663105	3.194308e+02
17396.858816	28.884271	3.195837e+02
17446.862131	29.612358	3.162058e+02
17496.865447	28.058773	3.241144e+02
17546.868763	24.128198	3.946940e+02
