location	LR	alpha
900007.000000	2.469036	7.407488e-02
900057.003445	0.249679	1.636215e-01
900107.006890	3.164236	1.555205e-02
900157.010336	0.000000	3.007773e+00
900207.013781	0.164649	5.513253e-02
900257.017226	0.269952	7.375889e-02
900307.020671	0.223950	2.048201e-01
900357.024116	0.718339	1.990705e-02
900407.027562	0.310893	1.064008e+00
900457.031007	0.000000	3.870108e+02
900507.034452	0.073402	1.248671e-01
900557.037897	0.172196	1.893038e-02
900607.041343	2.321322	5.200467e-02
900657.044788	0.851428	3.064869e-02
900707.048233	0.033218	3.058399e-01
900757.051678	1.309843	3.600163e-02
900807.055123	0.033755	2.687491e-02
900857.058569	1.118188	5.024608e-02
900907.062014	0.000000	4.084431e+00
900957.065459	0.603732	2.826838e-02
901007.068904	2.913812	4.431583e-02
901057.072349	0.003618	1.372608e+00
901107.075795	0.370786	1.162457e-01
901157.079240	1.555980	2.099723e-02
901207.082685	0.000000	2.440357e+00
901257.086130	0.584675	7.816160e-03
901307.089575	0.491900	6.929053e-03
901357.093021	0.086966	7.950201e-03
901407.096466	0.000000	1.938500e-01
901457.099911	0.000000	1.008396e+00
901507.103356	1.560103	4.310011e-01
901557.106802	0.584363	3.383316e-01
901607.110247	1.198036	2.297702e+00
901657.113692	0.066225	7.906963e-02
901707.117137	0.000000	2.914648e+00
901757.120582	0.820863	1.834409e-02
901807.124028	0.321315	1.311913e-02
901857.127473	0.168327	8.916157e-03
901907.130918	0.235813	7.085378e-03
901957.134363	0.046711	7.933828e-03
902007.137808	0.000000	8.707744e+01
902057.141254	0.159702	6.284123e-02
902107.144699	1.749933	3.251989e-02
902157.148144	2.562504	1.544292e-02
902207.151589	0.003917	2.503176e-01
902257.155034	0.012581	1.468583e+01
902307.158480	0.000000	1.948533e+00
902357.161925	1.243006	3.913534e-02
902407.165370	1.681729	2.533654e-02
902457.168815	1.487185	1.317186e-02
902507.172261	2.145736	5.698938e-03
902557.175706	3.428181	3.977707e-03
902607.179151	4.578102	4.174255e-03
902657.182596	3.637267	2.622384e-02
902707.186041	2.352445	1.011978e-01
902757.189487	0.003665	3.943976e-01
902807.192932	0.799035	5.530558e-02
902857.196377	0.089184	8.377677e+00
902907.199822	0.398905	4.465894e+00
902957.203267	2.898842	1.730965e-02
903007.206713	0.457305	1.194310e-02
903057.210158	0.000000	1.664319e+00
903107.213603	0.003618	1.592324e+00
903157.217048	0.000000	1.174508e+00
903207.220493	0.000000	2.460050e-01
903257.223939	0.000000	9.804415e+00
903307.227384	0.000000	2.342498e-01
903357.230829	0.000000	2.943401e-01
903407.234274	0.000000	3.186637e+00
903457.237719	0.127368	2.545486e-01
903507.241165	0.000000	1.456105e+00
903557.244610	0.000000	2.060277e-01
903607.248055	0.000000	1.108565e-01
903657.251500	0.000000	1.975358e-01
903707.254946	0.000000	1.116793e+00
903757.258391	0.000000	2.090007e+00
903807.261836	0.000000	2.280574e+00
903857.265281	0.000000	2.908015e-01
903907.268726	0.000000	1.314799e-01
903957.272172	0.000014	3.913823e-02
904007.275617	0.120677	1.257622e-02
904057.279062	0.879427	8.128236e-03
904107.282507	1.352267	1.089608e-02
904157.285952	0.439257	5.374974e-02
904207.289398	0.000146	1.450708e-01
904257.292843	0.012581	6.914422e-01
904307.296288	0.443874	6.448083e-01
904357.299733	0.608859	6.128947e-02
904407.303178	0.295602	4.565173e-02
904457.306624	0.009077	1.116993e-01
904507.310069	0.155774	1.683316e-01
904557.313514	0.000000	2.560555e+00
904607.316959	0.131085	1.066286e+00
904657.320405	0.003599	6.594755e-01
904707.323850	0.000849	5.999839e-02
904757.327295	0.064759	1.336124e-02
904807.330740	0.278366	9.030729e-03
904857.334185	0.233853	1.046967e-02
904907.337631	0.145233	1.723207e-02
904957.341076	0.098118	4.410937e-02
905007.344521	0.000000	3.483097e+01
905057.347966	0.000000	1.840396e+01
905107.351411	0.003651	6.103392e-01
905157.354857	0.000000	4.536616e+00
905207.358302	2.381553	1.463020e-02
905257.361747	0.398908	3.382434e-01
905307.365192	2.024934	1.271554e-02
905357.368637	0.000000	1.900652e+01
905407.372083	0.003618	1.082425e+00
905457.375528	0.432545	4.567329e-03
905507.378973	0.634788	1.885432e-02
905557.382418	0.000000	3.137925e+01
905607.385864	0.085250	1.478503e-01
905657.389309	0.000000	1.033530e+00
905707.392754	1.280216	2.543105e-03
905757.396199	2.651678	2.524575e-03
905807.399644	2.866636	5.034712e-03
905857.403090	0.000000	2.977006e+01
905907.406535	0.003619	2.258716e-01
905957.409980	1.566031	4.131069e-02
906007.413425	0.003619	7.931018e-01
906057.416870	0.108212	9.661802e-01
906107.420316	0.000000	2.620268e+00
906157.423761	0.303191	1.560743e-01
906207.427206	0.000000	8.408037e+00
906257.430651	0.148573	1.142533e-01
906307.434096	0.000000	2.764363e+01
906357.437542	0.000000	2.133492e+01
906407.440987	0.003618	1.730166e-01
906457.444432	0.000000	2.887700e-01
906507.447877	0.003618	1.964616e+00
906557.451323	0.004635	5.974875e-01
906607.454768	0.000000	7.765825e+00
906657.458213	2.070458	1.133667e-01
906707.461658	0.599302	1.242590e-01
906757.465103	0.721808	2.400468e-02
906807.468549	5.299411	8.995515e-03
906857.471994	3.982099	6.743285e-03
906907.475439	0.003618	5.422673e+00
906957.478884	1.167175	6.700185e-02
907007.482329	0.003629	1.835695e-01
907057.485775	0.003618	1.144320e+00
907107.489220	0.007921	1.813461e-01
907157.492665	0.002911	4.565070e-01
907207.496110	0.099930	4.546342e-01
907257.499555	0.000000	3.428136e+00
907307.503001	0.000000	8.886914e-01
907357.506446	1.654279	1.261937e-02
907407.509891	2.601876	1.216050e-02
907457.513336	0.962578	6.745511e-01
907507.516782	0.209026	7.660075e-02
907557.520227	0.172414	1.244828e-01
907607.523672	0.123784	1.465235e-01
907657.527117	3.349416	1.332737e-02
907707.530562	4.616492	1.410301e-02
907757.534008	0.107201	4.871053e-02
907807.537453	0.000000	7.805119e+00
907857.540898	0.000000	2.218533e+01
907907.544343	0.000000	3.472568e+00
907957.547788	0.000000	2.163025e+00
908007.551234	0.000000	1.611005e+00
908057.554679	0.456952	1.513390e-02
908107.558124	0.000000	2.632662e+00
908157.561569	0.000000	2.136869e+01
908207.565014	0.089184	2.911754e+00
908257.568460	1.287016	3.726260e-01
908307.571905	0.179828	1.256534e-01
908357.575350	0.630630	9.824755e-03
