location	LR	alpha
1850827.000000	1.708639	2.052900e+04
1850877.005899	0.216215	2.133145e+08
1850927.011799	0.346782	2.284037e+04
1850977.017698	0.854414	9.637387e+03
1851027.023598	0.612892	8.737936e+03
1851077.029497	0.053886	5.649309e+04
1851127.035396	0.000000	1.200000e+09
1851177.041296	0.104572	1.981605e+08
1851227.047195	0.130335	4.160813e+07
1851277.053095	0.398210	4.013484e+07
1851327.058994	1.285752	1.852806e+07
1851377.064894	2.840663	1.217463e+07
1851427.070793	4.793734	3.576209e+03
1851477.076692	0.367408	1.208289e+08
1851527.082592	0.000000	1.200000e+09
1851577.088491	3.144339	4.512498e+06
1851627.094391	1.089985	7.136704e+06
1851677.100290	1.622029	7.558450e+03
1851727.106189	0.526431	2.640006e+04
1851777.112089	0.317915	1.422317e+08
1851827.117988	0.109276	1.309294e+05
1851877.123888	0.020666	3.751402e+04
1851927.129787	0.051724	7.276394e+04
1851977.135686	0.077870	2.255901e+08
1852027.141586	0.064322	5.514660e+04
1852077.147485	0.502541	4.719511e+07
1852127.153385	0.162893	2.498673e+08
1852177.159284	0.097739	1.784133e+08
1852227.165183	0.000038	5.418965e+08
1852277.171083	0.832396	5.236468e+07
1852327.176982	0.110038	1.205765e+05
1852377.182882	0.208957	1.996455e+08
1852427.188781	0.461520	3.577610e+07
1852477.194681	0.927908	4.184137e+07
1852527.200580	0.254875	6.424289e+03
1852577.206479	0.107863	2.570513e+04
1852627.212379	0.088003	9.549177e+04
1852677.218278	0.255986	2.770703e+04
1852727.224178	0.049718	5.532024e+04
1852777.230077	0.053014	7.084326e+04
1852827.235976	1.285039	1.495132e+05
1852877.241876	1.057852	3.435200e+06
1852927.247775	1.514404	3.495864e+03
1852977.253675	0.733813	3.398693e+03
1853027.259574	0.332995	5.164234e+03
1853077.265473	0.104494	7.378257e+03
1853127.271373	0.032479	1.340281e+04
1853177.277272	0.016516	1.856599e+05
1853227.283172	1.482279	3.949435e+07
1853277.289071	0.000000	1.200000e+09
1853327.294971	0.083790	1.735323e+05
1853377.300870	0.395451	8.967169e+04
1853427.306769	1.293785	8.686451e+03
1853477.312669	0.123205	1.859460e+05
1853527.318568	0.000063	4.774511e+05
1853577.324468	0.000063	4.589034e+04
1853627.330367	0.000074	2.380090e+04
1853677.336266	0.000133	1.525686e+04
1853727.342166	0.000315	1.068123e+04
1853777.348065	0.000906	7.779421e+03
1853827.353965	0.006347	5.565484e+03
1853877.359864	0.016732	4.815504e+03
1853927.365763	0.042719	3.639022e+03
1853977.371663	0.073704	4.108887e+03
1854027.377562	0.137258	5.079563e+03
1854077.383462	1.018298	6.503612e+03
1854127.389361	0.018941	1.249076e+04
1854177.395260	0.000000	1.998170e+05
1854227.401160	0.000000	2.765489e+05
1854277.407059	0.000000	7.140095e+04
1854327.412959	0.000000	4.100780e+04
1854377.418858	0.000000	2.875472e+04
1854427.424758	0.000000	2.213454e+04
1854477.430657	0.000000	1.800038e+04
1854527.436556	0.000001	1.119784e+04
1854577.442456	0.000000	1.388021e+04
1854627.448355	0.000000	1.830421e+04
1854677.454255	0.000000	2.589332e+04
1854727.460154	0.000000	4.137845e+04
1854777.466053	0.000000	9.965768e+04
1854827.471953	0.000000	7.634483e+08
1854877.477852	0.145366	1.148422e+08
1854927.483752	0.251253	2.274284e+04
1854977.489651	0.183312	1.285746e+08
1855027.495550	0.034701	9.785152e+07
1855077.501450	0.156849	5.750031e+04
1855127.507349	0.000000	1.200000e+09
1855177.513249	0.000000	3.885680e+06
1855227.519148	3.009459	5.309189e+03
1855277.525047	0.206446	1.505436e+05
1855327.530947	0.219314	4.053831e+03
1855377.536846	0.000000	5.284500e+04
1855427.542746	0.077160	5.054924e+03
1855477.548645	0.291313	5.821451e+03
1855527.554545	0.490509	6.523246e+03
1855577.560444	1.103827	8.092057e+03
1855627.566343	6.126217	2.508907e+04
1855677.572243	0.183035	2.585913e+05
1855727.578142	0.032059	1.275363e+08
1855777.584042	0.194382	9.615473e+07
1855827.589941	0.166335	3.068151e+04
1855877.595840	0.116904	1.619407e+08
1855927.601740	0.000000	5.215419e+05
1855977.607639	0.018015	3.231024e+08
1856027.613539	0.000000	1.710527e+06
1856077.619438	0.003043	1.111751e+05
1856127.625337	0.473349	2.328810e+04
1856177.631237	0.043352	1.244009e+05
1856227.637136	0.000238	1.181309e+05
1856277.643036	0.000000	1.069172e+06
1856327.648935	0.000000	3.193426e+05
1856377.654835	0.012161	2.892204e+06
1856427.660734	0.000024	5.542593e+08
1856477.666633	0.000000	1.200000e+09
1856527.672533	0.000000	3.073523e+06
1856577.678432	0.329496	3.700137e+07
1856627.684332	0.001578	1.693587e+05
1856677.690231	0.349313	5.699780e+03
1856727.696130	0.867944	3.537841e+05
1856777.702030	0.348228	5.806136e+03
1856827.707929	0.021125	1.514381e+04
1856877.713829	0.014851	2.997417e+04
1856927.719728	0.014981	2.902210e+08
1856977.725627	0.777056	2.520582e+07
1857027.731527	0.543468	6.903672e+03
1857077.737426	0.000000	9.349039e+05
1857127.743326	0.795710	3.333333e+04
1857177.749225	0.719003	1.563698e+04
1857227.755124	0.160482	7.451821e+03
1857277.761024	0.066707	5.330369e+03
1857327.766923	0.000000	3.422771e+04
1857377.772823	0.011757	3.342253e+03
1857427.778722	0.000000	2.809263e+04
1857477.784622	0.011961	5.208841e+03
1857527.790521	0.140308	6.237594e+03
1857577.796420	0.430276	4.583365e+03
1857627.802320	1.546680	1.051560e+07
1857677.808219	0.009185	2.167505e+08
1857727.814119	0.000000	1.200000e+09
1857777.820018	0.000745	7.000164e+05
1857827.825917	0.000745	3.736968e+04
1857877.831817	0.000715	1.930542e+04
1857927.837716	0.960012	1.379906e+03
1857977.843616	2.155529	1.712866e+03
1858027.849515	1.625885	1.122346e+04
1858077.855414	2.707665	2.320922e+04
1858127.861314	1.941251	5.912396e+03
1858177.867213	0.409462	2.670786e+04
1858227.873113	0.752232	1.428185e+04
1858277.879012	0.128118	4.202921e+07
1858327.884912	0.833502	2.786182e+03
1858377.890811	1.664341	1.643598e+03
1858427.896710	1.793251	1.317714e+03
1858477.902610	1.737284	1.131498e+03
1858527.908509	1.602636	9.990529e+02
1858577.914409	1.437022	8.989208e+02
1858627.920308	1.257818	8.275503e+02
1858677.926207	1.065135	7.823105e+02
1858727.932107	0.864113	7.546316e+02
1858777.938006	0.665648	7.340782e+02
1858827.943906	0.479402	7.084544e+02
1858877.949805	0.324049	6.471405e+02
1858927.955704	0.242682	5.825908e+02
1858977.961604	0.197787	5.636641e+02
1859027.967503	0.161693	5.575060e+02
1859077.973403	0.125706	5.564122e+02
1859127.979302	0.084941	5.576612e+02
1859177.985201	0.035936	5.599922e+02
